Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Score,Avg Trade Duration
Mean Total Fees Paid,TLT,true,43,77,false,40,53.84615384615385,1.6893905765657,0.00683371298405467,1.6102341115330283,0.622857180736666,0.14718766427194674,0.2906956369370948,0.2370065978075598,0.47347085283948714,0,0,5707,5708 days 00:00:00,1000.0,1701.1873936334282,70.11873936334283,12.671739765010148,100.0,105.02419084908173,22.084713845922582,1370 days 00:00:00,39,1,19.61971080033527,25.87037135533279,-13.123641390911835,6.271795866598973,-3.8282546027105733,109 days 12:34:17.142857142,42 days 05:20:00,17.476094431617767,0.32639511813108946,0.15648662731365856,1.065259920014604,0.29746261463037527,12.250691948131923,0.9927344164033657,0.38982225468711956,-0.01092403815456744,None,None,0.00011618242896916862,0.029277972100230493,0.7011873936334287,0.02373458689726715,0.1079551835172441,4.533473750538837,8266.09126984127,0.04955023104233558,78 days 11:04:36.923076922
Mean Total Trades,TLT,true,42,77,false,41,45.0,1.7960352801831267,0.007008936393902225,1.6290267736918949,0.5401083427234132,0.1508673558787454,0.29805502015069213,0.24576696200257953,0.4876899365479258,0,0,5707,5708 days 00:00:00,1000.0,1731.6579078149493,73.16579078149492,12.671739765010148,100.0,108.63062516862504,22.013163648305913,1370 days 00:00:00,40,1,9.780249665769134,25.87037135533279,-13.123641390911835,7.262277848837815,-2.979996833245676,116 days 00:00:00,43 days 09:49:05.454545454,18.04694145372951,0.33555204043976355,0.16233346899909146,1.0674525362986838,0.31095278976858043,12.381199572893,0.9976756263206419,0.3864464415836774,-0.010876012947168867,None,None,0.00011919685372753734,0.03003760713933941,0.7316579078149581,0.024537264429585814,0.10773370872869947,4.773934135194603,8266.09126984127,0.04408013335927616,76 days 01:47:59.999999999
Most Total Return [%],TLT,true,16,86,false,43,42.857142857142854,1.7184196917709167,0.007359383213597337,1.577148443713864,0.5229079386047072,0.15822673909234275,0.3127737865778868,0.24954705531340798,0.4995022591363862,0,0,5707,5708 days 00:00:00,1000.0,1752.9104533994268,75.29104533994268,12.671739765010148,100.0,121.74912120699776,28.1843567745591,1245 days 00:00:00,42,1,6.27055620067199,24.517969694421826,-5.799585237333497,7.418699289291197,-2.8040146904691357,121 days 16:00:00,31 days 04:00:00,17.77714040949416,0.34389753820801594,0.1296568248923733,1.0704886846517416,0.3036174884876394,12.9015991323432,0.9891508451225041,0.3737665463297232,-0.010805273025343417,None,None,0.00012084067022983026,0.030451848897917223,0.7529104533994315,0.025089162188109526,0.10656896822422558,4.941650218215509,8266.09126984127,0.04092400753978597,69 days 22:51:25.714285714
Most Sharpe Ratio,TLT,true,16,86,false,43,42.857142857142854,1.7184196917709167,0.007359383213597337,1.577148443713864,0.5229079386047072,0.15822673909234275,0.3127737865778868,0.24954705531340798,0.4995022591363862,0,0,5707,5708 days 00:00:00,1000.0,1752.9104533994268,75.29104533994268,12.671739765010148,100.0,121.74912120699776,28.1843567745591,1245 days 00:00:00,42,1,6.27055620067199,24.517969694421826,-5.799585237333497,7.418699289291197,-2.8040146904691357,121 days 16:00:00,31 days 04:00:00,17.77714040949416,0.34389753820801594,0.1296568248923733,1.0704886846517416,0.3036174884876394,12.9015991323432,0.9891508451225041,0.3737665463297232,-0.010805273025343417,None,None,0.00012084067022983026,0.030451848897917223,0.7529104533994315,0.025089162188109526,0.10656896822422558,4.941650218215509,8266.09126984127,0.04092400753978597,69 days 22:51:25.714285714
Most Omega Ratio,TLT,true,16,86,false,43,42.857142857142854,1.7184196917709167,0.007359383213597337,1.577148443713864,0.5229079386047072,0.15822673909234275,0.3127737865778868,0.24954705531340798,0.4995022591363862,0,0,5707,5708 days 00:00:00,1000.0,1752.9104533994268,75.29104533994268,12.671739765010148,100.0,121.74912120699776,28.1843567745591,1245 days 00:00:00,42,1,6.27055620067199,24.517969694421826,-5.799585237333497,7.418699289291197,-2.8040146904691357,121 days 16:00:00,31 days 04:00:00,17.77714040949416,0.34389753820801594,0.1296568248923733,1.0704886846517416,0.3036174884876394,12.9015991323432,0.9891508451225041,0.3737665463297232,-0.010805273025343417,None,None,0.00012084067022983026,0.030451848897917223,0.7529104533994315,0.025089162188109526,0.10656896822422558,4.941650218215509,8266.09126984127,0.04092400753978597,69 days 22:51:25.714285714
Most Sortino Ratio,TLT,true,16,86,false,43,42.857142857142854,1.7184196917709167,0.007359383213597337,1.577148443713864,0.5229079386047072,0.15822673909234275,0.3127737865778868,0.24954705531340798,0.4995022591363862,0,0,5707,5708 days 00:00:00,1000.0,1752.9104533994268,75.29104533994268,12.671739765010148,100.0,121.74912120699776,28.1843567745591,1245 days 00:00:00,42,1,6.27055620067199,24.517969694421826,-5.799585237333497,7.418699289291197,-2.8040146904691357,121 days 16:00:00,31 days 04:00:00,17.77714040949416,0.34389753820801594,0.1296568248923733,1.0704886846517416,0.3036174884876394,12.9015991323432,0.9891508451225041,0.3737665463297232,-0.010805273025343417,None,None,0.00012084067022983026,0.030451848897917223,0.7529104533994315,0.025089162188109526,0.10656896822422558,4.941650218215509,8266.09126984127,0.04092400753978597,69 days 22:51:25.714285714
Least Max Drawdown Duration,TLT,true,16,86,false,43,42.857142857142854,1.7184196917709167,0.007359383213597337,1.577148443713864,0.5229079386047072,0.15822673909234275,0.3127737865778868,0.24954705531340798,0.4995022591363862,0,0,5707,5708 days 00:00:00,1000.0,1752.9104533994268,75.29104533994268,12.671739765010148,100.0,121.74912120699776,28.1843567745591,1245 days 00:00:00,42,1,6.27055620067199,24.517969694421826,-5.799585237333497,7.418699289291197,-2.8040146904691357,121 days 16:00:00,31 days 04:00:00,17.77714040949416,0.34389753820801594,0.1296568248923733,1.0704886846517416,0.3036174884876394,12.9015991323432,0.9891508451225041,0.3737665463297232,-0.010805273025343417,None,None,0.00012084067022983026,0.030451848897917223,0.7529104533994315,0.025089162188109526,0.10656896822422558,4.941650218215509,8266.09126984127,0.04092400753978597,69 days 22:51:25.714285714
Least Max Drawdown [%],TLT,true,41,98,false,34,42.42424242424242,1.8367633370451786,0.005782372524969336,1.8558629210500355,0.4785794970473476,0.12510951463115472,0.24653933765551078,0.23218610927452693,0.4857683665170889,0,0,5707,5708 days 00:00:00,1000.0,1727.9760866396414,72.79760866396416,12.671739765010148,100.0,92.12927360959806,19.234565657380838,1370 days 00:00:00,33,1,48.74134882332578,26.28537089939606,-8.150744447415313,8.396066685151213,-2.963234589340305,149 days 06:51:25.714285714,46 days 18:56:50.526315789,20.582870842918673,0.33494264943224944,0.18505109262332153,1.0683066490399242,0.2888560776133146,12.633254582477626,0.9947488553158101,0.3740972556571978,-0.010864675958499482,None,None,0.00011872951914709696,0.029919838825068434,0.7279760866396336,0.02444099539297473,0.10750655869274992,4.744878762818079,8266.09126984127,0.03900629662133106,90 days 06:32:43.636363635
Least Total Trades,TLT,true,41,98,false,34,42.42424242424242,1.8367633370451786,0.005782372524969336,1.8558629210500355,0.4785794970473476,0.12510951463115472,0.24653933765551078,0.23218610927452693,0.4857683665170889,0,0,5707,5708 days 00:00:00,1000.0,1727.9760866396414,72.79760866396416,12.671739765010148,100.0,92.12927360959806,19.234565657380838,1370 days 00:00:00,33,1,48.74134882332578,26.28537089939606,-8.150744447415313,8.396066685151213,-2.963234589340305,149 days 06:51:25.714285714,46 days 18:56:50.526315789,20.582870842918673,0.33494264943224944,0.18505109262332153,1.0683066490399242,0.2888560776133146,12.633254582477626,0.9947488553158101,0.3740972556571978,-0.010864675958499482,None,None,0.00011872951914709696,0.029919838825068434,0.7279760866396336,0.02444099539297473,0.10750655869274992,4.744878762818079,8266.09126984127,0.03900629662133106,90 days 06:32:43.636363635
Most Profit Factor,TLT,true,41,98,false,34,42.42424242424242,1.8367633370451786,0.005782372524969336,1.8558629210500355,0.4785794970473476,0.12510951463115472,0.24653933765551078,0.23218610927452693,0.4857683665170889,0,0,5707,5708 days 00:00:00,1000.0,1727.9760866396414,72.79760866396416,12.671739765010148,100.0,92.12927360959806,19.234565657380838,1370 days 00:00:00,33,1,48.74134882332578,26.28537089939606,-8.150744447415313,8.396066685151213,-2.963234589340305,149 days 06:51:25.714285714,46 days 18:56:50.526315789,20.582870842918673,0.33494264943224944,0.18505109262332153,1.0683066490399242,0.2888560776133146,12.633254582477626,0.9947488553158101,0.3740972556571978,-0.010864675958499482,None,None,0.00011872951914709696,0.029919838825068434,0.7279760866396336,0.02444099539297473,0.10750655869274992,4.744878762818079,8266.09126984127,0.03900629662133106,90 days 06:32:43.636363635
