Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Best Trade [%],TRMB,false,41,51,false,46,50.0,2.6638064286042162,0.005264965090992332,15.275797709222118,6.471603376535435,0.11056426691083897,0.22112853382167794,1.6889573751984168,1.0375737055689074,0,0,8737,8738 days 00:00:00,1000.0,89325.20769904752,8832.520769904753,3696.6258962927986,100.0,2496.3570803543284,60.334324469264565,1071 days 00:00:00,46,0,0.0,190.19233695507145,-27.13932122402898,39.772119848081545,-9.220524429637306,181 days 18:46:57.391304348,38 days 21:54:46.956521739,1920.1132108488596,0.6689606561991126,0.34211189740084574,1.1490583133587313,1.0757679415612662,17.82225378267453,1.110741164362251,0.4050490432545425,-0.02877032459251043,None,None,0.0007276660379740814,0.1833718415694685,88.32520769904804,0.13832222676709738,0.3298968981883818,2.2691684391813696,1.3893466684747684,12654.781746031746,0.8874569595125513,1.7126679104775944,110 days 08:20:52.173913043
Most Win Rate [%],TRMB,false,29,81,false,42,57.14285714285714,2.4513629494673923,0.004807142039601694,15.789415583243393,6.980032676327895,0.10094998283163557,0.20189996566327115,1.5939412320499797,1.0261168310215458,0,0,8737,8738 days 00:00:00,1000.0,84198.22593360188,8319.822593360188,3696.6258962927986,100.0,2431.4400658316576,59.98943185678206,1069 days 00:00:00,42,0,0.0,147.88182492121808,-20.492187499999993,35.58624560907583,-10.606357784533188,186 days 23:00:00,36 days 20:00:00,1980.9101412762345,0.6606555591680654,0.33911941831799625,1.1462438905583814,1.1057772810497373,17.808703432997525,1.117396226777124,0.4104923325262309,-0.02871513695016413,None,None,0.0007239861576804304,0.18244451173546847,83.19822593360244,0.13638337923263832,0.33235473586067693,1.9066156273635273,1.2506531163198884,12654.781746031746,0.8479944871317037,1.5541219873476482,122 days 14:51:25.714285714
Median Avg Winning Trade [%],TRMB,false,35,53,false,51,45.09803921568628,2.475298081270491,0.005837243905230628,11.667349010119338,4.942881326814234,0.1225821220098432,0.2451642440196864,1.430208399889872,0.9470004894203088,0,0,8737,8738 days 00:00:00,1000.0,53863.94663564772,5286.394663564772,3696.6258962927986,100.0,1618.2433626958746,63.494992305521926,1075 days 00:00:00,51,0,0.0,118.66841598093845,-28.261827196815176,36.00783863382952,-8.326624609356886,170 days 07:18:15.652173914,40 days 19:42:51.428571428,1036.5479732479946,0.6195344451551322,0.2853580257606216,1.136214442364466,0.7710206575802553,14.222745470790773,1.1031428098714018,0.4025682182985553,-0.02869058890662501,None,None,0.000664817165759104,0.1675339257712942,52.86394663564769,0.12183726587032329,0.3254493958379169,2.337781521199908,0.4300594141447448,12654.781746031746,0.9344444129878132,1.5294504851001076,99 days 05:10:35.294117647
Median Avg Losing Trade [%],TRMB,false,35,56,false,52,46.15384615384615,2.407109922388413,0.0059516996680782875,11.108964651337024,4.91094403448312,0.12498569302964405,0.2499713860592881,1.3884616457891759,0.9232073599403198,0,0,8737,8738 days 00:00:00,1000.0,46814.9640862355,4581.4964086235495,3696.6258962927986,100.0,1478.253695238458,66.95323797385163,1411 days 00:00:00,52,0,0.0,115.93372784924931,-28.26182719681517,34.12067484917749,-8.615358375383373,171 days 02:00:00,34 days 08:34:17.142857142,881.0570016583752,0.6045191781049897,0.2603129149062963,1.1325479937057683,0.7700643342228075,14.20680031599499,1.1018654185774845,0.4030186255619781,-0.028862661971269476,None,None,0.0006488699865704071,0.1635152366157426,45.8149640862353,0.11730860941092924,0.3255324642405177,2.317957703040694,0.2393724810558063,12654.781746031746,0.9435611597344997,1.5277520796061177,97 days 11:04:36.923076922
Least Max Drawdown Duration,TRMB,false,44,57,false,43,53.48837209302325,2.4861355342636675,0.004921597802449353,15.581892687799932,6.601280748193009,0.10335355385143642,0.20670710770287284,1.6104439850158336,1.0216784902167855,0,0,8737,8738 days 00:00:00,1000.0,82547.25347002572,8154.725347002573,3696.6258962927986,100.0,2348.7521138051834,63.3879560973055,1040 days 00:00:00,43,0,0.0,172.72103889759032,-18.615542034844076,37.48170525192886,-9.602891760948323,184 days 16:41:44.347826086,44 days 01:12:00,1896.447755116877,0.6580713015804274,0.3193678322764914,1.1459950497329432,1.0995279457869167,17.711016766988124,1.1166105612782526,0.40867322263420935,-0.02894887720468979,None,None,0.0007225997620555603,0.1820951400380012,81.54725347002612,0.13573456657506333,0.33302095750547567,1.9797005180247722,1.2059915111184574,12654.781746031746,0.8580302741751811,1.521759086900066,119 days 06:41:51.627906975
Most Avg Losing Trade [%],TRMB,false,6,74,false,97,38.144329896907216,2.1623884859396005,0.01110220899622296,5.4714106673219165,3.4213654671440072,0.23314638892068215,0.4662927778413643,1.2756396393882046,0.8654023779506467,0,0,8737,8738 days 00:00:00,1000.0,33536.92235996643,3253.6922359966434,3696.6258962927986,100.0,1804.8372524601405,70.30112866441904,2196 days 00:00:00,97,0,0.0,101.18058587416905,-20.63409445226744,24.690263969718025,-6.380215535822351,108 days 20:06:29.189189190,16 days 00:24:00,335.43218927800433,0.5712262682686714,0.22480413823572537,1.126032844940863,0.5845947696380791,14.271210817089074,1.1329156862913587,0.390515595162317,-0.027847752184204867,None,None,0.000607239369311724,0.15302432106655445,32.53692235996617,0.10661207521588367,0.32240253843627004,2.1623884859396005,-0.11982106729825057,12654.781746031746,1.2887071878248375,1.508016905006037,51 days 10:08:39.587628866
Most Total Return [%],TRMB,false,33,76,false,40,52.5,2.624546398770868,0.004578230513906375,17.286510391418574,6.686622181244982,0.09614284079203388,0.19228568158406775,1.661974216411995,1.0727283406361388,0,0,8737,8738 days 00:00:00,1000.0,111573.43346615079,11057.343346615078,3696.6258962927986,100.0,3093.1387474178055,62.36680330729474,921 days 00:00:00,40,0,0.0,147.88182492121805,-18.931246427298266,41.213281666129554,-9.158868385893559,208 days 05:42:51.428571428,41 days 06:18:56.842105263,2764.3358366537705,0.6896526474944213,0.34901682828989644,1.1529615028576394,1.1030143259301088,17.70407156284663,1.1181738713059008,0.4125444552214679,-0.028715136950164172,None,None,0.000756820955065698,0.1907188806765559,110.57343346615157,0.14564676956892653,0.3328200207135701,1.9441084435339762,1.9911989086328845,12654.781746031746,0.8275578818517837,1.4853817671618552,128 days 22:11:59.999999999
Most Sharpe Ratio,TRMB,false,33,76,false,40,52.5,2.624546398770868,0.004578230513906375,17.286510391418574,6.686622181244982,0.09614284079203388,0.19228568158406775,1.661974216411995,1.0727283406361388,0,0,8737,8738 days 00:00:00,1000.0,111573.43346615079,11057.343346615078,3696.6258962927986,100.0,3093.1387474178055,62.36680330729474,921 days 00:00:00,40,0,0.0,147.88182492121805,-18.931246427298266,41.213281666129554,-9.158868385893559,208 days 05:42:51.428571428,41 days 06:18:56.842105263,2764.3358366537705,0.6896526474944213,0.34901682828989644,1.1529615028576394,1.1030143259301088,17.70407156284663,1.1181738713059008,0.4125444552214679,-0.028715136950164172,None,None,0.000756820955065698,0.1907188806765559,110.57343346615157,0.14564676956892653,0.3328200207135701,1.9441084435339762,1.9911989086328845,12654.781746031746,0.8275578818517837,1.4853817671618552,128 days 22:11:59.999999999
Most Omega Ratio,TRMB,false,33,76,false,40,52.5,2.624546398770868,0.004578230513906375,17.286510391418574,6.686622181244982,0.09614284079203388,0.19228568158406775,1.661974216411995,1.0727283406361388,0,0,8737,8738 days 00:00:00,1000.0,111573.43346615079,11057.343346615078,3696.6258962927986,100.0,3093.1387474178055,62.36680330729474,921 days 00:00:00,40,0,0.0,147.88182492121805,-18.931246427298266,41.213281666129554,-9.158868385893559,208 days 05:42:51.428571428,41 days 06:18:56.842105263,2764.3358366537705,0.6896526474944213,0.34901682828989644,1.1529615028576394,1.1030143259301088,17.70407156284663,1.1181738713059008,0.4125444552214679,-0.028715136950164172,None,None,0.000756820955065698,0.1907188806765559,110.57343346615157,0.14564676956892653,0.3328200207135701,1.9441084435339762,1.9911989086328845,12654.781746031746,0.8275578818517837,1.4853817671618552,128 days 22:11:59.999999999
Most Sortino Ratio,TRMB,false,33,76,false,40,52.5,2.624546398770868,0.004578230513906375,17.286510391418574,6.686622181244982,0.09614284079203388,0.19228568158406775,1.661974216411995,1.0727283406361388,0,0,8737,8738 days 00:00:00,1000.0,111573.43346615079,11057.343346615078,3696.6258962927986,100.0,3093.1387474178055,62.36680330729474,921 days 00:00:00,40,0,0.0,147.88182492121805,-18.931246427298266,41.213281666129554,-9.158868385893559,208 days 05:42:51.428571428,41 days 06:18:56.842105263,2764.3358366537705,0.6896526474944213,0.34901682828989644,1.1529615028576394,1.1030143259301088,17.70407156284663,1.1181738713059008,0.4125444552214679,-0.028715136950164172,None,None,0.000756820955065698,0.1907188806765559,110.57343346615157,0.14564676956892653,0.3328200207135701,1.9441084435339762,1.9911989086328845,12654.781746031746,0.8275578818517837,1.4853817671618552,128 days 22:11:59.999999999
Median Worst Trade [%],TRMB,false,29,73,false,50,48.0,2.2474201300577277,0.005722788142382969,12.46872707422122,5.512054702179211,0.12017855099004235,0.2403571019800847,1.4984735524702164,0.9649133997332421,0,0,8737,8738 days 00:00:00,1000.0,58523.04306156993,5752.304306156993,3696.6258962927986,100.0,2136.645584012823,65.68622805779086,1427 days 00:00:00,50,0,0.0,162.46899109305443,-22.129272373343177,34.92099896371768,-8.256446977621659,178 days 14:00:00,32 days 00:00:00,1150.4608612313982,0.6240666767642962,0.2820810036652091,1.1377710319698784,1.060689913120347,17.688415171527303,1.1138985598026552,0.4066323245331617,-0.02886266197126956,None,None,0.0006800824578886567,0.1713807793879415,57.52304306156996,0.12452448216816059,0.3305044278124753,2.0809445648682665,0.5560958743284664,12654.781746031746,0.9252378395681637,1.4618864365768418,102 days 08:38:24
