Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Least Max Drawdown Duration,TTD,false,7,35,false,35,45.714285714285715,1.776203911502017,0.016347501167678656,8.669813321084003,2.5551116805552416,0.3432975245212518,0.6865950490425036,2.976325451189511,1.5711432758492467,0,0,2141,2142 days 00:00:00,1000.0,8123.476834518783,712.3476834518783,1755.481682759916,100.0,307.3261640672753,60.480986415867896,1070 days 00:00:00,35,0,0.0,95.88920374826455,-20.356108605288266,29.4919633800564,-8.864628833840118,65 days 09:00:00,12 days 21:28:25.263157894,203.5279095576795,0.8858773305052883,0.7092548439985632,1.2094170125489383,3.6286395922975863,40.335572770467266,1.1752221863012735,0.45714285714285713,-0.039696939298970856,None,None,0.001418610050325017,0.35748973268190426,7.1234768345187724,0.2794651593688071,0.4856642619310626,-0.5942152570159852,36 days 21:15:25.714285713
Median Worst Trade [%],TTD,false,7,34,false,35,45.714285714285715,1.8270799665257555,0.016347501167678656,8.553440289564929,2.5208149683742653,0.3432975245212518,0.6865950490425036,2.936374877547979,1.5609584138954966,0,0,2141,2142 days 00:00:00,1000.0,7968.88701300876,696.8887013008759,1755.481682759916,100.0,292.589650950152,59.52762422722005,1070 days 00:00:00,35,0,0.0,95.88920374826456,-20.356108605288252,28.98133593755029,-8.648998150843795,65 days 06:00:00,13 days 00:00:00,199.11105751453587,0.8803139509497062,0.712767495307097,1.2080490049145693,3.6306804502524868,40.36485817236216,1.1738928574541856,0.45714285714285713,-0.039696939298970925,None,None,0.0014094953089513417,0.3551928178557381,6.9688870130088,0.276576321296381,0.48559337495326593,-0.6030213768991037,36 days 21:15:25.714285713
Most Max Drawdown Duration,TTD,false,7,33,false,36,44.44444444444444,2.0322530824697225,0.01681457262961233,8.502016311925018,2.5056596240707365,0.35310602522185897,0.7062120504437179,3.002113186275252,1.6196976007441033,0,0,2141,2142 days 00:00:00,1000.0,8861.285670814173,786.1285670814174,1755.481682759916,100.0,293.6502066617602,52.16501205066297,991 days 00:00:00,36,0,0.0,90.84587125447318,-18.078274511728658,28.60373326283029,-7.579357248799198,63 days 09:00:00,13 days 18:00:00,218.3690464115047,0.9100424581306632,0.8632031434990687,1.2157292589064428,3.6150401474803044,39.84319180502866,1.1831165515140187,0.45615227736233854,-0.03969693929897095,None,None,0.0014620962984094152,0.3684482671991726,7.861285670814132,0.29261801531463405,0.48726029676155547,-0.5521864028535521,35 days 19:20:00
Most Total Return [%],TTD,false,7,32,false,39,43.58974358974359,2.1458112872191055,0.01821578701541336,7.958192860654951,2.491974187348207,0.3825315273236805,0.765063054647361,3.0442596697227486,1.6496759849781517,0,0,2141,2142 days 00:00:00,1000.0,9359.016593043936,835.9016593043937,1755.481682759916,100.0,325.0338083032186,46.18779855024581,642 days 00:00:00,39,0,0.0,90.84587125447318,-13.779402998648111,27.001514833489793,-6.757101391081062,61 days 00:00:00,11 days 10:54:32.727272727,214.3337587959984,0.9258818403432798,1.0042878227702923,1.2199647491142291,3.612467940484216,39.8100752097893,1.1926928098642815,0.45615227736233854,-0.03951696144018315,None,None,0.0014877829697535093,0.37492130837788434,8.359016593043949,0.3009553112822225,0.48733849700686727,-0.5238334483842555,33 days 01:13:50.769230768
Least Max Drawdown [%],TTD,false,7,32,false,39,43.58974358974359,2.1458112872191055,0.01821578701541336,7.958192860654951,2.491974187348207,0.3825315273236805,0.765063054647361,3.0442596697227486,1.6496759849781517,0,0,2141,2142 days 00:00:00,1000.0,9359.016593043936,835.9016593043937,1755.481682759916,100.0,325.0338083032186,46.18779855024581,642 days 00:00:00,39,0,0.0,90.84587125447318,-13.779402998648111,27.001514833489793,-6.757101391081062,61 days 00:00:00,11 days 10:54:32.727272727,214.3337587959984,0.9258818403432798,1.0042878227702923,1.2199647491142291,3.612467940484216,39.8100752097893,1.1926928098642815,0.45615227736233854,-0.03951696144018315,None,None,0.0014877829697535093,0.37492130837788434,8.359016593043949,0.3009553112822225,0.48733849700686727,-0.5238334483842555,33 days 01:13:50.769230768
Mean Total Trades,TTD,false,7,32,false,39,43.58974358974359,2.1458112872191055,0.01821578701541336,7.958192860654951,2.491974187348207,0.3825315273236805,0.765063054647361,3.0442596697227486,1.6496759849781517,0,0,2141,2142 days 00:00:00,1000.0,9359.016593043936,835.9016593043937,1755.481682759916,100.0,325.0338083032186,46.18779855024581,642 days 00:00:00,39,0,0.0,90.84587125447318,-13.779402998648111,27.001514833489793,-6.757101391081062,61 days 00:00:00,11 days 10:54:32.727272727,214.3337587959984,0.9258818403432798,1.0042878227702923,1.2199647491142291,3.612467940484216,39.8100752097893,1.1926928098642815,0.45615227736233854,-0.03951696144018315,None,None,0.0014877829697535093,0.37492130837788434,8.359016593043949,0.3009553112822225,0.48733849700686727,-0.5238334483842555,33 days 01:13:50.769230768
Most Worst Trade [%],TTD,false,7,32,false,39,43.58974358974359,2.1458112872191055,0.01821578701541336,7.958192860654951,2.491974187348207,0.3825315273236805,0.765063054647361,3.0442596697227486,1.6496759849781517,0,0,2141,2142 days 00:00:00,1000.0,9359.016593043936,835.9016593043937,1755.481682759916,100.0,325.0338083032186,46.18779855024581,642 days 00:00:00,39,0,0.0,90.84587125447318,-13.779402998648111,27.001514833489793,-6.757101391081062,61 days 00:00:00,11 days 10:54:32.727272727,214.3337587959984,0.9258818403432798,1.0042878227702923,1.2199647491142291,3.612467940484216,39.8100752097893,1.1926928098642815,0.45615227736233854,-0.03951696144018315,None,None,0.0014877829697535093,0.37492130837788434,8.359016593043949,0.3009553112822225,0.48733849700686727,-0.5238334483842555,33 days 01:13:50.769230768
Most Profit Factor,TTD,false,7,32,false,39,43.58974358974359,2.1458112872191055,0.01821578701541336,7.958192860654951,2.491974187348207,0.3825315273236805,0.765063054647361,3.0442596697227486,1.6496759849781517,0,0,2141,2142 days 00:00:00,1000.0,9359.016593043936,835.9016593043937,1755.481682759916,100.0,325.0338083032186,46.18779855024581,642 days 00:00:00,39,0,0.0,90.84587125447318,-13.779402998648111,27.001514833489793,-6.757101391081062,61 days 00:00:00,11 days 10:54:32.727272727,214.3337587959984,0.9258818403432798,1.0042878227702923,1.2199647491142291,3.612467940484216,39.8100752097893,1.1926928098642815,0.45615227736233854,-0.03951696144018315,None,None,0.0014877829697535093,0.37492130837788434,8.359016593043949,0.3009553112822225,0.48733849700686727,-0.5238334483842555,33 days 01:13:50.769230768
Most Sharpe Ratio,TTD,false,7,32,false,39,43.58974358974359,2.1458112872191055,0.01821578701541336,7.958192860654951,2.491974187348207,0.3825315273236805,0.765063054647361,3.0442596697227486,1.6496759849781517,0,0,2141,2142 days 00:00:00,1000.0,9359.016593043936,835.9016593043937,1755.481682759916,100.0,325.0338083032186,46.18779855024581,642 days 00:00:00,39,0,0.0,90.84587125447318,-13.779402998648111,27.001514833489793,-6.757101391081062,61 days 00:00:00,11 days 10:54:32.727272727,214.3337587959984,0.9258818403432798,1.0042878227702923,1.2199647491142291,3.612467940484216,39.8100752097893,1.1926928098642815,0.45615227736233854,-0.03951696144018315,None,None,0.0014877829697535093,0.37492130837788434,8.359016593043949,0.3009553112822225,0.48733849700686727,-0.5238334483842555,33 days 01:13:50.769230768
Most Calmar Ratio,TTD,false,7,32,false,39,43.58974358974359,2.1458112872191055,0.01821578701541336,7.958192860654951,2.491974187348207,0.3825315273236805,0.765063054647361,3.0442596697227486,1.6496759849781517,0,0,2141,2142 days 00:00:00,1000.0,9359.016593043936,835.9016593043937,1755.481682759916,100.0,325.0338083032186,46.18779855024581,642 days 00:00:00,39,0,0.0,90.84587125447318,-13.779402998648111,27.001514833489793,-6.757101391081062,61 days 00:00:00,11 days 10:54:32.727272727,214.3337587959984,0.9258818403432798,1.0042878227702923,1.2199647491142291,3.612467940484216,39.8100752097893,1.1926928098642815,0.45615227736233854,-0.03951696144018315,None,None,0.0014877829697535093,0.37492130837788434,8.359016593043949,0.3009553112822225,0.48733849700686727,-0.5238334483842555,33 days 01:13:50.769230768
Most Omega Ratio,TTD,false,7,32,false,39,43.58974358974359,2.1458112872191055,0.01821578701541336,7.958192860654951,2.491974187348207,0.3825315273236805,0.765063054647361,3.0442596697227486,1.6496759849781517,0,0,2141,2142 days 00:00:00,1000.0,9359.016593043936,835.9016593043937,1755.481682759916,100.0,325.0338083032186,46.18779855024581,642 days 00:00:00,39,0,0.0,90.84587125447318,-13.779402998648111,27.001514833489793,-6.757101391081062,61 days 00:00:00,11 days 10:54:32.727272727,214.3337587959984,0.9258818403432798,1.0042878227702923,1.2199647491142291,3.612467940484216,39.8100752097893,1.1926928098642815,0.45615227736233854,-0.03951696144018315,None,None,0.0014877829697535093,0.37492130837788434,8.359016593043949,0.3009553112822225,0.48733849700686727,-0.5238334483842555,33 days 01:13:50.769230768
Most Sortino Ratio,TTD,false,7,32,false,39,43.58974358974359,2.1458112872191055,0.01821578701541336,7.958192860654951,2.491974187348207,0.3825315273236805,0.765063054647361,3.0442596697227486,1.6496759849781517,0,0,2141,2142 days 00:00:00,1000.0,9359.016593043936,835.9016593043937,1755.481682759916,100.0,325.0338083032186,46.18779855024581,642 days 00:00:00,39,0,0.0,90.84587125447318,-13.779402998648111,27.001514833489793,-6.757101391081062,61 days 00:00:00,11 days 10:54:32.727272727,214.3337587959984,0.9258818403432798,1.0042878227702923,1.2199647491142291,3.612467940484216,39.8100752097893,1.1926928098642815,0.45615227736233854,-0.03951696144018315,None,None,0.0014877829697535093,0.37492130837788434,8.359016593043949,0.3009553112822225,0.48733849700686727,-0.5238334483842555,33 days 01:13:50.769230768
Median Total Trades,TTD,false,6,38,false,37,43.24324324324324,1.9766286541763756,0.017281644091546006,8.412648739068375,2.4793217871632716,0.36291452592246615,0.7258290518449323,3.053072428891232,1.6361649484478609,0,0,2141,2142 days 00:00:00,1000.0,9120.807036755485,812.0807036755485,1755.481682759916,100.0,324.65092208238013,55.653488502094916,1070 days 00:00:00,37,0,0.0,95.88920374826455,-20.356108605288263,29.038669499801816,-7.302414697680912,65 days 18:00:00,11 days 22:51:25.714285714,219.48127126366182,0.9199173300538661,0.821945606861324,1.2176368898247754,3.6383961692320446,40.435913475551374,1.1871061713483422,0.4631147540983606,-0.03882809683748963,None,None,0.001471937633564518,0.3709282836582586,8.1208070367555,0.2970152735164373,0.48527432183362623,-0.5374029181558765,35 days 05:11:21.081081080
Most Expectancy,TTD,false,6,38,false,37,43.24324324324324,1.9766286541763756,0.017281644091546006,8.412648739068375,2.4793217871632716,0.36291452592246615,0.7258290518449323,3.053072428891232,1.6361649484478609,0,0,2141,2142 days 00:00:00,1000.0,9120.807036755485,812.0807036755485,1755.481682759916,100.0,324.65092208238013,55.653488502094916,1070 days 00:00:00,37,0,0.0,95.88920374826455,-20.356108605288263,29.038669499801816,-7.302414697680912,65 days 18:00:00,11 days 22:51:25.714285714,219.48127126366182,0.9199173300538661,0.821945606861324,1.2176368898247754,3.6383961692320446,40.435913475551374,1.1871061713483422,0.4631147540983606,-0.03882809683748963,None,None,0.001471937633564518,0.3709282836582586,8.1208070367555,0.2970152735164373,0.48527432183362623,-0.5374029181558765,35 days 05:11:21.081081080
