Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Profit Factor,URA,true,7,34,65,35.9375,1.229664513780712,17.832265254945668,6.631366755292468,3.501410362069026,0.38032878239063805,1,2.5220996436261407,0.3997895533655998,0,0,3589,3590 days 00:00:00,1000.0,1422.002419472773,42.20024194727729,-71.95429160822013,100.0,127.11145857475655,49.99122503311314,1770 days 00:00:00,64,1,-2.4050528659452084,34.6245877235227,-15.719269653847778,10.618164296361323,-4.40015158669214,41 days 19:49:33.913043478,16 days 07:01:27.804878048,0.2675936133010436,0.07289953148355115,1.0590744082246808,1.5864867960489557,25 days 11:14:59.999999999,0
Most Expectancy,URA,true,7,34,65,35.9375,1.229664513780712,17.832265254945668,6.631366755292468,3.501410362069026,0.38032878239063805,1,2.5220996436261407,0.3997895533655998,0,0,3589,3590 days 00:00:00,1000.0,1422.002419472773,42.20024194727729,-71.95429160822013,100.0,127.11145857475655,49.99122503311314,1770 days 00:00:00,64,1,-2.4050528659452084,34.6245877235227,-15.719269653847778,10.618164296361323,-4.40015158669214,41 days 19:49:33.913043478,16 days 07:01:27.804878048,0.2675936133010436,0.07289953148355115,1.0590744082246808,1.5864867960489557,25 days 11:14:59.999999999,0
Most Calmar Ratio,URA,true,7,34,65,35.9375,1.229664513780712,17.832265254945668,6.631366755292468,3.501410362069026,0.38032878239063805,1,2.5220996436261407,0.3997895533655998,0,0,3589,3590 days 00:00:00,1000.0,1422.002419472773,42.20024194727729,-71.95429160822013,100.0,127.11145857475655,49.99122503311314,1770 days 00:00:00,64,1,-2.4050528659452084,34.6245877235227,-15.719269653847778,10.618164296361323,-4.40015158669214,41 days 19:49:33.913043478,16 days 07:01:27.804878048,0.2675936133010436,0.07289953148355115,1.0590744082246808,1.5864867960489557,25 days 11:14:59.999999999,0
Most Worst Trade [%],URA,true,2,15,166,30.909090909090907,1.0772860219578344,45.9738088604068,2.1844417662540465,1.023016805132749,0.9713011981053218,2,2.1217509047538607,0.38129884476604475,0,0,3589,3590 days 00:00:00,1000.0,1359.073817614304,35.90738176143041,-71.95429160822013,100.0,438.0238089078173,51.32815904384772,857 days 00:00:00,165,1,-1.3590738176142168,38.505657358748,-7.171346002728435,7.868569361801178,-2.9366732673368667,19 days 13:38:49.411764706,5 days 13:53:41.052631578,0.2512786884046661,0.0617296867609718,1.0547514072369246,1.4990304394481497,9 days 21:40:21.818181816,1
Most Total Return [%],URA,true,2,4,452,37.6940133037694,1.0363220413107967,125.66174421844525,1.0844266646123693,0.619339289740317,2.644747840624129,6,2.86803507954879,0.43945515558660103,0,0,3589,3590 days 00:00:00,1000.0,1487.588836903276,48.75888369032759,-71.95429160822013,100.0,1858.4574873496497,71.71545726840085,857 days 00:00:00,451,1,-1.4875888369031145,36.011082915473864,-13.665701039457884,4.085570051551144,-2.179924919756046,5 days 18:38:07.058823529,2 days 10:45:41.637010676,0.28315482917089435,0.057457296979834656,1.060681231370082,1.6776369081056637,3 days 16:52:09.046563192,1
Most Sharpe Ratio,URA,true,2,4,452,37.6940133037694,1.0363220413107967,125.66174421844525,1.0844266646123693,0.619339289740317,2.644747840624129,6,2.86803507954879,0.43945515558660103,0,0,3589,3590 days 00:00:00,1000.0,1487.588836903276,48.75888369032759,-71.95429160822013,100.0,1858.4574873496497,71.71545726840085,857 days 00:00:00,451,1,-1.4875888369031145,36.011082915473864,-13.665701039457884,4.085570051551144,-2.179924919756046,5 days 18:38:07.058823529,2 days 10:45:41.637010676,0.28315482917089435,0.057457296979834656,1.060681231370082,1.6776369081056637,3 days 16:52:09.046563192,1
Most Omega Ratio,URA,true,2,4,452,37.6940133037694,1.0363220413107967,125.66174421844525,1.0844266646123693,0.619339289740317,2.644747840624129,6,2.86803507954879,0.43945515558660103,0,0,3589,3590 days 00:00:00,1000.0,1487.588836903276,48.75888369032759,-71.95429160822013,100.0,1858.4574873496497,71.71545726840085,857 days 00:00:00,451,1,-1.4875888369031145,36.011082915473864,-13.665701039457884,4.085570051551144,-2.179924919756046,5 days 18:38:07.058823529,2 days 10:45:41.637010676,0.28315482917089435,0.057457296979834656,1.060681231370082,1.6776369081056637,3 days 16:52:09.046563192,1
Most Sortino Ratio,URA,true,2,4,452,37.6940133037694,1.0363220413107967,125.66174421844525,1.0844266646123693,0.619339289740317,2.644747840624129,6,2.86803507954879,0.43945515558660103,0,0,3589,3590 days 00:00:00,1000.0,1487.588836903276,48.75888369032759,-71.95429160822013,100.0,1858.4574873496497,71.71545726840085,857 days 00:00:00,451,1,-1.4875888369031145,36.011082915473864,-13.665701039457884,4.085570051551144,-2.179924919756046,5 days 18:38:07.058823529,2 days 10:45:41.637010676,0.28315482917089435,0.057457296979834656,1.060681231370082,1.6776369081056637,3 days 16:52:09.046563192,1
Least Max Drawdown Duration,URA,true,2,6,322,36.7601246105919,1.0127554507573902,89.43995541933685,0.27159741488880584,0.15127204265495656,1.8840902758428533,4,0.511714048336056,0.26317871016150635,0,0,3589,3590 days 00:00:00,1000.0,1086.096673505798,8.609667350579798,-71.95429160822013,100.0,826.966685142309,64.73372722416542,1002 days 00:00:00,321,1,-1.0860966735056081,36.01108291547385,-13.665701039457876,4.684784662521562,-2.479602333742029,8 days 06:54:54.915254237,3 days 10:31:19.802955665,0.17382174495698557,0.013026303144366808,1.0367252748209856,1.1196546746295286,5 days 05:18:30.280373831,1
Most Total Fees Paid,URA,true,2,3,620,38.44911147011308,1.0101472031961363,172.47144051267762,0.22683473817462385,0.13214536565712165,3.627751462803009,8,0.8229000532275292,0.291555488554699,0,0,3589,3590 days 00:00:00,1000.0,1139.2714314985703,13.927143149857033,-71.95429160822013,100.0,2244.38565620745,67.64257419742992,951 days 00:00:00,619,1,-1.1392714314984005,29.514391555285208,-10.756727848924397,3.3786636000155092,-1.9610014616961695,4 days 03:01:30.756302521,1 days 21:13:42.047244094,0.1909419596331918,0.019728814145516655,1.0400575453464773,1.193555420233836,2 days 17:54:45.945072697,1
Most Total Trades,URA,true,2,3,620,38.44911147011308,1.0101472031961363,172.47144051267762,0.22683473817462385,0.13214536565712165,3.627751462803009,8,0.8229000532275292,0.291555488554699,0,0,3589,3590 days 00:00:00,1000.0,1139.2714314985703,13.927143149857033,-71.95429160822013,100.0,2244.38565620745,67.64257419742992,951 days 00:00:00,619,1,-1.1392714314984005,29.514391555285208,-10.756727848924397,3.3786636000155092,-1.9610014616961695,4 days 03:01:30.756302521,1 days 21:13:42.047244094,0.1909419596331918,0.019728814145516655,1.0400575453464773,1.193555420233836,2 days 17:54:45.945072697,1
Most Avg Losing Trade [%],URA,true,2,3,620,38.44911147011308,1.0101472031961363,172.47144051267762,0.22683473817462385,0.13214536565712165,3.627751462803009,8,0.8229000532275292,0.291555488554699,0,0,3589,3590 days 00:00:00,1000.0,1139.2714314985703,13.927143149857033,-71.95429160822013,100.0,2244.38565620745,67.64257419742992,951 days 00:00:00,619,1,-1.1392714314984005,29.514391555285208,-10.756727848924397,3.3786636000155092,-1.9610014616961695,4 days 03:01:30.756302521,1 days 21:13:42.047244094,0.1909419596331918,0.019728814145516655,1.0400575453464773,1.193555420233836,2 days 17:54:45.945072697,1
Most Max Drawdown Duration,URA,true,2,3,620,38.44911147011308,1.0101472031961363,172.47144051267762,0.22683473817462385,0.13214536565712165,3.627751462803009,8,0.8229000532275292,0.291555488554699,0,0,3589,3590 days 00:00:00,1000.0,1139.2714314985703,13.927143149857033,-71.95429160822013,100.0,2244.38565620745,67.64257419742992,951 days 00:00:00,619,1,-1.1392714314984005,29.514391555285208,-10.756727848924397,3.3786636000155092,-1.9610014616961695,4 days 03:01:30.756302521,1 days 21:13:42.047244094,0.1909419596331918,0.019728814145516655,1.0400575453464773,1.193555420233836,2 days 17:54:45.945072697,1
Least Avg Losing Trade Duration,URA,true,2,3,620,38.44911147011308,1.0101472031961363,172.47144051267762,0.22683473817462385,0.13214536565712165,3.627751462803009,8,0.8229000532275292,0.291555488554699,0,0,3589,3590 days 00:00:00,1000.0,1139.2714314985703,13.927143149857033,-71.95429160822013,100.0,2244.38565620745,67.64257419742992,951 days 00:00:00,619,1,-1.1392714314984005,29.514391555285208,-10.756727848924397,3.3786636000155092,-1.9610014616961695,4 days 03:01:30.756302521,1 days 21:13:42.047244094,0.1909419596331918,0.019728814145516655,1.0400575453464773,1.193555420233836,2 days 17:54:45.945072697,1
Least Max Drawdown [%],URA,true,3,14,153,33.55263157894737,1.0093106958241018,42.35162998049596,0.2133097901579113,0.10844098183865108,0.8952354416271942,2,0.19096248419542183,0.240206032105817,0,0,3589,3590 days 00:00:00,1000.0,1044.3742022831993,4.4374202283199455,-71.95429160822013,100.0,288.426404596729,42.488213042782036,1717 days 00:00:00,152,1,11.95111417919702,39.63354141425414,-9.243481859611254,7.630506453377478,-3.4598644216800984,18 days 23:03:31.764705882,6 days 15:55:14.851485148,0.15847854596783412,0.010412553499705936,1.0342624463459171,1.06166998700343,10 days 18:56:50.526315788,0
Median Win Rate [%],URA,true,4,48,61,25.0,1.0039626966043167,16.71774867651156,0.09129346152204221,0.03143714239739745,0.35692393424352187,1,0.03258482145715689,0.21265147496163936,0,0,3589,3590 days 00:00:00,1000.0,1005.1672605502445,0.5167260550244464,-71.95429160822013,100.0,80.93604465381252,62.8953905333924,2671 days 00:00:00,60,1,-0.31034714107761374,86.61266353744881,-15.863241296333086,15.725272420966851,-4.2513601690187235,61 days 08:00:00,14 days 21:52:00,0.14185553003383097,0.0008333627851141764,1.0314201109558265,1.0071813097381035,26 days 12:24:00,0
Mean Avg Winning Trade [%],URA,true,3,47,71,24.285714285714285,0.9665188852086622,19.504040122596827,-0.7317593625548291,-0.26926210310459076,0.4154360546113124,1,-0.3039992225046671,0.18565285123608868,0,0,3589,3590 days 00:00:00,1000.0,959.759687344555,-4.0240312655445,-71.95429160822013,100.0,100.03561454922357,59.79724456197564,2665 days 00:00:00,70,1,10.982842723392992,63.66620759532893,-14.461339639490859,13.274965187601213,-3.716401501195516,50 days 01:24:42.352941177,13 days 22:11:19.245283018,0.12460179261416536,-0.006968837646508557,1.0273660357824763,0.9440751736191816,22 days 16:47:59.999999999,0
