Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Least Total Trades,VET-USD,true,26,35,38,50.0,1.9512148002433147,0.015670103092783504,40.55160975500041,18.236226872071192,0.4701030927835052,0.9402061855670104,19.063437163175454,1.9429449641610774,0,0,2425,2426 days 00:00:00,1000.0,59938.58177423986,5893.858177423986,73.96174902952588,100.0,2724.102228879893,57.30400087761487,978 days 00:00:00,38,0,0.0,994.2365847232844,-26.541254630711276,91.05014025590361,-9.94692074590279,41 days 11:22:06.315789473,16 days 07:34:44.210526315,1551.0153098484177,1.1642226166642338,1.4854756675565735,1.2902892550637455,1.3212840455776185,11.44459881155688,1.2544478868675277,0.3113513513513514,-0.05708752291233798,None,None,0.002518206634572382,0.6345880719122402,58.93858177423987,0.5298847276869167,0.6559972739194698,78.68792321381056,28 days 21:28:25.263157893,false
Most Best Trade [%],VET-USD,true,22,32,43,41.86046511627907,1.5489368183426924,0.017731958762886597,38.86300277927925,16.55701893555092,0.5319587628865979,1.0639175257731959,20.673514880523808,1.9043767561868592,0,0,2425,2426 days 00:00:00,1000.0,55309.401083599674,5430.940108359968,73.96174902952588,100.0,3173.7315443966486,61.9487464066129,1324 days 00:00:00,43,0,0.0,1213.5568896986751,-33.06524254075897,107.01562908504938,-10.206888160875247,46 days 02:40:00,11 days 04:48:00,1263.009327525575,1.1373162307356086,1.3381782821376778,1.28211880054058,1.3404719074781763,11.30064513936091,1.2710469628847862,0.3134813210611803,-0.0594894900592714,None,None,0.002536260894473119,0.639137745407226,54.30940108359965,0.5171646069317875,0.676331151247536,72.42903838296078,25 days 19:32:05.581395348,false
Most Avg Winning Trade [%],VET-USD,true,22,32,43,41.86046511627907,1.5489368183426924,0.017731958762886597,38.86300277927925,16.55701893555092,0.5319587628865979,1.0639175257731959,20.673514880523808,1.9043767561868592,0,0,2425,2426 days 00:00:00,1000.0,55309.401083599674,5430.940108359968,73.96174902952588,100.0,3173.7315443966486,61.9487464066129,1324 days 00:00:00,43,0,0.0,1213.5568896986751,-33.06524254075897,107.01562908504938,-10.206888160875247,46 days 02:40:00,11 days 04:48:00,1263.009327525575,1.1373162307356086,1.3381782821376778,1.28211880054058,1.3404719074781763,11.30064513936091,1.2710469628847862,0.3134813210611803,-0.0594894900592714,None,None,0.002536260894473119,0.639137745407226,54.30940108359965,0.5171646069317875,0.676331151247536,72.42903838296078,25 days 19:32:05.581395348,false
Mean Win Rate [%],VET-USD,true,26,33,46,43.47826086956522,1.581143915156156,0.018969072164948454,31.28247963239425,14.808274382198462,0.5690721649484537,1.1381443298969074,17.801988409362504,1.812979686913696,0,0,2425,2426 days 00:00:00,1000.0,44827.790828528436,4382.779082852843,73.96174902952588,100.0,2630.531264896488,64.7529842983245,1090 days 00:00:00,46,0,0.0,965.4938489068476,-36.60466894133198,84.40306457658203,-9.579508786211727,38 days 14:24:00,13 days 14:46:09.230769230,952.7780614897483,1.103044640535656,1.192331612025341,1.2706834077469333,1.178277519976012,11.272737139243436,1.2706834077469313,0.3184782608695652,-0.05836333888739201,None,None,0.00243903130117147,0.6146358878952105,43.82779082852846,0.48441033373785536,0.6706114860649962,58.25737479657515,24 days 11:28:41.739130433,false
Most Worst Trade [%],VET-USD,true,5,34,39,38.46153846153847,1.9003597272848716,0.016082474226804123,35.66890642721806,12.663517074751978,0.4824742268041237,0.9649484536082474,17.209328049420673,2.2621711744691058,0,0,2425,2426 days 00:00:00,1000.0,138812.51867775153,13781.251867775154,73.96174902952588,100.0,4918.380147897689,57.798302073652216,323 days 00:00:00,39,0,0.0,824.6670375798558,-14.742017245111983,106.59421789837012,-8.659413242251997,54 days 06:24:00,9 days 18:00:00,3533.6543250705527,1.3214586740953422,1.9041442251867158,1.3441090350476492,1.4902043568279806,11.740012115221564,1.331800344250507,0.29042553191489356,-0.05582021476495568,None,None,0.002864310472305399,0.7218062390209605,137.8125186777513,0.6693373561424476,0.6573750357539639,185.3294479728111,26 days 20:55:23.076923076,false
Most Win Rate [%],VET-USD,true,32,34,71,56.33802816901409,1.4426473592059095,0.029278350515463916,13.309314088412073,11.535700184972544,0.8783505154639176,1.7567010309278352,11.690242890027925,1.6173134601317911,0,0,2425,2426 days 00:00:00,1000.0,25027.039707120435,2402.7039707120434,73.96174902952588,100.0,1678.757011083569,84.61720010568354,1436 days 00:00:00,71,0,0.0,500.06867856485223,-35.49966855157192,32.216935357397055,-11.087616581245967,19 days 13:12:00,12 days 17:01:56.129032258,338.4090099594424,0.9885750185305714,0.736596901519051,1.232795943943501,1.21944409228095,10.641056578023466,1.3081900760524416,0.3322350356946732,-0.061585466817986115,None,None,0.002240864073003075,0.5646977463967748,24.027039707120345,0.39720249564433296,0.6874681539082561,31.485764631564795,16 days 13:31:16.056338027,false
Most Total Return [%],VET-USD,true,2,35,47,38.297872340425535,2.205243675880781,0.019381443298969073,24.64876798883646,10.501250267433287,0.5814432989690722,1.1628865979381444,14.331860974952335,2.411075984185689,0,0,2425,2426 days 00:00:00,1000.0,204257.18719228264,20325.71871922826,73.96174902952588,100.0,7869.52126087108,55.730540838226595,326 days 00:00:00,47,0,0.0,459.9512271699222,-21.237816897207644,76.22876285111778,-7.366401236027814,48 days 04:00:00,5 days 22:20:41.379310344,4324.621004091117,1.3957147785640287,2.2003209846480902,1.3682577799076803,1.5443862278614207,11.952956231346718,1.3733067016047549,0.28768577494692144,-0.05506973341810878,None,None,0.0030194169199768027,0.7608930638341542,203.25718719228297,0.7376766195627551,0.6561046412486393,273.81392727900663,22 days 02:33:11.489361701,false
Most Profit Factor,VET-USD,true,2,35,47,38.297872340425535,2.205243675880781,0.019381443298969073,24.64876798883646,10.501250267433287,0.5814432989690722,1.1628865979381444,14.331860974952335,2.411075984185689,0,0,2425,2426 days 00:00:00,1000.0,204257.18719228264,20325.71871922826,73.96174902952588,100.0,7869.52126087108,55.730540838226595,326 days 00:00:00,47,0,0.0,459.9512271699222,-21.237816897207644,76.22876285111778,-7.366401236027814,48 days 04:00:00,5 days 22:20:41.379310344,4324.621004091117,1.3957147785640287,2.2003209846480902,1.3682577799076803,1.5443862278614207,11.952956231346718,1.3733067016047549,0.28768577494692144,-0.05506973341810878,None,None,0.0030194169199768027,0.7608930638341542,203.25718719228297,0.7376766195627551,0.6561046412486393,273.81392727900663,22 days 02:33:11.489361701,false
Most Expectancy,VET-USD,true,2,35,47,38.297872340425535,2.205243675880781,0.019381443298969073,24.64876798883646,10.501250267433287,0.5814432989690722,1.1628865979381444,14.331860974952335,2.411075984185689,0,0,2425,2426 days 00:00:00,1000.0,204257.18719228264,20325.71871922826,73.96174902952588,100.0,7869.52126087108,55.730540838226595,326 days 00:00:00,47,0,0.0,459.9512271699222,-21.237816897207644,76.22876285111778,-7.366401236027814,48 days 04:00:00,5 days 22:20:41.379310344,4324.621004091117,1.3957147785640287,2.2003209846480902,1.3682577799076803,1.5443862278614207,11.952956231346718,1.3733067016047549,0.28768577494692144,-0.05506973341810878,None,None,0.0030194169199768027,0.7608930638341542,203.25718719228297,0.7376766195627551,0.6561046412486393,273.81392727900663,22 days 02:33:11.489361701,false
Most Sharpe Ratio,VET-USD,true,2,35,47,38.297872340425535,2.205243675880781,0.019381443298969073,24.64876798883646,10.501250267433287,0.5814432989690722,1.1628865979381444,14.331860974952335,2.411075984185689,0,0,2425,2426 days 00:00:00,1000.0,204257.18719228264,20325.71871922826,73.96174902952588,100.0,7869.52126087108,55.730540838226595,326 days 00:00:00,47,0,0.0,459.9512271699222,-21.237816897207644,76.22876285111778,-7.366401236027814,48 days 04:00:00,5 days 22:20:41.379310344,4324.621004091117,1.3957147785640287,2.2003209846480902,1.3682577799076803,1.5443862278614207,11.952956231346718,1.3733067016047549,0.28768577494692144,-0.05506973341810878,None,None,0.0030194169199768027,0.7608930638341542,203.25718719228297,0.7376766195627551,0.6561046412486393,273.81392727900663,22 days 02:33:11.489361701,false
