Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Total Return [%],VLO,false,23,113,false,62,40.32258064516129,2.0605599498530736,0.005688073394495413,11.257248568304743,5.183849957775254,0.0016141829903297794,0.23889908256880735,0.018171259156871778,0.7018446270999392,0,0,10900,10901 days 00:00:00,1000.0,23133.28732172934,2213.328732172934,2323.7141156447124,100.0,986.8674690630822,60.95930907743451,1838 days 00:00:00,62,0,0.0,463.32184359915203,-22.751412193843475,38.98547256469708,-7.478037915744136,199 days 10:33:36,33 days 09:04:51.891891892,356.9885051891828,0.4817607482897146,0.18194150219826813,1.096327941544882,-0.24958594688177047,17.61068577820106,1.0797280904784277,0.37482658595030904,-0.02816904388772776,None,None,0.00044455557526024885,0.11202800496558271,22.133287321729576,0.07531888480894766,0.27986033591365,-0.04750385717786632,15787.698412698412,0.9589921749849957,1.0917591125929662,100 days 08:07:44.516129032
Mean Win Rate [%],VLO,false,23,113,false,62,40.32258064516129,2.0605599498530736,0.005688073394495413,11.257248568304743,5.183849957775254,0.0016141829903297794,0.23889908256880735,0.018171259156871778,0.7018446270999392,0,0,10900,10901 days 00:00:00,1000.0,23133.28732172934,2213.328732172934,2323.7141156447124,100.0,986.8674690630822,60.95930907743451,1838 days 00:00:00,62,0,0.0,463.32184359915203,-22.751412193843475,38.98547256469708,-7.478037915744136,199 days 10:33:36,33 days 09:04:51.891891892,356.9885051891828,0.4817607482897146,0.18194150219826813,1.096327941544882,-0.24958594688177047,17.61068577820106,1.0797280904784277,0.37482658595030904,-0.02816904388772776,None,None,0.00044455557526024885,0.11202800496558271,22.133287321729576,0.07531888480894766,0.27986033591365,-0.04750385717786632,15787.698412698412,0.9589921749849957,1.0917591125929662,100 days 08:07:44.516129032
Most Expectancy,VLO,false,23,113,false,62,40.32258064516129,2.0605599498530736,0.005688073394495413,11.257248568304743,5.183849957775254,0.0016141829903297794,0.23889908256880735,0.018171259156871778,0.7018446270999392,0,0,10900,10901 days 00:00:00,1000.0,23133.28732172934,2213.328732172934,2323.7141156447124,100.0,986.8674690630822,60.95930907743451,1838 days 00:00:00,62,0,0.0,463.32184359915203,-22.751412193843475,38.98547256469708,-7.478037915744136,199 days 10:33:36,33 days 09:04:51.891891892,356.9885051891828,0.4817607482897146,0.18194150219826813,1.096327941544882,-0.24958594688177047,17.61068577820106,1.0797280904784277,0.37482658595030904,-0.02816904388772776,None,None,0.00044455557526024885,0.11202800496558271,22.133287321729576,0.07531888480894766,0.27986033591365,-0.04750385717786632,15787.698412698412,0.9589921749849957,1.0917591125929662,100 days 08:07:44.516129032
Most Sharpe Ratio,VLO,false,23,113,false,62,40.32258064516129,2.0605599498530736,0.005688073394495413,11.257248568304743,5.183849957775254,0.0016141829903297794,0.23889908256880735,0.018171259156871778,0.7018446270999392,0,0,10900,10901 days 00:00:00,1000.0,23133.28732172934,2213.328732172934,2323.7141156447124,100.0,986.8674690630822,60.95930907743451,1838 days 00:00:00,62,0,0.0,463.32184359915203,-22.751412193843475,38.98547256469708,-7.478037915744136,199 days 10:33:36,33 days 09:04:51.891891892,356.9885051891828,0.4817607482897146,0.18194150219826813,1.096327941544882,-0.24958594688177047,17.61068577820106,1.0797280904784277,0.37482658595030904,-0.02816904388772776,None,None,0.00044455557526024885,0.11202800496558271,22.133287321729576,0.07531888480894766,0.27986033591365,-0.04750385717786632,15787.698412698412,0.9589921749849957,1.0917591125929662,100 days 08:07:44.516129032
Most Omega Ratio,VLO,false,23,113,false,62,40.32258064516129,2.0605599498530736,0.005688073394495413,11.257248568304743,5.183849957775254,0.0016141829903297794,0.23889908256880735,0.018171259156871778,0.7018446270999392,0,0,10900,10901 days 00:00:00,1000.0,23133.28732172934,2213.328732172934,2323.7141156447124,100.0,986.8674690630822,60.95930907743451,1838 days 00:00:00,62,0,0.0,463.32184359915203,-22.751412193843475,38.98547256469708,-7.478037915744136,199 days 10:33:36,33 days 09:04:51.891891892,356.9885051891828,0.4817607482897146,0.18194150219826813,1.096327941544882,-0.24958594688177047,17.61068577820106,1.0797280904784277,0.37482658595030904,-0.02816904388772776,None,None,0.00044455557526024885,0.11202800496558271,22.133287321729576,0.07531888480894766,0.27986033591365,-0.04750385717786632,15787.698412698412,0.9589921749849957,1.0917591125929662,100 days 08:07:44.516129032
Most Sortino Ratio,VLO,false,25,107,false,62,38.70967741935484,2.0384233531547937,0.005688073394495413,11.301533476826023,4.99607300504374,0.0016141829903297794,0.23889908256880735,0.01824274310293514,0.7021424659627596,0,0,10900,10901 days 00:00:00,1000.0,23071.344151348705,2207.1344151348703,2323.7141156447124,100.0,978.6674143261384,59.59349041420111,1838 days 00:00:00,62,0,0.0,463.32184359915203,-22.751412193843475,41.0910996773079,-7.5129293866362135,203 days 20:00:00,34 days 18:56:50.526315789,355.9894217959469,0.4813897652923947,0.18594405574953443,1.0963128379111937,-0.23927795864158574,17.584139159464314,1.083732805346576,0.37326782564877803,-0.02812748870990046,None,None,0.0004444752803436946,0.11200777064661104,22.07134415134874,0.07525223541731019,0.280025423386062,-0.0501695538728081,15787.698412698412,0.9589921749849957,1.0413496396163031,100 days 05:25:09.677419354
Median Total Trades,VLO,false,26,104,false,60,40.0,2.008702055612118,0.005504587155963303,11.543797137958892,5.103170589630014,0.0015621125712868833,0.23119266055045873,0.01803271062959113,0.6904350541133688,0,0,10900,10901 days 00:00:00,1000.0,21272.097225453304,2027.2097225453304,2323.7141156447124,100.0,889.4351749674871,58.963436309024395,1838 days 00:00:00,60,0,0.0,464.8936416084025,-21.26845436753111,40.80458819373102,-7.963396899222526,203 days 11:00:00,36 days 14:00:00,337.86828709088843,0.47339629779525655,0.18281622391398106,1.094782629304943,-0.2374524716573345,17.63288520308705,1.0840312929521418,0.3715400100654253,-0.028127488709900384,None,None,0.00043684233857177354,0.11008426932008693,20.27209722545344,0.07323588082640353,0.2798636982416921,-0.12759934240753928,15787.698412698412,0.9433977670047086,1.0139263095965758,103 days 08:00:00
Median Win Rate [%],VLO,false,26,104,false,60,40.0,2.008702055612118,0.005504587155963303,11.543797137958892,5.103170589630014,0.0015621125712868833,0.23119266055045873,0.01803271062959113,0.6904350541133688,0,0,10900,10901 days 00:00:00,1000.0,21272.097225453304,2027.2097225453304,2323.7141156447124,100.0,889.4351749674871,58.963436309024395,1838 days 00:00:00,60,0,0.0,464.8936416084025,-21.26845436753111,40.80458819373102,-7.963396899222526,203 days 11:00:00,36 days 14:00:00,337.86828709088843,0.47339629779525655,0.18281622391398106,1.094782629304943,-0.2374524716573345,17.63288520308705,1.0840312929521418,0.3715400100654253,-0.028127488709900384,None,None,0.00043684233857177354,0.11008426932008693,20.27209722545344,0.07323588082640353,0.2798636982416921,-0.12759934240753928,15787.698412698412,0.9433977670047086,1.0139263095965758,103 days 08:00:00
Least Total Trades,VLO,false,30,117,false,54,44.44444444444444,2.0427333558309098,0.004954128440366972,12.100956123832297,5.349474064689172,0.0014059013141581949,0.20807339449541284,0.01701275011706648,0.6722498639574941,0,0,10900,10901 days 00:00:00,1000.0,19049.701884990292,1804.970188499029,2323.7141156447124,100.0,702.652989579488,57.78528565010037,1748 days 00:00:00,54,0,0.0,439.96296280341875,-21.1093081504538,38.705469182437916,-9.182654323052196,206 days 02:00:00,42 days 01:36:00,334.2537386109312,0.46245767116213016,0.179473576423494,1.092482122313708,-0.2706895034896468,17.65753654416583,1.0773548791475998,0.3729219143576826,-0.02808973168910512,None,None,0.000426869107012292,0.10757101496709759,18.049701884990597,0.07050169924445893,0.2799428891027788,-0.22323913413150578,15787.698412698412,0.8949857049755171,0.9983956816039453,114 days 23:06:40
Mean Total Trades,VLO,false,21,112,false,66,39.39393939393939,1.8526259135939676,0.006055045871559633,10.694795538763417,5.121839823316428,0.0017183238284155715,0.2543119266055046,0.01837712201428973,0.6907868337799599,0,0,10900,10901 days 00:00:00,1000.0,21736.99980183683,2073.6999801836832,2323.7141156447124,100.0,999.7316023037754,57.13868369027261,1805 days 00:00:00,66,0,0.0,463.321843599152,-23.771912480870512,39.61661799366652,-8.1043890569236,194 days 13:50:46.153846152,29 days 09:36:00,314.1969666944974,0.47508951126769555,0.1900585333425686,1.0949876469260842,-0.27343903064620606,17.552087529856664,1.0791874896046745,0.37621512435298576,-0.028245408250360458,None,None,0.00044012416147706123,0.11091128869221943,20.736999801836888,0.07377240149335651,0.2809612787433678,-0.1075924674975187,15787.698412698412,0.9894439253785013,0.9848771697541924,94 days 11:16:21.818181817
Most Calmar Ratio,VLO,false,21,112,false,66,39.39393939393939,1.8526259135939676,0.006055045871559633,10.694795538763417,5.121839823316428,0.0017183238284155715,0.2543119266055046,0.01837712201428973,0.6907868337799599,0,0,10900,10901 days 00:00:00,1000.0,21736.99980183683,2073.6999801836832,2323.7141156447124,100.0,999.7316023037754,57.13868369027261,1805 days 00:00:00,66,0,0.0,463.321843599152,-23.771912480870512,39.61661799366652,-8.1043890569236,194 days 13:50:46.153846152,29 days 09:36:00,314.1969666944974,0.47508951126769555,0.1900585333425686,1.0949876469260842,-0.27343903064620606,17.552087529856664,1.0791874896046745,0.37621512435298576,-0.028245408250360458,None,None,0.00044012416147706123,0.11091128869221943,20.736999801836888,0.07377240149335651,0.2809612787433678,-0.1075924674975187,15787.698412698412,0.9894439253785013,0.9848771697541924,94 days 11:16:21.818181817
Median Worst Trade [%],VLO,false,42,79,false,56,44.642857142857146,1.9254751115447057,0.005137614678899082,11.466933663100106,5.28040783896671,0.0014579717332010912,0.21577981651376146,0.016718465147291996,0.6497105253199319,0,0,10900,10901 days 00:00:00,1000.0,16481.012168391513,1548.1012168391517,2323.7141156447124,100.0,625.2295949129123,58.303440466985904,1999 days 00:00:00,56,0,0.0,432.2314540017654,-21.76755819277296,37.61457991654245,-9.619877831611467,199 days 16:19:12,37 days 19:21:17.419354838,276.44664586413427,0.4479515102065903,0.16871992964573954,1.0899580058426415,-0.3283404552637731,18.332094277692903,1.07659339814158,0.3686126804770873,-0.02786651917948399,None,None,0.0004144294154371378,0.10443621269015872,15.481012168391565,0.06692328405539616,0.2805861763265611,-0.3337815497972166,15787.698412698412,0.911408830878605,0.9142639938947763,110 days 01:42:51.428571429
Most Profit Factor,VLO,false,35,110,false,54,38.88888888888889,2.1578590160341693,0.004954128440366972,12.1032248302849,4.681667368502172,0.0014059013141581949,0.20807339449541284,0.017015939694449634,0.6601796162669354,0,0,10900,10901 days 00:00:00,1000.0,17480.768729897973,1648.0768729897975,2323.7141156447124,100.0,617.5580120437396,56.35626248919223,2005 days 00:00:00,54,0,0.0,439.96296280341875,-22.255849843262933,44.723613776717194,-8.655204499262933,225 days 12:34:17.142857144,44 days 13:05:27.272727273,305.1994209240366,0.45408215555667364,0.17839639411046052,1.090590712058171,-0.2671224357951288,17.699908566789098,1.0776864947079279,0.37240337404003526,-0.028035028167147015,None,None,0.0004185004745153298,0.10546211957786311,16.480768729897935,0.0683768085585239,0.27951699710254424,-0.29075747231817284,15787.698412698412,0.8949857049755171,0.906431386971395,114 days 22:13:20.000000002
Most Avg Winning Trade Duration,VLO,false,31,118,false,54,38.88888888888889,2.091551999510437,0.004954128440366972,12.278661180953502,4.749528178302148,0.0014059013141581949,0.20807339449541284,0.017262585890405743,0.6681901736858258,0,0,10900,10901 days 00:00:00,1000.0,18567.65532869368,1756.765532869368,2323.7141156447124,100.0,658.8082199854877,57.66580470489906,1403 days 00:00:00,54,0,0.0,439.96296280341863,-21.109308150453806,45.086385875397994,-8.598981806420273,231 days 16:00:00,41 days 05:05:27.272727272,325.3269505313643,0.4596588099763683,0.17820359689927143,1.0916919642122664,-0.26756064136994423,17.509089437935295,1.0777147759912258,0.3741333669481911,-0.028127488709900512,None,None,0.00042514628664819015,0.10713686423534392,17.567655328693846,0.06986761438778255,0.2805107468144619,-0.2439837925665159,15787.698412698412,0.8949857049755171,0.9021285423552162,115 days 06:40:00
Least Max Drawdown Duration,VLO,false,26,106,false,59,40.67796610169492,1.8565892747739634,0.005412844036697248,11.438965478415916,5.056827619855996,0.0015360773617654352,0.2273394495412844,0.017571135913411008,0.6646039070114215,0,0,10900,10901 days 00:00:00,1000.0,17920.675886352285,1692.0675886352285,2323.7141156447124,100.0,799.5398306589829,57.79429804390082,1398 days 00:00:00,59,0,0.0,464.89364160840256,-21.268454367531117,40.39077307024461,-8.413702584552336,203 days 17:00:00,37 days 13:01:42.857142857,286.79111671783545,0.45631432107740943,0.1755428710955415,1.0912091600199887,-0.24416325094732708,17.621448156467963,1.0827043105857486,0.37119496855345907,-0.02812748870990058,None,None,0.00042126035794095456,0.10615761020112055,16.92067588635216,0.06899081908130933,0.279983988563087,-0.2718262641504995,15787.698412698412,0.9355030862284629,0.8864111424158835,105 days 03:15:15.254237288
