Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Total Trades,VLO,true,11,17,false,363,46.13259668508287,1.3554058174548131,0.03321710405579005,1.4628750446402399,1.1063315481157507,0.6994861442466508,1.3970453294182419,1.0232608244900485,0.7361870091859505,0,0,10898,10899 days 00:00:00,1000.0,28134.569505236464,2713.4569505236464,2295.59910718658,100.0,5754.313309198606,71.41405843765722,2005 days 00:00:00,362,1,-616.6777983483771,64.82730174105136,-20.87417337010063,9.380472534546389,-5.3178366518434865,24 days 04:01:26.227544910,9 days 11:56:18.461538461,76.66090415354932,0.4936835570312711,0.16556616161823498,1.1046981881073243,0.06316626839101887,18.84767991143255,1.2332434480911811,0.344559585492228,-0.027685730139929837,None,None,0.0004772738271964815,0.12027300445351334,27.134569505236403,0.08021062734304674,0.29320114313006956,1.3554058174548131,0.1820256167677207,15784.801587301587,2.784286554343152,2.101113390938358,16 days 06:21:52.707182319
Most Avg Losing Trade [%],VLO,true,77,78,false,311,47.266881028938904,1.4785267368605852,0.028537346302073774,1.6692795667558635,1.293469486653903,0.5992842723435493,1.1985685446870986,1.0003729905012428,0.6366755365237531,0,0,10898,10899 days 00:00:00,1000.0,15392.955892200853,1439.2955892200853,2295.59910718658,100.0,2403.8410533854644,80.81722222107129,4461 days 00:00:00,311,0,0.0,108.52208250800447,-33.82020595287614,9.132714792854044,-5.02050688590531,27 days 08:48:58.775510204,13 days 08:55:36.585365853,46.279600939552594,0.4381502180440996,0.11863681588471414,1.0870844825642103,-0.2801670901414609,15.684393322262375,1.165805655939531,0.37440100882723837,-0.028723669298953397,None,None,0.0004182574679431878,0.10540088192168331,14.392955892200934,0.06525242706639611,0.28951253657861786,1.4785267368605852,-0.3730196249361482,15784.801587301587,2.577156617978055,1.8798156818697962,19 days 23:41:28.745980706
Most Win Rate [%],VLO,true,75,81,false,133,59.3984962406015,1.6877112156060479,0.012204074142044411,4.1001283824518415,3.99248295591884,0.25628555698293265,0.5125711139658653,1.0508036861982009,0.6730556939039745,0,0,10898,10899 days 00:00:00,1000.0,20400.086570546784,1940.0086570546782,2295.59910718658,100.0,1259.3001846421632,86.74364607171276,5533 days 00:00:00,133,0,0.0,112.50702225212817,-36.08642647274994,14.187572042048757,-10.657428082514016,56 days 12:09:06.835443038,32 days 21:46:40,145.86531256050213,0.46498694053692635,0.1225031852801697,1.0926106250570242,-0.32672719718430615,15.42121401200444,1.0911523526178475,0.3792710706150342,-0.028960246382463327,None,None,0.0004451671595815991,0.11218212421456297,19.400086570546684,0.07221161843966772,0.29035483713869453,1.6877112156060479,-0.154900935890197,15784.801587301587,1.6853357686079193,1.8641514479761667,46 days 22:11:43.759398496
Least Max Drawdown Duration,VLO,true,9,19,false,304,41.914191419141915,1.381336842874043,0.027803266654432005,1.7816903998257136,1.2242313519334829,0.5857955588181317,1.1696641585612038,1.0437063234068045,0.7590889104301174,0,0,10898,10899 days 00:00:00,1000.0,32315.37673245482,3131.537673245482,2295.59910718658,100.0,5889.148111758896,64.17582240581511,1625 days 00:00:00,303,1,-708.3163427277432,57.32944536713853,-24.88054575571848,11.28529809658978,-5.076026517725631,30 days 21:43:56.220472441,11 days 01:05:27.272727272,105.68875602370514,0.5076687614031768,0.19234332367976215,1.10750140790783,0.10798955685197185,18.54511239034477,1.2087609486093416,0.3438964241676942,-0.02759861946086092,None,None,0.00048779276697090976,0.12292377727666925,31.31537673245454,0.08367644913908956,0.2914080993356411,1.381336842874043,0.3641483233905784,15784.801587301587,2.5479881825019723,1.8357811625505829,19 days 08:52:16.633663365
Most Total Return [%],VLO,true,8,23,false,260,40.54054054054054,1.4060795738234346,0.023765828592402276,2.3339776614988264,1.5511592787985111,0.5010093595155074,1.0000917599559551,1.1693446533110288,0.8162705262435481,0,0,10898,10899 days 00:00:00,1000.0,47363.309084781766,4636.330908478177,2295.59910718658,100.0,7326.436640356445,61.02272178307289,3380 days 00:00:00,259,1,153.67086028664926,108.92157655089198,-23.830515916898015,13.536144868669044,-5.303863616117233,37 days 17:36:00,12 days 13:14:48.311688311,178.41559160036752,0.5445780637978204,0.22600416322146047,1.1156492131854838,0.10278682885446744,18.99856447540649,1.1957368888463065,0.3457216940363008,-0.027411629774781593,None,None,0.0005222510432680812,0.13160726290355648,46.36330908478185,0.09329797627049152,0.2908478617696165,1.4060795738234346,1.0196605295601155,15784.801587301587,2.356390654271884,1.7974259448664036,22 days 18:15:17.374517373
Most Total Fees Paid,VLO,true,8,23,false,260,40.54054054054054,1.4060795738234346,0.023765828592402276,2.3339776614988264,1.5511592787985111,0.5010093595155074,1.0000917599559551,1.1693446533110288,0.8162705262435481,0,0,10898,10899 days 00:00:00,1000.0,47363.309084781766,4636.330908478177,2295.59910718658,100.0,7326.436640356445,61.02272178307289,3380 days 00:00:00,259,1,153.67086028664926,108.92157655089198,-23.830515916898015,13.536144868669044,-5.303863616117233,37 days 17:36:00,12 days 13:14:48.311688311,178.41559160036752,0.5445780637978204,0.22600416322146047,1.1156492131854838,0.10278682885446744,18.99856447540649,1.1957368888463065,0.3457216940363008,-0.027411629774781593,None,None,0.0005222510432680812,0.13160726290355648,46.36330908478185,0.09329797627049152,0.2908478617696165,1.4060795738234346,1.0196605295601155,15784.801587301587,2.356390654271884,1.7974259448664036,22 days 18:15:17.374517373
Most Sharpe Ratio,VLO,true,8,23,false,260,40.54054054054054,1.4060795738234346,0.023765828592402276,2.3339776614988264,1.5511592787985111,0.5010093595155074,1.0000917599559551,1.1693446533110288,0.8162705262435481,0,0,10898,10899 days 00:00:00,1000.0,47363.309084781766,4636.330908478177,2295.59910718658,100.0,7326.436640356445,61.02272178307289,3380 days 00:00:00,259,1,153.67086028664926,108.92157655089198,-23.830515916898015,13.536144868669044,-5.303863616117233,37 days 17:36:00,12 days 13:14:48.311688311,178.41559160036752,0.5445780637978204,0.22600416322146047,1.1156492131854838,0.10278682885446744,18.99856447540649,1.1957368888463065,0.3457216940363008,-0.027411629774781593,None,None,0.0005222510432680812,0.13160726290355648,46.36330908478185,0.09329797627049152,0.2908478617696165,1.4060795738234346,1.0196605295601155,15784.801587301587,2.356390654271884,1.7974259448664036,22 days 18:15:17.374517373
Most Omega Ratio,VLO,true,8,23,false,260,40.54054054054054,1.4060795738234346,0.023765828592402276,2.3339776614988264,1.5511592787985111,0.5010093595155074,1.0000917599559551,1.1693446533110288,0.8162705262435481,0,0,10898,10899 days 00:00:00,1000.0,47363.309084781766,4636.330908478177,2295.59910718658,100.0,7326.436640356445,61.02272178307289,3380 days 00:00:00,259,1,153.67086028664926,108.92157655089198,-23.830515916898015,13.536144868669044,-5.303863616117233,37 days 17:36:00,12 days 13:14:48.311688311,178.41559160036752,0.5445780637978204,0.22600416322146047,1.1156492131854838,0.10278682885446744,18.99856447540649,1.1957368888463065,0.3457216940363008,-0.027411629774781593,None,None,0.0005222510432680812,0.13160726290355648,46.36330908478185,0.09329797627049152,0.2908478617696165,1.4060795738234346,1.0196605295601155,15784.801587301587,2.356390654271884,1.7974259448664036,22 days 18:15:17.374517373
Most Sortino Ratio,VLO,true,8,23,false,260,40.54054054054054,1.4060795738234346,0.023765828592402276,2.3339776614988264,1.5511592787985111,0.5010093595155074,1.0000917599559551,1.1693446533110288,0.8162705262435481,0,0,10898,10899 days 00:00:00,1000.0,47363.309084781766,4636.330908478177,2295.59910718658,100.0,7326.436640356445,61.02272178307289,3380 days 00:00:00,259,1,153.67086028664926,108.92157655089198,-23.830515916898015,13.536144868669044,-5.303863616117233,37 days 17:36:00,12 days 13:14:48.311688311,178.41559160036752,0.5445780637978204,0.22600416322146047,1.1156492131854838,0.10278682885446744,18.99856447540649,1.1957368888463065,0.3457216940363008,-0.027411629774781593,None,None,0.0005222510432680812,0.13160726290355648,46.36330908478185,0.09329797627049152,0.2908478617696165,1.4060795738234346,1.0196605295601155,15784.801587301587,2.356390654271884,1.7974259448664036,22 days 18:15:17.374517373
Most Calmar Ratio,VLO,true,8,25,false,246,38.36734693877551,1.5081699390801544,0.022481189209029178,2.4949063279882924,1.5692284699290702,0.4740319324646724,0.9461369058542851,1.1826652679746301,0.8084134638980546,0,0,10898,10899 days 00:00:00,1000.0,45570.58454336147,4457.058454336147,2295.59910718658,100.0,5621.148228337533,58.69748155151302,1799 days 00:00:00,245,1,-4.1197507134929765,112.18743241490574,-27.148076810452455,15.246897403292223,-5.443419242068459,40 days 19:54:53.617021277,13 days 13:30:35.761589404,181.93756854724455,0.5408912083274783,0.2324536354420553,1.1150162279707356,0.05722589282152777,19.26174929201919,1.1846301558675973,0.3462203557312253,-0.027397177262603312,None,None,0.0005189927893344377,0.13078618291227828,44.57058454336151,0.09232302698877426,0.291003427447955,1.5081699390801544,0.9415665568011957,15784.801587301587,2.2920715531377103,1.7576966439440098,24 days 00:35:15.918367347
