Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Most Total Return [%],XEL,true,63,84,false,98,56.12244897959183,1.4548148299115138,0.007459846235822486,1.9482297246045803,1.792449562617128,0.1566567709522722,0.3133135419045444,0.3052033777297881,0.43228952081767646,0,0,13137,13138 days 00:00:00,1000.0,3963.81496860503,296.38149686050303,861.655189251063,100.0,464.02127057296985,47.095788207353664,2330 days 00:00:00,98,0,0.0,44.94000000000001,-16.25887369496002,8.242081727471207,-6.102046093015522,99 days 15:42:32.727272727,51 days 01:06:58.604651162,30.243009883724795,0.3063661798015006,0.08281626201815968,1.0625720236537903,-0.19154270303222573,18.716655161183077,1.0016433785301562,0.37888329135180526,-0.013755498058099504,None,None,0.00014682572923178038,0.037000083766408655,2.9638149686050386,0.026768209283638766,0.14534766120289339,-0.6560323658955584,78 days 07:50:12.244897958
Median Avg Winning Trade [%],XEL,true,63,84,false,98,56.12244897959183,1.4548148299115138,0.007459846235822486,1.9482297246045803,1.792449562617128,0.1566567709522722,0.3133135419045444,0.3052033777297881,0.43228952081767646,0,0,13137,13138 days 00:00:00,1000.0,3963.81496860503,296.38149686050303,861.655189251063,100.0,464.02127057296985,47.095788207353664,2330 days 00:00:00,98,0,0.0,44.94000000000001,-16.25887369496002,8.242081727471207,-6.102046093015522,99 days 15:42:32.727272727,51 days 01:06:58.604651162,30.243009883724795,0.3063661798015006,0.08281626201815968,1.0625720236537903,-0.19154270303222573,18.716655161183077,1.0016433785301562,0.37888329135180526,-0.013755498058099504,None,None,0.00014682572923178038,0.037000083766408655,2.9638149686050386,0.026768209283638766,0.14534766120289339,-0.6560323658955584,78 days 07:50:12.244897958
Most Sharpe Ratio,XEL,true,63,84,false,98,56.12244897959183,1.4548148299115138,0.007459846235822486,1.9482297246045803,1.792449562617128,0.1566567709522722,0.3133135419045444,0.3052033777297881,0.43228952081767646,0,0,13137,13138 days 00:00:00,1000.0,3963.81496860503,296.38149686050303,861.655189251063,100.0,464.02127057296985,47.095788207353664,2330 days 00:00:00,98,0,0.0,44.94000000000001,-16.25887369496002,8.242081727471207,-6.102046093015522,99 days 15:42:32.727272727,51 days 01:06:58.604651162,30.243009883724795,0.3063661798015006,0.08281626201815968,1.0625720236537903,-0.19154270303222573,18.716655161183077,1.0016433785301562,0.37888329135180526,-0.013755498058099504,None,None,0.00014682572923178038,0.037000083766408655,2.9638149686050386,0.026768209283638766,0.14534766120289339,-0.6560323658955584,78 days 07:50:12.244897958
Most Omega Ratio,XEL,true,63,84,false,98,56.12244897959183,1.4548148299115138,0.007459846235822486,1.9482297246045803,1.792449562617128,0.1566567709522722,0.3133135419045444,0.3052033777297881,0.43228952081767646,0,0,13137,13138 days 00:00:00,1000.0,3963.81496860503,296.38149686050303,861.655189251063,100.0,464.02127057296985,47.095788207353664,2330 days 00:00:00,98,0,0.0,44.94000000000001,-16.25887369496002,8.242081727471207,-6.102046093015522,99 days 15:42:32.727272727,51 days 01:06:58.604651162,30.243009883724795,0.3063661798015006,0.08281626201815968,1.0625720236537903,-0.19154270303222573,18.716655161183077,1.0016433785301562,0.37888329135180526,-0.013755498058099504,None,None,0.00014682572923178038,0.037000083766408655,2.9638149686050386,0.026768209283638766,0.14534766120289339,-0.6560323658955584,78 days 07:50:12.244897958
Most Sortino Ratio,XEL,true,63,84,false,98,56.12244897959183,1.4548148299115138,0.007459846235822486,1.9482297246045803,1.792449562617128,0.1566567709522722,0.3133135419045444,0.3052033777297881,0.43228952081767646,0,0,13137,13138 days 00:00:00,1000.0,3963.81496860503,296.38149686050303,861.655189251063,100.0,464.02127057296985,47.095788207353664,2330 days 00:00:00,98,0,0.0,44.94000000000001,-16.25887369496002,8.242081727471207,-6.102046093015522,99 days 15:42:32.727272727,51 days 01:06:58.604651162,30.243009883724795,0.3063661798015006,0.08281626201815968,1.0625720236537903,-0.19154270303222573,18.716655161183077,1.0016433785301562,0.37888329135180526,-0.013755498058099504,None,None,0.00014682572923178038,0.037000083766408655,2.9638149686050386,0.026768209283638766,0.14534766120289339,-0.6560323658955584,78 days 07:50:12.244897958
Mean Total Fees Paid,XEL,true,48,89,false,83,52.4390243902439,1.537934621409325,0.0062419121565045295,2.1863088122398557,1.7316500078525292,0.13267869376569993,0.2637588490522951,0.290076597376423,0.4231204853325215,0,0,13137,13138 days 00:00:00,1000.0,3832.9890189442667,283.29890189442665,861.655189251063,100.0,378.45162235094637,48.41185560499402,2552 days 00:00:00,82,1,40.19267451633823,47.014411383196325,-19.432931581263368,9.070722703059369,-5.404198810971403,131 days 05:34:53.023255814,53 days 15:23:04.615384615,34.058492005218675,0.3007802091406835,0.0785647133486902,1.0613811478676691,-0.2992120616530091,20.81121523226369,0.9898665594328742,0.3848424159375989,-0.013802498730334994,None,None,0.0001445197081517734,0.0364189664542469,2.8329890189442613,0.026107436793067595,0.14572179811160613,-0.6712154636465829,94 days 07:54:08.780487805
Most Profit Factor,XEL,true,48,89,false,83,52.4390243902439,1.537934621409325,0.0062419121565045295,2.1863088122398557,1.7316500078525292,0.13267869376569993,0.2637588490522951,0.290076597376423,0.4231204853325215,0,0,13137,13138 days 00:00:00,1000.0,3832.9890189442667,283.29890189442665,861.655189251063,100.0,378.45162235094637,48.41185560499402,2552 days 00:00:00,82,1,40.19267451633823,47.014411383196325,-19.432931581263368,9.070722703059369,-5.404198810971403,131 days 05:34:53.023255814,53 days 15:23:04.615384615,34.058492005218675,0.3007802091406835,0.0785647133486902,1.0613811478676691,-0.2992120616530091,20.81121523226369,0.9898665594328742,0.3848424159375989,-0.013802498730334994,None,None,0.0001445197081517734,0.0364189664542469,2.8329890189442613,0.026107436793067595,0.14572179811160613,-0.6712154636465829,94 days 07:54:08.780487805
Most Expectancy,XEL,true,48,89,false,83,52.4390243902439,1.537934621409325,0.0062419121565045295,2.1863088122398557,1.7316500078525292,0.13267869376569993,0.2637588490522951,0.290076597376423,0.4231204853325215,0,0,13137,13138 days 00:00:00,1000.0,3832.9890189442667,283.29890189442665,861.655189251063,100.0,378.45162235094637,48.41185560499402,2552 days 00:00:00,82,1,40.19267451633823,47.014411383196325,-19.432931581263368,9.070722703059369,-5.404198810971403,131 days 05:34:53.023255814,53 days 15:23:04.615384615,34.058492005218675,0.3007802091406835,0.0785647133486902,1.0613811478676691,-0.2992120616530091,20.81121523226369,0.9898665594328742,0.3848424159375989,-0.013802498730334994,None,None,0.0001445197081517734,0.0364189664542469,2.8329890189442613,0.026107436793067595,0.14572179811160613,-0.6712154636465829,94 days 07:54:08.780487805
Mean Profit Factor,XEL,true,55,85,false,89,50.56179775280899,1.3500914392860832,0.006774758316206136,1.9882964573275697,1.6480630057052983,0.14226992464032884,0.2845398492806577,0.2828747871466261,0.3814908832999591,0,0,13137,13138 days 00:00:00,1000.0,3239.289828831004,223.92898288310036,861.655189251063,100.0,383.95570652260557,54.48806821399938,4098 days 00:00:00,89,0,0.0,53.22754105930285,-20.18519206737255,9.890507468292133,-6.093510258431644,120 days 04:48:00,52 days 04:54:32.727272727,25.160559874505665,0.27326663230590365,0.06091733327175416,1.0558868147386136,-0.42056742770441236,20.7857421238143,0.9874282190577613,0.38323857654242993,-0.013858405596363386,None,None,0.00013255434879077668,0.03340369589527572,2.2392898288310024,0.022800516365067747,0.147114025205653,-0.7401176413992981,86 days 14:01:20.898876404
Most Avg Losing Trade Duration,XEL,true,49,88,false,83,52.4390243902439,1.4868404961201487,0.0062419121565045295,2.0416980897965047,1.6171121359596556,0.13267869376569993,0.2637588490522951,0.27088983561812496,0.39600605354233537,0,0,13137,13138 days 00:00:00,1000.0,3397.654392830573,239.7654392830573,861.655189251063,100.0,349.7652900790446,48.67689266159718,2553 days 00:00:00,82,1,16.115053361955688,47.01441138319633,-19.432931581263365,8.909312637873697,-5.5302871811604,128 days 12:16:44.651162790,56 days 14:09:13.846153846,29.043162676446542,0.2816957833102654,0.07100632162113761,1.0573389687168617,-0.2938165370398794,20.896419443341664,0.9885901798044098,0.38396713367744656,-0.013850415512465335,None,None,0.0001353274685469159,0.034102522073822805,2.3976543928305882,0.02373735182750414,0.14569757199304254,-0.7217385303610164,94 days 07:19:01.463414634
