Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Calmar Ratio,XLI,true,64,80,57,64.91228070175438,3.2415803295714674,0.008636363636363636,3.173895335317866,2.7795059741245214,0.18136363636363637,0.36272727272727273,0.5756291994508311,0.8809899679594216,0,0,6600,6601 days 00:00:00,1000.0,4593.210667868929,359.32106678689286,471.10338454278383,100.0,240.72216769580515,27.505945101978952,1382 days 00:00:00,57,0,0.0,50.683166716792705,-11.679417627507982,7.209078831516061,-4.291194132648796,93 days 11:40:32.432432432,33 days 15:36:00,63.038783646823305,0.6193841061598138,0.3197723507243846,1.1166034399787603,-0.15370538911925152,4.6914625051683645,0.9771543225877448,0.5033022090639945,-0.013320808529749067,None,None,0.00026422103973604126,0.06658370201348239,3.593210667868923,0.059929493136176015,0.1293760963197456,-0.23727767921764809,72 days 11:47:22.105263157,false
Most Profit Factor,XLI,true,64,83,52,61.53846153846154,3.569461687314642,0.00787878787878788,3.5558807284788734,2.6932114393212774,0.16545454545454547,0.33090909090909093,0.58833662962105,0.8746967934821325,0,0,6600,6601 days 00:00:00,1000.0,4579.1412703382775,357.91412703382775,471.10338454278383,100.0,200.48425204118126,36.35048402725515,1756 days 00:00:00,52,0,0.0,54.9885654208833,-13.686631349813313,8.629021647224127,-4.561144741513533,109 days 08:15:00,34 days 01:12:00,68.82963981419765,0.6171194809362808,0.24145997727084662,1.1153525966427436,-0.20305982836988512,4.685108748591078,0.9722563985039534,0.512603116406966,-0.013347022587269063,None,None,0.0002639379340631565,0.06651235938391545,3.579141270338262,0.059805365787028775,0.12971173230187727,-0.2402641569192052,80 days 09:13:50.769230769,false
Most Expectancy,XLI,true,64,83,52,61.53846153846154,3.569461687314642,0.00787878787878788,3.5558807284788734,2.6932114393212774,0.16545454545454547,0.33090909090909093,0.58833662962105,0.8746967934821325,0,0,6600,6601 days 00:00:00,1000.0,4579.1412703382775,357.91412703382775,471.10338454278383,100.0,200.48425204118126,36.35048402725515,1756 days 00:00:00,52,0,0.0,54.9885654208833,-13.686631349813313,8.629021647224127,-4.561144741513533,109 days 08:15:00,34 days 01:12:00,68.82963981419765,0.6171194809362808,0.24145997727084662,1.1153525966427436,-0.20305982836988512,4.685108748591078,0.9722563985039534,0.512603116406966,-0.013347022587269063,None,None,0.0002639379340631565,0.06651235938391545,3.579141270338262,0.059805365787028775,0.12971173230187727,-0.2402641569192052,80 days 09:13:50.769230769,false
Most Win Rate [%],XLI,true,65,81,58,65.51724137931035,2.7866990403692156,0.008787878787878787,2.7112611590887528,2.419279188109964,0.18454545454545454,0.3690909090909091,0.5003509229954698,0.743306851997398,0,0,6600,6601 days 00:00:00,1000.0,3559.7974062459252,255.97974062459255,471.10338454278383,100.0,183.80265554422218,41.18282423611124,2058 days 00:00:00,58,0,0.0,54.404005208821616,-12.476298904917748,6.996039132915484,-5.429816991182038,93 days 16:25:15.789473685,29 days 00:00:00,44.13443803872286,0.528227786977941,0.17660540659611662,1.0987828278386351,-0.25903000585840524,5.019503610863085,0.9679042573125631,0.5026178010471205,-0.01334702258726909,None,None,0.00022574230310199315,0.05688706038170228,2.5597974062459086,0.049666242182707654,0.1296099702722168,-0.45663786543790913,71 days 09:06:12.413793104,false
Most Max Drawdown Duration,XLI,true,72,86,59,57.6271186440678,2.1692277277596554,0.00893939393939394,2.826153508385341,2.274301048168085,0.18772727272727274,0.3754545454545455,0.5305460904377937,0.7662139492358151,0,0,6600,6601 days 00:00:00,1000.0,3779.2067949722814,277.9206794972281,471.10338454278383,100.0,246.31560420620414,34.93620009374445,953 days 00:00:00,59,0,0.0,50.80720772026559,-19.97289433363006,8.378463569740678,-4.724988175057916,94 days 01:24:42.352941177,38 days 15:21:36,47.10519991478444,0.5483263702142491,0.21835432799216245,1.1024553694761603,-0.4740582183390386,6.758382639222015,0.9649575710399196,0.5098353156450137,-0.013320808529749043,None,None,0.00023505176163054122,0.05923304393089639,2.779206794972274,0.052065712918422324,0.13000830030810467,-0.4100643539910964,70 days 13:49:49.830508475,false
Mean Avg Losing Trade [%],XLI,true,69,78,66,60.60606060606061,2.523791684836345,0.01,2.4050965432742886,2.242514259463206,0.21,0.42,0.5050702740876006,0.7573420419021011,0,0,6600,6601 days 00:00:00,1000.0,3643.206268901881,264.32062689018807,471.10338454278383,100.0,240.4864045817729,33.767519362713735,1661 days 00:00:00,66,0,0.0,54.39737670642465,-12.358791505463294,6.626856108491552,-4.089918172444578,83 days 00:36:00,29 days 17:32:18.461538461,40.048579831846666,0.5380141794135104,0.21945873066791755,1.1013038244288322,-0.26774412852290463,5.139521861347264,0.9732217862397623,0.4944532488114104,-0.013193362723851817,None,None,0.0002289790066664078,0.057702709679934766,2.6432062689019005,0.050594742422298555,0.12907693608604048,-0.438932863650052,62 days 00:43:38.181818181,false
Least Total Trades,XLI,true,59,78,50,60.0,2.2391729924980646,0.007575757575757576,3.1470184005350164,2.2345692784864024,0.1590909090909091,0.3181818181818182,0.5006620182669345,0.7178534884918888,0,0,6600,6601 days 00:00:00,1000.0,3454.7361040716387,245.4736104071639,471.10338454278383,100.0,184.91044313041635,37.20271439410606,1756 days 00:00:00,50,0,0.0,50.07070353710462,-15.113747461598532,8.989629990800534,-5.616898984863259,112 days 01:36:00,39 days 21:36:00,49.09472208143276,0.5117867890652994,0.19072692628391388,1.0962740969191525,-0.365113539464643,7.025474687988849,0.9498421467255553,0.5105263157894737,-0.013397707168850656,None,None,0.00022234314704090255,0.056030473054307445,2.4547361040716287,0.04846646616063266,0.13175933064279804,-0.47893897929559254,83 days 04:48:00,false
Median Total Fees Paid,XLI,true,68,78,66,59.09090909090909,2.4923934806679195,0.01,2.4023441225796622,2.1839492023451474,0.21,0.42,0.504492265741729,0.750893920911989,0,0,6600,6601 days 00:00:00,1000.0,3593.8867802834757,259.38867802834756,471.10338454278383,100.0,244.04231688641713,34.184652708952044,1939 days 00:00:00,66,0,0.0,57.821437659491835,-12.476298904917753,6.710597356047476,-3.820688325762737,88 days 16:36:55.384615385,23 days 08:00:00,39.30131485277993,0.5333745119083823,0.21441366294022723,1.100547477802633,-0.26651095153883986,5.186692546734635,0.9728819519502387,0.49343891402714934,-0.013193362723851857,None,None,0.00022687632300586122,0.05717283339747703,2.5938867802834666,0.050048224794857266,0.12900413144734604,-0.449401794724761,61 days 22:54:32.727272727,false
Median Avg Winning Trade [%],XLI,true,69,77,70,60.0,2.634160006408381,0.010606060606060607,2.35959477140357,2.178087481295603,0.22272727272727275,0.4454545454545455,0.5255461081762497,0.788315956593094,0,0,6600,6601 days 00:00:00,1000.0,3874.6771855181314,287.4677185518131,471.10338454278383,100.0,262.9445436904696,37.17669294381301,1755 days 00:00:00,70,0,0.0,54.39737670642468,-11.608074164169004,6.424161073581984,-3.7372546818640497,80 days 05:08:34.285714285,25 days 22:17:08.571428571,41.06681693597333,0.5591588348262149,0.20919146040884196,1.105486090741481,-0.2618287308685026,5.125025868729804,0.9765885355795767,0.49546896239238786,-0.013193362723851857,None,None,0.0002384397965121696,0.06008682872106674,2.8746771855181215,0.0530682024650877,0.12932731284156546,-0.3897990802362695,58 days 11:59:59.999999999,false
Median Total Trades,XLI,true,66,73,81,58.0246913580247,2.6060925269549973,0.012272727272727272,2.236364831330498,1.9963750631060475,0.25772727272727275,0.5154545454545455,0.5763722088019966,0.8744171470542885,0,0,6600,6601 days 00:00:00,1000.0,4544.38188868234,354.438188868234,471.10338454278383,100.0,334.2951078814598,36.971128081171194,2049 days 00:00:00,81,0,0.0,52.181472870908095,-12.808483551402345,6.371371035862854,-3.4796731572877597,66 days 20:25:31.914893617,27 days 12:00:00,43.7578010948437,0.61719466454594,0.23616713414168525,1.1173500208493716,-0.22228631242686578,5.143018185172025,0.9759004280460326,0.4985244040862656,-0.013140296766867749,None,None,0.0002623875680133275,0.06612166713935853,3.544381888682329,0.05949712130045737,0.12893410019821425,-0.24764244856312365,50 days 08:00:00,false
Median Avg Losing Trade [%],XLI,true,74,85,60,53.333333333333336,2.171203794928056,0.00909090909090909,2.6175043137405183,1.9824884743123452,0.19090909090909092,0.38181818181818183,0.4997053689868262,0.7443021874644166,0,0,6600,6601 days 00:00:00,1000.0,3539.6271614587536,253.9627161458754,471.10338454278383,100.0,232.4371027094112,33.40592520643359,1549 days 00:00:00,60,0,0.0,49.32881496979428,-14.504445955940534,8.534948591062788,-4.145289146056362,92 days 02:15:00,42 days 07:42:51.428571428,42.3271193576459,0.5289956962795732,0.2167103517618774,1.0983654928979352,-0.26629817117955723,4.548364436552872,0.9707297388435194,0.5009095043201455,-0.01333332061767586,None,None,0.00022438627363066565,0.05654534095492775,2.5396271614587693,0.04943856782586531,0.12864438945722045,-0.4609193555415617,68 days 20:47:59.999999999,false
Least Win Rate [%],XLI,true,59,73,58,50.0,2.029908344038743,0.008787878787878787,2.8361474916126204,1.9467047871423901,0.18454545454545454,0.3690909090909091,0.5233981279976018,0.7608402909442527,0,0,6600,6601 days 00:00:00,1000.0,3740.7760878731156,274.0776087873116,471.10338454278383,100.0,258.6562799912761,34.473485238977716,1722 days 00:00:00,58,0,0.0,45.872989025773926,-14.935712870774218,9.622171952327827,-3.949876969102586,104 days 13:14:28.965517242,37 days 05:47:35.172413793,47.25476013574335,0.5406789897642953,0.21952115774175457,1.1029142082494792,-0.34616952203810447,7.212579694194217,0.9621699337180942,0.5005683109797681,-0.013263662975778419,None,None,0.00023418330828723784,0.05901419368838393,2.7407760878731247,0.051655278051992104,0.13136000185432997,-0.4182219491942094,70 days 21:31:02.068965517,false
Most Best Trade [%],XLI,true,33,60,58,50.0,1.7501807559259732,0.008787878787878787,2.582008905265159,1.7722664675192807,0.18454545454545454,0.3690909090909091,0.47649800706257023,0.6433288875954959,0,0,6600,6601 days 00:00:00,1000.0,3023.1381638788566,202.31381638788565,471.10338454278383,100.0,198.41752913139695,40.563096581816104,1887 days 00:00:00,58,0,0.0,60.79783748373872,-17.210216970084883,10.511775994601546,-5.347758184071228,105 days 06:37:14.482758622,36 days 20:41:22.758620689,34.88169248066995,0.45708389586926246,0.15551569854051556,1.0862574895073354,-0.24434393098621998,5.916165302179328,0.9652315409046872,0.49648605758331443,-0.013892963611413412,None,None,0.0002040157936889256,0.051411980009609254,2.0231381638788486,0.043138514838342745,0.13536755085563534,-0.5705532521609123,71 days 01:39:18.620689655,false
Most Avg Winning Trade Duration,XLI,true,55,71,59,54.23728813559322,1.7052469982790508,0.00893939393939394,2.3391110175351915,1.771634380144997,0.18772727272727274,0.3754545454545455,0.43911493192819734,0.5955188387758098,0,0,6600,6601 days 00:00:00,1000.0,2741.3024208863935,174.1302420886393,471.10338454278383,100.0,191.50745737049297,40.81092287611748,2732 days 00:00:00,59,0,0.0,53.782394576541506,-13.293427342688984,9.17682973050998,-5.764851901546039,99 days 22:30:00,35 days 07:06:40,29.513600354006655,0.42644451225709373,0.1405136219133966,1.080042394688195,-0.4014047550005596,7.177699512440309,0.9530934694535942,0.5039872408293461,-0.013520553045816747,None,None,0.00018853330652374785,0.047510393243984456,1.7413024208863863,0.039248626900276085,0.1340825487880229,-0.6303778580201954,70 days 08:32:32.542372881,false
Least Avg Winning Trade Duration,XLI,true,54,69,62,50.0,1.7991585133641899,0.009393939393939394,2.363935054678196,1.7344848921899187,0.19727272727272727,0.39454545454545453,0.46633991533197133,0.6460696032424253,0,0,6600,6601 days 00:00:00,1000.0,3091.528058046377,209.1528058046377,471.10338454278383,100.0,241.43979265077863,34.3702934261102,1927 days 00:00:00,62,0,0.0,37.91337046223225,-17.835355036008067,9.252025628025237,-4.524155518668845,100 days 01:32:54.193548387,33 days 10:03:52.258064516,33.73432351687705,0.46478111177035814,0.18736462278281776,1.0880560961562145,-0.519836688594384,7.894666909590759,0.9571547295449241,0.5036446469248291,-0.013442286539967077,None,None,0.00020747222167144796,0.05228299986120488,2.091528058046352,0.04402973607781879,0.13538114712398802,-0.556036291253511,66 days 17:48:23.225806451,false
Most Total Return [%],XLI,true,70,75,94,58.51063829787234,2.8673174140691993,0.014242424242424242,1.9127760637503375,1.7218115140142154,0.2990909090909091,0.5981818181818181,0.5720939317944191,0.8903063809965932,0,0,6600,6601 days 00:00:00,1000.0,4701.689475233943,370.1689475233943,471.10338454278383,100.0,386.1552380537149,35.905514637748915,1755 days 00:00:00,94,0,0.0,37.12917813413798,-11.944301753772761,5.2821927737881555,-2.838965450405561,61 days 10:54:32.727272727,18 days 17:50:46.153846154,39.37967526844622,0.6250772795421466,0.2488797752825798,1.1184527580050627,-0.11438287324420715,5.7800997402226955,0.9945188465821531,0.5005683109797681,-0.013254034684543028,None,None,0.0002681195747904792,0.06756613284720075,3.701689475233951,0.06087444828067201,0.13008928036612552,-0.2142511396247951,43 days 17:37:01.276595744,false
Most Sharpe Ratio,XLI,true,70,75,94,58.51063829787234,2.8673174140691993,0.014242424242424242,1.9127760637503375,1.7218115140142154,0.2990909090909091,0.5981818181818181,0.5720939317944191,0.8903063809965932,0,0,6600,6601 days 00:00:00,1000.0,4701.689475233943,370.1689475233943,471.10338454278383,100.0,386.1552380537149,35.905514637748915,1755 days 00:00:00,94,0,0.0,37.12917813413798,-11.944301753772761,5.2821927737881555,-2.838965450405561,61 days 10:54:32.727272727,18 days 17:50:46.153846154,39.37967526844622,0.6250772795421466,0.2488797752825798,1.1184527580050627,-0.11438287324420715,5.7800997402226955,0.9945188465821531,0.5005683109797681,-0.013254034684543028,None,None,0.0002681195747904792,0.06756613284720075,3.701689475233951,0.06087444828067201,0.13008928036612552,-0.2142511396247951,43 days 17:37:01.276595744,false
Most Omega Ratio,XLI,true,70,75,94,58.51063829787234,2.8673174140691993,0.014242424242424242,1.9127760637503375,1.7218115140142154,0.2990909090909091,0.5981818181818181,0.5720939317944191,0.8903063809965932,0,0,6600,6601 days 00:00:00,1000.0,4701.689475233943,370.1689475233943,471.10338454278383,100.0,386.1552380537149,35.905514637748915,1755 days 00:00:00,94,0,0.0,37.12917813413798,-11.944301753772761,5.2821927737881555,-2.838965450405561,61 days 10:54:32.727272727,18 days 17:50:46.153846154,39.37967526844622,0.6250772795421466,0.2488797752825798,1.1184527580050627,-0.11438287324420715,5.7800997402226955,0.9945188465821531,0.5005683109797681,-0.013254034684543028,None,None,0.0002681195747904792,0.06756613284720075,3.701689475233951,0.06087444828067201,0.13008928036612552,-0.2142511396247951,43 days 17:37:01.276595744,false
Most Sortino Ratio,XLI,true,70,75,94,58.51063829787234,2.8673174140691993,0.014242424242424242,1.9127760637503375,1.7218115140142154,0.2990909090909091,0.5981818181818181,0.5720939317944191,0.8903063809965932,0,0,6600,6601 days 00:00:00,1000.0,4701.689475233943,370.1689475233943,471.10338454278383,100.0,386.1552380537149,35.905514637748915,1755 days 00:00:00,94,0,0.0,37.12917813413798,-11.944301753772761,5.2821927737881555,-2.838965450405561,61 days 10:54:32.727272727,18 days 17:50:46.153846154,39.37967526844622,0.6250772795421466,0.2488797752825798,1.1184527580050627,-0.11438287324420715,5.7800997402226955,0.9945188465821531,0.5005683109797681,-0.013254034684543028,None,None,0.0002681195747904792,0.06756613284720075,3.701689475233951,0.06087444828067201,0.13008928036612552,-0.2142511396247951,43 days 17:37:01.276595744,false
Median Omega Ratio,XLI,true,55,70,63,52.38095238095239,1.6337491568508238,0.009545454545454546,2.1988501188458227,1.7174450632405243,0.20045454545454547,0.40090909090909094,0.4407695010959127,0.5900163296761799,0,0,6600,6601 days 00:00:00,1000.0,2745.431343461709,174.5431343461709,471.10338454278383,100.0,222.2803779103134,37.623414535178014,2050 days 00:00:00,63,0,0.0,42.973966385692854,-18.125602011714435,9.044718055040052,-5.33160461096783,95 days 07:16:21.818181818,33 days 01:36:00,27.705259420027133,0.42489289607779307,0.15265202314972107,1.0802514067826623,-0.5143030357979328,7.932213868653211,0.9553243733452075,0.5015923566878981,-0.013516918778842315,None,None,0.00018936741527690262,0.04772058864977946,1.7454313434617053,0.03930834083289003,0.1351675630736241,-0.6295014214012307,65 days 15:59:59.999999999,false
Median Max Drawdown [%],XLI,true,62,72,68,52.94117647058824,1.9117637746067948,0.010303030303030303,2.1037972225381294,1.7135000002573,0.21636363636363637,0.43272727272727274,0.455185217240068,0.659237778768216,0,0,6600,6601 days 00:00:00,1000.0,3088.8637271741854,208.8863727174185,471.10338454278383,100.0,248.18862002031145,39.257101741046,2053 days 00:00:00,68,0,0.0,46.93121984098107,-20.101373600624825,7.580065372921303,-4.0570044466429405,85 days 19:20:00,31 days 00:00:00,30.718584223149755,0.4728450081943628,0.1639118132767829,1.0899201745604383,-0.4397012773391661,7.522862532101676,0.9506332512939265,0.49682539682539684,-0.01334702258726903,None,None,0.00020538282692412308,0.051756472384879015,2.0888637271742105,0.043995372474098904,0.13173222319729744,-0.5566018424593844,60 days 00:21:10.588235293,false
Mean Worst Trade [%],XLI,true,49,72,51,52.0,1.8308995270718083,0.007575757575757576,2.765867640265938,1.7020723940098081,0.1622727272727273,0.32136363636363635,0.44882488526133635,0.6339270317799541,0,0,6600,6601 days 00:00:00,1000.0,2979.0163141673024,197.90163141673025,471.10338454278383,100.0,192.6807406385525,37.26580919277175,1832 days 00:00:00,50,1,-2.9790163141669836,37.65698705474601,-15.982439978222358,10.102334854120363,-5.1819718414096885,121 days 12:55:23.076923076,40 days 17:00:00,39.6399066096294,0.45503651550691754,0.16695758329303015,1.0858319487867438,-0.47756561948340204,7.494406930408143,0.9529332061881806,0.50193401592719,-0.013470371254842024,None,None,0.00020113470582435895,0.050685945867738454,1.979016314167286,0.04255319226116461,0.13405637397345818,-0.5799188927313733,82 days 17:45:36,true
Mean Profit Factor,XLI,true,78,89,62,51.61290322580645,1.761682317106468,0.009393939393939394,2.241262746983833,1.6975244474197078,0.19727272727272727,0.39454545454545453,0.4421400146322652,0.6324486893083408,0,0,6600,6601 days 00:00:00,1000.0,2921.5670003930827,192.15670003930825,471.10338454278383,100.0,233.30432362649236,38.754289195881114,1688 days 00:00:00,62,0,0.0,53.41490788804882,-21.015534823232418,8.168512071256213,-4.081136532240039,99 days 14:15:00,32 days 17:36:00,30.993016135372308,0.45432545564442633,0.15759536036452676,1.084435075735466,-0.47303430350826037,6.957280318438846,0.9632363831791785,0.5063897763578274,-0.013397707168850673,None,None,0.00019674359001508826,0.04957938468380224,1.9215670003930865,0.04177844289408683,0.13133492293255622,-0.5921135225428267,67 days 05:48:23.225806451,false
Median Sortino Ratio,XLI,true,48,72,51,54.0,1.7769630841434092,0.007575757575757576,2.617017452551625,1.6724135199738197,0.1622727272727273,0.32136363636363635,0.4246705593458774,0.6002806496568804,0,0,6600,6601 days 00:00:00,1000.0,2781.3193683602703,178.13193683602702,471.10338454278383,100.0,185.44466544171482,40.284350545098576,1878 days 00:00:00,50,1,-16.810668561699458,37.656987054746025,-15.982439978222377,9.443197735779622,-5.396324619063851,118 days 04:26:40,41 days 01:02:36.521739130,35.96260073843941,0.4313286490985887,0.14445446538547274,1.0812076798187744,-0.47721958871330034,7.483044701655771,0.9493052463170715,0.5015923566878981,-0.013478497487916163,None,None,0.00019077604631620194,0.048075563671682885,1.7813193683602786,0.03982375774930014,0.13414121681005187,-0.6218835553285019,82 days 16:47:59.999999999,false
Most Avg Winning Trade [%],XLI,true,51,68,55,50.0,1.8070968886308403,0.008181818181818182,2.518627191731181,1.609536903591524,0.17500000000000002,0.3468181818181818,0.44075975855295674,0.6087342943661517,0,0,6600,6601 days 00:00:00,1000.0,2858.775852451995,185.8775852451995,471.10338454278383,100.0,181.71611172577016,41.61489913391879,1979 days 00:00:00,54,1,20.385586980872176,36.35137016866147,-13.839384450210249,10.53737464206888,-5.500120258606517,116 days 00:00:00,37 days 08:00:00,34.04426417539118,0.4381042316135776,0.14370090969765298,1.082692860389338,-0.49886275125233487,7.593487226620191,0.9467449763838086,0.5046728971962617,-0.013527575442247657,None,None,0.00019563481605308386,0.04929997364537713,1.858775852451974,0.04091471294127591,0.13543016292729365,-0.6054420508449588,76 days 16:00:00,false
Mean Total Trades,XLI,true,69,74,95,61.05263157894737,2.4991487933411443,0.014393939393939395,1.6815275828129161,1.5794105231279212,0.3022727272727273,0.6045454545454546,0.508279928441177,0.7858461326794843,0,0,6600,6601 days 00:00:00,1000.0,3884.1487473171605,288.41487473171605,471.10338454278383,100.0,349.5178098288966,42.63460522574318,2682 days 00:00:00,95,0,0.0,33.763412346748375,-12.841889246160331,4.8906529131710625,-3.3489932053160705,56 days 04:57:55.862068965,22 days 23:21:04.864864864,30.35946049807539,0.554732118064103,0.18275290002804623,1.1047419855485923,-0.147652699401709,5.896929708153211,0.9885327876151973,0.4985244040862656,-0.013347022587268905,None,None,0.00023967238977573268,0.060397442223484636,2.8841487473171643,0.05316635993307872,0.13103321513343738,-0.3877885742391152,43 days 06:18:56.842105262,false
Median Total Return [%],XLI,true,79,88,67,50.74626865671642,1.6887031973533302,0.010151515151515151,1.9663425385114692,1.5351468727758888,0.2131818181818182,0.4263636363636364,0.4191884775281269,0.603798512219554,0,0,6600,6601 days 00:00:00,1000.0,2735.6772354249133,173.56772354249134,471.10338454278383,100.0,253.19263100876626,39.58571878299786,936 days 00:00:00,67,0,0.0,53.414907888048845,-16.084903342919368,7.531592564468544,-3.767551427626123,93 days 20:28:14.117647059,29 days 05:49:05.454545454,25.905630379476342,0.432927023655905,0.14455924823857916,1.0801750052628314,-0.42550856267953385,6.708843817280405,0.9637958059633484,0.502959927140255,-0.01339168287574173,None,None,0.00018636890157662628,0.04696496319730982,1.7356772354249217,0.03916713412551087,0.13055859040630574,-0.6315719028192875,62 days 00:42:59.104477611,false
Mean Omega Ratio,XLI,true,50,66,62,50.81967213114754,1.561478185395475,0.009242424242424243,2.033709140732437,1.4921889553303087,0.19727272727272727,0.39136363636363636,0.40119534867176254,0.5437573833151214,0,0,6600,6601 days 00:00:00,1000.0,2498.3155018800244,149.8315501880024,471.10338454278383,100.0,214.83695672978214,35.77195805966248,1828 days 00:00:00,61,1,-2.122059797525708,42.5213040426908,-11.926842349287078,8.974809593352264,-5.138761326974717,102 days 21:40:38.709677420,31 days 08:00:00,24.59733707668115,0.39021170018619955,0.14517585538672595,1.0734907683779809,-0.4326750819479817,7.565328738473513,0.952368971035968,0.4992050874403816,-0.0136268792998232,None,None,0.00017589494105950057,0.044325525146994144,1.4983155018800143,0.035572707665856074,0.13670983660045874,-0.6819561159947571,67 days 16:55:04.918032787,false
Mean Expectancy,XLI,true,61,71,70,51.42857142857142,1.596598682830867,0.010606060606060607,1.8766596439024972,1.484829608362415,0.22272727272727275,0.4454545454545455,0.41798328432373805,0.5768910009199258,0,0,6600,6601 days 00:00:00,1000.0,2652.5410548630634,165.25410548630634,471.10338454278383,100.0,249.96336717477578,44.113472316366874,1796 days 00:00:00,70,0,0.0,45.19626965032051,-28.231090609470606,7.787538013171323,-4.3819174529703755,84 days 23:20:00.000000001,30 days 00:00:00,23.607729355186613,0.41729189895111823,0.1256356759526364,1.0796211911703566,-0.6820581280610183,10.666293518551004,0.9527818038644287,0.49276345545002265,-0.0133498419760724,None,None,0.000183050894988023,0.04612882553698179,1.652541054863066,0.037943561497837175,0.13303888780702494,-0.6492190230246614,58 days 06:30:51.428571428,false
Least Avg Losing Trade [%],XLI,true,44,63,58,52.63157894736842,1.4502702410316872,0.008636363636363636,1.978636317925004,1.4049488647988193,0.18454545454545454,0.3659090909090909,0.36514833867161434,0.4718879152167515,0,0,6600,6601 days 00:00:00,1000.0,2157.111325858492,115.71113258584921,471.10338454278383,100.0,176.6478491480181,38.12940428669147,1945 days 00:00:00,57,1,-23.10658219133893,52.43089577439311,-15.440515230378999,9.340110085854203,-6.200778979774105,100 days 19:12:00,41 days 00:00:00,20.70557733420756,0.34008433655541115,0.11388929591808399,1.063546504544574,-0.44107715026248534,7.184701198715146,0.9414052128288305,0.5009095043201455,-0.014151877328559286,None,None,0.0001539791661375701,0.038802749866667666,1.1571113258584824,0.029783502858727884,0.13731628209137606,-0.7543827185657997,72 days 11:22:06.315789473,false
Mean Sortino Ratio,XLI,true,43,73,53,50.0,1.6010927627613494,0.00787878787878788,2.2745164331088232,1.3997024203746604,0.16863636363636364,0.3340909090909091,0.3835661803106243,0.5458898657865549,0,0,6600,6601 days 00:00:00,1000.0,2486.8820613219023,148.6882061321902,471.10338454278383,100.0,191.04864143942277,36.545685240496034,1845 days 00:00:00,52,1,17.73365705771039,36.56892926630997,-15.210819959796837,9.539525674607036,-4.99049280838939,116 days 10:09:13.846153846,41 days 10:09:13.846153846,28.25285392815755,0.39209688151756716,0.14137229390514497,1.0741312988138432,-0.43709476946391357,7.651788164158134,0.9464339336142057,0.49546896239238786,-0.01357801244893189,None,None,0.00017409152271032503,0.04387106372300191,1.4868820613218978,0.035391382242157654,0.13465762124720757,-0.6843830653509413,78 days 22:09:13.846153846,false
Mean Max Drawdown [%],XLI,true,74,81,78,53.84615384615385,1.9007359064224798,0.011818181818181818,1.6797216092855856,1.3914853568046268,0.2481818181818182,0.4963636363636364,0.41687636303178627,0.615395365587931,0,0,6600,6601 days 00:00:00,1000.0,2760.579161726285,176.05791617262847,471.10338454278383,100.0,238.44662455401573,40.327095295434475,2644 days 00:00:00,78,0,0.0,51.04275792072615,-15.561242002016517,6.41931666743494,-3.8498059585553275,74 days 16:00:00,27 days 11:20:00,22.57152771443955,0.4390526963009557,0.14321555642827957,1.0814732681903796,-0.26534979646124346,5.000028422294223,0.9681526068310191,0.4981842941443486,-0.013478497487916108,None,None,0.00018699112432771854,0.04712176333058507,1.7605791617262843,0.0395266766452218,0.12916684358099623,-0.6262860298838725,52 days 21:13:50.769230769,false
Median Win Rate [%],XLI,true,62,71,72,52.77777777777778,1.5767909073529176,0.01090909090909091,1.7115812314353551,1.3897454443278525,0.2290909090909091,0.4581818181818182,0.39210770029246317,0.5456772899190315,0,0,6600,6601 days 00:00:00,1000.0,2495.8097654527332,149.5809765452733,471.10338454278383,100.0,242.0136354163911,43.50979637416611,2025 days 00:00:00,72,0,0.0,45.196269650320495,-28.23109060947061,7.125660492843896,-4.339448531315368,81 days 09:28:25.263157894,29 days 00:00:00,20.77513563128796,0.3959221460912096,0.11922344797032107,1.0754091121900924,-0.7036688429322736,10.651205325442039,0.9472668715074932,0.49377687259560976,-0.013393682455263282,None,None,0.0001739311195196303,0.043830642118946835,1.4958097654527345,0.03553303703810995,0.13323373414792825,-0.6824880027333174,56 days 15:39:59.999999999,false
