Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Total Return [%],XLRE,false,8,9,88,39.77272727272727,1.2823123333024846,0.03705263157894737,0.32828181206867635,0.20087173815391035,0.7781052631578947,1.5562105263157895,0.255437805769648,0.4477709351952303,0,0,2375,2376 days 00:00:00,1000.0,1260.1242145808724,26.012421458087235,38.76199748212286,100.0,165.1586118991956,23.97682020105096,967 days 00:00:00,88,0,0.0,15.424051686658984,-6.106629947297246,3.5840592846743915,-1.8217599151237769,28 days 16:27:25.714285714,7 days 00:54:20.377358490,2.9559569838735467,0.30569248317729597,0.15079869104401245,1.0601771454847844,0.5835769975398724,12.177727834844905,1.0870170732185782,0.4270270270270271,-0.012720301499491302,None,None,0.0001304329917362821,0.03286911391754309,0.2601242145808724,0.02482544902082129,0.12940450583529667,-0.3289194791861736,15 days 15:32:43.636363635,false
Mean Total Trades,XLRE,false,8,9,88,39.77272727272727,1.2823123333024846,0.03705263157894737,0.32828181206867635,0.20087173815391035,0.7781052631578947,1.5562105263157895,0.255437805769648,0.4477709351952303,0,0,2375,2376 days 00:00:00,1000.0,1260.1242145808724,26.012421458087235,38.76199748212286,100.0,165.1586118991956,23.97682020105096,967 days 00:00:00,88,0,0.0,15.424051686658984,-6.106629947297246,3.5840592846743915,-1.8217599151237769,28 days 16:27:25.714285714,7 days 00:54:20.377358490,2.9559569838735467,0.30569248317729597,0.15079869104401245,1.0601771454847844,0.5835769975398724,12.177727834844905,1.0870170732185782,0.4270270270270271,-0.012720301499491302,None,None,0.0001304329917362821,0.03286911391754309,0.2601242145808724,0.02482544902082129,0.12940450583529667,-0.3289194791861736,15 days 15:32:43.636363635,false
Most Profit Factor,XLRE,false,8,9,88,39.77272727272727,1.2823123333024846,0.03705263157894737,0.32828181206867635,0.20087173815391035,0.7781052631578947,1.5562105263157895,0.255437805769648,0.4477709351952303,0,0,2375,2376 days 00:00:00,1000.0,1260.1242145808724,26.012421458087235,38.76199748212286,100.0,165.1586118991956,23.97682020105096,967 days 00:00:00,88,0,0.0,15.424051686658984,-6.106629947297246,3.5840592846743915,-1.8217599151237769,28 days 16:27:25.714285714,7 days 00:54:20.377358490,2.9559569838735467,0.30569248317729597,0.15079869104401245,1.0601771454847844,0.5835769975398724,12.177727834844905,1.0870170732185782,0.4270270270270271,-0.012720301499491302,None,None,0.0001304329917362821,0.03286911391754309,0.2601242145808724,0.02482544902082129,0.12940450583529667,-0.3289194791861736,15 days 15:32:43.636363635,false
Most Expectancy,XLRE,false,8,9,88,39.77272727272727,1.2823123333024846,0.03705263157894737,0.32828181206867635,0.20087173815391035,0.7781052631578947,1.5562105263157895,0.255437805769648,0.4477709351952303,0,0,2375,2376 days 00:00:00,1000.0,1260.1242145808724,26.012421458087235,38.76199748212286,100.0,165.1586118991956,23.97682020105096,967 days 00:00:00,88,0,0.0,15.424051686658984,-6.106629947297246,3.5840592846743915,-1.8217599151237769,28 days 16:27:25.714285714,7 days 00:54:20.377358490,2.9559569838735467,0.30569248317729597,0.15079869104401245,1.0601771454847844,0.5835769975398724,12.177727834844905,1.0870170732185782,0.4270270270270271,-0.012720301499491302,None,None,0.0001304329917362821,0.03286911391754309,0.2601242145808724,0.02482544902082129,0.12940450583529667,-0.3289194791861736,15 days 15:32:43.636363635,false
Most Sharpe Ratio,XLRE,false,8,9,88,39.77272727272727,1.2823123333024846,0.03705263157894737,0.32828181206867635,0.20087173815391035,0.7781052631578947,1.5562105263157895,0.255437805769648,0.4477709351952303,0,0,2375,2376 days 00:00:00,1000.0,1260.1242145808724,26.012421458087235,38.76199748212286,100.0,165.1586118991956,23.97682020105096,967 days 00:00:00,88,0,0.0,15.424051686658984,-6.106629947297246,3.5840592846743915,-1.8217599151237769,28 days 16:27:25.714285714,7 days 00:54:20.377358490,2.9559569838735467,0.30569248317729597,0.15079869104401245,1.0601771454847844,0.5835769975398724,12.177727834844905,1.0870170732185782,0.4270270270270271,-0.012720301499491302,None,None,0.0001304329917362821,0.03286911391754309,0.2601242145808724,0.02482544902082129,0.12940450583529667,-0.3289194791861736,15 days 15:32:43.636363635,false
Most Omega Ratio,XLRE,false,8,9,88,39.77272727272727,1.2823123333024846,0.03705263157894737,0.32828181206867635,0.20087173815391035,0.7781052631578947,1.5562105263157895,0.255437805769648,0.4477709351952303,0,0,2375,2376 days 00:00:00,1000.0,1260.1242145808724,26.012421458087235,38.76199748212286,100.0,165.1586118991956,23.97682020105096,967 days 00:00:00,88,0,0.0,15.424051686658984,-6.106629947297246,3.5840592846743915,-1.8217599151237769,28 days 16:27:25.714285714,7 days 00:54:20.377358490,2.9559569838735467,0.30569248317729597,0.15079869104401245,1.0601771454847844,0.5835769975398724,12.177727834844905,1.0870170732185782,0.4270270270270271,-0.012720301499491302,None,None,0.0001304329917362821,0.03286911391754309,0.2601242145808724,0.02482544902082129,0.12940450583529667,-0.3289194791861736,15 days 15:32:43.636363635,false
Most Sortino Ratio,XLRE,false,8,9,88,39.77272727272727,1.2823123333024846,0.03705263157894737,0.32828181206867635,0.20087173815391035,0.7781052631578947,1.5562105263157895,0.255437805769648,0.4477709351952303,0,0,2375,2376 days 00:00:00,1000.0,1260.1242145808724,26.012421458087235,38.76199748212286,100.0,165.1586118991956,23.97682020105096,967 days 00:00:00,88,0,0.0,15.424051686658984,-6.106629947297246,3.5840592846743915,-1.8217599151237769,28 days 16:27:25.714285714,7 days 00:54:20.377358490,2.9559569838735467,0.30569248317729597,0.15079869104401245,1.0601771454847844,0.5835769975398724,12.177727834844905,1.0870170732185782,0.4270270270270271,-0.012720301499491302,None,None,0.0001304329917362821,0.03286911391754309,0.2601242145808724,0.02482544902082129,0.12940450583529667,-0.3289194791861736,15 days 15:32:43.636363635,false
Least Max Drawdown [%],XLRE,false,6,11,89,39.325842696629216,1.2727601712324432,0.03747368421052632,0.324907655145108,0.19657334364872567,0.7869473684210526,1.5738947368421052,0.25568522419629763,0.44698262465361666,0,0,2375,2376 days 00:00:00,1000.0,1260.0533126507967,26.00533126507967,38.76199748212286,100.0,170.10153628984057,23.576303339582395,967 days 00:00:00,89,0,0.0,15.424051686658979,-6.106629947297254,3.626970366373224,-1.815318176206449,28 days 14:24:00,7 days 02:13:20,2.9219473331550283,0.30525519774173504,0.15332248754931888,1.0598858706710712,0.577507676609892,12.047106825575813,1.0835704711329976,0.4313253012048193,-0.012794080798074817,None,None,0.0001305798663010161,0.03290612630785606,0.26005331265080334,0.024819333131338883,0.1297358060886028,-0.32910239527585233,15 days 13:12:48.539325842,false
Most Avg Winning Trade [%],XLRE,false,6,11,89,39.325842696629216,1.2727601712324432,0.03747368421052632,0.324907655145108,0.19657334364872567,0.7869473684210526,1.5738947368421052,0.25568522419629763,0.44698262465361666,0,0,2375,2376 days 00:00:00,1000.0,1260.0533126507967,26.00533126507967,38.76199748212286,100.0,170.10153628984057,23.576303339582395,967 days 00:00:00,89,0,0.0,15.424051686658979,-6.106629947297254,3.626970366373224,-1.815318176206449,28 days 14:24:00,7 days 02:13:20,2.9219473331550283,0.30525519774173504,0.15332248754931888,1.0598858706710712,0.577507676609892,12.047106825575813,1.0835704711329976,0.4313253012048193,-0.012794080798074817,None,None,0.0001305798663010161,0.03290612630785606,0.26005331265080334,0.024819333131338883,0.1297358060886028,-0.32910239527585233,15 days 13:12:48.539325842,false
Most Calmar Ratio,XLRE,false,6,11,89,39.325842696629216,1.2727601712324432,0.03747368421052632,0.324907655145108,0.19657334364872567,0.7869473684210526,1.5738947368421052,0.25568522419629763,0.44698262465361666,0,0,2375,2376 days 00:00:00,1000.0,1260.0533126507967,26.00533126507967,38.76199748212286,100.0,170.10153628984057,23.576303339582395,967 days 00:00:00,89,0,0.0,15.424051686658979,-6.106629947297254,3.626970366373224,-1.815318176206449,28 days 14:24:00,7 days 02:13:20,2.9219473331550283,0.30525519774173504,0.15332248754931888,1.0598858706710712,0.577507676609892,12.047106825575813,1.0835704711329976,0.4313253012048193,-0.012794080798074817,None,None,0.0001305798663010161,0.03290612630785606,0.26005331265080334,0.024819333131338883,0.1297358060886028,-0.32910239527585233,15 days 13:12:48.539325842,false
