Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],ZS,true,35,37,54,51.85185185185185,1.6980102243225963,31.141868512110726,104.69655162944179,67.29805889863108,0.6539792387543252,2,68.46937113482524,1.577489822071258,0,0,1734,1735 days 00:00:00,1000.0,6653.613787989852,565.3613787989852,522.8181781190794,100.0,403.9159957396769,48.111991621838726,410 days 00:00:00,54,0,0.0,102.1043182508581,-27.677200780965006,16.671544725970605,-7.4860446362950706,23 days 23:08:34.285714285,13 days 12:00:00,1.0431847374191319,1.0182016566026972,1.2292653862434875,0.08137284138237436,18 days 22:13:19.999999999,0
Median Avg Losing Trade [%],ZS,true,35,37,54,51.85185185185185,1.6980102243225963,31.141868512110726,104.69655162944179,67.29805889863108,0.6539792387543252,2,68.46937113482524,1.577489822071258,0,0,1734,1735 days 00:00:00,1000.0,6653.613787989852,565.3613787989852,522.8181781190794,100.0,403.9159957396769,48.111991621838726,410 days 00:00:00,54,0,0.0,102.1043182508581,-27.677200780965006,16.671544725970605,-7.4860446362950706,23 days 23:08:34.285714285,13 days 12:00:00,1.0431847374191319,1.0182016566026972,1.2292653862434875,0.08137284138237436,18 days 22:13:19.999999999,0
Most Expectancy,ZS,true,35,37,54,51.85185185185185,1.6980102243225963,31.141868512110726,104.69655162944179,67.29805889863108,0.6539792387543252,2,68.46937113482524,1.577489822071258,0,0,1734,1735 days 00:00:00,1000.0,6653.613787989852,565.3613787989852,522.8181781190794,100.0,403.9159957396769,48.111991621838726,410 days 00:00:00,54,0,0.0,102.1043182508581,-27.677200780965006,16.671544725970605,-7.4860446362950706,23 days 23:08:34.285714285,13 days 12:00:00,1.0431847374191319,1.0182016566026972,1.2292653862434875,0.08137284138237436,18 days 22:13:19.999999999,0
Most Sharpe Ratio,ZS,true,35,37,54,51.85185185185185,1.6980102243225963,31.141868512110726,104.69655162944179,67.29805889863108,0.6539792387543252,2,68.46937113482524,1.577489822071258,0,0,1734,1735 days 00:00:00,1000.0,6653.613787989852,565.3613787989852,522.8181781190794,100.0,403.9159957396769,48.111991621838726,410 days 00:00:00,54,0,0.0,102.1043182508581,-27.677200780965006,16.671544725970605,-7.4860446362950706,23 days 23:08:34.285714285,13 days 12:00:00,1.0431847374191319,1.0182016566026972,1.2292653862434875,0.08137284138237436,18 days 22:13:19.999999999,0
Most Omega Ratio,ZS,true,35,37,54,51.85185185185185,1.6980102243225963,31.141868512110726,104.69655162944179,67.29805889863108,0.6539792387543252,2,68.46937113482524,1.577489822071258,0,0,1734,1735 days 00:00:00,1000.0,6653.613787989852,565.3613787989852,522.8181781190794,100.0,403.9159957396769,48.111991621838726,410 days 00:00:00,54,0,0.0,102.1043182508581,-27.677200780965006,16.671544725970605,-7.4860446362950706,23 days 23:08:34.285714285,13 days 12:00:00,1.0431847374191319,1.0182016566026972,1.2292653862434875,0.08137284138237436,18 days 22:13:19.999999999,0
Most Sortino Ratio,ZS,true,35,37,54,51.85185185185185,1.6980102243225963,31.141868512110726,104.69655162944179,67.29805889863108,0.6539792387543252,2,68.46937113482524,1.577489822071258,0,0,1734,1735 days 00:00:00,1000.0,6653.613787989852,565.3613787989852,522.8181781190794,100.0,403.9159957396769,48.111991621838726,410 days 00:00:00,54,0,0.0,102.1043182508581,-27.677200780965006,16.671544725970605,-7.4860446362950706,23 days 23:08:34.285714285,13 days 12:00:00,1.0431847374191319,1.0182016566026972,1.2292653862434875,0.08137284138237436,18 days 22:13:19.999999999,0
Least Max Drawdown [%],ZS,true,56,57,60,58.333333333333336,1.8165830980110822,34.602076124567475,80.11163526384796,64.36885294386315,0.726643598615917,2,58.21260693912828,1.4866987134162475,0,0,1734,1735 days 00:00:00,1000.0,5806.698115830879,480.6698115830879,522.8181781190794,100.0,481.6385973996369,43.76681294508085,536 days 00:00:00,60,0,0.0,76.80599120558811,-17.207948495538865,10.634900380355255,-5.688677847266221,22 days 13:01:42.857142857,11 days 20:09:36,0.9555311608732274,1.0231707492940898,1.2031315367258004,-0.08061763783276804,18 days 01:59:59.999999999,0
Median Total Trades,ZS,true,56,57,60,58.333333333333336,1.8165830980110822,34.602076124567475,80.11163526384796,64.36885294386315,0.726643598615917,2,58.21260693912828,1.4866987134162475,0,0,1734,1735 days 00:00:00,1000.0,5806.698115830879,480.6698115830879,522.8181781190794,100.0,481.6385973996369,43.76681294508085,536 days 00:00:00,60,0,0.0,76.80599120558811,-17.207948495538865,10.634900380355255,-5.688677847266221,22 days 13:01:42.857142857,11 days 20:09:36,0.9555311608732274,1.0231707492940898,1.2031315367258004,-0.08061763783276804,18 days 01:59:59.999999999,0
Most Profit Factor,ZS,true,56,57,60,58.333333333333336,1.8165830980110822,34.602076124567475,80.11163526384796,64.36885294386315,0.726643598615917,2,58.21260693912828,1.4866987134162475,0,0,1734,1735 days 00:00:00,1000.0,5806.698115830879,480.6698115830879,522.8181781190794,100.0,481.6385973996369,43.76681294508085,536 days 00:00:00,60,0,0.0,76.80599120558811,-17.207948495538865,10.634900380355255,-5.688677847266221,22 days 13:01:42.857142857,11 days 20:09:36,0.9555311608732274,1.0231707492940898,1.2031315367258004,-0.08061763783276804,18 days 01:59:59.999999999,0
Most Calmar Ratio,ZS,true,56,57,60,58.333333333333336,1.8165830980110822,34.602076124567475,80.11163526384796,64.36885294386315,0.726643598615917,2,58.21260693912828,1.4866987134162475,0,0,1734,1735 days 00:00:00,1000.0,5806.698115830879,480.6698115830879,522.8181781190794,100.0,481.6385973996369,43.76681294508085,536 days 00:00:00,60,0,0.0,76.80599120558811,-17.207948495538865,10.634900380355255,-5.688677847266221,22 days 13:01:42.857142857,11 days 20:09:36,0.9555311608732274,1.0231707492940898,1.2031315367258004,-0.08061763783276804,18 days 01:59:59.999999999,0
Median Total Fees Paid,ZS,true,34,36,53,54.71698113207547,1.7067867848994307,30.565167243367934,90.9676733094175,60.56158232261495,0.6418685121107266,2,58.38928511729047,1.4874822597981894,0,0,1734,1735 days 00:00:00,1000.0,5821.286685399127,482.1286685399127,522.8181781190794,100.0,354.0395134465565,51.58282952041888,518 days 00:00:00,53,0,0.0,117.80959401606088,-29.55389036490388,16.133754859717182,-8.198168832134597,25 days 14:53:47.586206896,11 days 11:00:00,1.0124928070946773,0.8696182383310388,1.2167274576350855,-0.0778272663080569,19 days 04:58:52.075471697,0
Most Max Drawdown Duration,ZS,true,39,40,69,52.17391304347826,1.5169122120114755,39.792387543252595,71.86727254215714,56.812073155855444,0.8356401384083045,2,60.055177574155536,1.4918737811048783,0,0,1734,1735 days 00:00:00,1000.0,5958.841805408841,495.8841805408841,522.8181781190794,100.0,576.0755668517471,51.33662556785963,806 days 00:00:00,69,0,0.0,106.5901653514189,-26.586688338549163,12.984896318729486,-6.25690501319538,20 days 01:20:00,9 days 10:54:32.727272727,0.9730035563233179,0.8876867583351841,1.2125943857258328,-0.05151694930557821,14 days 23:39:07.826086956,0
Least Total Trades,ZS,true,38,40,50,54.0,1.5071224900920879,28.83506343713956,85.15226308531305,52.780328358665116,0.6055363321799307,2,51.56278906550098,1.4112935083707623,0,0,1734,1735 days 00:00:00,1000.0,5257.613154265651,425.7613154265651,522.8181781190794,100.0,380.98010124738505,56.84223066387823,806 days 00:00:00,50,0,0.0,118.79852941176472,-32.28290857619334,17.313996409687253,-8.882860755868895,28 days 10:40:00,11 days 15:39:07.826086956,0.9242714599401662,0.7351356478610529,1.2009295651210075,-0.18564171399260002,20 days 17:16:47.999999999,0
Most Avg Winning Trade [%],ZS,true,38,40,50,54.0,1.5071224900920879,28.83506343713956,85.15226308531305,52.780328358665116,0.6055363321799307,2,51.56278906550098,1.4112935083707623,0,0,1734,1735 days 00:00:00,1000.0,5257.613154265651,425.7613154265651,522.8181781190794,100.0,380.98010124738505,56.84223066387823,806 days 00:00:00,50,0,0.0,118.79852941176472,-32.28290857619334,17.313996409687253,-8.882860755868895,28 days 10:40:00,11 days 15:39:07.826086956,0.9242714599401662,0.7351356478610529,1.2009295651210075,-0.18564171399260002,20 days 17:16:47.999999999,0
Mean Total Fees Paid,ZS,true,37,39,52,55.769230769230774,1.5033320086799493,29.988465974625143,72.71648464050278,48.4108827955597,0.629757785467128,2,45.79377233415746,1.3558874529876428,0,0,1734,1735 days 00:00:00,1000.0,4781.2572013061435,378.12572013061435,522.8181781190794,100.0,363.28934777523665,47.40052804216886,806 days 00:00:00,52,0,0.0,108.65791859456952,-36.22367636307159,15.385047458844916,-8.643585726049064,24 days 04:08:16.551724138,14 days 05:13:02.608695652,0.8897133475444174,0.8223950162369069,1.1941150176509954,-0.2767548337913937,19 days 18:27:41.538461537,0
Mean Total Trades,ZS,true,46,47,67,56.71641791044776,1.6934460111783303,38.63898500576701,53.35926230000398,45.85373060606402,0.8114186851211073,2,43.2967024545015,1.3458157387437808,0,0,1734,1735 days 00:00:00,1000.0,4575.070574100266,357.50705741002656,522.8181781190794,100.0,373.0857416860185,47.65412236843816,806 days 00:00:00,67,0,0.0,117.5328738620516,-28.405968791873594,11.825624046056497,-7.14007993947786,19 days 09:28:25.263157894,11 days 04:08:16.551724138,0.867278314994734,0.7910973835036014,1.1844652242379075,-0.31619237361597796,15 days 20:03:34.925373133,0
Median Avg Winning Trade [%],ZS,true,46,47,67,56.71641791044776,1.6934460111783303,38.63898500576701,53.35926230000398,45.85373060606402,0.8114186851211073,2,43.2967024545015,1.3458157387437808,0,0,1734,1735 days 00:00:00,1000.0,4575.070574100266,357.50705741002656,522.8181781190794,100.0,373.0857416860185,47.65412236843816,806 days 00:00:00,67,0,0.0,117.5328738620516,-28.405968791873594,11.825624046056497,-7.14007993947786,19 days 09:28:25.263157894,11 days 04:08:16.551724138,0.867278314994734,0.7910973835036014,1.1844652242379075,-0.31619237361597796,15 days 20:03:34.925373133,0
Mean Avg Winning Trade [%],ZS,true,54,55,59,54.23728813559322,1.6285972727580977,34.02537485582469,62.387772657871125,45.83123794884931,0.7145328719723184,2,44.57811437318473,1.3001658081887968,0,0,1734,1735 days 00:00:00,1000.0,4680.878586814399,368.08785868143985,522.8181781190794,100.0,412.77483358693144,51.73068459624371,301 days 00:00:00,59,0,0.0,80.1033103451688,-23.6206075578858,12.130674481472802,-6.43511934306457,24 days 06:00:00,11 days 05:19:59.999999999,0.8655232255454163,0.7415902531464439,1.1846017843530625,-0.29595436026020794,18 days 06:54:54.915254236,0
Least Max Drawdown Duration,ZS,true,54,55,59,54.23728813559322,1.6285972727580977,34.02537485582469,62.387772657871125,45.83123794884931,0.7145328719723184,2,44.57811437318473,1.3001658081887968,0,0,1734,1735 days 00:00:00,1000.0,4680.878586814399,368.08785868143985,522.8181781190794,100.0,412.77483358693144,51.73068459624371,301 days 00:00:00,59,0,0.0,80.1033103451688,-23.6206075578858,12.130674481472802,-6.43511934306457,24 days 06:00:00,11 days 05:19:59.999999999,0.8655232255454163,0.7415902531464439,1.1846017843530625,-0.29595436026020794,18 days 06:54:54.915254236,0
Median Max Drawdown [%],ZS,true,59,60,58,62.06896551724138,1.524767805544229,33.448673587081885,45.48515857773789,37.59104014689082,0.7024221453287196,2,31.949782668791663,1.1494646391909162,0,0,1734,1735 days 00:00:00,1000.0,3638.139197508797,263.81391975087973,522.8181781190794,100.0,334.71511198934513,57.04111725671267,806 days 00:00:00,58,0,0.0,86.96238307970265,-21.5608640003167,9.636095468299306,-7.1249172052087335,22 days 18:00:00,12 days 07:38:10.909090909,0.7718074476509469,0.5472966721235942,1.1624378591097193,-0.49540025425284223,18 days 19:02:04.137931033,0
Most Win Rate [%],ZS,true,59,60,58,62.06896551724138,1.524767805544229,33.448673587081885,45.48515857773789,37.59104014689082,0.7024221453287196,2,31.949782668791663,1.1494646391909162,0,0,1734,1735 days 00:00:00,1000.0,3638.139197508797,263.81391975087973,522.8181781190794,100.0,334.71511198934513,57.04111725671267,806 days 00:00:00,58,0,0.0,86.96238307970265,-21.5608640003167,9.636095468299306,-7.1249172052087335,22 days 18:00:00,12 days 07:38:10.909090909,0.7718074476509469,0.5472966721235942,1.1624378591097193,-0.49540025425284223,18 days 19:02:04.137931033,0
Median Sharpe Ratio,ZS,true,59,60,58,62.06896551724138,1.524767805544229,33.448673587081885,45.48515857773789,37.59104014689082,0.7024221453287196,2,31.949782668791663,1.1494646391909162,0,0,1734,1735 days 00:00:00,1000.0,3638.139197508797,263.81391975087973,522.8181781190794,100.0,334.71511198934513,57.04111725671267,806 days 00:00:00,58,0,0.0,86.96238307970265,-21.5608640003167,9.636095468299306,-7.1249172052087335,22 days 18:00:00,12 days 07:38:10.909090909,0.7718074476509469,0.5472966721235942,1.1624378591097193,-0.49540025425284223,18 days 19:02:04.137931033,0
Median Calmar Ratio,ZS,true,59,60,58,62.06896551724138,1.524767805544229,33.448673587081885,45.48515857773789,37.59104014689082,0.7024221453287196,2,31.949782668791663,1.1494646391909162,0,0,1734,1735 days 00:00:00,1000.0,3638.139197508797,263.81391975087973,522.8181781190794,100.0,334.71511198934513,57.04111725671267,806 days 00:00:00,58,0,0.0,86.96238307970265,-21.5608640003167,9.636095468299306,-7.1249172052087335,22 days 18:00:00,12 days 07:38:10.909090909,0.7718074476509469,0.5472966721235942,1.1624378591097193,-0.49540025425284223,18 days 19:02:04.137931033,0
Median Omega Ratio,ZS,true,59,60,58,62.06896551724138,1.524767805544229,33.448673587081885,45.48515857773789,37.59104014689082,0.7024221453287196,2,31.949782668791663,1.1494646391909162,0,0,1734,1735 days 00:00:00,1000.0,3638.139197508797,263.81391975087973,522.8181781190794,100.0,334.71511198934513,57.04111725671267,806 days 00:00:00,58,0,0.0,86.96238307970265,-21.5608640003167,9.636095468299306,-7.1249172052087335,22 days 18:00:00,12 days 07:38:10.909090909,0.7718074476509469,0.5472966721235942,1.1624378591097193,-0.49540025425284223,18 days 19:02:04.137931033,0
Median Sortino Ratio,ZS,true,59,60,58,62.06896551724138,1.524767805544229,33.448673587081885,45.48515857773789,37.59104014689082,0.7024221453287196,2,31.949782668791663,1.1494646391909162,0,0,1734,1735 days 00:00:00,1000.0,3638.139197508797,263.81391975087973,522.8181781190794,100.0,334.71511198934513,57.04111725671267,806 days 00:00:00,58,0,0.0,86.96238307970265,-21.5608640003167,9.636095468299306,-7.1249172052087335,22 days 18:00:00,12 days 07:38:10.909090909,0.7718074476509469,0.5472966721235942,1.1624378591097193,-0.49540025425284223,18 days 19:02:04.137931033,0
Mean Win Rate [%],ZS,true,38,39,73,53.42465753424658,1.4458991041606641,42.09919261822376,41.98627865225899,33.98640239597552,0.8840830449826989,2,37.11935707838121,1.24888783220309,0,0,1734,1735 days 00:00:00,1000.0,4064.9983416149043,306.49983416149047,522.8181781190794,100.0,403.37297089221937,44.07869836276236,519 days 00:00:00,73,0,0.0,99.34509025116937,-32.282908576193336,11.444175948025864,-6.645283463965194,19 days 09:50:46.153846153,7 days 21:52:56.470588235,0.831183503415123,0.7785384347089342,1.177806955343301,-0.4137544427698138,14 days 01:18:54.246575341,0
Mean Profit Factor,ZS,true,22,24,70,52.17391304347826,1.3470748750737098,39.792387543252595,42.00187849653882,33.20306600516903,0.8477508650519031,2,35.60712882924572,1.2662523071263325,0,0,1734,1735 days 00:00:00,1000.0,4136.983449778227,313.6983449778226,522.8181781190794,100.0,472.40015117241256,53.50026046003092,806 days 00:00:00,69,1,238.85383351705013,79.8604258519002,-19.894031432225905,12.027231789084707,-6.991665693159868,19 days 12:00:00,8 days 21:49:05.454545454,0.8362789098305582,0.6507236813685224,1.1822414470702693,-0.3999857730532597,14 days 10:26:05.217391303,0
Median Profit Factor,ZS,true,22,24,70,52.17391304347826,1.3470748750737098,39.792387543252595,42.00187849653882,33.20306600516903,0.8477508650519031,2,35.60712882924572,1.2662523071263325,0,0,1734,1735 days 00:00:00,1000.0,4136.983449778227,313.6983449778226,522.8181781190794,100.0,472.40015117241256,53.50026046003092,806 days 00:00:00,69,1,238.85383351705013,79.8604258519002,-19.894031432225905,12.027231789084707,-6.991665693159868,19 days 12:00:00,8 days 21:49:05.454545454,0.8362789098305582,0.6507236813685224,1.1822414470702693,-0.3999857730532597,14 days 10:26:05.217391303,0
