TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW,SMA_SIGNAL,EMA_SIGNAL
AAPL,8,37,,,false,false
AAPL,,,12,17,false,false
MELI,7,64,,,false,false
EXPD,73,86,,,false,false
LOW,12,23,,,false,false
ENPH,5,15,,,false,false
ENPH,,,3,11,false,false
IDXX,77,78,,,false,false
MELI,,,7,64,false,false
CSX,79,88,,,false,false
BA,6,16,,,false,false
STZ,16,24,,,false,false
LOW,,,2,3,false,false
MRNA,4,5,,,false,false
UDR,16,34,,,false,false
NKE,,,2,33,false,false
STZ,,,8,30,false,false
NKE,2,26,,,false,false
AOS,3,12,,,false,false
UBER,75,78,,,false,false
CRL,74,75,,,false,false
BA,,,2,25,false,false
AOS,,,4,7,false,true
MRNA,,,2,8,false,false
EXPD,,,9,16,false,false
IDXX,,,5,6,false,false
ABNB,2,18,,,false,false
CRL,,,5,14,false,false
UBER,,,2,7,false,false
UPS,13,23,,,true,false
ABNB,,,12,13,false,false
UPS,,,9,24,false,false
