Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
BTC-USD,SMA,74,78,0,true,false,1,50,1.8911422806422347,67.3469387755102,2.6412094783460116,31.876509060901,1.9417042417755894,0.7787623427986182,46 days 22:02:26.938775509,0.012573774698486015,0.3849114703618168,0.7621247113163971,12.26963397263318,0,3897,3898 days 00:00:00,1000.0,408823.1060562108,40782.31060562108,22927.352139384835,100.0,12397.790986305761,64.3271929581157,1173 days 00:00:00,49,-408.8231060561375,900.674101232926,-35.6609972912274,52.45020662998711,-10.556742175339085,58 days 21:49:05.454545454,22 days 04:30:00,8331.263860454428,1.2853818606356446,1.1753286012613124,1.3076517339903735,-0.017619348928763417,16.02402890239142,1.1624739871756746,0.46817325800376647,-0.03977082261022764,None,None,0.0019799779762084053,0.49895445000451816,407.8231060562105,0.47513560960873424,0.46716994530817374,2300,2299,3897.0
EQT,SMA,54,79,0,true,false,1,84,1.669432051595632,62.65060240963856,2.5062949703818855,6.928141571733523,0.9467566319566811,-0.1972321884232082,78 days 21:41:12.289156627,0.005032856981296426,0.15492710346038996,0.30800983664148956,1.0733569060721881,0,11386,11387 days 00:00:00,1000.0,68970.35901413702,6797.035901413702,8467.001047367612,100.0,2118.837191489445,52.571816912564216,1756 days 00:00:00,83,-68.97035901412892,128.08397374764468,-24.976785901817326,15.9921480815334,-8.275998380188854,98 days 22:36:55.384615385,45 days 06:58:03.870967742,819.750956303026,0.6348640555200391,0.2764711359151056,1.135384846904128,0.3200138958453749,10.015688819105282,1.1101300203126792,0.3819174757281553,-0.020833127200820152,None,None,0.0004728864393146571,0.11916738270729359,67.97035901413705,0.09822296138835829,0.22590342931143725,6550,6549,16491.626984126982
AAPL,SMA,17,47,0,true,false,1,125,1.639716295044534,50.806451612903224,2.6275405480829916,8.704740051611449,1.1666153647690647,-0.353838786213142,53 days 00:46:27.096774192,0.007645200830872441,0.2344168601535989,0.46695838542596896,2.040537831352032,0,11198,11199 days 00:00:00,1000.0,1051445.7521118533,105044.57521118534,162567.13180843322,100.0,48501.54103953083,75.5215582286803,1613 days 00:00:00,124,-1051.4457521117292,126.2470685237955,-60.34491182136912,25.443288608462556,-8.582613375956086,80 days 10:17:08.571428572,24 days 17:42:17.704918032,8479.816111806165,0.7929748409652287,0.3370510810742967,1.17281059937349,-0.9764378367708438,56.49662104998872,1.114468807495756,0.4244467056728568,-0.028105131068274176,None,None,0.0008247203664070973,0.2078295323345885,1050.4457521118636,0.16948936196933584,0.3154234762074935,6577,6576,16219.325396825396
GD,SMA,73,86,0,true,false,1,135,1.4188642733237062,57.46268656716418,2.20260709174612,5.402667337528964,0.7626206260686871,-0.7956652102347209,70 days 17:43:52.835820894,0.0057999541403768225,0.17773180364867408,0.35414707541846907,0.9602258104128026,0,15951,15952 days 00:00:00,1000.0,77774.65060429521,7677.46506042952,37572.97065883241,100.0,4360.7061333802585,64.95036832517863,3122 days 00:00:00,134,-77.77465060428949,239.116,-29.337499999999995,15.126388080524128,-7.732885245113624,90 days 23:22:35.844155844,43 days 09:41:03.157894736,573.5255616037275,0.5093626137396132,0.16127905478816673,1.105365691321727,0.5082260396100728,13.485111218000483,1.086934951124293,0.4074466207870125,-0.020745393544499065,None,None,0.0003677616615517787,0.09267593871104823,76.77465060429519,0.07119937476092653,0.218970742051451,9480,9479,23103.63095238095
AMD,EMA,34,45,0,true,false,1,85,1.3730719402398337,39.285714285714285,1.8824597626543178,14.803310580941247,0.9061282788555296,5.65645626616394,70 days 04:17:08.571428571,0.005093493812396383,0.1567714737396803,0.31169857720007027,2.3207368160003625,0,11386,11387 days 00:00:00,1000.0,237128.76914499252,23612.876914499255,3547.3645390758584,100.0,6549.674170677027,76.28928779367831,2360 days 00:00:00,84,-237.12876914496883,300.2928752959182,-46.35263157894735,56.34456088502128,-12.076321968757593,136 days 23:16:21.818181818,26 days 23:03:31.764705882,2813.8797370730663,0.5993246517955603,0.251140221988644,1.1329992211379625,0.7554607337633105,27.912363554172423,1.1322069139903153,0.33540518353465465,-0.03703703703703707,None,None,0.000822825148044823,0.2073519373072954,236.1287691449925,0.12865078544835362,0.4163821635408799,5896,5895,16491.626984126982
MSTR,SMA,54,88,0,true,false,1,43,1.3716467966615267,52.38095238095239,2.5902637631427523,27.367139735467795,1.0669231303282591,0.6821955711013834,89 days 22:17:08.571428571,0.004279406770066795,0.13326446280991736,0.2634297520661157,3.6470671754910593,0,6776,6777 days 00:00:00,1000.0,65159.53844951921,6415.953844951921,3814.035630085036,100.0,988.0669000649722,94.54785707079053,2747 days 00:00:00,42,-65.15953844950855,562.6814392461363,-38.378342628451925,66.38456391366992,-15.55202686055455,127 days 15:16:21.818181818,48 days 10:48:00,1529.1594759040172,0.6780716370084925,0.26681851058006417,1.1718394494014042,0.7042280570153076,40.15326644424032,1.1942789282197306,0.38390851541760257,-0.040280098735804654,None,None,0.00114178401623844,0.2877295720920869,64.15953844951916,0.1680247278184479,0.5106873296503198,3778,3777,9814.444444444443
QQQ,SMA,46,50,0,true,false,1,119,1.3530400702600154,55.932203389830505,2.158615617335637,2.0470435344056686,0.8683788313148618,-0.31539521337941495,35 days 13:25:25.423728812,0.012364318280571395,0.3792684777659736,0.7553498254666869,0.7763790852147163,0,6589,6590 days 00:00:00,1000.0,7314.084101495049,631.4084101495049,922.2962247552001,100.0,700.4201798467632,56.84337022181075,2450 days 00:00:00,118,-7.3140841014937905,48.71797520661156,-14.504799586129439,6.674334382048514,-3.826056387602556,47 days 02:32:43.636363636,20 days 21:41:32.307692307,53.57117106437745,0.612638280448877,0.2049692979651153,1.1241647026502362,-0.02902370354472126,13.057417940084646,0.974895989411956,0.5350570696482646,-0.01818391607304384,None,None,0.0003678201617003581,0.09269068074849024,6.3140841014950215,0.07905918709306858,0.18208664902054272,4197,4196,9543.59126984127
SUI20947-USD,SMA,4,5,0,true,false,1,98,1.1263487038774738,38.144329896907216,1.309493007862895,2.1494863340101547,1.920259021932524,0.2755773705439688,3 days 14:35:52.577319586,0.12985274431057564,3.9357429718875503,7.83132530120482,8.459825732248802,0,747,748 days 00:00:00,1000.0,3208.548036753181,220.8548036753181,173.14104873241422,100.0,432.67277434658484,69.99692009637857,216 days 00:00:00,97,-3.2085480367527452,111.35440817868894,-21.05689864378247,13.394834580517646,-4.785145084669465,5 days 12:19:27.567567567,2 days 10:23:59.999999999,22.801614276184893,1.1074709212332547,1.094749997461715,1.2544693299285656,1.3052861508463338,7.060802369778944,2.051426316000832,0.29411764705882354,-0.05574120420924373,None,None,0.0023672058099237173,0.5965358641007767,2.208548036753178,0.4810664248924341,0.6482617374527636,351,350,747
PENDLE-USD,SMA,84,85,0,true,false,1,34,1.2023830662350723,39.39393939393939,1.5848818353908671,33.30347653106464,2.0432761652779035,3.5110843996513577,22 days 02:54:32.727272727,0.02228224172856178,0.6887238352464551,1.3571910871033086,22.936898083515146,0,1481,1482 days 00:00:00,1000.0,13430.367813924764,1243.0367813924765,275.5516570447109,100.0,402.1279891053208,70.20231544926791,485 days 00:00:00,33,-13.430367813924022,727.9662034176934,-33.54070225613814,100.73890248035755,-10.529550335975745,35 days 12:55:23.076923077,13 days 09:36:00,377.0847933860206,1.095300197444419,1.2762930366651308,1.2685729127526681,2.7016672217298208,22.061992697962367,1.4770069890689703,0.3126660761736049,-0.07557208038522495,None,None,0.0031511246567116568,0.7940834134913375,12.430367813924759,0.555323076498639,0.8725274936502435,731,730,1481
FFIV,SMA,9,75,0,true,false,1,60,1.1824042014253053,40.67796610169492,2.074251090212121,8.960271599123118,0.9921650553674325,-0.2853334460516626,62 days 21:33:33.559322034,0.006238971753000838,0.19298514320722926,0.3827538673610047,1.729199297732444,0,6529,6530 days 00:00:00,1000.0,27738.139252706813,2673.813925270681,3741.3447019432906,100.0,1323.7154377386066,62.67442415183312,1046 days 00:00:00,59,-27.73813925270224,109.82412359024303,-23.035592252722033,33.736615501423046,-8.029221362453978,114 days 16:00:00,27 days 09:36:00,453.6589388467713,0.6376946532015699,0.3256489618954557,1.1509980018597288,1.4645966634914325,28.60811409423589,1.0995233122289774,0.4174082917299762,-0.03056104735299196,None,None,0.0007724992471060278,0.194669810270719,26.7381392527069,0.13681544973178283,0.3673939427759686,3712,3711,9456.686507936507
