Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
Least Total Return [%],STRK,SMA,3,12,0,false,false,1,5,NaN,0.0,0.0,NaN,-5.115092123201264,-8.321794121855543,2 days 18:00:00,0.05414987912973408,2.058823529411765,3.7058823529411766,NaN,0,51,52 days 00:00:00,1000.0,807.1116203011635,-19.28883796988365,2.6344414564056784,100.0,7.817376222264248,21.873487603718143,39 days 00:00:00,4,8.610500717242871,-2.309657659957577,-10.359320254902585,NaN,-5.425396512152678,NaT,2 days 18:00:00,-50.37472010401985,-5.123958184339771,-3.555899699374658,0.1468538255405329,-3.653442973577658,16.570272484719442,0.477274933006732,0.08333333333333333,-0.02527305222798599,None,None,-0.003999022112932645,-1.0077535724590265,-0.19288837969883654,-0.6460141452552612,0.23669818694088643,13,12,73.86904761904762
Mean Total Return [%],STRK,SMA,3,15,0,false,false,1,3,NaN,0.0,0.0,NaN,-3.2572151766533084,-5.186881830476874,2 days 12:00:00,0.02707493956486704,1.2352941176470589,2.058823529411765,NaN,0,51,52 days 00:00:00,1000.0,889.6990493272003,-11.030095067279968,2.6344414564056784,100.0,4.723050209892133,12.067184617576402,38 days 00:00:00,2,9.491567349140155,-1.8202923295573943,-10.359320254902597,NaN,-6.089806292229996,NaT,2 days 12:00:00,-59.89625901096993,-3.117856303438144,-4.6383910357810105,0.25327501747260994,-4.67645006770283,28.864779811808873,0.8864625611541348,0.04,-0.0191696227079552,None,None,-0.0021556430298816705,-0.543222043530181,-0.11030095067279988,-0.4324235303994106,0.20968504220907533,7,6,73.86904761904762
Median Total Return [%],STRK,SMA,3,15,0,false,false,1,3,NaN,0.0,0.0,NaN,-3.2572151766533084,-5.186881830476874,2 days 12:00:00,0.02707493956486704,1.2352941176470589,2.058823529411765,NaN,0,51,52 days 00:00:00,1000.0,889.6990493272003,-11.030095067279968,2.6344414564056784,100.0,4.723050209892133,12.067184617576402,38 days 00:00:00,2,9.491567349140155,-1.8202923295573943,-10.359320254902597,NaN,-6.089806292229996,NaT,2 days 12:00:00,-59.89625901096993,-3.117856303438144,-4.6383910357810105,0.25327501747260994,-4.67645006770283,28.864779811808873,0.8864625611541348,0.04,-0.0191696227079552,None,None,-0.0021556430298816705,-0.543222043530181,-0.11030095067279988,-0.4324235303994106,0.20968504220907533,7,6,73.86904761904762
Least Total Fees Paid,STRK,SMA,2,19,0,false,false,0,2,NaN,0.0,0.0,NaN,-2.6283685409701856,-4.372460478194688,3 days 12:00:00,0.02707493956486704,0.823529411764706,1.647058823529412,NaN,0,51,52 days 00:00:00,1000.0,911.154503061542,-8.884549693845804,2.6344414564056784,100.0,3.742899943292367,10.725776707145588,29 days 00:00:00,2,0.0,-0.5203023979999892,-8.416881331458129,NaN,-4.468591864729059,NaT,3 days 12:00:00,-44.422748469229006,-2.4690673575870434,-4.4711379280948975,0.34029964591912054,-4.7405336050067275,30.162348749944826,0.680599291838241,0.06122448979591837,-0.011845561339979098,None,None,-0.0016991463351282575,-0.4281848764523209,-0.08884549693845833,-0.3629452757064636,0.20871061981994118,7,7,73.86904761904762
Median Total Fees Paid,STRK,SMA,2,16,0,true,false,1,4,NaN,0.0,0.0,NaN,-3.910084382679623,-6.095896037099927,2 days 16:00:00,0.040612409347300565,1.647058823529412,2.882352941176471,NaN,0,51,52 days 00:00:00,1000.0,865.7516022233054,-13.424839777669456,2.6344414564056784,100.0,6.497352694720558,15.552961259450305,35 days 00:00:00,3,-0.865751602223213,-0.7614238392222996,-10.311760022505698,NaN,-4.573618164330542,NaT,2 days 16:00:00,-44.460882058157146,-3.7891846906534066,-4.092227470685367,0.20375577787886456,-4.371073805266665,25.691546369556242,0.6112673336365936,0.06122448979591837,-0.02261152086706073,None,None,-0.0026753390154825537,-0.6741854319016035,-0.13424839777669428,-0.5027230613379312,0.2141311018416493,9,8,73.86904761904762
Most Max Drawdown [%],STRK,SMA,3,12,0,false,false,1,5,NaN,0.0,0.0,NaN,-5.115092123201264,-8.321794121855543,2 days 18:00:00,0.05414987912973408,2.058823529411765,3.7058823529411766,NaN,0,51,52 days 00:00:00,1000.0,807.1116203011635,-19.28883796988365,2.6344414564056784,100.0,7.817376222264248,21.873487603718143,39 days 00:00:00,4,8.610500717242871,-2.309657659957577,-10.359320254902585,NaN,-5.425396512152678,NaT,2 days 18:00:00,-50.37472010401985,-5.123958184339771,-3.555899699374658,0.1468538255405329,-3.653442973577658,16.570272484719442,0.477274933006732,0.08333333333333333,-0.02527305222798599,None,None,-0.003999022112932645,-1.0077535724590265,-0.19288837969883654,-0.6460141452552612,0.23669818694088643,13,12,73.86904761904762
Least Max Drawdown [%],STRK,SMA,4,14,0,true,false,1,3,NaN,0.0,0.0,NaN,-2.8569196065340483,-2.570899294369073,2 days 12:00:00,0.02707493956486704,1.2352941176470589,2.058823529411765,NaN,0,51,52 days 00:00:00,1000.0,958.6155777507569,-4.138442224924313,2.6344414564056784,100.0,4.883683799161052,4.166218830119701,35 days 00:00:00,2,-0.9586155777506065,-1.725197032533886,-2.362137022288412,NaN,-2.0436670274111486,NaT,2 days 12:00:00,-20.21290333574625,-2.349811325200337,-6.161698400071615,0.39768425911491145,-0.7597107804561681,12.150066898627957,1.1930527773447346,0.04,-0.008433225186976503,None,None,-0.0007920397790712234,-0.19959402432594828,-0.04138442224924321,-0.18520878772047944,0.10222584378735924,6,5,73.86904761904762
Mean Max Drawdown [%],STRK,SMA,2,18,0,false,false,0,3,NaN,0.0,0.0,NaN,-4.220032950652727,-6.364728269992875,2 days 00:00:00,0.040612409347300565,1.2352941176470589,2.4705882352941178,NaN,0,51,52 days 00:00:00,1000.0,858.6693744317926,-14.133062556820745,2.6344414564056784,100.0,5.5891142787726755,14.800682808995704,33 days 00:00:00,3,0.0,-1.6724844738191553,-10.311760022505686,NaN,-4.877305042529493,NaT,2 days 00:00:00,-47.110208522735796,-4.264717160635298,-4.437836212475667,0.0596364497738404,-5.366664517013202,32.25546083626689,0.2087275742084414,0.04,-0.022611520867060822,None,None,-0.002842470338996116,-0.7163025254270212,-0.14133062556820764,-0.5221292078196941,0.20214006939366586,6,6,73.86904761904762
Median Max Drawdown [%],STRK,SMA,2,16,0,true,false,1,4,NaN,0.0,0.0,NaN,-3.910084382679623,-6.095896037099927,2 days 16:00:00,0.040612409347300565,1.647058823529412,2.882352941176471,NaN,0,51,52 days 00:00:00,1000.0,865.7516022233054,-13.424839777669456,2.6344414564056784,100.0,6.497352694720558,15.552961259450305,35 days 00:00:00,3,-0.865751602223213,-0.7614238392222996,-10.311760022505698,NaN,-4.573618164330542,NaT,2 days 16:00:00,-44.460882058157146,-3.7891846906534066,-4.092227470685367,0.20375577787886456,-4.371073805266665,25.691546369556242,0.6112673336365936,0.06122448979591837,-0.02261152086706073,None,None,-0.0026753390154825537,-0.6741854319016035,-0.13424839777669428,-0.5027230613379312,0.2141311018416493,9,8,73.86904761904762
Least Total Trades,STRK,SMA,2,19,0,false,false,0,2,NaN,0.0,0.0,NaN,-2.6283685409701856,-4.372460478194688,3 days 12:00:00,0.02707493956486704,0.823529411764706,1.647058823529412,NaN,0,51,52 days 00:00:00,1000.0,911.154503061542,-8.884549693845804,2.6344414564056784,100.0,3.742899943292367,10.725776707145588,29 days 00:00:00,2,0.0,-0.5203023979999892,-8.416881331458129,NaN,-4.468591864729059,NaT,3 days 12:00:00,-44.422748469229006,-2.4690673575870434,-4.4711379280948975,0.34029964591912054,-4.7405336050067275,30.162348749944826,0.680599291838241,0.06122448979591837,-0.011845561339979098,None,None,-0.0016991463351282575,-0.4281848764523209,-0.08884549693845833,-0.3629452757064636,0.20871061981994118,7,7,73.86904761904762
