Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
Least Worst Trade [%],BTC-USD,SMA,44,45,0,true,false,1,129,1.6899493687745168,52.34375,1.8455254421615919,7.57915375060864,1.7396428125574648,-0.20719432125475273,17 days 15:44:59.999999998,0.03307493540051679,1.0,1.9922480620155039,7.57915375060864,0,3870,3871 days 00:00:00,1000.0,161224.75571347194,16022.475571347195,20209.83956207976,100.0,13026.510808088167,67.20835928896604,790 days 00:00:00,128,-161.22475571345421,405.9916655030791,-43.847738010544894,20.400707913376905,-6.50353688718601,21 days 17:11:38.507462686,13 days 04:43:16.721311475,1253.0154724155113,1.1721559829486599,0.9148885516642469,1.2768465371064652,-0.2892636662429767,17.77527092437496,1.2021043007880403,0.4657326770162817,-0.037311455041035585,None,None,0.0017047540865904782,0.42959802982080053,160.22475571347204,0.3922031367995462,0.44108575688091217,2261,2260,3870
Mean Best Trade [%],BTC-USD,SMA,35,36,0,true,false,1,160,1.610755001740031,53.459119496855344,1.8015867183056842,5.5480379906658035,1.8641167074438065,-0.22159283434759677,13 days 22:29:26.037735847,0.04108527131782946,1.2403100775193798,2.4728682170542635,6.881287430283167,0,3870,3871 days 00:00:00,1000.0,158314.83931808313,15731.483931808312,20209.83956207976,100.0,17683.762327070726,61.32773532437713,847 days 00:00:00,159,-158.31483931807452,310.989759021162,-21.881597780482586,14.789915011908214,-5.067631560761289,18 days 19:12:00,8 days 08:25:56.756756756,990.3971959584987,1.2007655732532152,0.9980974990369547,1.2841092618671515,0.5989737340873399,10.95528484029987,1.2701281727513472,0.44602166604407917,-0.036264859904641844,None,None,0.0016518330968665754,0.416261940410377,157.3148393180827,0.39055337834147763,0.41720993172234044,2217,2216,3870
Most Total Return [%],BTC-USD,SMA,14,37,0,true,false,1,49,1.6053168737435233,54.166666666666664,3.2282953718956886,21.580511648994822,2.29391248657888,1.8250825688208445,44 days 21:59:59.999999999,0.012403100775193798,0.3798449612403101,0.751937984496124,8.197248610858498,0,3870,3871 days 00:00:00,1000.0,571944.6546549742,57094.46546549742,20209.83956207976,100.0,13941.62097913617,50.194364826425364,752 days 00:00:00,48,-571.9446546549443,247.33671759751164,-19.300627309354304,45.77106010558281,-7.0083183451546125,66 days 02:46:09.230769231,19 days 20:43:38.181818181,11906.595818950607,1.4612398340060864,1.6329979439311415,1.3582590985775054,0.5673817827212609,10.556493090788303,1.1916583232835032,0.4352984797923619,-0.03506180501760361,None,None,0.0019709499244414926,0.4966793809592561,570.9446546549759,0.511827531507316,0.409072975977327,2157,2156,3870
Least Max Drawdown [%],BTC-USD,SMA,14,37,0,true,false,1,49,1.6053168737435233,54.166666666666664,3.2282953718956886,21.580511648994822,2.29391248657888,1.8250825688208445,44 days 21:59:59.999999999,0.012403100775193798,0.3798449612403101,0.751937984496124,8.197248610858498,0,3870,3871 days 00:00:00,1000.0,571944.6546549742,57094.46546549742,20209.83956207976,100.0,13941.62097913617,50.194364826425364,752 days 00:00:00,48,-571.9446546549443,247.33671759751164,-19.300627309354304,45.77106010558281,-7.0083183451546125,66 days 02:46:09.230769231,19 days 20:43:38.181818181,11906.595818950607,1.4612398340060864,1.6329979439311415,1.3582590985775054,0.5673817827212609,10.556493090788303,1.1916583232835032,0.4352984797923619,-0.03506180501760361,None,None,0.0019709499244414926,0.4966793809592561,570.9446546549759,0.511827531507316,0.409072975977327,2157,2156,3870
Most Profit Factor,BTC-USD,SMA,14,37,0,true,false,1,49,1.6053168737435233,54.166666666666664,3.2282953718956886,21.580511648994822,2.29391248657888,1.8250825688208445,44 days 21:59:59.999999999,0.012403100775193798,0.3798449612403101,0.751937984496124,8.197248610858498,0,3870,3871 days 00:00:00,1000.0,571944.6546549742,57094.46546549742,20209.83956207976,100.0,13941.62097913617,50.194364826425364,752 days 00:00:00,48,-571.9446546549443,247.33671759751164,-19.300627309354304,45.77106010558281,-7.0083183451546125,66 days 02:46:09.230769231,19 days 20:43:38.181818181,11906.595818950607,1.4612398340060864,1.6329979439311415,1.3582590985775054,0.5673817827212609,10.556493090788303,1.1916583232835032,0.4352984797923619,-0.03506180501760361,None,None,0.0019709499244414926,0.4966793809592561,570.9446546549759,0.511827531507316,0.409072975977327,2157,2156,3870
Most Expectancy,BTC-USD,SMA,14,37,0,true,false,1,49,1.6053168737435233,54.166666666666664,3.2282953718956886,21.580511648994822,2.29391248657888,1.8250825688208445,44 days 21:59:59.999999999,0.012403100775193798,0.3798449612403101,0.751937984496124,8.197248610858498,0,3870,3871 days 00:00:00,1000.0,571944.6546549742,57094.46546549742,20209.83956207976,100.0,13941.62097913617,50.194364826425364,752 days 00:00:00,48,-571.9446546549443,247.33671759751164,-19.300627309354304,45.77106010558281,-7.0083183451546125,66 days 02:46:09.230769231,19 days 20:43:38.181818181,11906.595818950607,1.4612398340060864,1.6329979439311415,1.3582590985775054,0.5673817827212609,10.556493090788303,1.1916583232835032,0.4352984797923619,-0.03506180501760361,None,None,0.0019709499244414926,0.4966793809592561,570.9446546549759,0.511827531507316,0.409072975977327,2157,2156,3870
Most Sharpe Ratio,BTC-USD,SMA,14,37,0,true,false,1,49,1.6053168737435233,54.166666666666664,3.2282953718956886,21.580511648994822,2.29391248657888,1.8250825688208445,44 days 21:59:59.999999999,0.012403100775193798,0.3798449612403101,0.751937984496124,8.197248610858498,0,3870,3871 days 00:00:00,1000.0,571944.6546549742,57094.46546549742,20209.83956207976,100.0,13941.62097913617,50.194364826425364,752 days 00:00:00,48,-571.9446546549443,247.33671759751164,-19.300627309354304,45.77106010558281,-7.0083183451546125,66 days 02:46:09.230769231,19 days 20:43:38.181818181,11906.595818950607,1.4612398340060864,1.6329979439311415,1.3582590985775054,0.5673817827212609,10.556493090788303,1.1916583232835032,0.4352984797923619,-0.03506180501760361,None,None,0.0019709499244414926,0.4966793809592561,570.9446546549759,0.511827531507316,0.409072975977327,2157,2156,3870
Most Calmar Ratio,BTC-USD,SMA,14,37,0,true,false,1,49,1.6053168737435233,54.166666666666664,3.2282953718956886,21.580511648994822,2.29391248657888,1.8250825688208445,44 days 21:59:59.999999999,0.012403100775193798,0.3798449612403101,0.751937984496124,8.197248610858498,0,3870,3871 days 00:00:00,1000.0,571944.6546549742,57094.46546549742,20209.83956207976,100.0,13941.62097913617,50.194364826425364,752 days 00:00:00,48,-571.9446546549443,247.33671759751164,-19.300627309354304,45.77106010558281,-7.0083183451546125,66 days 02:46:09.230769231,19 days 20:43:38.181818181,11906.595818950607,1.4612398340060864,1.6329979439311415,1.3582590985775054,0.5673817827212609,10.556493090788303,1.1916583232835032,0.4352984797923619,-0.03506180501760361,None,None,0.0019709499244414926,0.4966793809592561,570.9446546549759,0.511827531507316,0.409072975977327,2157,2156,3870
Most Omega Ratio,BTC-USD,SMA,14,37,0,true,false,1,49,1.6053168737435233,54.166666666666664,3.2282953718956886,21.580511648994822,2.29391248657888,1.8250825688208445,44 days 21:59:59.999999999,0.012403100775193798,0.3798449612403101,0.751937984496124,8.197248610858498,0,3870,3871 days 00:00:00,1000.0,571944.6546549742,57094.46546549742,20209.83956207976,100.0,13941.62097913617,50.194364826425364,752 days 00:00:00,48,-571.9446546549443,247.33671759751164,-19.300627309354304,45.77106010558281,-7.0083183451546125,66 days 02:46:09.230769231,19 days 20:43:38.181818181,11906.595818950607,1.4612398340060864,1.6329979439311415,1.3582590985775054,0.5673817827212609,10.556493090788303,1.1916583232835032,0.4352984797923619,-0.03506180501760361,None,None,0.0019709499244414926,0.4966793809592561,570.9446546549759,0.511827531507316,0.409072975977327,2157,2156,3870
Most Sortino Ratio,BTC-USD,SMA,14,37,0,true,false,1,49,1.6053168737435233,54.166666666666664,3.2282953718956886,21.580511648994822,2.29391248657888,1.8250825688208445,44 days 21:59:59.999999999,0.012403100775193798,0.3798449612403101,0.751937984496124,8.197248610858498,0,3870,3871 days 00:00:00,1000.0,571944.6546549742,57094.46546549742,20209.83956207976,100.0,13941.62097913617,50.194364826425364,752 days 00:00:00,48,-571.9446546549443,247.33671759751164,-19.300627309354304,45.77106010558281,-7.0083183451546125,66 days 02:46:09.230769231,19 days 20:43:38.181818181,11906.595818950607,1.4612398340060864,1.6329979439311415,1.3582590985775054,0.5673817827212609,10.556493090788303,1.1916583232835032,0.4352984797923619,-0.03506180501760361,None,None,0.0019709499244414926,0.4966793809592561,570.9446546549759,0.511827531507316,0.409072975977327,2157,2156,3870
