Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
Mean Total Return [%],YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
Median Total Return [%],YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
Most Total Fees Paid,YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
Least Max Drawdown [%],YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
Most Best Trade [%],YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
Mean Avg Losing Trade [%],YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
Mean Sharpe Ratio,YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
Median Sharpe Ratio,YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
Mean Omega Ratio,YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
Median Omega Ratio,YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
Mean Sortino Ratio,YUM,EMA,12,64,0,true,false,1,80,0.7910419309642596,40.50632911392405,1.492648252765014,2.9179560203975687,0.676194893787617,-0.8607994595593248,59 days 04:51:38.734177215,0.007850095819433602,0.24179620034542315,0.48056994818652854,0.7055506785071842,0,6948,6949 days 00:00:00,1000.0,4812.472368726158,381.24723687261576,2738.834459016317,100.0,615.3210157520639,41.350946456050295,2195 days 00:00:00,79,-4.812472368726048,109.01272343784174,-13.749188806308151,13.810913907882306,-4.4985259455494875,119 days 12:45:00,18 days 03:03:49.787234042,48.320061279682065,0.4604761706524771,0.2080480843297224,1.0874989065569036,0.3144161556532776,9.757723441944327,1.0597426583142362,0.5242377714411055,-0.01960347990361716,None,None,0.0003071639631728007,0.07740531871954577,3.8124723687261355,0.05863328794593503,0.20230648497449005,4678,4677,10063.571428571428
