Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
Most Win Rate [%],TSLA,SMA,26,28,0,true,false,1,129,1.5977400883736355,57.8125,1.9002142191484215,5.400435616816706,1.6947807215631914,-0.5859551638933947,16 days 05:37:29.999999999,0.02364800715539899,0.7249130318437249,1.4442065828204442,3.914846156263435,0,3737,3738 days 00:00:00,1000.0,72394.73020107178,7139.473020107178,17243.236474682075,100.0,4548.101893305773,50.467662837415304,1329 days 00:00:00,128,-72.3947302010638,190.33059361993975,-21.897325555112854,13.921193216558594,-6.27615813097773,21 days 17:11:21.081081081,8 days 17:19:59.999999999,558.3369135255693,1.082115054466514,1.0286224690728751,1.2463151536180888,0.7784048182543977,12.606683753452057,1.2911963087345335,0.40790960451977404,-0.03666465925557687,None,None,0.001487513614242247,0.3748534307890462,71.39473020107161,0.3346687823239718,0.41690222488443757,2079,2078,5412.7182539682535
Least Max Drawdown Duration,TSLA,SMA,26,27,0,true,false,1,172,1.4185428520334669,52.63157894736842,1.7722495393819733,4.1512948306770845,1.7022654157390031,-0.5650666355740429,12 days 05:19:59.999999999,0.03159225955916584,0.9665507091249665,1.9274819373829273,4.012436962377744,0,3737,3738 days 00:00:00,1000.0,75996.58853525853,7499.658853525854,17243.236474682075,100.0,6433.308806444319,45.844287876116766,1082 days 00:00:00,171,-75.99658853524306,166.9381419116026,-21.89732555511286,12.684654285780786,-5.330215674993695,16 days 07:44:00,7 days 16:00:00,439.0209656362209,1.087595851292987,1.1481065229473502,1.2479283634139458,0.7254698680097846,12.810420123205317,1.339519435958092,0.4116314199395771,-0.036694742414715986,None,None,0.0015057886678728665,0.37945874430396237,74.99658853525892,0.33904480116802227,0.4198973993126769,2091,2090,5412.7182539682535
Most Total Return [%],TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Most Total Fees Paid,TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Least Max Drawdown [%],TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Most Total Trades,TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Least Best Trade [%],TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Most Worst Trade [%],TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Most Avg Losing Trade [%],TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Most Sharpe Ratio,TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
