Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
Most Total Return [%],FFIV,EMA,27,78,0,true,false,1,34,1.39647284679184,51.515151515151516,2.804726165003451,31.109843449868215,1.2443307088326165,1.5133757064851872,111 days 18:54:32.727272728,0.0034922687988711864,0.1094420600858369,0.21566523605150215,3.4047253561014568,0,6524,6525 days 00:00:00,1000.0,93226.1059276059,9222.61059276059,3669.4118467699705,100.0,2572.5342535512036,58.07017543859649,1920 days 00:00:00,33,-93.22610592759156,493.6604838709679,-20.32038089051141,69.39727518045254,-9.570552763877627,181 days 02:49:24.705882354,38 days 03:00:00,2797.555516167681,0.7570577936812933,0.4972671498055485,1.1909718676309478,2.3582794309408364,33.44704033861666,1.1194139967962773,0.41509433962264153,-0.03197252246805669,None,None,0.0010100018250875917,0.2545204599220731,92.22610592760627,0.19142003308721756,0.4046129945280051,3690,3689,9449.444444444443
Most Win Rate [%],FFIV,EMA,27,78,0,true,false,1,34,1.39647284679184,51.515151515151516,2.804726165003451,31.109843449868215,1.2443307088326165,1.5133757064851872,111 days 18:54:32.727272728,0.0034922687988711864,0.1094420600858369,0.21566523605150215,3.4047253561014568,0,6524,6525 days 00:00:00,1000.0,93226.1059276059,9222.61059276059,3669.4118467699705,100.0,2572.5342535512036,58.07017543859649,1920 days 00:00:00,33,-93.22610592759156,493.6604838709679,-20.32038089051141,69.39727518045254,-9.570552763877627,181 days 02:49:24.705882354,38 days 03:00:00,2797.555516167681,0.7570577936812933,0.4972671498055485,1.1909718676309478,2.3582794309408364,33.44704033861666,1.1194139967962773,0.41509433962264153,-0.03197252246805669,None,None,0.0010100018250875917,0.2545204599220731,92.22610592760627,0.19142003308721756,0.4046129945280051,3690,3689,9449.444444444443
Most Profit Factor,FFIV,EMA,27,78,0,true,false,1,34,1.39647284679184,51.515151515151516,2.804726165003451,31.109843449868215,1.2443307088326165,1.5133757064851872,111 days 18:54:32.727272728,0.0034922687988711864,0.1094420600858369,0.21566523605150215,3.4047253561014568,0,6524,6525 days 00:00:00,1000.0,93226.1059276059,9222.61059276059,3669.4118467699705,100.0,2572.5342535512036,58.07017543859649,1920 days 00:00:00,33,-93.22610592759156,493.6604838709679,-20.32038089051141,69.39727518045254,-9.570552763877627,181 days 02:49:24.705882354,38 days 03:00:00,2797.555516167681,0.7570577936812933,0.4972671498055485,1.1909718676309478,2.3582794309408364,33.44704033861666,1.1194139967962773,0.41509433962264153,-0.03197252246805669,None,None,0.0010100018250875917,0.2545204599220731,92.22610592760627,0.19142003308721756,0.4046129945280051,3690,3689,9449.444444444443
Most Expectancy,FFIV,EMA,27,78,0,true,false,1,34,1.39647284679184,51.515151515151516,2.804726165003451,31.109843449868215,1.2443307088326165,1.5133757064851872,111 days 18:54:32.727272728,0.0034922687988711864,0.1094420600858369,0.21566523605150215,3.4047253561014568,0,6524,6525 days 00:00:00,1000.0,93226.1059276059,9222.61059276059,3669.4118467699705,100.0,2572.5342535512036,58.07017543859649,1920 days 00:00:00,33,-93.22610592759156,493.6604838709679,-20.32038089051141,69.39727518045254,-9.570552763877627,181 days 02:49:24.705882354,38 days 03:00:00,2797.555516167681,0.7570577936812933,0.4972671498055485,1.1909718676309478,2.3582794309408364,33.44704033861666,1.1194139967962773,0.41509433962264153,-0.03197252246805669,None,None,0.0010100018250875917,0.2545204599220731,92.22610592760627,0.19142003308721756,0.4046129945280051,3690,3689,9449.444444444443
Most Sharpe Ratio,FFIV,EMA,27,78,0,true,false,1,34,1.39647284679184,51.515151515151516,2.804726165003451,31.109843449868215,1.2443307088326165,1.5133757064851872,111 days 18:54:32.727272728,0.0034922687988711864,0.1094420600858369,0.21566523605150215,3.4047253561014568,0,6524,6525 days 00:00:00,1000.0,93226.1059276059,9222.61059276059,3669.4118467699705,100.0,2572.5342535512036,58.07017543859649,1920 days 00:00:00,33,-93.22610592759156,493.6604838709679,-20.32038089051141,69.39727518045254,-9.570552763877627,181 days 02:49:24.705882354,38 days 03:00:00,2797.555516167681,0.7570577936812933,0.4972671498055485,1.1909718676309478,2.3582794309408364,33.44704033861666,1.1194139967962773,0.41509433962264153,-0.03197252246805669,None,None,0.0010100018250875917,0.2545204599220731,92.22610592760627,0.19142003308721756,0.4046129945280051,3690,3689,9449.444444444443
Most Calmar Ratio,FFIV,EMA,27,78,0,true,false,1,34,1.39647284679184,51.515151515151516,2.804726165003451,31.109843449868215,1.2443307088326165,1.5133757064851872,111 days 18:54:32.727272728,0.0034922687988711864,0.1094420600858369,0.21566523605150215,3.4047253561014568,0,6524,6525 days 00:00:00,1000.0,93226.1059276059,9222.61059276059,3669.4118467699705,100.0,2572.5342535512036,58.07017543859649,1920 days 00:00:00,33,-93.22610592759156,493.6604838709679,-20.32038089051141,69.39727518045254,-9.570552763877627,181 days 02:49:24.705882354,38 days 03:00:00,2797.555516167681,0.7570577936812933,0.4972671498055485,1.1909718676309478,2.3582794309408364,33.44704033861666,1.1194139967962773,0.41509433962264153,-0.03197252246805669,None,None,0.0010100018250875917,0.2545204599220731,92.22610592760627,0.19142003308721756,0.4046129945280051,3690,3689,9449.444444444443
Most Omega Ratio,FFIV,EMA,27,78,0,true,false,1,34,1.39647284679184,51.515151515151516,2.804726165003451,31.109843449868215,1.2443307088326165,1.5133757064851872,111 days 18:54:32.727272728,0.0034922687988711864,0.1094420600858369,0.21566523605150215,3.4047253561014568,0,6524,6525 days 00:00:00,1000.0,93226.1059276059,9222.61059276059,3669.4118467699705,100.0,2572.5342535512036,58.07017543859649,1920 days 00:00:00,33,-93.22610592759156,493.6604838709679,-20.32038089051141,69.39727518045254,-9.570552763877627,181 days 02:49:24.705882354,38 days 03:00:00,2797.555516167681,0.7570577936812933,0.4972671498055485,1.1909718676309478,2.3582794309408364,33.44704033861666,1.1194139967962773,0.41509433962264153,-0.03197252246805669,None,None,0.0010100018250875917,0.2545204599220731,92.22610592760627,0.19142003308721756,0.4046129945280051,3690,3689,9449.444444444443
Most Sortino Ratio,FFIV,EMA,27,78,0,true,false,1,34,1.39647284679184,51.515151515151516,2.804726165003451,31.109843449868215,1.2443307088326165,1.5133757064851872,111 days 18:54:32.727272728,0.0034922687988711864,0.1094420600858369,0.21566523605150215,3.4047253561014568,0,6524,6525 days 00:00:00,1000.0,93226.1059276059,9222.61059276059,3669.4118467699705,100.0,2572.5342535512036,58.07017543859649,1920 days 00:00:00,33,-93.22610592759156,493.6604838709679,-20.32038089051141,69.39727518045254,-9.570552763877627,181 days 02:49:24.705882354,38 days 03:00:00,2797.555516167681,0.7570577936812933,0.4972671498055485,1.1909718676309478,2.3582794309408364,33.44704033861666,1.1194139967962773,0.41509433962264153,-0.03197252246805669,None,None,0.0010100018250875917,0.2545204599220731,92.22610592760627,0.19142003308721756,0.4046129945280051,3690,3689,9449.444444444443
Mean Avg Losing Trade [%],FFIV,EMA,27,76,0,true,false,1,35,1.337514421572413,50.0,2.5626527658430978,30.003236749899994,1.1893145233639308,0.9733902660423578,108 days 17:38:49.411764705,0.003598095126109707,0.11266094420600857,0.22210300429184548,3.3801929814801492,0,6524,6525 days 00:00:00,1000.0,73411.81620516372,7241.181620516371,3669.4118467699705,100.0,2210.596397866948,58.07017543859649,2517 days 00:00:00,34,-73.41181620516,515.4129032258065,-20.32038089051141,69.80766497123733,-9.80119147143734,181 days 07:03:31.764705882,36 days 04:14:07.058823529,2131.9184712167325,0.7283024916396004,0.46780072245897314,1.1831442266867436,2.267847105457735,32.99943628328507,1.1116253469078676,0.416630481980026,-0.03227034836402093,None,None,0.0009778267399669805,0.2464123384716791,72.4118162051636,0.1804760176286493,0.40718973044906126,3698,3697,9449.444444444443
Mean Total Fees Paid,FFIV,EMA,25,83,0,true,false,1,34,1.3070183837973202,48.484848484848484,2.5706293889525607,30.142383570789384,1.1715607342479648,0.7327317343349629,111 days 14:32:43.636363636,0.0034922687988711864,0.1094420600858369,0.21566523605150215,3.298844553884675,0,6524,6525 days 00:00:00,1000.0,64581.06353242989,6358.10635324299,3669.4118467699705,100.0,1912.3235157988822,59.744181876273075,2513 days 00:00:00,33,-64.58106353242329,493.6604838709679,-20.320380890511412,73.18957480145134,-10.372619940421872,188 days 00:00:00,39 days 16:56:28.235294117,1928.6558968473428,0.7172647327061706,0.4394878695197287,1.1798138899985895,2.335763478575206,34.11629381407124,1.1124136206013946,0.4132553606237817,-0.03182507480878176,None,None,0.0009483450751575253,0.2389829589396964,63.58106353242998,0.17464737065325808,0.4009900703191816,3684,3683,9449.444444444443
