Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
Least Total Trades,SMLR,SMA,40,50,0,true,false,1,36,1.4725046377078457,60.0,1.6447557251010312,13.378291203670749,1.2156036324939572,1.128370261219742,43 days 11:39:25.714285713,0.008559824145109399,0.26780021253985126,0.5281615302869288,3.582709227763049,0,2823,2824 days 00:00:00,1000.0,10046.335428089205,904.6335428089205,425.03579348570986,100.0,302.9017879155564,67.66857183502192,719 days 00:00:00,35,-10.046335428087332,214.1921483025775,-39.783501886220606,32.50778043260641,-15.315942639732746,57 days 04:34:17.142857143,22 days 22:17:08.571428571,258.7537646719224,0.7859311630795911,0.5134406762804545,1.2056986700869687,0.7883415443787245,23.70852429385783,1.1798622700136774,0.3295668549905838,-0.03996301310462897,None,None,0.0013669767177387332,0.34447813287016077,9.046335428089211,0.22861066965324506,0.527501028791616,1523,1522,4088.8690476190477
Most Win Rate [%],SMLR,SMA,40,50,0,true,false,1,36,1.4725046377078457,60.0,1.6447557251010312,13.378291203670749,1.2156036324939572,1.128370261219742,43 days 11:39:25.714285713,0.008559824145109399,0.26780021253985126,0.5281615302869288,3.582709227763049,0,2823,2824 days 00:00:00,1000.0,10046.335428089205,904.6335428089205,425.03579348570986,100.0,302.9017879155564,67.66857183502192,719 days 00:00:00,35,-10.046335428087332,214.1921483025775,-39.783501886220606,32.50778043260641,-15.315942639732746,57 days 04:34:17.142857143,22 days 22:17:08.571428571,258.7537646719224,0.7859311630795911,0.5134406762804545,1.2056986700869687,0.7883415443787245,23.70852429385783,1.1798622700136774,0.3295668549905838,-0.03996301310462897,None,None,0.0013669767177387332,0.34447813287016077,9.046335428089211,0.22861066965324506,0.527501028791616,1523,1522,4088.8690476190477
Most Expectancy,SMLR,SMA,40,50,0,true,false,1,36,1.4725046377078457,60.0,1.6447557251010312,13.378291203670749,1.2156036324939572,1.128370261219742,43 days 11:39:25.714285713,0.008559824145109399,0.26780021253985126,0.5281615302869288,3.582709227763049,0,2823,2824 days 00:00:00,1000.0,10046.335428089205,904.6335428089205,425.03579348570986,100.0,302.9017879155564,67.66857183502192,719 days 00:00:00,35,-10.046335428087332,214.1921483025775,-39.783501886220606,32.50778043260641,-15.315942639732746,57 days 04:34:17.142857143,22 days 22:17:08.571428571,258.7537646719224,0.7859311630795911,0.5134406762804545,1.2056986700869687,0.7883415443787245,23.70852429385783,1.1798622700136774,0.3295668549905838,-0.03996301310462897,None,None,0.0013669767177387332,0.34447813287016077,9.046335428089211,0.22861066965324506,0.527501028791616,1523,1522,4088.8690476190477
Most Calmar Ratio,SMLR,SMA,40,50,0,true,false,1,36,1.4725046377078457,60.0,1.6447557251010312,13.378291203670749,1.2156036324939572,1.128370261219742,43 days 11:39:25.714285713,0.008559824145109399,0.26780021253985126,0.5281615302869288,3.582709227763049,0,2823,2824 days 00:00:00,1000.0,10046.335428089205,904.6335428089205,425.03579348570986,100.0,302.9017879155564,67.66857183502192,719 days 00:00:00,35,-10.046335428087332,214.1921483025775,-39.783501886220606,32.50778043260641,-15.315942639732746,57 days 04:34:17.142857143,22 days 22:17:08.571428571,258.7537646719224,0.7859311630795911,0.5134406762804545,1.2056986700869687,0.7883415443787245,23.70852429385783,1.1798622700136774,0.3295668549905838,-0.03996301310462897,None,None,0.0013669767177387332,0.34447813287016077,9.046335428089211,0.22861066965324506,0.527501028791616,1523,1522,4088.8690476190477
Most Total Return [%],SMLR,SMA,15,34,0,true,false,1,44,1.3249718235327121,51.162790697674424,1.8418788537529818,11.101037994677124,1.237343093844432,1.3598509530922458,33 days 11:43:15.348837208,0.010516355378277262,0.32731137088204043,0.6471838469713072,3.6334959642513867,0,2823,2824 days 00:00:00,1000.0,11030.211223555714,1003.0211223555714,425.03579348570986,100.0,365.0804162570465,71.02241695231835,696 days 00:00:00,43,-11.030211223554943,209.09543613035612,-36.171016664844544,34.13628217431268,-13.031122574464893,44 days 09:49:05.454545454,22 days 01:08:34.285714285,233.51724266928528,0.7861414861969788,0.512243848546987,1.224946255483465,2.0247620959118287,51.201309918279286,1.1908701517438083,0.3190098085007006,-0.040515161984926745,None,None,0.0015067165288473845,0.37969256526954087,10.030211223555709,0.23889671357862685,0.5812695056298168,1441,1440,4088.8690476190477
Most Sharpe Ratio,SMLR,SMA,15,34,0,true,false,1,44,1.3249718235327121,51.162790697674424,1.8418788537529818,11.101037994677124,1.237343093844432,1.3598509530922458,33 days 11:43:15.348837208,0.010516355378277262,0.32731137088204043,0.6471838469713072,3.6334959642513867,0,2823,2824 days 00:00:00,1000.0,11030.211223555714,1003.0211223555714,425.03579348570986,100.0,365.0804162570465,71.02241695231835,696 days 00:00:00,43,-11.030211223554943,209.09543613035612,-36.171016664844544,34.13628217431268,-13.031122574464893,44 days 09:49:05.454545454,22 days 01:08:34.285714285,233.51724266928528,0.7861414861969788,0.512243848546987,1.224946255483465,2.0247620959118287,51.201309918279286,1.1908701517438083,0.3190098085007006,-0.040515161984926745,None,None,0.0015067165288473845,0.37969256526954087,10.030211223555709,0.23889671357862685,0.5812695056298168,1441,1440,4088.8690476190477
Most Omega Ratio,SMLR,SMA,15,34,0,true,false,1,44,1.3249718235327121,51.162790697674424,1.8418788537529818,11.101037994677124,1.237343093844432,1.3598509530922458,33 days 11:43:15.348837208,0.010516355378277262,0.32731137088204043,0.6471838469713072,3.6334959642513867,0,2823,2824 days 00:00:00,1000.0,11030.211223555714,1003.0211223555714,425.03579348570986,100.0,365.0804162570465,71.02241695231835,696 days 00:00:00,43,-11.030211223554943,209.09543613035612,-36.171016664844544,34.13628217431268,-13.031122574464893,44 days 09:49:05.454545454,22 days 01:08:34.285714285,233.51724266928528,0.7861414861969788,0.512243848546987,1.224946255483465,2.0247620959118287,51.201309918279286,1.1908701517438083,0.3190098085007006,-0.040515161984926745,None,None,0.0015067165288473845,0.37969256526954087,10.030211223555709,0.23889671357862685,0.5812695056298168,1441,1440,4088.8690476190477
Most Sortino Ratio,SMLR,SMA,15,34,0,true,false,1,44,1.3249718235327121,51.162790697674424,1.8418788537529818,11.101037994677124,1.237343093844432,1.3598509530922458,33 days 11:43:15.348837208,0.010516355378277262,0.32731137088204043,0.6471838469713072,3.6334959642513867,0,2823,2824 days 00:00:00,1000.0,11030.211223555714,1003.0211223555714,425.03579348570986,100.0,365.0804162570465,71.02241695231835,696 days 00:00:00,43,-11.030211223554943,209.09543613035612,-36.171016664844544,34.13628217431268,-13.031122574464893,44 days 09:49:05.454545454,22 days 01:08:34.285714285,233.51724266928528,0.7861414861969788,0.512243848546987,1.224946255483465,2.0247620959118287,51.201309918279286,1.1908701517438083,0.3190098085007006,-0.040515161984926745,None,None,0.0015067165288473845,0.37969256526954087,10.030211223555709,0.23889671357862685,0.5812695056298168,1441,1440,4088.8690476190477
Most Total Fees Paid,SMLR,SMA,24,25,0,true,false,1,183,1.3024933648967658,51.64835164835166,1.206624940982617,2.8695958924327996,1.211759500855246,1.1548703700533767,8 days 03:41:32.307692307,0.044511085554568876,1.3613177470775772,2.715196599362381,3.906431815309688,0,2823,2824 days 00:00:00,1000.0,10158.970375944822,915.8970375944822,425.03579348570986,100.0,2649.7243019810326,79.42497479479239,886 days 00:00:00,182,-10.158970375943682,209.8717851238952,-39.991021583350744,11.385444161524049,-6.226878395005583,9 days 14:48:30.638297872,6 days 14:10:54.545454545,50.37983157319118,0.7692325636932252,0.43988815893541544,1.2174487805354213,1.9650348088938803,49.06129820070046,1.4856403959577171,0.32333645735707595,-0.04107906912908251,None,None,0.0015134290790092748,0.38138412791033727,9.158970375944808,0.22983361885200204,0.5966932377204758,1485,1484,4088.8690476190477
Most Avg Winning Trade Duration,SMLR,SMA,24,25,0,true,false,1,183,1.3024933648967658,51.64835164835166,1.206624940982617,2.8695958924327996,1.211759500855246,1.1548703700533767,8 days 03:41:32.307692307,0.044511085554568876,1.3613177470775772,2.715196599362381,3.906431815309688,0,2823,2824 days 00:00:00,1000.0,10158.970375944822,915.8970375944822,425.03579348570986,100.0,2649.7243019810326,79.42497479479239,886 days 00:00:00,182,-10.158970375943682,209.8717851238952,-39.991021583350744,11.385444161524049,-6.226878395005583,9 days 14:48:30.638297872,6 days 14:10:54.545454545,50.37983157319118,0.7692325636932252,0.43988815893541544,1.2174487805354213,1.9650348088938803,49.06129820070046,1.4856403959577171,0.32333645735707595,-0.04107906912908251,None,None,0.0015134290790092748,0.38138412791033727,9.158970375944808,0.22983361885200204,0.5966932377204758,1485,1484,4088.8690476190477
