Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
Most Total Return [%],QQQ,SMA,11,74,0,true,false,1,60,1.0865684098677695,54.23728813559322,2.3405223050281867,3.8592765743480943,0.8502278830419566,-0.4236201097932202,73 days 21:33:33.559322033,0.006184975186052606,0.19131491041603402,0.3794412389918008,0.7383371520921043,0,6586,6587 days 00:00:00,1000.0,6278.3416222714495,527.8341622271449,915.7747714580763,100.0,371.04307671389773,40.61727185141068,1826 days 00:00:00,59,-6.278341622271,45.55012362445054,-12.902948670206774,10.835474974304095,-4.408810418192352,114 days 16:30:00,25 days 13:20:00,89.56982989650372,0.6083556581664286,0.2638282546773044,1.118072748098281,-0.22383772525716433,9.07666255509149,0.92306005947649,0.5762144053601339,-0.017251939135301375,None,None,0.0003340618205139262,0.0841835787695094,5.278341622271518,0.0728111835807137,0.1665390160707422,4361,4360,9539.246031746032
Most Expectancy,QQQ,SMA,11,74,0,true,false,1,60,1.0865684098677695,54.23728813559322,2.3405223050281867,3.8592765743480943,0.8502278830419566,-0.4236201097932202,73 days 21:33:33.559322033,0.006184975186052606,0.19131491041603402,0.3794412389918008,0.7383371520921043,0,6586,6587 days 00:00:00,1000.0,6278.3416222714495,527.8341622271449,915.7747714580763,100.0,371.04307671389773,40.61727185141068,1826 days 00:00:00,59,-6.278341622271,45.55012362445054,-12.902948670206774,10.835474974304095,-4.408810418192352,114 days 16:30:00,25 days 13:20:00,89.56982989650372,0.6083556581664286,0.2638282546773044,1.118072748098281,-0.22383772525716433,9.07666255509149,0.92306005947649,0.5762144053601339,-0.017251939135301375,None,None,0.0003340618205139262,0.0841835787695094,5.278341622271518,0.0728111835807137,0.1665390160707422,4361,4360,9539.246031746032
Most Sharpe Ratio,QQQ,SMA,11,74,0,true,false,1,60,1.0865684098677695,54.23728813559322,2.3405223050281867,3.8592765743480943,0.8502278830419566,-0.4236201097932202,73 days 21:33:33.559322033,0.006184975186052606,0.19131491041603402,0.3794412389918008,0.7383371520921043,0,6586,6587 days 00:00:00,1000.0,6278.3416222714495,527.8341622271449,915.7747714580763,100.0,371.04307671389773,40.61727185141068,1826 days 00:00:00,59,-6.278341622271,45.55012362445054,-12.902948670206774,10.835474974304095,-4.408810418192352,114 days 16:30:00,25 days 13:20:00,89.56982989650372,0.6083556581664286,0.2638282546773044,1.118072748098281,-0.22383772525716433,9.07666255509149,0.92306005947649,0.5762144053601339,-0.017251939135301375,None,None,0.0003340618205139262,0.0841835787695094,5.278341622271518,0.0728111835807137,0.1665390160707422,4361,4360,9539.246031746032
Most Omega Ratio,QQQ,SMA,11,74,0,true,false,1,60,1.0865684098677695,54.23728813559322,2.3405223050281867,3.8592765743480943,0.8502278830419566,-0.4236201097932202,73 days 21:33:33.559322033,0.006184975186052606,0.19131491041603402,0.3794412389918008,0.7383371520921043,0,6586,6587 days 00:00:00,1000.0,6278.3416222714495,527.8341622271449,915.7747714580763,100.0,371.04307671389773,40.61727185141068,1826 days 00:00:00,59,-6.278341622271,45.55012362445054,-12.902948670206774,10.835474974304095,-4.408810418192352,114 days 16:30:00,25 days 13:20:00,89.56982989650372,0.6083556581664286,0.2638282546773044,1.118072748098281,-0.22383772525716433,9.07666255509149,0.92306005947649,0.5762144053601339,-0.017251939135301375,None,None,0.0003340618205139262,0.0841835787695094,5.278341622271518,0.0728111835807137,0.1665390160707422,4361,4360,9539.246031746032
Most Sortino Ratio,QQQ,SMA,11,74,0,true,false,1,60,1.0865684098677695,54.23728813559322,2.3405223050281867,3.8592765743480943,0.8502278830419566,-0.4236201097932202,73 days 21:33:33.559322033,0.006184975186052606,0.19131491041603402,0.3794412389918008,0.7383371520921043,0,6586,6587 days 00:00:00,1000.0,6278.3416222714495,527.8341622271449,915.7747714580763,100.0,371.04307671389773,40.61727185141068,1826 days 00:00:00,59,-6.278341622271,45.55012362445054,-12.902948670206774,10.835474974304095,-4.408810418192352,114 days 16:30:00,25 days 13:20:00,89.56982989650372,0.6083556581664286,0.2638282546773044,1.118072748098281,-0.22383772525716433,9.07666255509149,0.92306005947649,0.5762144053601339,-0.017251939135301375,None,None,0.0003340618205139262,0.0841835787695094,5.278341622271518,0.0728111835807137,0.1665390160707422,4361,4360,9539.246031746032
Least Avg Losing Trade Duration,QQQ,SMA,28,30,0,true,false,1,215,1.0141998781641228,54.67289719626168,1.468787589065263,0.6646380912276673,0.5285672500860095,-0.8040416211822276,18 days 20:04:29.158878504,0.0224336388104281,0.6855450956574553,1.3679016094746432,0.45563938382825964,0,6586,6587 days 00:00:00,1000.0,2794.5373957714073,179.45373957714074,915.7747714580763,100.0,513.6227167203211,60.922519407097354,5119 days 00:00:00,214,-2.7945373957709307,52.355724006207474,-20.583953533073952,3.97189904848158,-3.324532341748702,24 days 02:52:18.461538461,12 days 11:08:02.474226804,8.398747351248506,0.37809940094025335,0.0961842050977047,1.0753070123445838,-0.06411624970959673,9.94029908666017,0.9817596873014666,0.5038812785388127,-0.018025325573399226,None,None,0.00021518912579242063,0.05422765969969,1.794537395771421,0.04009870616429656,0.17260804536753288,4032,4031,9539.246031746032
Mean Max Drawdown [%],QQQ,SMA,9,80,0,true,false,1,62,1.0127220656167364,49.18032786885246,2.565067437339671,3.7639430404037078,0.8369693084058262,-0.4624333717545779,71 days 11:48:11.803278687,0.006394635361851,0.1976920740965685,0.3921955663528698,0.7441017064387531,0,6586,6587 days 00:00:00,1000.0,5922.899561249401,492.2899561249401,915.7747714580763,100.0,307.8403604636603,49.5864634597634,2732 days 00:00:00,61,-5.922899561248414,51.431591704820875,-14.225018736318242,12.320066474213661,-4.516176411670441,121 days 03:12:00,23 days 10:50:19.354838709,80.80036821001066,0.5991006900996305,0.20890809422610765,1.1156109002836168,-0.1786129690560111,8.673033552934225,0.9185751442633763,0.5777245508982036,-0.01699862405273387,None,None,0.00032330731551625397,0.081473443510096,4.922899561249415,0.07042188840443742,0.16366748705665946,4362,4361,9539.246031746032
Median Max Drawdown [%],QQQ,SMA,9,80,0,true,false,1,62,1.0127220656167364,49.18032786885246,2.565067437339671,3.7639430404037078,0.8369693084058262,-0.4624333717545779,71 days 11:48:11.803278687,0.006394635361851,0.1976920740965685,0.3921955663528698,0.7441017064387531,0,6586,6587 days 00:00:00,1000.0,5922.899561249401,492.2899561249401,915.7747714580763,100.0,307.8403604636603,49.5864634597634,2732 days 00:00:00,61,-5.922899561248414,51.431591704820875,-14.225018736318242,12.320066474213661,-4.516176411670441,121 days 03:12:00,23 days 10:50:19.354838709,80.80036821001066,0.5991006900996305,0.20890809422610765,1.1156109002836168,-0.1786129690560111,8.673033552934225,0.9185751442633763,0.5777245508982036,-0.01699862405273387,None,None,0.00032330731551625397,0.081473443510096,4.922899561249415,0.07042188840443742,0.16366748705665946,4362,4361,9539.246031746032
Median Total Trades,QQQ,SMA,9,80,0,true,false,1,62,1.0127220656167364,49.18032786885246,2.565067437339671,3.7639430404037078,0.8369693084058262,-0.4624333717545779,71 days 11:48:11.803278687,0.006394635361851,0.1976920740965685,0.3921955663528698,0.7441017064387531,0,6586,6587 days 00:00:00,1000.0,5922.899561249401,492.2899561249401,915.7747714580763,100.0,307.8403604636603,49.5864634597634,2732 days 00:00:00,61,-5.922899561248414,51.431591704820875,-14.225018736318242,12.320066474213661,-4.516176411670441,121 days 03:12:00,23 days 10:50:19.354838709,80.80036821001066,0.5991006900996305,0.20890809422610765,1.1156109002836168,-0.1786129690560111,8.673033552934225,0.9185751442633763,0.5777245508982036,-0.01699862405273387,None,None,0.00032330731551625397,0.081473443510096,4.922899561249415,0.07042188840443742,0.16366748705665946,4362,4361,9539.246031746032
Median Best Trade [%],QQQ,SMA,11,76,0,true,false,1,59,1.0041958352036782,50.0,2.415192797690972,3.8458032533447466,0.8239451855072414,-0.46352413186142555,75 days 06:12:24.827586207,0.006080145098153409,0.1881263285757668,0.37306407531126634,0.7234968464764867,0,6586,6587 days 00:00:00,1000.0,5912.910655373761,491.2910655373761,915.7747714580763,100.0,335.2289449531004,44.787376178877906,2380 days 00:00:00,58,-5.912910655372798,46.72445714285715,-15.26817018048487,11.845307738504298,-4.1537012318148046,125 days 08:16:33.103448276,25 days 04:08:16.551724138,84.80730286257128,0.5916262957828347,0.23106270038173682,1.114321311021657,-0.26239979398377783,8.915071887113518,0.9175948798176701,0.5781025395304265,-0.017315598687194747,None,None,0.000325019141871649,0.08190482375165554,4.912910655373716,0.07035276838315996,0.16661272723378237,4366,4365,9539.246031746032
