Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
Mean Worst Trade [%],GWW,EMA,39,66,0,true,false,1,81,0.8437771989037185,43.75,2.190412469543439,2.877993555141343,0.4559991263450656,-0.9815119485661314,104 days 08:59:59.999999999,0.004193840297063688,0.12915717539863325,0.2567198177676538,0.37171351839752653,0,13170,13171 days 00:00:00,1000.0,5391.238813960933,439.1238813960933,23751.766537800366,100.0,243.1728417717625,55.61017017984735,3470 days 00:00:00,80,-5.391238813960626,50.5114618139099,-22.187020316027063,14.226901471000442,-5.948934823860178,171 days 17:49:42.857142856,51 days 23:27:59.999999999,54.95787565968617,0.3144201863867699,0.08594878034196607,1.0603354507219847,0.30330023495925323,13.781319341301808,1.0408604387206357,0.4407131918617371,-0.018999660365035,None,None,0.00020658117764233976,0.05205845676586962,4.3912388139610075,0.032759874638073505,0.19926316797898247,8351,8350,19075.595238095237
Most Profit Factor,GWW,EMA,39,66,0,true,false,1,81,0.8437771989037185,43.75,2.190412469543439,2.877993555141343,0.4559991263450656,-0.9815119485661314,104 days 08:59:59.999999999,0.004193840297063688,0.12915717539863325,0.2567198177676538,0.37171351839752653,0,13170,13171 days 00:00:00,1000.0,5391.238813960933,439.1238813960933,23751.766537800366,100.0,243.1728417717625,55.61017017984735,3470 days 00:00:00,80,-5.391238813960626,50.5114618139099,-22.187020316027063,14.226901471000442,-5.948934823860178,171 days 17:49:42.857142856,51 days 23:27:59.999999999,54.95787565968617,0.3144201863867699,0.08594878034196607,1.0603354507219847,0.30330023495925323,13.781319341301808,1.0408604387206357,0.4407131918617371,-0.018999660365035,None,None,0.00020658117764233976,0.05205845676586962,4.3912388139610075,0.032759874638073505,0.19926316797898247,8351,8350,19075.595238095237
Most Expectancy,GWW,EMA,39,66,0,true,false,1,81,0.8437771989037185,43.75,2.190412469543439,2.877993555141343,0.4559991263450656,-0.9815119485661314,104 days 08:59:59.999999999,0.004193840297063688,0.12915717539863325,0.2567198177676538,0.37171351839752653,0,13170,13171 days 00:00:00,1000.0,5391.238813960933,439.1238813960933,23751.766537800366,100.0,243.1728417717625,55.61017017984735,3470 days 00:00:00,80,-5.391238813960626,50.5114618139099,-22.187020316027063,14.226901471000442,-5.948934823860178,171 days 17:49:42.857142856,51 days 23:27:59.999999999,54.95787565968617,0.3144201863867699,0.08594878034196607,1.0603354507219847,0.30330023495925323,13.781319341301808,1.0408604387206357,0.4407131918617371,-0.018999660365035,None,None,0.00020658117764233976,0.05205845676586962,4.3912388139610075,0.032759874638073505,0.19926316797898247,8351,8350,19075.595238095237
Most Omega Ratio,GWW,EMA,39,66,0,true,false,1,81,0.8437771989037185,43.75,2.190412469543439,2.877993555141343,0.4559991263450656,-0.9815119485661314,104 days 08:59:59.999999999,0.004193840297063688,0.12915717539863325,0.2567198177676538,0.37171351839752653,0,13170,13171 days 00:00:00,1000.0,5391.238813960933,439.1238813960933,23751.766537800366,100.0,243.1728417717625,55.61017017984735,3470 days 00:00:00,80,-5.391238813960626,50.5114618139099,-22.187020316027063,14.226901471000442,-5.948934823860178,171 days 17:49:42.857142856,51 days 23:27:59.999999999,54.95787565968617,0.3144201863867699,0.08594878034196607,1.0603354507219847,0.30330023495925323,13.781319341301808,1.0408604387206357,0.4407131918617371,-0.018999660365035,None,None,0.00020658117764233976,0.05205845676586962,4.3912388139610075,0.032759874638073505,0.19926316797898247,8351,8350,19075.595238095237
Most Sortino Ratio,GWW,EMA,39,66,0,true,false,1,81,0.8437771989037185,43.75,2.190412469543439,2.877993555141343,0.4559991263450656,-0.9815119485661314,104 days 08:59:59.999999999,0.004193840297063688,0.12915717539863325,0.2567198177676538,0.37171351839752653,0,13170,13171 days 00:00:00,1000.0,5391.238813960933,439.1238813960933,23751.766537800366,100.0,243.1728417717625,55.61017017984735,3470 days 00:00:00,80,-5.391238813960626,50.5114618139099,-22.187020316027063,14.226901471000442,-5.948934823860178,171 days 17:49:42.857142856,51 days 23:27:59.999999999,54.95787565968617,0.3144201863867699,0.08594878034196607,1.0603354507219847,0.30330023495925323,13.781319341301808,1.0408604387206357,0.4407131918617371,-0.018999660365035,None,None,0.00020658117764233976,0.05205845676586962,4.3912388139610075,0.032759874638073505,0.19926316797898247,8351,8350,19075.595238095237
Least Total Trades,GWW,EMA,35,73,0,true,false,1,81,0.84037784026334,45.0,2.014511189903669,2.79242668215868,0.45308574066436763,-0.9817851842158756,104 days 17:41:59.999999999,0.004193840297063688,0.12915717539863325,0.2567198177676538,0.36066194277539215,0,13170,13171 days 00:00:00,1000.0,5326.340520335653,432.63405203356535,23751.766537800366,100.0,270.5950813728474,55.61017017984737,3460 days 00:00:00,80,-5.3263405203351795,36.949710982658985,-22.187020316027073,13.499208015618105,-5.9676671361263045,172 days 13:19:59.999999998,49 days 06:00:00,54.145835760699846,0.3132352520301799,0.08531652030257779,1.0598048342447948,0.23505444565427253,13.148169652846034,1.0417086863697889,0.4426067907995619,-0.019071971193817726,None,None,0.00020538051876497145,0.051755890728772805,4.326340520335685,0.03252059667289453,0.19885445118403905,8380,8379,19075.595238095237
Median Avg Losing Trade [%],GWW,EMA,35,73,0,true,false,1,81,0.84037784026334,45.0,2.014511189903669,2.79242668215868,0.45308574066436763,-0.9817851842158756,104 days 17:41:59.999999999,0.004193840297063688,0.12915717539863325,0.2567198177676538,0.36066194277539215,0,13170,13171 days 00:00:00,1000.0,5326.340520335653,432.63405203356535,23751.766537800366,100.0,270.5950813728474,55.61017017984737,3460 days 00:00:00,80,-5.3263405203351795,36.949710982658985,-22.187020316027073,13.499208015618105,-5.9676671361263045,172 days 13:19:59.999999998,49 days 06:00:00,54.145835760699846,0.3132352520301799,0.08531652030257779,1.0598048342447948,0.23505444565427253,13.148169652846034,1.0417086863697889,0.4426067907995619,-0.019071971193817726,None,None,0.00020538051876497145,0.051755890728772805,4.326340520335685,0.03252059667289453,0.19885445118403905,8380,8379,19075.595238095237
Most Total Return [%],GWW,EMA,35,72,0,true,false,1,82,0.8358067852448114,44.44444444444444,1.9956977858489782,2.7829275559877975,0.4559839958094733,-0.9814047965695775,103 days 07:24:26.666666666,0.004246263300776984,0.13075170842824602,0.25990888382687927,0.36387253237744777,0,13170,13171 days 00:00:00,1000.0,5416.689306023012,441.6689306023012,23751.766537800366,100.0,285.20032609142123,55.61017017984735,3437 days 00:00:00,81,-5.416689306022818,38.104624277456644,-22.187020316027077,13.601985496641749,-5.872318796535363,171 days 12:40:00,48 days 17:36:00,54.59390117690163,0.3152434864708691,0.08619470926679604,1.060277348039429,0.23564973585539267,13.199557929913263,1.0405891081030652,0.4422908453788874,-0.019039486223032177,None,None,0.00020653313900972678,0.052046351030451146,4.416689306023,0.03285293939520462,0.19869654996638716,8369,8368,19075.595238095237
Mean Max Drawdown [%],GWW,EMA,35,72,0,true,false,1,82,0.8358067852448114,44.44444444444444,1.9956977858489782,2.7829275559877975,0.4559839958094733,-0.9814047965695775,103 days 07:24:26.666666666,0.004246263300776984,0.13075170842824602,0.25990888382687927,0.36387253237744777,0,13170,13171 days 00:00:00,1000.0,5416.689306023012,441.6689306023012,23751.766537800366,100.0,285.20032609142123,55.61017017984735,3437 days 00:00:00,81,-5.416689306022818,38.104624277456644,-22.187020316027077,13.601985496641749,-5.872318796535363,171 days 12:40:00,48 days 17:36:00,54.59390117690163,0.3152434864708691,0.08619470926679604,1.060277348039429,0.23564973585539267,13.199557929913263,1.0405891081030652,0.4422908453788874,-0.019039486223032177,None,None,0.00020653313900972678,0.052046351030451146,4.416689306023,0.03285293939520462,0.19869654996638716,8369,8368,19075.595238095237
Most Sharpe Ratio,GWW,EMA,35,72,0,true,false,1,82,0.8358067852448114,44.44444444444444,1.9956977858489782,2.7829275559877975,0.4559839958094733,-0.9814047965695775,103 days 07:24:26.666666666,0.004246263300776984,0.13075170842824602,0.25990888382687927,0.36387253237744777,0,13170,13171 days 00:00:00,1000.0,5416.689306023012,441.6689306023012,23751.766537800366,100.0,285.20032609142123,55.61017017984735,3437 days 00:00:00,81,-5.416689306022818,38.104624277456644,-22.187020316027077,13.601985496641749,-5.872318796535363,171 days 12:40:00,48 days 17:36:00,54.59390117690163,0.3152434864708691,0.08619470926679604,1.060277348039429,0.23564973585539267,13.199557929913263,1.0405891081030652,0.4422908453788874,-0.019039486223032177,None,None,0.00020653313900972678,0.052046351030451146,4.416689306023,0.03285293939520462,0.19869654996638716,8369,8368,19075.595238095237
