Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Total Return [%],QQQ,SMA,48,49,0,true,false,1,233,1.1611216676297713,51.724137931034484,1.5919008044537004,0.9934866444643338,0.8335009677742322,-0.37449942837277533,18 days 01:51:43.448275861,0.024302130551623946,0.7423759672280383,1.4815657715066,0.737540608612348,0,6591,6592 days 00:00:00,1000.0,6659.087913537461,565.908791353746,904.7294551331071,100.0,1572.9032326555794,45.04199464452185,864 days 00:00:00,232,-6.659087913536496,48.71797520661157,-15.169222705382184,4.312388764731874,-2.562479912965174,25 days 08:00:00,10 days 07:17:08.571428571,24.421323282116347,0.584208840328258,0.24574692458973904,1.1182345110898553,0.05885339198784737,13.37218660894015,1.0346966773649242,0.5319544503834535,-0.018210478251278056,None,None,0.0003550882921716126,0.08948224962724637,5.659087913537499,0.07517121051868791,0.18433802548416758,4195,4194,9546.488095238095,,
Most Total Fees Paid,QQQ,SMA,48,49,0,true,false,1,233,1.1611216676297713,51.724137931034484,1.5919008044537004,0.9934866444643338,0.8335009677742322,-0.37449942837277533,18 days 01:51:43.448275861,0.024302130551623946,0.7423759672280383,1.4815657715066,0.737540608612348,0,6591,6592 days 00:00:00,1000.0,6659.087913537461,565.908791353746,904.7294551331071,100.0,1572.9032326555794,45.04199464452185,864 days 00:00:00,232,-6.659087913536496,48.71797520661157,-15.169222705382184,4.312388764731874,-2.562479912965174,25 days 08:00:00,10 days 07:17:08.571428571,24.421323282116347,0.584208840328258,0.24574692458973904,1.1182345110898553,0.05885339198784737,13.37218660894015,1.0346966773649242,0.5319544503834535,-0.018210478251278056,None,None,0.0003550882921716126,0.08948224962724637,5.659087913537499,0.07517121051868791,0.18433802548416758,4195,4194,9546.488095238095,,
Most Avg Losing Trade [%],QQQ,SMA,48,49,0,true,false,1,233,1.1611216676297713,51.724137931034484,1.5919008044537004,0.9934866444643338,0.8335009677742322,-0.37449942837277533,18 days 01:51:43.448275861,0.024302130551623946,0.7423759672280383,1.4815657715066,0.737540608612348,0,6591,6592 days 00:00:00,1000.0,6659.087913537461,565.908791353746,904.7294551331071,100.0,1572.9032326555794,45.04199464452185,864 days 00:00:00,232,-6.659087913536496,48.71797520661157,-15.169222705382184,4.312388764731874,-2.562479912965174,25 days 08:00:00,10 days 07:17:08.571428571,24.421323282116347,0.584208840328258,0.24574692458973904,1.1182345110898553,0.05885339198784737,13.37218660894015,1.0346966773649242,0.5319544503834535,-0.018210478251278056,None,None,0.0003550882921716126,0.08948224962724637,5.659087913537499,0.07517121051868791,0.18433802548416758,4195,4194,9546.488095238095,,
Most Sharpe Ratio,QQQ,SMA,48,49,0,true,false,1,233,1.1611216676297713,51.724137931034484,1.5919008044537004,0.9934866444643338,0.8335009677742322,-0.37449942837277533,18 days 01:51:43.448275861,0.024302130551623946,0.7423759672280383,1.4815657715066,0.737540608612348,0,6591,6592 days 00:00:00,1000.0,6659.087913537461,565.908791353746,904.7294551331071,100.0,1572.9032326555794,45.04199464452185,864 days 00:00:00,232,-6.659087913536496,48.71797520661157,-15.169222705382184,4.312388764731874,-2.562479912965174,25 days 08:00:00,10 days 07:17:08.571428571,24.421323282116347,0.584208840328258,0.24574692458973904,1.1182345110898553,0.05885339198784737,13.37218660894015,1.0346966773649242,0.5319544503834535,-0.018210478251278056,None,None,0.0003550882921716126,0.08948224962724637,5.659087913537499,0.07517121051868791,0.18433802548416758,4195,4194,9546.488095238095,,
Most Omega Ratio,QQQ,SMA,48,49,0,true,false,1,233,1.1611216676297713,51.724137931034484,1.5919008044537004,0.9934866444643338,0.8335009677742322,-0.37449942837277533,18 days 01:51:43.448275861,0.024302130551623946,0.7423759672280383,1.4815657715066,0.737540608612348,0,6591,6592 days 00:00:00,1000.0,6659.087913537461,565.908791353746,904.7294551331071,100.0,1572.9032326555794,45.04199464452185,864 days 00:00:00,232,-6.659087913536496,48.71797520661157,-15.169222705382184,4.312388764731874,-2.562479912965174,25 days 08:00:00,10 days 07:17:08.571428571,24.421323282116347,0.584208840328258,0.24574692458973904,1.1182345110898553,0.05885339198784737,13.37218660894015,1.0346966773649242,0.5319544503834535,-0.018210478251278056,None,None,0.0003550882921716126,0.08948224962724637,5.659087913537499,0.07517121051868791,0.18433802548416758,4195,4194,9546.488095238095,,
Most Sortino Ratio,QQQ,SMA,48,49,0,true,false,1,233,1.1611216676297713,51.724137931034484,1.5919008044537004,0.9934866444643338,0.8335009677742322,-0.37449942837277533,18 days 01:51:43.448275861,0.024302130551623946,0.7423759672280383,1.4815657715066,0.737540608612348,0,6591,6592 days 00:00:00,1000.0,6659.087913537461,565.908791353746,904.7294551331071,100.0,1572.9032326555794,45.04199464452185,864 days 00:00:00,232,-6.659087913536496,48.71797520661157,-15.169222705382184,4.312388764731874,-2.562479912965174,25 days 08:00:00,10 days 07:17:08.571428571,24.421323282116347,0.584208840328258,0.24574692458973904,1.1182345110898553,0.05885339198784737,13.37218660894015,1.0346966773649242,0.5319544503834535,-0.018210478251278056,None,None,0.0003550882921716126,0.08948224962724637,5.659087913537499,0.07517121051868791,0.18433802548416758,4195,4194,9546.488095238095,,
Least Avg Losing Trade Duration,QQQ,SMA,48,49,0,true,false,1,233,1.1611216676297713,51.724137931034484,1.5919008044537004,0.9934866444643338,0.8335009677742322,-0.37449942837277533,18 days 01:51:43.448275861,0.024302130551623946,0.7423759672280383,1.4815657715066,0.737540608612348,0,6591,6592 days 00:00:00,1000.0,6659.087913537461,565.908791353746,904.7294551331071,100.0,1572.9032326555794,45.04199464452185,864 days 00:00:00,232,-6.659087913536496,48.71797520661157,-15.169222705382184,4.312388764731874,-2.562479912965174,25 days 08:00:00,10 days 07:17:08.571428571,24.421323282116347,0.584208840328258,0.24574692458973904,1.1182345110898553,0.05885339198784737,13.37218660894015,1.0346966773649242,0.5319544503834535,-0.018210478251278056,None,None,0.0003550882921716126,0.08948224962724637,5.659087913537499,0.07517121051868791,0.18433802548416758,4195,4194,9546.488095238095,,
Median Win Rate [%],QQQ,SMA,48,52,0,true,false,1,114,1.1316890619743696,53.98230088495575,1.835995894067432,1.7650836057584394,0.730341911065955,-0.5592674983874304,37 days 05:31:19.646017698,0.01183681358764442,0.3632225762403277,0.723258989531179,0.6411182145631473,0,6591,6592 days 00:00:00,1000.0,4987.436760433913,398.7436760433913,904.7294551331071,100.0,571.165160872181,54.570348484132346,2451 days 00:00:00,113,-4.987436760433411,49.69758656873034,-11.450787596249219,6.510246068113874,-3.8013569750815885,50 days 02:21:38.360655738,22 days 03:13:50.769230769,35.33118758579067,0.5171342037864984,0.17052097083099554,1.1033698557561935,-0.021763352880557117,13.211311505102355,0.9562858150626837,0.536955001165773,-0.018141860211881498,None,None,0.00030900679105135795,0.07786971134494221,3.9874367604338907,0.06335570570389226,0.18122222708186964,4208,4207,9546.488095238095,,
Most Win Rate [%],QQQ,SMA,30,59,0,true,false,1,58,1.1176073488549767,59.64912280701754,1.8727199758690707,3.5749136428788524,0.7289573254006383,-0.5619172616879619,74 days 05:03:09.473684210,0.005970782075183469,0.18479745106964043,0.3664087391898043,0.6606349289980947,0,6591,6592 days 00:00:00,1000.0,4963.463571362698,396.3463571362698,904.7294551331071,100.0,327.3599975489982,40.80572616392238,955 days 00:00:00,57,-4.963463571361899,44.93683083511779,-15.211767881547669,10.429100789101643,-6.557363008059185,100 days 17:38:49.411764706,35 days 00:00:00,69.62152692866773,0.5242571050605784,0.22732670027043625,1.1047046166809724,-0.30844363624290483,12.96644360578204,0.918609124743309,0.5456037514654162,-0.0174701716590746,None,None,0.0003050143203545645,0.07686360872935025,3.9634635713626896,0.06315985903861732,0.1764503838520422,4231,4230,9546.488095238095,,
Most Max Drawdown Duration,QQQ,SMA,30,59,0,true,false,1,58,1.1176073488549767,59.64912280701754,1.8727199758690707,3.5749136428788524,0.7289573254006383,-0.5619172616879619,74 days 05:03:09.473684210,0.005970782075183469,0.18479745106964043,0.3664087391898043,0.6606349289980947,0,6591,6592 days 00:00:00,1000.0,4963.463571362698,396.3463571362698,904.7294551331071,100.0,327.3599975489982,40.80572616392238,955 days 00:00:00,57,-4.963463571361899,44.93683083511779,-15.211767881547669,10.429100789101643,-6.557363008059185,100 days 17:38:49.411764706,35 days 00:00:00,69.62152692866773,0.5242571050605784,0.22732670027043625,1.1047046166809724,-0.30844363624290483,12.96644360578204,0.918609124743309,0.5456037514654162,-0.0174701716590746,None,None,0.0003050143203545645,0.07686360872935025,3.9634635713626896,0.06315985903861732,0.1764503838520422,4231,4230,9546.488095238095,,
