Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Win Rate [%],TECH,SMA,24,29,0,true,false,1,233,1.0255164317824887,49.56896551724138,1.199282410390764,2.0335599022056194,0.8100919397353731,-0.946870692813389,22 days 06:12:24.827586205,0.01752465453673451,0.5353391684901532,1.0683807439824946,1.0886442671216736,0,9140,9141 days 00:00:00,1000.0,24598.216008965137,2359.8216008965137,44416.57017299115,100.0,8331.643059447719,72.01008300506835,5333 days 00:00:00,232,-24.59821600896248,75.87062249468912,-23.198551052372963,9.330850997764367,-5.1389911746256285,29 days 22:44:52.173913043,14 days 16:49:13.846153846,101.82247510764728,0.5363561526174485,0.1894453033999259,1.1248544968464393,0.49905269538447783,15.639507404642949,1.1781942191056343,0.35261911808227286,-0.02512725515610501,None,None,0.0005239245233345993,0.13202897988031903,23.598216008964947,0.09230662951696411,0.2962525946741027,5165,5164,13238.492063492064,,
Median Worst Trade [%],TECH,SMA,24,29,0,true,false,1,233,1.0255164317824887,49.56896551724138,1.199282410390764,2.0335599022056194,0.8100919397353731,-0.946870692813389,22 days 06:12:24.827586205,0.01752465453673451,0.5353391684901532,1.0683807439824946,1.0886442671216736,0,9140,9141 days 00:00:00,1000.0,24598.216008965137,2359.8216008965137,44416.57017299115,100.0,8331.643059447719,72.01008300506835,5333 days 00:00:00,232,-24.59821600896248,75.87062249468912,-23.198551052372963,9.330850997764367,-5.1389911746256285,29 days 22:44:52.173913043,14 days 16:49:13.846153846,101.82247510764728,0.5363561526174485,0.1894453033999259,1.1248544968464393,0.49905269538447783,15.639507404642949,1.1781942191056343,0.35261911808227286,-0.02512725515610501,None,None,0.0005239245233345993,0.13202897988031903,23.598216008964947,0.09230662951696411,0.2962525946741027,5165,5164,13238.492063492064,,
Least Avg Losing Trade [%],TECH,SMA,24,29,0,true,false,1,233,1.0255164317824887,49.56896551724138,1.199282410390764,2.0335599022056194,0.8100919397353731,-0.946870692813389,22 days 06:12:24.827586205,0.01752465453673451,0.5353391684901532,1.0683807439824946,1.0886442671216736,0,9140,9141 days 00:00:00,1000.0,24598.216008965137,2359.8216008965137,44416.57017299115,100.0,8331.643059447719,72.01008300506835,5333 days 00:00:00,232,-24.59821600896248,75.87062249468912,-23.198551052372963,9.330850997764367,-5.1389911746256285,29 days 22:44:52.173913043,14 days 16:49:13.846153846,101.82247510764728,0.5363561526174485,0.1894453033999259,1.1248544968464393,0.49905269538447783,15.639507404642949,1.1781942191056343,0.35261911808227286,-0.02512725515610501,None,None,0.0005239245233345993,0.13202897988031903,23.598216008964947,0.09230662951696411,0.2962525946741027,5165,5164,13238.492063492064,,
Mean Sharpe Ratio,TECH,SMA,24,29,0,true,false,1,233,1.0255164317824887,49.56896551724138,1.199282410390764,2.0335599022056194,0.8100919397353731,-0.946870692813389,22 days 06:12:24.827586205,0.01752465453673451,0.5353391684901532,1.0683807439824946,1.0886442671216736,0,9140,9141 days 00:00:00,1000.0,24598.216008965137,2359.8216008965137,44416.57017299115,100.0,8331.643059447719,72.01008300506835,5333 days 00:00:00,232,-24.59821600896248,75.87062249468912,-23.198551052372963,9.330850997764367,-5.1389911746256285,29 days 22:44:52.173913043,14 days 16:49:13.846153846,101.82247510764728,0.5363561526174485,0.1894453033999259,1.1248544968464393,0.49905269538447783,15.639507404642949,1.1781942191056343,0.35261911808227286,-0.02512725515610501,None,None,0.0005239245233345993,0.13202897988031903,23.598216008964947,0.09230662951696411,0.2962525946741027,5165,5164,13238.492063492064,,
Mean Omega Ratio,TECH,SMA,24,29,0,true,false,1,233,1.0255164317824887,49.56896551724138,1.199282410390764,2.0335599022056194,0.8100919397353731,-0.946870692813389,22 days 06:12:24.827586205,0.01752465453673451,0.5353391684901532,1.0683807439824946,1.0886442671216736,0,9140,9141 days 00:00:00,1000.0,24598.216008965137,2359.8216008965137,44416.57017299115,100.0,8331.643059447719,72.01008300506835,5333 days 00:00:00,232,-24.59821600896248,75.87062249468912,-23.198551052372963,9.330850997764367,-5.1389911746256285,29 days 22:44:52.173913043,14 days 16:49:13.846153846,101.82247510764728,0.5363561526174485,0.1894453033999259,1.1248544968464393,0.49905269538447783,15.639507404642949,1.1781942191056343,0.35261911808227286,-0.02512725515610501,None,None,0.0005239245233345993,0.13202897988031903,23.598216008964947,0.09230662951696411,0.2962525946741027,5165,5164,13238.492063492064,,
Mean Sortino Ratio,TECH,SMA,24,29,0,true,false,1,233,1.0255164317824887,49.56896551724138,1.199282410390764,2.0335599022056194,0.8100919397353731,-0.946870692813389,22 days 06:12:24.827586205,0.01752465453673451,0.5353391684901532,1.0683807439824946,1.0886442671216736,0,9140,9141 days 00:00:00,1000.0,24598.216008965137,2359.8216008965137,44416.57017299115,100.0,8331.643059447719,72.01008300506835,5333 days 00:00:00,232,-24.59821600896248,75.87062249468912,-23.198551052372963,9.330850997764367,-5.1389911746256285,29 days 22:44:52.173913043,14 days 16:49:13.846153846,101.82247510764728,0.5363561526174485,0.1894453033999259,1.1248544968464393,0.49905269538447783,15.639507404642949,1.1781942191056343,0.35261911808227286,-0.02512725515610501,None,None,0.0005239245233345993,0.13202897988031903,23.598216008964947,0.09230662951696411,0.2962525946741027,5165,5164,13238.492063492064,,
Most Total Return [%],TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
Most Total Fees Paid,TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
Least Max Drawdown [%],TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
Most Worst Trade [%],TECH,SMA,33,34,0,true,false,1,418,1.0178519128828305,48.6810551558753,1.1640459292469592,1.4173607753165383,0.9808956270259923,-0.8676910108436967,12 days 13:52:13.812949639,0.03149905578369953,0.9603938730853392,1.9184901531728664,1.3612246045654894,0,9140,9141 days 00:00:00,1000.0,59767.11501378473,5876.711501378473,44416.57017299115,100.0,40970.50158715575,55.88916368231585,2222 days 00:00:00,417,-59.767115013775765,122.66088709677419,-17.118499214418474,6.593943428683733,-3.4931358538121557,16 days 14:18:19.507389162,8 days 18:23:33.084112149,141.07165978129115,0.6340814113270452,0.31746285544870306,1.147507048882687,0.6800412222241504,14.499303077733074,1.3184836834616283,0.35522609340252037,-0.025122997873131055,None,None,0.0006222363316181502,0.15680355556777387,58.76711501378483,0.11937006812936013,0.2976165283612863,5246,5245,13238.492063492064,,
