Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Mean Total Return [%],CB,SMA,54,58,0,true,false,1,157,0.9767886925521816,53.205128205128204,1.2235001975485225,1.2004457065878942,0.4767218983802132,-0.9317251312918244,31 days 14:46:09.230769229,0.013296803652968037,0.40703703703703703,0.8114814814814815,0.4886258635333688,0,8100,8101 days 00:00:00,1000.0,3036.4990923087844,203.64990923087842,2982.7945931515605,100.0,733.456028948197,68.04528452418126,6139 days 00:00:00,156,-3.0364990923085315,68.9381097560976,-32.180182926829254,6.755366134541522,-5.115422725194999,38 days 20:31:48.433734939,23 days 09:12:19.726027397,13.07394609872496,0.3231792988660939,0.07541665709862726,1.0661853546284195,0.45785944423159736,15.044465370912206,1.093523440644532,0.4353295535081503,-0.019910653901944592,None,None,0.00022650640872261382,0.05707961499809868,2.036499092308793,0.03515482872116715,0.21256103817569727,4933,4932,11732.142857142857,,
Least Max Drawdown [%],CB,SMA,54,58,0,true,false,1,157,0.9767886925521816,53.205128205128204,1.2235001975485225,1.2004457065878942,0.4767218983802132,-0.9317251312918244,31 days 14:46:09.230769229,0.013296803652968037,0.40703703703703703,0.8114814814814815,0.4886258635333688,0,8100,8101 days 00:00:00,1000.0,3036.4990923087844,203.64990923087842,2982.7945931515605,100.0,733.456028948197,68.04528452418126,6139 days 00:00:00,156,-3.0364990923085315,68.9381097560976,-32.180182926829254,6.755366134541522,-5.115422725194999,38 days 20:31:48.433734939,23 days 09:12:19.726027397,13.07394609872496,0.3231792988660939,0.07541665709862726,1.0661853546284195,0.45785944423159736,15.044465370912206,1.093523440644532,0.4353295535081503,-0.019910653901944592,None,None,0.00022650640872261382,0.05707961499809868,2.036499092308793,0.03515482872116715,0.21256103817569727,4933,4932,11732.142857142857,,
Least Total Trades,CB,SMA,54,58,0,true,false,1,157,0.9767886925521816,53.205128205128204,1.2235001975485225,1.2004457065878942,0.4767218983802132,-0.9317251312918244,31 days 14:46:09.230769229,0.013296803652968037,0.40703703703703703,0.8114814814814815,0.4886258635333688,0,8100,8101 days 00:00:00,1000.0,3036.4990923087844,203.64990923087842,2982.7945931515605,100.0,733.456028948197,68.04528452418126,6139 days 00:00:00,156,-3.0364990923085315,68.9381097560976,-32.180182926829254,6.755366134541522,-5.115422725194999,38 days 20:31:48.433734939,23 days 09:12:19.726027397,13.07394609872496,0.3231792988660939,0.07541665709862726,1.0661853546284195,0.45785944423159736,15.044465370912206,1.093523440644532,0.4353295535081503,-0.019910653901944592,None,None,0.00022650640872261382,0.05707961499809868,2.036499092308793,0.03515482872116715,0.21256103817569727,4933,4932,11732.142857142857,,
Most Win Rate [%],CB,SMA,54,58,0,true,false,1,157,0.9767886925521816,53.205128205128204,1.2235001975485225,1.2004457065878942,0.4767218983802132,-0.9317251312918244,31 days 14:46:09.230769229,0.013296803652968037,0.40703703703703703,0.8114814814814815,0.4886258635333688,0,8100,8101 days 00:00:00,1000.0,3036.4990923087844,203.64990923087842,2982.7945931515605,100.0,733.456028948197,68.04528452418126,6139 days 00:00:00,156,-3.0364990923085315,68.9381097560976,-32.180182926829254,6.755366134541522,-5.115422725194999,38 days 20:31:48.433734939,23 days 09:12:19.726027397,13.07394609872496,0.3231792988660939,0.07541665709862726,1.0661853546284195,0.45785944423159736,15.044465370912206,1.093523440644532,0.4353295535081503,-0.019910653901944592,None,None,0.00022650640872261382,0.05707961499809868,2.036499092308793,0.03515482872116715,0.21256103817569727,4933,4932,11732.142857142857,,
Most Best Trade [%],CB,SMA,54,58,0,true,false,1,157,0.9767886925521816,53.205128205128204,1.2235001975485225,1.2004457065878942,0.4767218983802132,-0.9317251312918244,31 days 14:46:09.230769229,0.013296803652968037,0.40703703703703703,0.8114814814814815,0.4886258635333688,0,8100,8101 days 00:00:00,1000.0,3036.4990923087844,203.64990923087842,2982.7945931515605,100.0,733.456028948197,68.04528452418126,6139 days 00:00:00,156,-3.0364990923085315,68.9381097560976,-32.180182926829254,6.755366134541522,-5.115422725194999,38 days 20:31:48.433734939,23 days 09:12:19.726027397,13.07394609872496,0.3231792988660939,0.07541665709862726,1.0661853546284195,0.45785944423159736,15.044465370912206,1.093523440644532,0.4353295535081503,-0.019910653901944592,None,None,0.00022650640872261382,0.05707961499809868,2.036499092308793,0.03515482872116715,0.21256103817569727,4933,4932,11732.142857142857,,
Least Worst Trade [%],CB,SMA,54,58,0,true,false,1,157,0.9767886925521816,53.205128205128204,1.2235001975485225,1.2004457065878942,0.4767218983802132,-0.9317251312918244,31 days 14:46:09.230769229,0.013296803652968037,0.40703703703703703,0.8114814814814815,0.4886258635333688,0,8100,8101 days 00:00:00,1000.0,3036.4990923087844,203.64990923087842,2982.7945931515605,100.0,733.456028948197,68.04528452418126,6139 days 00:00:00,156,-3.0364990923085315,68.9381097560976,-32.180182926829254,6.755366134541522,-5.115422725194999,38 days 20:31:48.433734939,23 days 09:12:19.726027397,13.07394609872496,0.3231792988660939,0.07541665709862726,1.0661853546284195,0.45785944423159736,15.044465370912206,1.093523440644532,0.4353295535081503,-0.019910653901944592,None,None,0.00022650640872261382,0.05707961499809868,2.036499092308793,0.03515482872116715,0.21256103817569727,4933,4932,11732.142857142857,,
Most Avg Winning Trade [%],CB,SMA,54,58,0,true,false,1,157,0.9767886925521816,53.205128205128204,1.2235001975485225,1.2004457065878942,0.4767218983802132,-0.9317251312918244,31 days 14:46:09.230769229,0.013296803652968037,0.40703703703703703,0.8114814814814815,0.4886258635333688,0,8100,8101 days 00:00:00,1000.0,3036.4990923087844,203.64990923087842,2982.7945931515605,100.0,733.456028948197,68.04528452418126,6139 days 00:00:00,156,-3.0364990923085315,68.9381097560976,-32.180182926829254,6.755366134541522,-5.115422725194999,38 days 20:31:48.433734939,23 days 09:12:19.726027397,13.07394609872496,0.3231792988660939,0.07541665709862726,1.0661853546284195,0.45785944423159736,15.044465370912206,1.093523440644532,0.4353295535081503,-0.019910653901944592,None,None,0.00022650640872261382,0.05707961499809868,2.036499092308793,0.03515482872116715,0.21256103817569727,4933,4932,11732.142857142857,,
Least Avg Losing Trade [%],CB,SMA,54,58,0,true,false,1,157,0.9767886925521816,53.205128205128204,1.2235001975485225,1.2004457065878942,0.4767218983802132,-0.9317251312918244,31 days 14:46:09.230769229,0.013296803652968037,0.40703703703703703,0.8114814814814815,0.4886258635333688,0,8100,8101 days 00:00:00,1000.0,3036.4990923087844,203.64990923087842,2982.7945931515605,100.0,733.456028948197,68.04528452418126,6139 days 00:00:00,156,-3.0364990923085315,68.9381097560976,-32.180182926829254,6.755366134541522,-5.115422725194999,38 days 20:31:48.433734939,23 days 09:12:19.726027397,13.07394609872496,0.3231792988660939,0.07541665709862726,1.0661853546284195,0.45785944423159736,15.044465370912206,1.093523440644532,0.4353295535081503,-0.019910653901944592,None,None,0.00022650640872261382,0.05707961499809868,2.036499092308793,0.03515482872116715,0.21256103817569727,4933,4932,11732.142857142857,,
Most Profit Factor,CB,SMA,54,58,0,true,false,1,157,0.9767886925521816,53.205128205128204,1.2235001975485225,1.2004457065878942,0.4767218983802132,-0.9317251312918244,31 days 14:46:09.230769229,0.013296803652968037,0.40703703703703703,0.8114814814814815,0.4886258635333688,0,8100,8101 days 00:00:00,1000.0,3036.4990923087844,203.64990923087842,2982.7945931515605,100.0,733.456028948197,68.04528452418126,6139 days 00:00:00,156,-3.0364990923085315,68.9381097560976,-32.180182926829254,6.755366134541522,-5.115422725194999,38 days 20:31:48.433734939,23 days 09:12:19.726027397,13.07394609872496,0.3231792988660939,0.07541665709862726,1.0661853546284195,0.45785944423159736,15.044465370912206,1.093523440644532,0.4353295535081503,-0.019910653901944592,None,None,0.00022650640872261382,0.05707961499809868,2.036499092308793,0.03515482872116715,0.21256103817569727,4933,4932,11732.142857142857,,
Most Expectancy,CB,SMA,54,58,0,true,false,1,157,0.9767886925521816,53.205128205128204,1.2235001975485225,1.2004457065878942,0.4767218983802132,-0.9317251312918244,31 days 14:46:09.230769229,0.013296803652968037,0.40703703703703703,0.8114814814814815,0.4886258635333688,0,8100,8101 days 00:00:00,1000.0,3036.4990923087844,203.64990923087842,2982.7945931515605,100.0,733.456028948197,68.04528452418126,6139 days 00:00:00,156,-3.0364990923085315,68.9381097560976,-32.180182926829254,6.755366134541522,-5.115422725194999,38 days 20:31:48.433734939,23 days 09:12:19.726027397,13.07394609872496,0.3231792988660939,0.07541665709862726,1.0661853546284195,0.45785944423159736,15.044465370912206,1.093523440644532,0.4353295535081503,-0.019910653901944592,None,None,0.00022650640872261382,0.05707961499809868,2.036499092308793,0.03515482872116715,0.21256103817569727,4933,4932,11732.142857142857,,
