Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Total Return [%],CLSK,EMA,25,85,0,true,false,1,12,0.9936526900301332,27.27272727272727,1.0962654814132566,37.14400067401238,1.5017712089002118,1.3800331502090353,77 days 13:05:27.272727272,0.0035323351385791652,0.1172093023255814,0.2246511627906977,4.353622404581916,0,2150,2151 days 00:00:00,1000.0,1269.8344319146463,26.98344319146463,-71.00286692522093,100.0,25.685500265519448,82.17994947320906,806 days 00:00:00,11,-1.2698344319144326,479.3200120767408,-41.96193581073732,204.91850299685842,-25.77143769705488,155 days 16:00:00,48 days 06:00:00,24.645842395141813,0.5272307821098237,0.05033966418214017,1.2807269866394464,26.220842104232194,991.1024107228443,1.6510051970624147,0.7757255936675462,-0.06743782660343509,,,0.002793372674942631,0.7039299140855431,0.2698344319146475,0.02838201268108209,1.6068481042600735,854,22,3114.0873015873017,0.78125,
Least Total Trades,CLSK,EMA,25,85,0,true,false,1,12,0.9936526900301332,27.27272727272727,1.0962654814132566,37.14400067401238,1.5017712089002118,1.3800331502090353,77 days 13:05:27.272727272,0.0035323351385791652,0.1172093023255814,0.2246511627906977,4.353622404581916,0,2150,2151 days 00:00:00,1000.0,1269.8344319146463,26.98344319146463,-71.00286692522093,100.0,25.685500265519448,82.17994947320906,806 days 00:00:00,11,-1.2698344319144326,479.3200120767408,-41.96193581073732,204.91850299685842,-25.77143769705488,155 days 16:00:00,48 days 06:00:00,24.645842395141813,0.5272307821098237,0.05033966418214017,1.2807269866394464,26.220842104232194,991.1024107228443,1.6510051970624147,0.7757255936675462,-0.06743782660343509,,,0.002793372674942631,0.7039299140855431,0.2698344319146475,0.02838201268108209,1.6068481042600735,854,22,3114.0873015873017,0.78125,
Mean Total Trades,CLSK,EMA,25,85,0,true,false,1,12,0.9936526900301332,27.27272727272727,1.0962654814132566,37.14400067401238,1.5017712089002118,1.3800331502090353,77 days 13:05:27.272727272,0.0035323351385791652,0.1172093023255814,0.2246511627906977,4.353622404581916,0,2150,2151 days 00:00:00,1000.0,1269.8344319146463,26.98344319146463,-71.00286692522093,100.0,25.685500265519448,82.17994947320906,806 days 00:00:00,11,-1.2698344319144326,479.3200120767408,-41.96193581073732,204.91850299685842,-25.77143769705488,155 days 16:00:00,48 days 06:00:00,24.645842395141813,0.5272307821098237,0.05033966418214017,1.2807269866394464,26.220842104232194,991.1024107228443,1.6510051970624147,0.7757255936675462,-0.06743782660343509,,,0.002793372674942631,0.7039299140855431,0.2698344319146475,0.02838201268108209,1.6068481042600735,854,22,3114.0873015873017,0.78125,
Median Total Trades,CLSK,EMA,25,85,0,true,false,1,12,0.9936526900301332,27.27272727272727,1.0962654814132566,37.14400067401238,1.5017712089002118,1.3800331502090353,77 days 13:05:27.272727272,0.0035323351385791652,0.1172093023255814,0.2246511627906977,4.353622404581916,0,2150,2151 days 00:00:00,1000.0,1269.8344319146463,26.98344319146463,-71.00286692522093,100.0,25.685500265519448,82.17994947320906,806 days 00:00:00,11,-1.2698344319144326,479.3200120767408,-41.96193581073732,204.91850299685842,-25.77143769705488,155 days 16:00:00,48 days 06:00:00,24.645842395141813,0.5272307821098237,0.05033966418214017,1.2807269866394464,26.220842104232194,991.1024107228443,1.6510051970624147,0.7757255936675462,-0.06743782660343509,,,0.002793372674942631,0.7039299140855431,0.2698344319146475,0.02838201268108209,1.6068481042600735,854,22,3114.0873015873017,0.78125,
Most Win Rate [%],CLSK,EMA,25,85,0,true,false,1,12,0.9936526900301332,27.27272727272727,1.0962654814132566,37.14400067401238,1.5017712089002118,1.3800331502090353,77 days 13:05:27.272727272,0.0035323351385791652,0.1172093023255814,0.2246511627906977,4.353622404581916,0,2150,2151 days 00:00:00,1000.0,1269.8344319146463,26.98344319146463,-71.00286692522093,100.0,25.685500265519448,82.17994947320906,806 days 00:00:00,11,-1.2698344319144326,479.3200120767408,-41.96193581073732,204.91850299685842,-25.77143769705488,155 days 16:00:00,48 days 06:00:00,24.645842395141813,0.5272307821098237,0.05033966418214017,1.2807269866394464,26.220842104232194,991.1024107228443,1.6510051970624147,0.7757255936675462,-0.06743782660343509,,,0.002793372674942631,0.7039299140855431,0.2698344319146475,0.02838201268108209,1.6068481042600735,854,22,3114.0873015873017,0.78125,
Mean Win Rate [%],CLSK,EMA,25,85,0,true,false,1,12,0.9936526900301332,27.27272727272727,1.0962654814132566,37.14400067401238,1.5017712089002118,1.3800331502090353,77 days 13:05:27.272727272,0.0035323351385791652,0.1172093023255814,0.2246511627906977,4.353622404581916,0,2150,2151 days 00:00:00,1000.0,1269.8344319146463,26.98344319146463,-71.00286692522093,100.0,25.685500265519448,82.17994947320906,806 days 00:00:00,11,-1.2698344319144326,479.3200120767408,-41.96193581073732,204.91850299685842,-25.77143769705488,155 days 16:00:00,48 days 06:00:00,24.645842395141813,0.5272307821098237,0.05033966418214017,1.2807269866394464,26.220842104232194,991.1024107228443,1.6510051970624147,0.7757255936675462,-0.06743782660343509,,,0.002793372674942631,0.7039299140855431,0.2698344319146475,0.02838201268108209,1.6068481042600735,854,22,3114.0873015873017,0.78125,
Median Win Rate [%],CLSK,EMA,25,85,0,true,false,1,12,0.9936526900301332,27.27272727272727,1.0962654814132566,37.14400067401238,1.5017712089002118,1.3800331502090353,77 days 13:05:27.272727272,0.0035323351385791652,0.1172093023255814,0.2246511627906977,4.353622404581916,0,2150,2151 days 00:00:00,1000.0,1269.8344319146463,26.98344319146463,-71.00286692522093,100.0,25.685500265519448,82.17994947320906,806 days 00:00:00,11,-1.2698344319144326,479.3200120767408,-41.96193581073732,204.91850299685842,-25.77143769705488,155 days 16:00:00,48 days 06:00:00,24.645842395141813,0.5272307821098237,0.05033966418214017,1.2807269866394464,26.220842104232194,991.1024107228443,1.6510051970624147,0.7757255936675462,-0.06743782660343509,,,0.002793372674942631,0.7039299140855431,0.2698344319146475,0.02838201268108209,1.6068481042600735,854,22,3114.0873015873017,0.78125,
Mean Best Trade [%],CLSK,EMA,25,85,0,true,false,1,12,0.9936526900301332,27.27272727272727,1.0962654814132566,37.14400067401238,1.5017712089002118,1.3800331502090353,77 days 13:05:27.272727272,0.0035323351385791652,0.1172093023255814,0.2246511627906977,4.353622404581916,0,2150,2151 days 00:00:00,1000.0,1269.8344319146463,26.98344319146463,-71.00286692522093,100.0,25.685500265519448,82.17994947320906,806 days 00:00:00,11,-1.2698344319144326,479.3200120767408,-41.96193581073732,204.91850299685842,-25.77143769705488,155 days 16:00:00,48 days 06:00:00,24.645842395141813,0.5272307821098237,0.05033966418214017,1.2807269866394464,26.220842104232194,991.1024107228443,1.6510051970624147,0.7757255936675462,-0.06743782660343509,,,0.002793372674942631,0.7039299140855431,0.2698344319146475,0.02838201268108209,1.6068481042600735,854,22,3114.0873015873017,0.78125,
Median Best Trade [%],CLSK,EMA,25,85,0,true,false,1,12,0.9936526900301332,27.27272727272727,1.0962654814132566,37.14400067401238,1.5017712089002118,1.3800331502090353,77 days 13:05:27.272727272,0.0035323351385791652,0.1172093023255814,0.2246511627906977,4.353622404581916,0,2150,2151 days 00:00:00,1000.0,1269.8344319146463,26.98344319146463,-71.00286692522093,100.0,25.685500265519448,82.17994947320906,806 days 00:00:00,11,-1.2698344319144326,479.3200120767408,-41.96193581073732,204.91850299685842,-25.77143769705488,155 days 16:00:00,48 days 06:00:00,24.645842395141813,0.5272307821098237,0.05033966418214017,1.2807269866394464,26.220842104232194,991.1024107228443,1.6510051970624147,0.7757255936675462,-0.06743782660343509,,,0.002793372674942631,0.7039299140855431,0.2698344319146475,0.02838201268108209,1.6068481042600735,854,22,3114.0873015873017,0.78125,
Most Profit Factor,CLSK,EMA,25,85,0,true,false,1,12,0.9936526900301332,27.27272727272727,1.0962654814132566,37.14400067401238,1.5017712089002118,1.3800331502090353,77 days 13:05:27.272727272,0.0035323351385791652,0.1172093023255814,0.2246511627906977,4.353622404581916,0,2150,2151 days 00:00:00,1000.0,1269.8344319146463,26.98344319146463,-71.00286692522093,100.0,25.685500265519448,82.17994947320906,806 days 00:00:00,11,-1.2698344319144326,479.3200120767408,-41.96193581073732,204.91850299685842,-25.77143769705488,155 days 16:00:00,48 days 06:00:00,24.645842395141813,0.5272307821098237,0.05033966418214017,1.2807269866394464,26.220842104232194,991.1024107228443,1.6510051970624147,0.7757255936675462,-0.06743782660343509,,,0.002793372674942631,0.7039299140855431,0.2698344319146475,0.02838201268108209,1.6068481042600735,854,22,3114.0873015873017,0.78125,
