Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Win Rate [%],FTNT,SMA,63,65,0,true,false,1,81,1.2452735084943765,57.49999999999999,1.7135246957538142,4.409834090272093,0.9623575903418972,-0.8961758751230952,31 days 16:11:59.999999998,0.014122443547003009,0.43492712861160826,0.8644847864996165,1.9179564785356251,0,3911,3912 days 00:00:00,1000.0,7273.051467537515,627.3051467537515,6041.997921942443,100.0,477.9923750186466,65.33945212973157,1735 days 00:00:00,80,-7.2730514675367886,137.02028026945104,-24.77640981341633,13.058532860527952,-7.291346598897597,36 days 15:39:07.826086956,24 days 22:35:17.647058823,78.50405648756316,0.6673234313644004,0.3112568688375229,1.1427519379978481,0.1445600010101775,27.583133042579668,1.0402403670892209,1.098546042003231,-0.02954709108607892,,,0.0007212889444594647,0.1817648140037851,6.2730514675375,0.1363427761912368,0.3278080421486412,2535,160,5664.742063492064,1.1764705882352942,
Least Max Drawdown Duration,FTNT,SMA,11,23,0,true,false,1,82,1.1598138581040487,50.617283950617285,1.822904674072196,4.566388913157519,1.2169733930095326,-0.8250759771088012,29 days 21:02:13.333333332,0.014298974091340545,0.44029659933520837,0.8752237279468167,2.0105655097052537,0,3911,3912 days 00:00:00,1000.0,11568.90582806435,1056.8905828064348,6041.997921942443,100.0,792.2127285995273,52.20768107177447,786,81,-11.56890582806227,147.499646091829,-20.59481440979485,15.442530036168996,-6.581655737929244,44 days 05:16:05.853658536,15 days 04:12:00,130.62314486286934,0.8171026980126563,0.4915591996981029,1.1735572405093528,0.5713371927291931,21.009403187395453,1.1074930330686386,1.059652029826015,-0.027013146313506937,,,0.0008004517555701484,0.2017138424036774,10.56890582806435,0.1708312039754296,0.2971017566110087,2421,162,5664.742063492064,1.1764705882352942,
Mean Avg Losing Trade Duration,FTNT,SMA,11,23,0,true,false,1,82,1.1598138581040487,50.617283950617285,1.822904674072196,4.566388913157519,1.2169733930095326,-0.8250759771088012,29 days 21:02:13.333333332,0.014298974091340545,0.44029659933520837,0.8752237279468167,2.0105655097052537,0,3911,3912 days 00:00:00,1000.0,11568.90582806435,1056.8905828064348,6041.997921942443,100.0,792.2127285995273,52.20768107177447,786 days 00:00:00,81,-11.56890582806227,147.499646091829,-20.59481440979485,15.442530036168996,-6.581655737929244,44 days 05:16:05.853658536,15,130.62314486286934,0.8171026980126563,0.4915591996981029,1.1735572405093528,0.5713371927291931,21.009403187395453,1.1074930330686386,1.059652029826015,-0.027013146313506937,,,0.0008004517555701484,0.2017138424036774,10.56890582806435,0.1708312039754296,0.2971017566110087,2421,162,5664.742063492064,1.1764705882352942,
Median Total Fees Paid,FTNT,SMA,16,24,0,true,false,1,84,1.1575846701133565,48.19277108433735,1.9140589094985154,4.528231807009934,1.3364990625488669,-0.7413680117734202,29 days 01:44:05.783132529,0.014652035180015621,0.4510355407824086,0.896701610841217,2.042393481862829,0,3911,3912 days 00:00:00,1000.0,16626.53935412838,1562.653935412838,6041.997921942443,100.0,1125.9913951586884,44.50702200496008,898 days 00:00:00,83,-16.62653935412527,81.32110702781164,-23.08985352655085,15.242918977617876,-5.438919049369546,41 days 13:12:00,17 days 11:09:46.046511628,188.47187823472893,0.9086136617508643,0.6737866838449195,1.197138151213707,0.08418457652901817,26.133454917684244,1.0936817677754866,1.0945945945945945,-0.026830539372195907,,,0.0008973869894015387,0.22614152132918774,15.626539354128287,0.19850709933134447,0.29953474673088365,2414,166,5664.742063492064,1.1764705882352942,
Median Best Trade [%],FTNT,SMA,16,24,0,true,false,1,84,1.1575846701133565,48.19277108433735,1.9140589094985154,4.528231807009934,1.3364990625488669,-0.7413680117734202,29 days 01:44:05.783132529,0.014652035180015621,0.4510355407824086,0.896701610841217,2.042393481862829,0,3911,3912 days 00:00:00,1000.0,16626.53935412838,1562.653935412838,6041.997921942443,100.0,1125.9913951586884,44.50702200496008,898 days 00:00:00,83,-16.62653935412527,81.32110702781164,-23.08985352655085,15.242918977617876,-5.438919049369546,41 days 13:12:00,17 days 11:09:46.046511628,188.47187823472893,0.9086136617508643,0.6737866838449195,1.197138151213707,0.08418457652901817,26.133454917684244,1.0936817677754866,1.0945945945945945,-0.026830539372195907,,,0.0008973869894015387,0.22614152132918774,15.626539354128287,0.19850709933134447,0.29953474673088365,2414,166,5664.742063492064,1.1764705882352942,
Most Expectancy,FTNT,SMA,16,24,0,true,false,1,84,1.1575846701133565,48.19277108433735,1.9140589094985154,4.528231807009934,1.3364990625488669,-0.7413680117734202,29 days 01:44:05.783132529,0.014652035180015621,0.4510355407824086,0.896701610841217,2.042393481862829,0,3911,3912 days 00:00:00,1000.0,16626.53935412838,1562.653935412838,6041.997921942443,100.0,1125.9913951586884,44.50702200496008,898 days 00:00:00,83,-16.62653935412527,81.32110702781164,-23.08985352655085,15.242918977617876,-5.438919049369546,41 days 13:12:00,17 days 11:09:46.046511628,188.47187823472893,0.9086136617508643,0.6737866838449195,1.197138151213707,0.08418457652901817,26.133454917684244,1.0936817677754866,1.0945945945945945,-0.026830539372195907,,,0.0008973869894015387,0.22614152132918774,15.626539354128287,0.19850709933134447,0.29953474673088365,2414,166,5664.742063492064,1.1764705882352942,
Most Calmar Ratio,FTNT,SMA,16,24,0,true,false,1,84,1.1575846701133565,48.19277108433735,1.9140589094985154,4.528231807009934,1.3364990625488669,-0.7413680117734202,29 days 01:44:05.783132529,0.014652035180015621,0.4510355407824086,0.896701610841217,2.042393481862829,0,3911,3912 days 00:00:00,1000.0,16626.53935412838,1562.653935412838,6041.997921942443,100.0,1125.9913951586884,44.50702200496008,898 days 00:00:00,83,-16.62653935412527,81.32110702781164,-23.08985352655085,15.242918977617876,-5.438919049369546,41 days 13:12:00,17 days 11:09:46.046511628,188.47187823472893,0.9086136617508643,0.6737866838449195,1.197138151213707,0.08418457652901817,26.133454917684244,1.0936817677754866,1.0945945945945945,-0.026830539372195907,,,0.0008973869894015387,0.22614152132918774,15.626539354128287,0.19850709933134447,0.29953474673088365,2414,166,5664.742063492064,1.1764705882352942,
Median Win Rate [%],FTNT,SMA,10,23,0,true,false,1,83,1.149605998226639,48.78048780487805,1.9400821843322857,4.505089945614052,1.206983476802906,-0.8274221338092702,29 days 14:20:29.268292681,0.014475504635678083,0.4456660700588085,0.8859626693940169,2.0077657313232655,0,3911,3912 days 00:00:00,1000.0,11427.151088976503,1042.7151088976502,6041.997921942443,100.0,756.134525986123,50.08573114223286,787 days 00:00:00,82,-11.427151088975734,147.49964609182896,-20.594814409794846,15.67779545834154,-6.13558197126927,45 days 10:12:00,14 days 12:34:17.142857142,127.29973463494488,0.8117781172903449,0.5095003555595531,1.1716873298695512,0.5577820360648489,20.630407797293667,1.0953322207081542,1.069709543568465,-0.027645275594791043,,,0.0007989514436501236,0.20133576379983115,10.42715108897646,0.1699017171292021,0.2984899741444099,2428,164,5664.742063492064,1.1764705882352942,
Most Profit Factor,FTNT,SMA,10,23,0,true,false,1,83,1.149605998226639,48.78048780487805,1.9400821843322857,4.505089945614052,1.206983476802906,-0.8274221338092702,29 days 14:20:29.268292681,0.014475504635678083,0.4456660700588085,0.8859626693940169,2.0077657313232655,0,3911,3912 days 00:00:00,1000.0,11427.151088976503,1042.7151088976502,6041.997921942443,100.0,756.134525986123,50.08573114223286,787 days 00:00:00,82,-11.427151088975734,147.49964609182896,-20.594814409794846,15.67779545834154,-6.13558197126927,45 days 10:12:00,14 days 12:34:17.142857142,127.29973463494488,0.8117781172903449,0.5095003555595531,1.1716873298695512,0.5577820360648489,20.630407797293667,1.0953322207081542,1.069709543568465,-0.027645275594791043,,,0.0007989514436501236,0.20133576379983115,10.42715108897646,0.1699017171292021,0.2984899741444099,2428,164,5664.742063492064,1.1764705882352942,
Median Omega Ratio,FTNT,SMA,10,23,0,true,false,1,83,1.149605998226639,48.78048780487805,1.9400821843322857,4.505089945614052,1.206983476802906,-0.8274221338092702,29 days 14:20:29.268292681,0.014475504635678083,0.4456660700588085,0.8859626693940169,2.0077657313232655,0,3911,3912 days 00:00:00,1000.0,11427.151088976503,1042.7151088976502,6041.997921942443,100.0,756.134525986123,50.08573114223286,787 days 00:00:00,82,-11.427151088975734,147.49964609182896,-20.594814409794846,15.67779545834154,-6.13558197126927,45 days 10:12:00,14 days 12:34:17.142857142,127.29973463494488,0.8117781172903449,0.5095003555595531,1.1716873298695512,0.5577820360648489,20.630407797293667,1.0953322207081542,1.069709543568465,-0.027645275594791043,,,0.0007989514436501236,0.20133576379983115,10.42715108897646,0.1699017171292021,0.2984899741444099,2428,164,5664.742063492064,1.1764705882352942,
