Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Total Return [%],ARM,SMA,11,20,0,true,false,1,10,1.7441335231127575,66.66666666666666,6.923032976763749,15.92419016906775,3.117845998964015,0.7853692166831159,27 days 10:39:59.999999999,0.01428436466698158,0.48275862068965514,0.9172413793103448,7.687540081618913,0,435,436 days 00:00:00,1000.0,3162.9950081525126,216.29950081525124,121.15113153854837,100.0,42.68339594057841,24.260736550809607,230 days 00:00:00,9,-3.1629950081519382,69.67112323575869,-8.141512527336989,26.539335730283636,-5.306100953364009,37 days 00:00:00,8 days 08:00:00,240.6842225734072,1.5982487669786356,6.686390568670492,1.4340852556108878,4.397555801478996,50.227338457473046,1.2759140877126278,1.1239669421487604,-0.0458956014462589,,,0.0033916938185001573,0.8547068422620396,2.1629950081525147,0.9455740303688986,0.643604340665159,248,18,630.0595238095237,0.8333333333333334,
Mean Total Trades,ARM,SMA,11,20,0,true,false,1,10,1.7441335231127575,66.66666666666666,6.923032976763749,15.92419016906775,3.117845998964015,0.7853692166831159,27 days 10:39:59.999999999,0.01428436466698158,0.48275862068965514,0.9172413793103448,7.687540081618913,0,435,436 days 00:00:00,1000.0,3162.9950081525126,216.29950081525124,121.15113153854837,100.0,42.68339594057841,24.260736550809607,230 days 00:00:00,9,-3.1629950081519382,69.67112323575869,-8.141512527336989,26.539335730283636,-5.306100953364009,37 days 00:00:00,8 days 08:00:00,240.6842225734072,1.5982487669786356,6.686390568670492,1.4340852556108878,4.397555801478996,50.227338457473046,1.2759140877126278,1.1239669421487604,-0.0458956014462589,,,0.0033916938185001573,0.8547068422620396,2.1629950081525147,0.9455740303688986,0.643604340665159,248,18,630.0595238095237,0.8333333333333334,
Most Worst Trade [%],ARM,SMA,11,20,0,true,false,1,10,1.7441335231127575,66.66666666666666,6.923032976763749,15.92419016906775,3.117845998964015,0.7853692166831159,27 days 10:39:59.999999999,0.01428436466698158,0.48275862068965514,0.9172413793103448,7.687540081618913,0,435,436 days 00:00:00,1000.0,3162.9950081525126,216.29950081525124,121.15113153854837,100.0,42.68339594057841,24.260736550809607,230 days 00:00:00,9,-3.1629950081519382,69.67112323575869,-8.141512527336989,26.539335730283636,-5.306100953364009,37 days 00:00:00,8 days 08:00:00,240.6842225734072,1.5982487669786356,6.686390568670492,1.4340852556108878,4.397555801478996,50.227338457473046,1.2759140877126278,1.1239669421487604,-0.0458956014462589,,,0.0033916938185001573,0.8547068422620396,2.1629950081525147,0.9455740303688986,0.643604340665159,248,18,630.0595238095237,0.8333333333333334,
Most Profit Factor,ARM,SMA,11,20,0,true,false,1,10,1.7441335231127575,66.66666666666666,6.923032976763749,15.92419016906775,3.117845998964015,0.7853692166831159,27 days 10:39:59.999999999,0.01428436466698158,0.48275862068965514,0.9172413793103448,7.687540081618913,0,435,436 days 00:00:00,1000.0,3162.9950081525126,216.29950081525124,121.15113153854837,100.0,42.68339594057841,24.260736550809607,230 days 00:00:00,9,-3.1629950081519382,69.67112323575869,-8.141512527336989,26.539335730283636,-5.306100953364009,37 days 00:00:00,8 days 08:00:00,240.6842225734072,1.5982487669786356,6.686390568670492,1.4340852556108878,4.397555801478996,50.227338457473046,1.2759140877126278,1.1239669421487604,-0.0458956014462589,,,0.0033916938185001573,0.8547068422620396,2.1629950081525147,0.9455740303688986,0.643604340665159,248,18,630.0595238095237,0.8333333333333334,
Most Expectancy,ARM,SMA,11,20,0,true,false,1,10,1.7441335231127575,66.66666666666666,6.923032976763749,15.92419016906775,3.117845998964015,0.7853692166831159,27 days 10:39:59.999999999,0.01428436466698158,0.48275862068965514,0.9172413793103448,7.687540081618913,0,435,436 days 00:00:00,1000.0,3162.9950081525126,216.29950081525124,121.15113153854837,100.0,42.68339594057841,24.260736550809607,230 days 00:00:00,9,-3.1629950081519382,69.67112323575869,-8.141512527336989,26.539335730283636,-5.306100953364009,37 days 00:00:00,8 days 08:00:00,240.6842225734072,1.5982487669786356,6.686390568670492,1.4340852556108878,4.397555801478996,50.227338457473046,1.2759140877126278,1.1239669421487604,-0.0458956014462589,,,0.0033916938185001573,0.8547068422620396,2.1629950081525147,0.9455740303688986,0.643604340665159,248,18,630.0595238095237,0.8333333333333334,
Most Sharpe Ratio,ARM,SMA,11,20,0,true,false,1,10,1.7441335231127575,66.66666666666666,6.923032976763749,15.92419016906775,3.117845998964015,0.7853692166831159,27 days 10:39:59.999999999,0.01428436466698158,0.48275862068965514,0.9172413793103448,7.687540081618913,0,435,436 days 00:00:00,1000.0,3162.9950081525126,216.29950081525124,121.15113153854837,100.0,42.68339594057841,24.260736550809607,230 days 00:00:00,9,-3.1629950081519382,69.67112323575869,-8.141512527336989,26.539335730283636,-5.306100953364009,37 days 00:00:00,8 days 08:00:00,240.6842225734072,1.5982487669786356,6.686390568670492,1.4340852556108878,4.397555801478996,50.227338457473046,1.2759140877126278,1.1239669421487604,-0.0458956014462589,,,0.0033916938185001573,0.8547068422620396,2.1629950081525147,0.9455740303688986,0.643604340665159,248,18,630.0595238095237,0.8333333333333334,
Most Calmar Ratio,ARM,SMA,11,20,0,true,false,1,10,1.7441335231127575,66.66666666666666,6.923032976763749,15.92419016906775,3.117845998964015,0.7853692166831159,27 days 10:39:59.999999999,0.01428436466698158,0.48275862068965514,0.9172413793103448,7.687540081618913,0,435,436 days 00:00:00,1000.0,3162.9950081525126,216.29950081525124,121.15113153854837,100.0,42.68339594057841,24.260736550809607,230 days 00:00:00,9,-3.1629950081519382,69.67112323575869,-8.141512527336989,26.539335730283636,-5.306100953364009,37 days 00:00:00,8 days 08:00:00,240.6842225734072,1.5982487669786356,6.686390568670492,1.4340852556108878,4.397555801478996,50.227338457473046,1.2759140877126278,1.1239669421487604,-0.0458956014462589,,,0.0033916938185001573,0.8547068422620396,2.1629950081525147,0.9455740303688986,0.643604340665159,248,18,630.0595238095237,0.8333333333333334,
Most Omega Ratio,ARM,SMA,11,20,0,true,false,1,10,1.7441335231127575,66.66666666666666,6.923032976763749,15.92419016906775,3.117845998964015,0.7853692166831159,27 days 10:39:59.999999999,0.01428436466698158,0.48275862068965514,0.9172413793103448,7.687540081618913,0,435,436 days 00:00:00,1000.0,3162.9950081525126,216.29950081525124,121.15113153854837,100.0,42.68339594057841,24.260736550809607,230 days 00:00:00,9,-3.1629950081519382,69.67112323575869,-8.141512527336989,26.539335730283636,-5.306100953364009,37 days 00:00:00,8 days 08:00:00,240.6842225734072,1.5982487669786356,6.686390568670492,1.4340852556108878,4.397555801478996,50.227338457473046,1.2759140877126278,1.1239669421487604,-0.0458956014462589,,,0.0033916938185001573,0.8547068422620396,2.1629950081525147,0.9455740303688986,0.643604340665159,248,18,630.0595238095237,0.8333333333333334,
Most Sortino Ratio,ARM,SMA,11,20,0,true,false,1,10,1.7441335231127575,66.66666666666666,6.923032976763749,15.92419016906775,3.117845998964015,0.7853692166831159,27 days 10:39:59.999999999,0.01428436466698158,0.48275862068965514,0.9172413793103448,7.687540081618913,0,435,436 days 00:00:00,1000.0,3162.9950081525126,216.29950081525124,121.15113153854837,100.0,42.68339594057841,24.260736550809607,230 days 00:00:00,9,-3.1629950081519382,69.67112323575869,-8.141512527336989,26.539335730283636,-5.306100953364009,37 days 00:00:00,8 days 08:00:00,240.6842225734072,1.5982487669786356,6.686390568670492,1.4340852556108878,4.397555801478996,50.227338457473046,1.2759140877126278,1.1239669421487604,-0.0458956014462589,,,0.0033916938185001573,0.8547068422620396,2.1629950081525147,0.9455740303688986,0.643604340665159,248,18,630.0595238095237,0.8333333333333334,
Most Total Fees Paid,ARM,SMA,8,9,0,true,false,1,44,1.3827254225390888,60.46511627906976,1.7175986981094487,2.8097076779978387,2.5589047922255252,0.21676020012795805,5 days 16:44:39.069767440,0.06824752007557866,2.1241379310344826,4.2,5.968206653954029,0,435,436 days 00:00:00,1000.0,2474.118750565727,147.41187505657268,121.15113153854837,100.0,167.21438812873345,35.42961707523697,230 days 00:00:00,43,-2.4741187505655944,72.87318873710788,-15.043057069899435,8.345591925385357,-5.656938818006598,6 days 03:41:32.307692307,5 days 00:00:00,34.33936905386725,1.3351900324286265,3.2029305469492098,1.3528640197595119,4.428766656518398,51.49771975863276,1.667483559238469,0.8113207547169813,-0.04623013712453359,,,0.002820935690740414,0.7108757940665844,1.4741187505657263,0.688067675724862,0.6407620861546909,246,86,630.0595238095237,0.8333333333333334,
