Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Least Worst Trade [%],GOOG,SMA,54,58,0,true,false,1,86,1.4019400851835333,60.0,2.2646548606816195,2.7269328314177477,0.8862656909790457,-0.9227998481285947,39 days 04:31:03.529411764,0.011199414409704067,0.34465648854961833,0.6853053435114504,0.9398550941871092,0,5240,5241 days 00:00:00,1000.0,6397.571292407726,539.7571292407725,6991.658904244949,100.0,468.65232604807227,43.13763323119997,2541 days 00:00:00,85,-6.39757129240661,68.92881670716976,-20.883144404913107,7.751641760315224,-4.810130561928467,45 days 09:52:56.470588235,29 days 20:28:14.117647058,63.576104278825035,0.6232486942710151,0.31985288843569776,1.124131532930659,-0.12650691637050684,9.977568544273243,1.0331905549857026,1.0880195599022007,-0.021224798158157678,,,0.000449098986217358,0.1131729445267742,5.397571292407739,0.09333981558064375,0.21853821929119782,3332,170,7589.68253968254,1.5384615384615385,
Most Total Return [%],GOOG,SMA,53,59,0,true,false,1,73,1.3580299846686095,56.94444444444444,2.4826411497016467,3.537513352445823,0.9722488861562458,-0.9021628828410495,46 days 05:40:00,0.009486562794102269,0.29255725190839693,0.5811068702290076,1.0349251849808103,0,5240,5241 days 00:00:00,1000.0,7840.43751350033,684.043751350033,6991.658904244949,100.0,462.1362473704762,37.52078058697151,1018 days 00:00:00,72,-7.840437513499637,68.68549254370055,-20.883144404913086,9.917760573945035,-4.9008781340531336,57 days 02:55:36.585365854,31 days 20:07:44.516129032,95.11497154185875,0.6781133845369371,0.4109981019911614,1.1356325131402485,-0.033586668940051446,9.716474426145194,1.0341911819103027,1.0980876002467612,-0.02114422829182507,,,0.00048732245243911834,0.12280525801465782,6.840437513500278,0.10408383684670652,0.2179519742109223,3330,144,7589.68253968254,1.5384615384615385,
Least Max Drawdown [%],GOOG,SMA,53,59,0,true,false,1,73,1.3580299846686095,56.94444444444444,2.4826411497016467,3.537513352445823,0.9722488861562458,-0.9021628828410495,46 days 05:40:00,0.009486562794102269,0.29255725190839693,0.5811068702290076,1.0349251849808103,0,5240,5241 days 00:00:00,1000.0,7840.43751350033,684.043751350033,6991.658904244949,100.0,462.1362473704762,37.52078058697151,1018 days 00:00:00,72,-7.840437513499637,68.68549254370055,-20.883144404913086,9.917760573945035,-4.9008781340531336,57 days 02:55:36.585365854,31 days 20:07:44.516129032,95.11497154185875,0.6781133845369371,0.4109981019911614,1.1356325131402485,-0.033586668940051446,9.716474426145194,1.0341911819103027,1.0980876002467612,-0.02114422829182507,,,0.00048732245243911834,0.12280525801465782,6.840437513500278,0.10408383684670652,0.2179519742109223,3330,144,7589.68253968254,1.5384615384615385,
Most Profit Factor,GOOG,SMA,53,59,0,true,false,1,73,1.3580299846686095,56.94444444444444,2.4826411497016467,3.537513352445823,0.9722488861562458,-0.9021628828410495,46 days 05:40:00,0.009486562794102269,0.29255725190839693,0.5811068702290076,1.0349251849808103,0,5240,5241 days 00:00:00,1000.0,7840.43751350033,684.043751350033,6991.658904244949,100.0,462.1362473704762,37.52078058697151,1018 days 00:00:00,72,-7.840437513499637,68.68549254370055,-20.883144404913086,9.917760573945035,-4.9008781340531336,57 days 02:55:36.585365854,31 days 20:07:44.516129032,95.11497154185875,0.6781133845369371,0.4109981019911614,1.1356325131402485,-0.033586668940051446,9.716474426145194,1.0341911819103027,1.0980876002467612,-0.02114422829182507,,,0.00048732245243911834,0.12280525801465782,6.840437513500278,0.10408383684670652,0.2179519742109223,3330,144,7589.68253968254,1.5384615384615385,
Most Sharpe Ratio,GOOG,SMA,53,59,0,true,false,1,73,1.3580299846686095,56.94444444444444,2.4826411497016467,3.537513352445823,0.9722488861562458,-0.9021628828410495,46 days 05:40:00,0.009486562794102269,0.29255725190839693,0.5811068702290076,1.0349251849808103,0,5240,5241 days 00:00:00,1000.0,7840.43751350033,684.043751350033,6991.658904244949,100.0,462.1362473704762,37.52078058697151,1018 days 00:00:00,72,-7.840437513499637,68.68549254370055,-20.883144404913086,9.917760573945035,-4.9008781340531336,57 days 02:55:36.585365854,31 days 20:07:44.516129032,95.11497154185875,0.6781133845369371,0.4109981019911614,1.1356325131402485,-0.033586668940051446,9.716474426145194,1.0341911819103027,1.0980876002467612,-0.02114422829182507,,,0.00048732245243911834,0.12280525801465782,6.840437513500278,0.10408383684670652,0.2179519742109223,3330,144,7589.68253968254,1.5384615384615385,
Most Calmar Ratio,GOOG,SMA,53,59,0,true,false,1,73,1.3580299846686095,56.94444444444444,2.4826411497016467,3.537513352445823,0.9722488861562458,-0.9021628828410495,46 days 05:40:00,0.009486562794102269,0.29255725190839693,0.5811068702290076,1.0349251849808103,0,5240,5241 days 00:00:00,1000.0,7840.43751350033,684.043751350033,6991.658904244949,100.0,462.1362473704762,37.52078058697151,1018 days 00:00:00,72,-7.840437513499637,68.68549254370055,-20.883144404913086,9.917760573945035,-4.9008781340531336,57 days 02:55:36.585365854,31 days 20:07:44.516129032,95.11497154185875,0.6781133845369371,0.4109981019911614,1.1356325131402485,-0.033586668940051446,9.716474426145194,1.0341911819103027,1.0980876002467612,-0.02114422829182507,,,0.00048732245243911834,0.12280525801465782,6.840437513500278,0.10408383684670652,0.2179519742109223,3330,144,7589.68253968254,1.5384615384615385,
Most Omega Ratio,GOOG,SMA,53,59,0,true,false,1,73,1.3580299846686095,56.94444444444444,2.4826411497016467,3.537513352445823,0.9722488861562458,-0.9021628828410495,46 days 05:40:00,0.009486562794102269,0.29255725190839693,0.5811068702290076,1.0349251849808103,0,5240,5241 days 00:00:00,1000.0,7840.43751350033,684.043751350033,6991.658904244949,100.0,462.1362473704762,37.52078058697151,1018 days 00:00:00,72,-7.840437513499637,68.68549254370055,-20.883144404913086,9.917760573945035,-4.9008781340531336,57 days 02:55:36.585365854,31 days 20:07:44.516129032,95.11497154185875,0.6781133845369371,0.4109981019911614,1.1356325131402485,-0.033586668940051446,9.716474426145194,1.0341911819103027,1.0980876002467612,-0.02114422829182507,,,0.00048732245243911834,0.12280525801465782,6.840437513500278,0.10408383684670652,0.2179519742109223,3330,144,7589.68253968254,1.5384615384615385,
Most Sortino Ratio,GOOG,SMA,53,59,0,true,false,1,73,1.3580299846686095,56.94444444444444,2.4826411497016467,3.537513352445823,0.9722488861562458,-0.9021628828410495,46 days 05:40:00,0.009486562794102269,0.29255725190839693,0.5811068702290076,1.0349251849808103,0,5240,5241 days 00:00:00,1000.0,7840.43751350033,684.043751350033,6991.658904244949,100.0,462.1362473704762,37.52078058697151,1018 days 00:00:00,72,-7.840437513499637,68.68549254370055,-20.883144404913086,9.917760573945035,-4.9008781340531336,57 days 02:55:36.585365854,31 days 20:07:44.516129032,95.11497154185875,0.6781133845369371,0.4109981019911614,1.1356325131402485,-0.033586668940051446,9.716474426145194,1.0341911819103027,1.0980876002467612,-0.02114422829182507,,,0.00048732245243911834,0.12280525801465782,6.840437513500278,0.10408383684670652,0.2179519742109223,3330,144,7589.68253968254,1.5384615384615385,
Mean Total Return [%],GOOG,SMA,55,57,0,true,false,1,114,1.3219296595800083,55.75221238938053,2.1085188835804796,1.862438249098784,0.8247226257347847,-0.9360166932458203,29 days 09:20:42.477876105,0.014888633274077172,0.4568702290076336,0.9097328244274809,0.8508925893783376,0,5240,5241 days 00:00:00,1000.0,5473.49456390897,447.349456390897,6991.658904244949,100.0,531.5687935623199,44.74767160112561,2015 days 00:00:00,113,-5.473494563908389,65.65601815030574,-20.035833431279343,6.248408054548007,-3.6638837057672373,36 days 14:28:34.285714285,20 days 07:12:00,39.63688547321133,0.5847365156070957,0.2808647252380649,1.115310696066991,-0.2589012760708905,9.17800169361136,1.041207845765239,1.071170084439083,-0.021231943677529494,,,0.0004178683689403816,0.10530282897297617,4.4734945639089485,0.08516944812552563,0.21673347038164165,3322,226,7589.68253968254,1.5384615384615385,
Median Profit Factor,GOOG,SMA,55,58,0,true,false,1,94,1.3066795294683375,55.91397849462365,2.149437465085825,2.5552442145513803,0.901920184812623,-0.9187162631041292,35 days 16:46:27.096774192,0.012253476942382097,0.3767175572519084,0.7494274809160305,0.9626053586878673,0,5240,5241 days 00:00:00,1000.0,6683.081628383188,568.3081628383188,6991.658904244949,100.0,548.023855890263,41.758304529436344,2020 days 00:00:00,93,-6.683081628382752,68.63797213585438,-20.883144404913097,7.9519015491850435,-4.289296795227898,43 days 08:46:09.230769230,25 days 23:24:52.682926829,61.180265699049144,0.6343623798833624,0.3387169387462648,1.1267446896096776,-0.13444159479444462,9.956555102689144,1.041000307931373,1.0823672971323979,-0.02123194367752942,,,0.0004576747714081714,0.1153340423948592,5.683081628383145,0.09563749204678618,0.21880954153352872,3321,186,7589.68253968254,1.5384615384615385,
