Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Total Return [%],SWKS,SMA,78,82,0,true,false,1,151,1.3823816448309678,53.333333333333336,1.4531763741434214,7.329420623318413,1.1182499508802821,48.87953536128088,35 days 19:40:48,0.010078992100789922,0.3086131386861314,0.6151824817518248,2.261955503313157,0,10275,10276 days 00:00:00,1000.0,546620.1434205261,54562.0143420526,1093.8757537907322,100.0,60749.779403564826,81.63556232998329,2828 days 00:00:00,150,-546.6201434204122,298.7884040300231,-35.54066883784752,21.61410007325102,-8.99592731946171,43 days 19:12:00,26 days 16:48:00,3641.111757092981,0.6852182377723781,0.3074088084236647,1.161545696311151,2.2577152966189677,37.310900081125915,1.2233200846725838,0.9495026778882938,-0.037955076423834846,,,0.0009637204879665015,0.24285756296755837,545.620143420535,0.1671769568885264,0.4265489535492692,5374,300,14882.440476190475,1.2345679012345678,
Most Total Fees Paid,SWKS,SMA,78,82,0,true,false,1,151,1.3823816448309678,53.333333333333336,1.4531763741434214,7.329420623318413,1.1182499508802821,48.87953536128088,35 days 19:40:48,0.010078992100789922,0.3086131386861314,0.6151824817518248,2.261955503313157,0,10275,10276 days 00:00:00,1000.0,546620.1434205261,54562.0143420526,1093.8757537907322,100.0,60749.779403564826,81.63556232998329,2828 days 00:00:00,150,-546.6201434204122,298.7884040300231,-35.54066883784752,21.61410007325102,-8.99592731946171,43 days 19:12:00,26 days 16:48:00,3641.111757092981,0.6852182377723781,0.3074088084236647,1.161545696311151,2.2577152966189677,37.310900081125915,1.2233200846725838,0.9495026778882938,-0.037955076423834846,,,0.0009637204879665015,0.24285756296755837,545.620143420535,0.1671769568885264,0.4265489535492692,5374,300,14882.440476190475,1.2345679012345678,
Mean Total Trades,SWKS,SMA,78,82,0,true,false,1,151,1.3823816448309678,53.333333333333336,1.4531763741434214,7.329420623318413,1.1182499508802821,48.87953536128088,35 days 19:40:48,0.010078992100789922,0.3086131386861314,0.6151824817518248,2.261955503313157,0,10275,10276 days 00:00:00,1000.0,546620.1434205261,54562.0143420526,1093.8757537907322,100.0,60749.779403564826,81.63556232998329,2828 days 00:00:00,150,-546.6201434204122,298.7884040300231,-35.54066883784752,21.61410007325102,-8.99592731946171,43 days 19:12:00,26 days 16:48:00,3641.111757092981,0.6852182377723781,0.3074088084236647,1.161545696311151,2.2577152966189677,37.310900081125915,1.2233200846725838,0.9495026778882938,-0.037955076423834846,,,0.0009637204879665015,0.24285756296755837,545.620143420535,0.1671769568885264,0.4265489535492692,5374,300,14882.440476190475,1.2345679012345678,
Most Win Rate [%],SWKS,SMA,78,82,0,true,false,1,151,1.3823816448309678,53.333333333333336,1.4531763741434214,7.329420623318413,1.1182499508802821,48.87953536128088,35 days 19:40:48,0.010078992100789922,0.3086131386861314,0.6151824817518248,2.261955503313157,0,10275,10276 days 00:00:00,1000.0,546620.1434205261,54562.0143420526,1093.8757537907322,100.0,60749.779403564826,81.63556232998329,2828 days 00:00:00,150,-546.6201434204122,298.7884040300231,-35.54066883784752,21.61410007325102,-8.99592731946171,43 days 19:12:00,26 days 16:48:00,3641.111757092981,0.6852182377723781,0.3074088084236647,1.161545696311151,2.2577152966189677,37.310900081125915,1.2233200846725838,0.9495026778882938,-0.037955076423834846,,,0.0009637204879665015,0.24285756296755837,545.620143420535,0.1671769568885264,0.4265489535492692,5374,300,14882.440476190475,1.2345679012345678,
Most Best Trade [%],SWKS,SMA,78,82,0,true,false,1,151,1.3823816448309678,53.333333333333336,1.4531763741434214,7.329420623318413,1.1182499508802821,48.87953536128088,35 days 19:40:48,0.010078992100789922,0.3086131386861314,0.6151824817518248,2.261955503313157,0,10275,10276 days 00:00:00,1000.0,546620.1434205261,54562.0143420526,1093.8757537907322,100.0,60749.779403564826,81.63556232998329,2828 days 00:00:00,150,-546.6201434204122,298.7884040300231,-35.54066883784752,21.61410007325102,-8.99592731946171,43 days 19:12:00,26 days 16:48:00,3641.111757092981,0.6852182377723781,0.3074088084236647,1.161545696311151,2.2577152966189677,37.310900081125915,1.2233200846725838,0.9495026778882938,-0.037955076423834846,,,0.0009637204879665015,0.24285756296755837,545.620143420535,0.1671769568885264,0.4265489535492692,5374,300,14882.440476190475,1.2345679012345678,
Most Expectancy,SWKS,SMA,78,82,0,true,false,1,151,1.3823816448309678,53.333333333333336,1.4531763741434214,7.329420623318413,1.1182499508802821,48.87953536128088,35 days 19:40:48,0.010078992100789922,0.3086131386861314,0.6151824817518248,2.261955503313157,0,10275,10276 days 00:00:00,1000.0,546620.1434205261,54562.0143420526,1093.8757537907322,100.0,60749.779403564826,81.63556232998329,2828 days 00:00:00,150,-546.6201434204122,298.7884040300231,-35.54066883784752,21.61410007325102,-8.99592731946171,43 days 19:12:00,26 days 16:48:00,3641.111757092981,0.6852182377723781,0.3074088084236647,1.161545696311151,2.2577152966189677,37.310900081125915,1.2233200846725838,0.9495026778882938,-0.037955076423834846,,,0.0009637204879665015,0.24285756296755837,545.620143420535,0.1671769568885264,0.4265489535492692,5374,300,14882.440476190475,1.2345679012345678,
Most Sharpe Ratio,SWKS,SMA,78,82,0,true,false,1,151,1.3823816448309678,53.333333333333336,1.4531763741434214,7.329420623318413,1.1182499508802821,48.87953536128088,35 days 19:40:48,0.010078992100789922,0.3086131386861314,0.6151824817518248,2.261955503313157,0,10275,10276 days 00:00:00,1000.0,546620.1434205261,54562.0143420526,1093.8757537907322,100.0,60749.779403564826,81.63556232998329,2828 days 00:00:00,150,-546.6201434204122,298.7884040300231,-35.54066883784752,21.61410007325102,-8.99592731946171,43 days 19:12:00,26 days 16:48:00,3641.111757092981,0.6852182377723781,0.3074088084236647,1.161545696311151,2.2577152966189677,37.310900081125915,1.2233200846725838,0.9495026778882938,-0.037955076423834846,,,0.0009637204879665015,0.24285756296755837,545.620143420535,0.1671769568885264,0.4265489535492692,5374,300,14882.440476190475,1.2345679012345678,
Most Calmar Ratio,SWKS,SMA,78,82,0,true,false,1,151,1.3823816448309678,53.333333333333336,1.4531763741434214,7.329420623318413,1.1182499508802821,48.87953536128088,35 days 19:40:48,0.010078992100789922,0.3086131386861314,0.6151824817518248,2.261955503313157,0,10275,10276 days 00:00:00,1000.0,546620.1434205261,54562.0143420526,1093.8757537907322,100.0,60749.779403564826,81.63556232998329,2828 days 00:00:00,150,-546.6201434204122,298.7884040300231,-35.54066883784752,21.61410007325102,-8.99592731946171,43 days 19:12:00,26 days 16:48:00,3641.111757092981,0.6852182377723781,0.3074088084236647,1.161545696311151,2.2577152966189677,37.310900081125915,1.2233200846725838,0.9495026778882938,-0.037955076423834846,,,0.0009637204879665015,0.24285756296755837,545.620143420535,0.1671769568885264,0.4265489535492692,5374,300,14882.440476190475,1.2345679012345678,
Most Omega Ratio,SWKS,SMA,78,82,0,true,false,1,151,1.3823816448309678,53.333333333333336,1.4531763741434214,7.329420623318413,1.1182499508802821,48.87953536128088,35 days 19:40:48,0.010078992100789922,0.3086131386861314,0.6151824817518248,2.261955503313157,0,10275,10276 days 00:00:00,1000.0,546620.1434205261,54562.0143420526,1093.8757537907322,100.0,60749.779403564826,81.63556232998329,2828 days 00:00:00,150,-546.6201434204122,298.7884040300231,-35.54066883784752,21.61410007325102,-8.99592731946171,43 days 19:12:00,26 days 16:48:00,3641.111757092981,0.6852182377723781,0.3074088084236647,1.161545696311151,2.2577152966189677,37.310900081125915,1.2233200846725838,0.9495026778882938,-0.037955076423834846,,,0.0009637204879665015,0.24285756296755837,545.620143420535,0.1671769568885264,0.4265489535492692,5374,300,14882.440476190475,1.2345679012345678,
Most Sortino Ratio,SWKS,SMA,78,82,0,true,false,1,151,1.3823816448309678,53.333333333333336,1.4531763741434214,7.329420623318413,1.1182499508802821,48.87953536128088,35 days 19:40:48,0.010078992100789922,0.3086131386861314,0.6151824817518248,2.261955503313157,0,10275,10276 days 00:00:00,1000.0,546620.1434205261,54562.0143420526,1093.8757537907322,100.0,60749.779403564826,81.63556232998329,2828 days 00:00:00,150,-546.6201434204122,298.7884040300231,-35.54066883784752,21.61410007325102,-8.99592731946171,43 days 19:12:00,26 days 16:48:00,3641.111757092981,0.6852182377723781,0.3074088084236647,1.161545696311151,2.2577152966189677,37.310900081125915,1.2233200846725838,0.9495026778882938,-0.037955076423834846,,,0.0009637204879665015,0.24285756296755837,545.620143420535,0.1671769568885264,0.4265489535492692,5374,300,14882.440476190475,1.2345679012345678,
