Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Total Return [%],11,15,16,RJF,MACD,true,false,1,425,0.8530514048740453,47.64150943396226,1.2790324015276582,0.2256404406785344,0.577118345790004,-0.9949077599702082,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.19041612453251888,0,10576,10577 days 00:00:00,1000.0,2286.814499852972,128.6814499852972,25270.106914139167,100.0,1358.818509621091,40.545707791454525,5989 days 00:00:00,424,-2.2868144998528805,15.02129240811502,-19.657649051441865,1.9027775443433788,-1.3004032302237112,1 days 00:00:00,1 days 00:00:00,3.0403332885679895,0.34977840488145656,0.07141475643151904,1.3091368697156622,1.5790111504715965,421.6932227088163,3.908972061686212,0.3349056603773585,-0.0009990009990008435,,,0.00009039803761951045,0.022780305480116635,1.2868144998529738,0.019902786005230322,0.0783813451790258,425,0,15318.412698412698,,
Most Total Fees Paid,11,15,16,RJF,MACD,true,false,1,425,0.8530514048740453,47.64150943396226,1.2790324015276582,0.2256404406785344,0.577118345790004,-0.9949077599702082,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.19041612453251888,0,10576,10577 days 00:00:00,1000.0,2286.814499852972,128.6814499852972,25270.106914139167,100.0,1358.818509621091,40.545707791454525,5989 days 00:00:00,424,-2.2868144998528805,15.02129240811502,-19.657649051441865,1.9027775443433788,-1.3004032302237112,1 days 00:00:00,1 days 00:00:00,3.0403332885679895,0.34977840488145656,0.07141475643151904,1.3091368697156622,1.5790111504715965,421.6932227088163,3.908972061686212,0.3349056603773585,-0.0009990009990008435,,,0.00009039803761951045,0.022780305480116635,1.2868144998529738,0.019902786005230322,0.0783813451790258,425,0,15318.412698412698,,
Mean Max Drawdown [%],11,15,16,RJF,MACD,true,false,1,425,0.8530514048740453,47.64150943396226,1.2790324015276582,0.2256404406785344,0.577118345790004,-0.9949077599702082,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.19041612453251888,0,10576,10577 days 00:00:00,1000.0,2286.814499852972,128.6814499852972,25270.106914139167,100.0,1358.818509621091,40.545707791454525,5989 days 00:00:00,424,-2.2868144998528805,15.02129240811502,-19.657649051441865,1.9027775443433788,-1.3004032302237112,1 days 00:00:00,1 days 00:00:00,3.0403332885679895,0.34977840488145656,0.07141475643151904,1.3091368697156622,1.5790111504715965,421.6932227088163,3.908972061686212,0.3349056603773585,-0.0009990009990008435,,,0.00009039803761951045,0.022780305480116635,1.2868144998529738,0.019902786005230322,0.0783813451790258,425,0,15318.412698412698,,
Median Max Drawdown [%],11,15,16,RJF,MACD,true,false,1,425,0.8530514048740453,47.64150943396226,1.2790324015276582,0.2256404406785344,0.577118345790004,-0.9949077599702082,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.19041612453251888,0,10576,10577 days 00:00:00,1000.0,2286.814499852972,128.6814499852972,25270.106914139167,100.0,1358.818509621091,40.545707791454525,5989 days 00:00:00,424,-2.2868144998528805,15.02129240811502,-19.657649051441865,1.9027775443433788,-1.3004032302237112,1 days 00:00:00,1 days 00:00:00,3.0403332885679895,0.34977840488145656,0.07141475643151904,1.3091368697156622,1.5790111504715965,421.6932227088163,3.908972061686212,0.3349056603773585,-0.0009990009990008435,,,0.00009039803761951045,0.022780305480116635,1.2868144998529738,0.019902786005230322,0.0783813451790258,425,0,15318.412698412698,,
Mean Total Trades,11,15,16,RJF,MACD,true,false,1,425,0.8530514048740453,47.64150943396226,1.2790324015276582,0.2256404406785344,0.577118345790004,-0.9949077599702082,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.19041612453251888,0,10576,10577 days 00:00:00,1000.0,2286.814499852972,128.6814499852972,25270.106914139167,100.0,1358.818509621091,40.545707791454525,5989 days 00:00:00,424,-2.2868144998528805,15.02129240811502,-19.657649051441865,1.9027775443433788,-1.3004032302237112,1 days 00:00:00,1 days 00:00:00,3.0403332885679895,0.34977840488145656,0.07141475643151904,1.3091368697156622,1.5790111504715965,421.6932227088163,3.908972061686212,0.3349056603773585,-0.0009990009990008435,,,0.00009039803761951045,0.022780305480116635,1.2868144998529738,0.019902786005230322,0.0783813451790258,425,0,15318.412698412698,,
Median Total Trades,11,15,16,RJF,MACD,true,false,1,425,0.8530514048740453,47.64150943396226,1.2790324015276582,0.2256404406785344,0.577118345790004,-0.9949077599702082,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.19041612453251888,0,10576,10577 days 00:00:00,1000.0,2286.814499852972,128.6814499852972,25270.106914139167,100.0,1358.818509621091,40.545707791454525,5989 days 00:00:00,424,-2.2868144998528805,15.02129240811502,-19.657649051441865,1.9027775443433788,-1.3004032302237112,1 days 00:00:00,1 days 00:00:00,3.0403332885679895,0.34977840488145656,0.07141475643151904,1.3091368697156622,1.5790111504715965,421.6932227088163,3.908972061686212,0.3349056603773585,-0.0009990009990008435,,,0.00009039803761951045,0.022780305480116635,1.2868144998529738,0.019902786005230322,0.0783813451790258,425,0,15318.412698412698,,
Mean Win Rate [%],11,15,16,RJF,MACD,true,false,1,425,0.8530514048740453,47.64150943396226,1.2790324015276582,0.2256404406785344,0.577118345790004,-0.9949077599702082,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.19041612453251888,0,10576,10577 days 00:00:00,1000.0,2286.814499852972,128.6814499852972,25270.106914139167,100.0,1358.818509621091,40.545707791454525,5989 days 00:00:00,424,-2.2868144998528805,15.02129240811502,-19.657649051441865,1.9027775443433788,-1.3004032302237112,1 days 00:00:00,1 days 00:00:00,3.0403332885679895,0.34977840488145656,0.07141475643151904,1.3091368697156622,1.5790111504715965,421.6932227088163,3.908972061686212,0.3349056603773585,-0.0009990009990008435,,,0.00009039803761951045,0.022780305480116635,1.2868144998529738,0.019902786005230322,0.0783813451790258,425,0,15318.412698412698,,
Median Win Rate [%],11,15,16,RJF,MACD,true,false,1,425,0.8530514048740453,47.64150943396226,1.2790324015276582,0.2256404406785344,0.577118345790004,-0.9949077599702082,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.19041612453251888,0,10576,10577 days 00:00:00,1000.0,2286.814499852972,128.6814499852972,25270.106914139167,100.0,1358.818509621091,40.545707791454525,5989 days 00:00:00,424,-2.2868144998528805,15.02129240811502,-19.657649051441865,1.9027775443433788,-1.3004032302237112,1 days 00:00:00,1 days 00:00:00,3.0403332885679895,0.34977840488145656,0.07141475643151904,1.3091368697156622,1.5790111504715965,421.6932227088163,3.908972061686212,0.3349056603773585,-0.0009990009990008435,,,0.00009039803761951045,0.022780305480116635,1.2868144998529738,0.019902786005230322,0.0783813451790258,425,0,15318.412698412698,,
Median Best Trade [%],11,15,16,RJF,MACD,true,false,1,425,0.8530514048740453,47.64150943396226,1.2790324015276582,0.2256404406785344,0.577118345790004,-0.9949077599702082,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.19041612453251888,0,10576,10577 days 00:00:00,1000.0,2286.814499852972,128.6814499852972,25270.106914139167,100.0,1358.818509621091,40.545707791454525,5989 days 00:00:00,424,-2.2868144998528805,15.02129240811502,-19.657649051441865,1.9027775443433788,-1.3004032302237112,1 days 00:00:00,1 days 00:00:00,3.0403332885679895,0.34977840488145656,0.07141475643151904,1.3091368697156622,1.5790111504715965,421.6932227088163,3.908972061686212,0.3349056603773585,-0.0009990009990008435,,,0.00009039803761951045,0.022780305480116635,1.2868144998529738,0.019902786005230322,0.0783813451790258,425,0,15318.412698412698,,
Least Worst Trade [%],11,15,16,RJF,MACD,true,false,1,425,0.8530514048740453,47.64150943396226,1.2790324015276582,0.2256404406785344,0.577118345790004,-0.9949077599702082,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.19041612453251888,0,10576,10577 days 00:00:00,1000.0,2286.814499852972,128.6814499852972,25270.106914139167,100.0,1358.818509621091,40.545707791454525,5989 days 00:00:00,424,-2.2868144998528805,15.02129240811502,-19.657649051441865,1.9027775443433788,-1.3004032302237112,1 days 00:00:00,1 days 00:00:00,3.0403332885679895,0.34977840488145656,0.07141475643151904,1.3091368697156622,1.5790111504715965,421.6932227088163,3.908972061686212,0.3349056603773585,-0.0009990009990008435,,,0.00009039803761951045,0.022780305480116635,1.2868144998529738,0.019902786005230322,0.0783813451790258,425,0,15318.412698412698,,
