Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Win Rate [%],RVTY,SMA,17,52,0,true,false,1,137,1.183013030912505,50.0,1.6914519245278588,3.9245360130937508,0.7396697665875833,-0.6202271235564102,54 days 13:14:07.058823528,0.007116020493441373,0.21803713527851457,0.43448275862068964,0.8556945895923244,0,13195,13196 days 00:00:00,1000.0,39735.544774370006,3873.5544774370005,10199.660685910952,100.0,3009.114711893287,67.61699023327363,4188 days 00:00:00,136,-39.73554477436846,102.941952730764,-19.71171874999999,15.143108194249312,-7.29403616806181,84 days 10:56:28.235294117,24 days 15:31:45.882352941,285.1123552878262,0.4924870329667873,0.15856663139880256,1.105891713297342,0.62508523452857,15.127889834363724,1.1198062787491794,0.9875741316012424,-0.02238771808681206,,,0.00039723856633792074,0.10010411871715602,38.735544774370204,0.07285008127288539,0.24462639107320328,7420,272,19111.805555555555,0.8771929824561403,
Most Profit Factor,RVTY,SMA,17,52,0,true,false,1,137,1.183013030912505,50.0,1.6914519245278588,3.9245360130937508,0.7396697665875833,-0.6202271235564102,54 days 13:14:07.058823528,0.007116020493441373,0.21803713527851457,0.43448275862068964,0.8556945895923244,0,13195,13196 days 00:00:00,1000.0,39735.544774370006,3873.5544774370005,10199.660685910952,100.0,3009.114711893287,67.61699023327363,4188 days 00:00:00,136,-39.73554477436846,102.941952730764,-19.71171874999999,15.143108194249312,-7.29403616806181,84 days 10:56:28.235294117,24 days 15:31:45.882352941,285.1123552878262,0.4924870329667873,0.15856663139880256,1.105891713297342,0.62508523452857,15.127889834363724,1.1198062787491794,0.9875741316012424,-0.02238771808681206,,,0.00039723856633792074,0.10010411871715602,38.735544774370204,0.07285008127288539,0.24462639107320328,7420,272,19111.805555555555,0.8771929824561403,
Mean Max Drawdown [%],RVTY,SMA,16,54,0,true,false,1,137,1.1773177449640977,49.26470588235294,1.66065978429128,4.063910294382717,0.7691490117175757,-0.5367062354779202,54 days 15:10:35.294117646,0.007116020493441373,0.21803713527851457,0.43448275862068964,0.8860833586160725,0,13195,13196 days 00:00:00,1000.0,48254.39196023544,4725.439196023544,10199.660685910952,100.0,3826.7781551648304,67.54213225291133,4188 days 00:00:00,136,-48.25439196023217,103.07826926304126,-19.39648990490724,15.345430746135818,-6.890609564565947,86 days 01:47:27.761194030,24 days 02:26:05.217391304,347.81357611908595,0.5107194328711909,0.16757350574686908,1.1098772859461488,0.6516190280497107,15.082716890301018,1.1190446004697687,0.9918079096045198,-0.022387718086812003,,,0.00041190457527923125,0.10379995297036627,47.25439196023495,0.0768370542597292,0.24460252478543404,7431,272,19111.805555555555,0.8771929824561403,
Least Total Trades,RVTY,SMA,16,54,0,true,false,1,137,1.1773177449640977,49.26470588235294,1.66065978429128,4.063910294382717,0.7691490117175757,-0.5367062354779202,54 days 15:10:35.294117646,0.007116020493441373,0.21803713527851457,0.43448275862068964,0.8860833586160725,0,13195,13196 days 00:00:00,1000.0,48254.39196023544,4725.439196023544,10199.660685910952,100.0,3826.7781551648304,67.54213225291133,4188 days 00:00:00,136,-48.25439196023217,103.07826926304126,-19.39648990490724,15.345430746135818,-6.890609564565947,86 days 01:47:27.761194030,24 days 02:26:05.217391304,347.81357611908595,0.5107194328711909,0.16757350574686908,1.1098772859461488,0.6516190280497107,15.082716890301018,1.1190446004697687,0.9918079096045198,-0.022387718086812003,,,0.00041190457527923125,0.10379995297036627,47.25439196023495,0.0768370542597292,0.24460252478543404,7431,272,19111.805555555555,0.8771929824561403,
Most Total Return [%],RVTY,SMA,15,53,0,true,false,1,145,1.1585276552454131,47.22222222222222,1.6414353440922764,4.19697374742858,0.8382792295295477,-0.2630024848284543,51 days 12:30:00,0.007534609934232041,0.23076923076923075,0.459946949602122,0.9685324032527493,0,13195,13196 days 00:00:00,1000.0,76171.24581109275,7517.124581109276,10199.660685910952,100.0,6282.031253058251,62.40437860930397,4179 days 00:00:00,144,-76.1712458110851,102.68208672244556,-19.39648990490725,16.03044211696711,-6.390866372684839,83 days 12:00:00,22 days 21:47:22.105263158,522.5515073396103,0.5523703883916165,0.20403635257505395,1.1198842661227637,0.749083044941887,15.724729939993047,1.1304190953080682,0.9906805987009321,-0.02223543857780903,,,0.0004474047041778483,0.11274598545281776,75.17124581109269,0.08626551311759534,0.24565005175533702,7420,288,19111.805555555555,0.8771929824561403,
Most Expectancy,RVTY,SMA,15,53,0,true,false,1,145,1.1585276552454131,47.22222222222222,1.6414353440922764,4.19697374742858,0.8382792295295477,-0.2630024848284543,51 days 12:30:00,0.007534609934232041,0.23076923076923075,0.459946949602122,0.9685324032527493,0,13195,13196 days 00:00:00,1000.0,76171.24581109275,7517.124581109276,10199.660685910952,100.0,6282.031253058251,62.40437860930397,4179 days 00:00:00,144,-76.1712458110851,102.68208672244556,-19.39648990490725,16.03044211696711,-6.390866372684839,83 days 12:00:00,22 days 21:47:22.105263158,522.5515073396103,0.5523703883916165,0.20403635257505395,1.1198842661227637,0.749083044941887,15.724729939993047,1.1304190953080682,0.9906805987009321,-0.02223543857780903,,,0.0004474047041778483,0.11274598545281776,75.17124581109269,0.08626551311759534,0.24565005175533702,7420,288,19111.805555555555,0.8771929824561403,
Most Sharpe Ratio,RVTY,SMA,15,53,0,true,false,1,145,1.1585276552454131,47.22222222222222,1.6414353440922764,4.19697374742858,0.8382792295295477,-0.2630024848284543,51 days 12:30:00,0.007534609934232041,0.23076923076923075,0.459946949602122,0.9685324032527493,0,13195,13196 days 00:00:00,1000.0,76171.24581109275,7517.124581109276,10199.660685910952,100.0,6282.031253058251,62.40437860930397,4179 days 00:00:00,144,-76.1712458110851,102.68208672244556,-19.39648990490725,16.03044211696711,-6.390866372684839,83 days 12:00:00,22 days 21:47:22.105263158,522.5515073396103,0.5523703883916165,0.20403635257505395,1.1198842661227637,0.749083044941887,15.724729939993047,1.1304190953080682,0.9906805987009321,-0.02223543857780903,,,0.0004474047041778483,0.11274598545281776,75.17124581109269,0.08626551311759534,0.24565005175533702,7420,288,19111.805555555555,0.8771929824561403,
Most Calmar Ratio,RVTY,SMA,15,53,0,true,false,1,145,1.1585276552454131,47.22222222222222,1.6414353440922764,4.19697374742858,0.8382792295295477,-0.2630024848284543,51 days 12:30:00,0.007534609934232041,0.23076923076923075,0.459946949602122,0.9685324032527493,0,13195,13196 days 00:00:00,1000.0,76171.24581109275,7517.124581109276,10199.660685910952,100.0,6282.031253058251,62.40437860930397,4179 days 00:00:00,144,-76.1712458110851,102.68208672244556,-19.39648990490725,16.03044211696711,-6.390866372684839,83 days 12:00:00,22 days 21:47:22.105263158,522.5515073396103,0.5523703883916165,0.20403635257505395,1.1198842661227637,0.749083044941887,15.724729939993047,1.1304190953080682,0.9906805987009321,-0.02223543857780903,,,0.0004474047041778483,0.11274598545281776,75.17124581109269,0.08626551311759534,0.24565005175533702,7420,288,19111.805555555555,0.8771929824561403,
Most Omega Ratio,RVTY,SMA,15,53,0,true,false,1,145,1.1585276552454131,47.22222222222222,1.6414353440922764,4.19697374742858,0.8382792295295477,-0.2630024848284543,51 days 12:30:00,0.007534609934232041,0.23076923076923075,0.459946949602122,0.9685324032527493,0,13195,13196 days 00:00:00,1000.0,76171.24581109275,7517.124581109276,10199.660685910952,100.0,6282.031253058251,62.40437860930397,4179 days 00:00:00,144,-76.1712458110851,102.68208672244556,-19.39648990490725,16.03044211696711,-6.390866372684839,83 days 12:00:00,22 days 21:47:22.105263158,522.5515073396103,0.5523703883916165,0.20403635257505395,1.1198842661227637,0.749083044941887,15.724729939993047,1.1304190953080682,0.9906805987009321,-0.02223543857780903,,,0.0004474047041778483,0.11274598545281776,75.17124581109269,0.08626551311759534,0.24565005175533702,7420,288,19111.805555555555,0.8771929824561403,
Median Max Drawdown [%],RVTY,SMA,15,55,0,true,false,1,142,1.120108363256897,46.808510638297875,1.5471006347310243,3.947268888419799,0.767981295770745,-0.5439391538696348,52 days 15:49:47.234042553,0.007377638893935541,0.22599469496021218,0.45039787798408487,0.8920618283643683,0,13195,13196 days 00:00:00,1000.0,47516.6588265917,4651.66588265917,10199.660685910952,100.0,4453.856741035109,67.61323319889236,4186 days 00:00:00,141,-47.516658826585626,103.95106585938949,-19.078740157480308,16.07384254696329,-6.724115931098475,86 days 14:10:54.545454546,22 days 19:12:00,330.24237932920767,0.5095401230887415,0.16669583876548924,1.1096339809423206,0.6566424401628885,15.142637391151077,1.1216539613516152,0.9892836999435985,-0.02222266428735161,,,0.00041043321100870625,0.10342916917419398,46.516658826591616,0.07652028140244016,0.24429288044078826,7426,282,19111.805555555555,0.8771929824561403,
