Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],SMCI,SMA,76,79,0,true,false,1,66,1.4595787201703427,53.84615384615385,4.084167520824828,9.115213056969992,1.193443027741637,-0.3715764447920516,41 days 06:38:46.153846153,0.009781323524142791,0.30209241499564077,0.5996076721883173,2.753636725579862,0,4588,4589 days 00:00:00,1000.0,31104.071418156233,3010.407141815623,4790.411048197366,100.0,522.5359138234326,74.44960142173127,2059 days 00:00:00,65,-31.10407141815449,204.76211377526664,-39.98318510791153,25.17899975883724,-9.625871428541794,52 days 03:25:42.857142857,28 days 14:24:00,463.6180844549906,0.7778382653217281,0.4223323808041376,1.1830466172468075,0.9960112587661177,25.395198867002165,1.0924302806066255,1.0829493087557602,-0.03519302358694254,,,0.0011322289574809397,0.2853216972851968,30.104071418156177,0.20774835153232063,0.4414603024123259,2684,130,6645.31746031746,1.25,,,
Most Sharpe Ratio,SMCI,SMA,76,79,0,true,false,1,66,1.4595787201703427,53.84615384615385,4.084167520824828,9.115213056969992,1.193443027741637,-0.3715764447920516,41 days 06:38:46.153846153,0.009781323524142791,0.30209241499564077,0.5996076721883173,2.753636725579862,0,4588,4589 days 00:00:00,1000.0,31104.071418156233,3010.407141815623,4790.411048197366,100.0,522.5359138234326,74.44960142173127,2059 days 00:00:00,65,-31.10407141815449,204.76211377526664,-39.98318510791153,25.17899975883724,-9.625871428541794,52 days 03:25:42.857142857,28 days 14:24:00,463.6180844549906,0.7778382653217281,0.4223323808041376,1.1830466172468075,0.9960112587661177,25.395198867002165,1.0924302806066255,1.0829493087557602,-0.03519302358694254,,,0.0011322289574809397,0.2853216972851968,30.104071418156177,0.20774835153232063,0.4414603024123259,2684,130,6645.31746031746,1.25,,,
Most Calmar Ratio,SMCI,SMA,76,79,0,true,false,1,66,1.4595787201703427,53.84615384615385,4.084167520824828,9.115213056969992,1.193443027741637,-0.3715764447920516,41 days 06:38:46.153846153,0.009781323524142791,0.30209241499564077,0.5996076721883173,2.753636725579862,0,4588,4589 days 00:00:00,1000.0,31104.071418156233,3010.407141815623,4790.411048197366,100.0,522.5359138234326,74.44960142173127,2059 days 00:00:00,65,-31.10407141815449,204.76211377526664,-39.98318510791153,25.17899975883724,-9.625871428541794,52 days 03:25:42.857142857,28 days 14:24:00,463.6180844549906,0.7778382653217281,0.4223323808041376,1.1830466172468075,0.9960112587661177,25.395198867002165,1.0924302806066255,1.0829493087557602,-0.03519302358694254,,,0.0011322289574809397,0.2853216972851968,30.104071418156177,0.20774835153232063,0.4414603024123259,2684,130,6645.31746031746,1.25,,,
Most Omega Ratio,SMCI,SMA,76,79,0,true,false,1,66,1.4595787201703427,53.84615384615385,4.084167520824828,9.115213056969992,1.193443027741637,-0.3715764447920516,41 days 06:38:46.153846153,0.009781323524142791,0.30209241499564077,0.5996076721883173,2.753636725579862,0,4588,4589 days 00:00:00,1000.0,31104.071418156233,3010.407141815623,4790.411048197366,100.0,522.5359138234326,74.44960142173127,2059 days 00:00:00,65,-31.10407141815449,204.76211377526664,-39.98318510791153,25.17899975883724,-9.625871428541794,52 days 03:25:42.857142857,28 days 14:24:00,463.6180844549906,0.7778382653217281,0.4223323808041376,1.1830466172468075,0.9960112587661177,25.395198867002165,1.0924302806066255,1.0829493087557602,-0.03519302358694254,,,0.0011322289574809397,0.2853216972851968,30.104071418156177,0.20774835153232063,0.4414603024123259,2684,130,6645.31746031746,1.25,,,
Most Sortino Ratio,SMCI,SMA,76,79,0,true,false,1,66,1.4595787201703427,53.84615384615385,4.084167520824828,9.115213056969992,1.193443027741637,-0.3715764447920516,41 days 06:38:46.153846153,0.009781323524142791,0.30209241499564077,0.5996076721883173,2.753636725579862,0,4588,4589 days 00:00:00,1000.0,31104.071418156233,3010.407141815623,4790.411048197366,100.0,522.5359138234326,74.44960142173127,2059 days 00:00:00,65,-31.10407141815449,204.76211377526664,-39.98318510791153,25.17899975883724,-9.625871428541794,52 days 03:25:42.857142857,28 days 14:24:00,463.6180844549906,0.7778382653217281,0.4223323808041376,1.1830466172468075,0.9960112587661177,25.395198867002165,1.0924302806066255,1.0829493087557602,-0.03519302358694254,,,0.0011322289574809397,0.2853216972851968,30.104071418156177,0.20774835153232063,0.4414603024123259,2684,130,6645.31746031746,1.25,,,
Most Win Rate [%],SMCI,SMA,73,79,0,true,false,1,49,1.4162660097339865,58.333333333333336,4.328083418207191,12.194076142787056,1.1615091728379237,-0.45644303656229274,55 days 22:30:00,0.007223131217828522,0.22428073234524848,0.4439843068875327,2.734896327578004,0,4588,4589 days 00:00:00,1000.0,27038.612829766043,2603.8612829766043,4790.411048197366,100.0,335.6865182253704,72.4730323773578,1944 days 00:00:00,48,-27.038612829761405,215.25082177962403,-48.192413541994284,29.77047881450493,-12.412887597617972,70 days 00:51:25.714285715,36 days 04:48:00,543.0344050540796,0.7553240777535541,0.41375651700840027,1.1782320366631127,1.06860856353886,25.731719452846335,1.067486551944956,1.1037441497659906,-0.035252671637887895,,,0.001105261098205294,0.2785257967477341,26.038612829765952,0.1984940540584723,0.4437907623319531,2686,96,6645.31746031746,1.25,,,
Most Profit Factor,SMCI,SMA,73,79,0,true,false,1,49,1.4162660097339865,58.333333333333336,4.328083418207191,12.194076142787056,1.1615091728379237,-0.45644303656229274,55 days 22:30:00,0.007223131217828522,0.22428073234524848,0.4439843068875327,2.734896327578004,0,4588,4589 days 00:00:00,1000.0,27038.612829766043,2603.8612829766043,4790.411048197366,100.0,335.6865182253704,72.4730323773578,1944 days 00:00:00,48,-27.038612829761405,215.25082177962403,-48.192413541994284,29.77047881450493,-12.412887597617972,70 days 00:51:25.714285715,36 days 04:48:00,543.0344050540796,0.7553240777535541,0.41375651700840027,1.1782320366631127,1.06860856353886,25.731719452846335,1.067486551944956,1.1037441497659906,-0.035252671637887895,,,0.001105261098205294,0.2785257967477341,26.038612829765952,0.1984940540584723,0.4437907623319531,2686,96,6645.31746031746,1.25,,,
Mean Total Fees Paid,SMCI,SMA,75,79,0,true,false,1,57,1.3958811305880408,53.57142857142857,3.9132086028623263,10.563392356180772,1.149574705756095,-0.4797254826152967,47 days 21:51:25.714285714,0.008426986420799943,0.2608979947689625,0.5172188317349607,2.75596788368535,0,4588,4589 days 00:00:00,1000.0,25923.287961752354,2492.3287961752353,4790.411048197366,100.0,348.8451258632318,77.90607940823958,2059 days 00:00:00,56,-25.92328796174843,221.0498885759606,-44.90872292114297,29.32495652000518,-11.08456629438585,60 days 15:12:00,33 days 05:32:18.461538462,445.5216294591803,0.7508245779374063,0.3793208761379203,1.1760066048892885,0.9935853711799885,25.50599009773764,1.0807901610275148,1.088098918083462,-0.03534836850422462,,,0.00109169374395783,0.27510682347737314,24.923287961752543,0.19572489317739672,0.44096999889862326,2684,112,6645.31746031746,1.25,,,
Mean Max Drawdown [%],SMCI,SMA,77,79,0,true,false,1,82,1.3628863299260476,51.85185185185185,2.4872978768615948,6.264408337086236,1.099773966060351,-0.5795697776541209,32 days 22:31:06.666666666,0.012189033930085632,0.37532693984306886,0.7460767218831735,2.351201211085985,0,4588,4589 days 00:00:00,1000.0,21140.335821217748,2014.0335821217745,4790.411048197366,100.0,644.5695245163226,73.7390112242138,2059 days 00:00:00,81,-21.140335821215558,124.42420556152803,-38.46763588012698,19.804450424467575,-8.317175449324436,42 days 21:42:51.428571428,22 days 04:55:23.076923076,248.9071130498637,0.7213598451575588,0.37248549209087667,1.1692874934112831,0.9678749701596614,25.86333047649428,1.0966764927497705,1.0662100456621002,-0.03515122068106103,,,0.0010437668788147805,0.26302925346132466,20.140335821217786,0.18240727726165362,0.4388319611450848,2669,162,6645.31746031746,1.25,,,
Least Max Drawdown Duration,SMCI,SMA,73,74,0,true,false,1,122,1.2274215610956711,52.066115702479344,1.6741092812314864,3.761389357118301,1.0096925108988248,-0.720221970680582,21 days 22:24:47.603305784,0.018208309944942734,0.558413251961639,1.1122493461203138,2.1004096628023294,0,4588,4589 days 00:00:00,1000.0,14402.517626946266,1340.2517626946267,4790.411048197366,100.0,945.7334502287359,65.69084715587982,1935,121,-14.402517626944245,125.00291397751306,-48.49349339639058,13.502527308779694,-6.819501866238041,30 days 06:51:25.714285714,12 days 20:41:22.758620689,110.88363755845623,0.6619096267892245,0.35978474679130684,1.1566673944125432,1.014118946874739,26.301519550618483,1.1118931726933496,1.0402684563758386,-0.03503560049966656,,,0.0009680476364704125,0.24394800439054395,13.402517626946315,0.15774896069144773,0.4435521963240258,2655,242,6645.31746031746,1.25,,,
Mean Avg Losing Trade Duration,SMCI,SMA,58,64,0,true,false,1,64,1.1793054873929556,49.2063492063492,1.9372076258414634,8.46856500874397,1.0194305839281466,-0.7131554641992696,41 days 14:05:42.857142856,0.009480359723399936,0.29293809938971227,0.5812990409764603,2.480765338219681,0,4588,4589 days 00:00:00,1000.0,14741.032334148642,1374.1032334148642,4790.411048197366,100.0,310.77396973321964,63.12323207330039,2048 days 00:00:00,63,-14.741032334146439,215.30088777462316,-36.54914172289102,26.62556195314772,-9.121025781147159,52 days 17:48:23.225806452,30,218.3456089917902,0.6631265189134901,0.37804195894278314,1.1612262827115178,1.196290659780898,29.412182955999313,1.0757424237072464,1.0794649881982692,-0.0345541587934551,,,0.000981812018364606,0.2474166286278807,13.74103233414874,0.15922690665985817,0.4490334048683067,2621,126,6645.31746031746,1.25,,,
Median Total Trades,SMCI,SMA,56,66,0,true,false,1,48,1.139398773589349,51.06382978723404,2.282352294654312,12.11768174464859,1.124352563868639,-0.5743716849320849,55 days 19:24:15.319148936,0.007072649317457095,0.2197035745422842,0.43482999128160416,2.662297994465078,0,4588,4589 days 00:00:00,1000.0,21389.3458292697,2038.93458292697,4790.411048197366,100.0,378.84453468027283,66.08506425984079,2059 days 00:00:00,47,-21.38934582926595,224.02668678198708,-24.59889290546937,34.05148845657423,-10.76976873736078,75 days 12:00:00,35 days 06:15:39.130434782,434.2709611723182,0.719055340404385,0.4174239595710895,1.174259551638,1.4677777980169606,29.134012722180614,1.0734867319337962,1.09387430389817,-0.03448681199953773,,,0.0010502777159087477,0.2646699844090044,20.389345829269732,0.18316786417567754,0.44298450709490794,2624,94,6645.31746031746,1.25,,,
Median Avg Winning Trade [%],SMCI,SMA,56,66,0,true,false,1,48,1.139398773589349,51.06382978723404,2.282352294654312,12.11768174464859,1.124352563868639,-0.5743716849320849,55 days 19:24:15.319148936,0.007072649317457095,0.2197035745422842,0.43482999128160416,2.662297994465078,0,4588,4589 days 00:00:00,1000.0,21389.3458292697,2038.93458292697,4790.411048197366,100.0,378.84453468027283,66.08506425984079,2059 days 00:00:00,47,-21.38934582926595,224.02668678198708,-24.59889290546937,34.05148845657423,-10.76976873736078,75 days 12:00:00,35 days 06:15:39.130434782,434.2709611723182,0.719055340404385,0.4174239595710895,1.174259551638,1.4677777980169606,29.134012722180614,1.0734867319337962,1.09387430389817,-0.03448681199953773,,,0.0010502777159087477,0.2646699844090044,20.389345829269732,0.18316786417567754,0.44298450709490794,2624,94,6645.31746031746,1.25,,,
Median Avg Winning Trade Duration,SMCI,SMA,56,66,0,true,false,1,48,1.139398773589349,51.06382978723404,2.282352294654312,12.11768174464859,1.124352563868639,-0.5743716849320849,55 days 19:24:15.319148936,0.007072649317457095,0.2197035745422842,0.43482999128160416,2.662297994465078,0,4588,4589 days 00:00:00,1000.0,21389.3458292697,2038.93458292697,4790.411048197366,100.0,378.84453468027283,66.08506425984079,2059 days 00:00:00,47,-21.38934582926595,224.02668678198708,-24.59889290546937,34.05148845657423,-10.76976873736078,75,35 days 06:15:39.130434782,434.2709611723182,0.719055340404385,0.4174239595710895,1.174259551638,1.4677777980169606,29.134012722180614,1.0734867319337962,1.09387430389817,-0.03448681199953773,,,0.0010502777159087477,0.2646699844090044,20.389345829269732,0.18316786417567754,0.44298450709490794,2624,94,6645.31746031746,1.25,,,
Least Max Drawdown [%],SMCI,SMA,60,63,0,true,false,1,85,1.1170738630913768,45.23809523809524,1.7044128467417048,5.632342854477163,0.9272871347307957,-0.8112707334668429,31 days 00:51:25.714285714,0.012640479631199915,0.3890584132519616,0.773539668700959,2.1913103738539093,0,4588,4589 days 00:00:00,1000.0,10040.907635186213,904.0907635186213,4790.411048197366,100.0,379.53539994328065,61.03448587442711,2070 days 00:00:00,84,-10.04090763518434,197.8636045771661,-26.257671941451665,21.488139987453646,-7.4659243423294965,36 days 13:15:47.368421053,26 days 11:28:41.739130435,107.7493874145404,0.6087157208772837,0.3299384821992574,1.1458470481305087,1.0268248850179271,27.957758161652006,1.0910016445012891,1.0502706883217323,-0.034409339086255916,,,0.0008853672224572361,0.22311254005922349,9.040907635186265,0.13504031013645257,0.4411188578127997,2608,168,6645.31746031746,1.25,,,
Mean Total Trades,SMCI,SMA,60,63,0,true,false,1,85,1.1170738630913768,45.23809523809524,1.7044128467417048,5.632342854477163,0.9272871347307957,-0.8112707334668429,31 days 00:51:25.714285714,0.012640479631199915,0.3890584132519616,0.773539668700959,2.1913103738539093,0,4588,4589 days 00:00:00,1000.0,10040.907635186213,904.0907635186213,4790.411048197366,100.0,379.53539994328065,61.03448587442711,2070 days 00:00:00,84,-10.04090763518434,197.8636045771661,-26.257671941451665,21.488139987453646,-7.4659243423294965,36 days 13:15:47.368421053,26 days 11:28:41.739130435,107.7493874145404,0.6087157208772837,0.3299384821992574,1.1458470481305087,1.0268248850179271,27.957758161652006,1.0910016445012891,1.0502706883217323,-0.034409339086255916,,,0.0008853672224572361,0.22311254005922349,9.040907635186265,0.13504031013645257,0.4411188578127997,2608,168,6645.31746031746,1.25,,,
Most Total Fees Paid,SMCI,SMA,21,24,0,true,false,1,162,1.1085988113531562,50.31055900621118,1.2785891409213705,3.2714413404375353,0.9970490611702058,-0.7703985901452436,15 days 20:34:17.142857141,0.024227585959799836,0.7414995640802092,1.4784219703574542,2.425772327848408,0,4588,4589 days 00:00:00,1000.0,11998.851304499167,1099.8851304499167,4790.411048197366,100.0,1342.0784778004927,67.21332564793936,2447 days 00:00:00,161,-11.998851304497293,231.6820973832273,-41.559063900576724,13.961473563711701,-7.552216285627555,20 days 18:22:13.333333333,10 days 21:18:00,68.390373638532,0.6361407253679918,0.3251140063455075,1.154419090466055,1.4423774640965277,34.23583330286281,1.1823838224077021,0.9763488543976349,-0.03455415879345523,,,0.0009085471460738212,0.22895388081060294,10.998851304499205,0.14619839120430345,0.43315264566528294,2554,322,6645.31746031746,1.25,,,
Mean Avg Losing Trade [%],SMCI,SMA,57,66,0,true,false,1,49,1.1032157956012474,54.166666666666664,1.7961979828464525,10.59637139365849,0.9958454967659093,-0.7480962542885263,54 days 16:29:59.999999998,0.007223131217828522,0.22428073234524848,0.4439843068875327,2.3765619363719677,0,4588,4589 days 00:00:00,1000.0,13067.224865385435,1206.7224865385435,4790.411048197366,100.0,290.36989049779754,69.69954046871811,2069 days 00:00:00,48,-13.06722486538456,212.84509426493852,-38.69766152371074,29.80951519344058,-12.110071278811246,72 days 20:18:27.692307692,33 days 05:27:16.363636363,251.6727518802254,0.6450575282981494,0.32541798654090986,1.1554024528671571,1.3277804402471574,28.672239985813388,1.0547137859506313,1.0954653937947494,-0.034733402966215986,,,0.0009512016736946547,0.23970282177105298,12.067224865385452,0.15157972275343745,0.4472196323606324,2626,96,6645.31746031746,1.25,,,
Median Avg Losing Trade [%],SMCI,SMA,57,66,0,true,false,1,49,1.1032157956012474,54.166666666666664,1.7961979828464525,10.59637139365849,0.9958454967659093,-0.7480962542885263,54 days 16:29:59.999999998,0.007223131217828522,0.22428073234524848,0.4439843068875327,2.3765619363719677,0,4588,4589 days 00:00:00,1000.0,13067.224865385435,1206.7224865385435,4790.411048197366,100.0,290.36989049779754,69.69954046871811,2069 days 00:00:00,48,-13.06722486538456,212.84509426493852,-38.69766152371074,29.80951519344058,-12.110071278811246,72 days 20:18:27.692307692,33 days 05:27:16.363636363,251.6727518802254,0.6450575282981494,0.32541798654090986,1.1554024528671571,1.3277804402471574,28.672239985813388,1.0547137859506313,1.0954653937947494,-0.034733402966215986,,,0.0009512016736946547,0.23970282177105298,12.067224865385452,0.15157972275343745,0.4472196323606324,2626,96,6645.31746031746,1.25,,,
Mean Win Rate [%],SMCI,SMA,18,26,0,true,false,1,111,1.0777210043862901,48.18181818181818,1.2028935289980878,3.5948244911594225,0.6883869121173537,-0.944885255889414,23 days 07:38:10.909090908,0.01655300904085703,0.5080645161290323,1.0115518744551002,1.8264027656697066,0,4588,4589 days 00:00:00,1000.0,3640.22279105922,264.022279105922,4790.411048197366,100.0,398.36204069081265,74.94960646348856,2186 days 00:00:00,110,-3.6402227910589318,224.85178748897118,-43.53273875257659,17.643221979820066,-9.467720542156613,33 days 05:53:12.452830188,14 days 02:06:18.947368421,24.03511830772983,0.4608526678110049,0.14440746604135327,1.1107608686976749,0.44389005061214115,41.35716186307178,1.1200807539422795,0.9916792738275342,-0.03471419348309326,,,0.0006645145317096431,0.16745766199083006,2.6402227910592067,0.07352889591933809,0.4373096685320278,2566,220,6645.31746031746,1.25,,,
Median Worst Trade [%],SMCI,SMA,57,67,0,true,false,1,48,1.0648097727715442,53.191489361702125,1.8901720696981055,10.93057060494033,0.9834952818292295,-0.7613547011339863,56 days 01:01:16.595744680,0.007072649317457095,0.2197035745422842,0.43482999128160416,2.4014854336922085,0,4588,4589 days 00:00:00,1000.0,12432.090762881144,1143.2090762881144,4790.411048197366,100.0,276.49383772938495,65.45494857939323,2069 days 00:00:00,47,-12.432090762878943,224.3959513814124,-38.69766152371072,31.4922539197998,-12.43497861649089,75 days 16:19:12.000000001,33 days 17:27:16.363636363,243.50048624774513,0.6375609922795986,0.33910730442327747,1.1530000037132109,1.3229890145182457,28.505006567423838,1.054410148323242,1.0935023771790806,-0.035188027009813584,,,0.0009413666475921547,0.237224395193223,11.432090762881154,0.14843313954312065,0.447799672919165,2635,94,6645.31746031746,1.25,,,
Mean Max Drawdown Duration,SMCI,SMA,17,27,0,true,false,1,105,1.0252032096258359,45.19230769230769,1.1654428938958565,3.5617443648701625,0.6364898453345501,-0.9606571493932663,24 days 19:50:46.153846153,0.015650117638628464,0.4806015693112467,0.9566259808195292,1.7117799312420898,0,4588,4589 days 00:00:00,1000.0,2884.6842621407504,188.46842621407504,4790.411048197366,100.0,328.0110382003,75.53775294671038,2185,104,-2.8846842621405813,224.85178748897118,-45.69838681797021,19.443524005730282,-9.533758146014497,36 days 12:45:57.446808510,15 days 04:12:37.894736842,18.1497014077201,0.42607505033538523,0.11638665361630242,1.1017807190640547,0.4707343378386285,40.66377312047583,1.1118197233379885,0.9909706546275396,-0.03471419348309322,,,0.0006175659225708882,0.15562661248786383,1.8846842621407407,0.059902221812367484,0.43958607051554066,2583,208,6645.31746031746,1.25,,,
