Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],4,19,6,TTD,MACD,true,false,1,154,1.1461661118814426,52.28758169934641,1.5859082326711802,0.5988204696507397,1.6924847358640862,-0.9436152968212654,0 days 23:59:59.999999999,0.048014943960149443,1.47,2.9304545454545456,0.8802660903865873,0,2200,2201 days 00:00:00,1000.0,2289.3551249632246,128.93551249632247,2286.7108493523233,100.0,457.29993845594055,15.124192619896949,402 days 00:00:00,153,-2.2893551249630946,12.283263647148065,-9.152602681579982,2.9591239700218477,-1.9878135033586943,1 days 00:00:00,1 days 00:00:00,8.442120784890115,0.8833106437632643,0.9735096811925148,1.5969319544101235,4.245034000976083,62.5375603418173,4.309792262504426,0.3705357142857143,-0.0009990009990009387,,,0.0004158787663423348,0.10480144911826837,1.2893551249632202,0.09947355430051386,0.1427907208278274,154,0,3186.5079365079364,,,,
Most Profit Factor,4,19,6,TTD,MACD,true,false,1,154,1.1461661118814426,52.28758169934641,1.5859082326711802,0.5988204696507397,1.6924847358640862,-0.9436152968212654,0 days 23:59:59.999999999,0.048014943960149443,1.47,2.9304545454545456,0.8802660903865873,0,2200,2201 days 00:00:00,1000.0,2289.3551249632246,128.93551249632247,2286.7108493523233,100.0,457.29993845594055,15.124192619896949,402 days 00:00:00,153,-2.2893551249630946,12.283263647148065,-9.152602681579982,2.9591239700218477,-1.9878135033586943,1 days 00:00:00,1 days 00:00:00,8.442120784890115,0.8833106437632643,0.9735096811925148,1.5969319544101235,4.245034000976083,62.5375603418173,4.309792262504426,0.3705357142857143,-0.0009990009990009387,,,0.0004158787663423348,0.10480144911826837,1.2893551249632202,0.09947355430051386,0.1427907208278274,154,0,3186.5079365079364,,,,
Most Sharpe Ratio,4,19,6,TTD,MACD,true,false,1,154,1.1461661118814426,52.28758169934641,1.5859082326711802,0.5988204696507397,1.6924847358640862,-0.9436152968212654,0 days 23:59:59.999999999,0.048014943960149443,1.47,2.9304545454545456,0.8802660903865873,0,2200,2201 days 00:00:00,1000.0,2289.3551249632246,128.93551249632247,2286.7108493523233,100.0,457.29993845594055,15.124192619896949,402 days 00:00:00,153,-2.2893551249630946,12.283263647148065,-9.152602681579982,2.9591239700218477,-1.9878135033586943,1 days 00:00:00,1 days 00:00:00,8.442120784890115,0.8833106437632643,0.9735096811925148,1.5969319544101235,4.245034000976083,62.5375603418173,4.309792262504426,0.3705357142857143,-0.0009990009990009387,,,0.0004158787663423348,0.10480144911826837,1.2893551249632202,0.09947355430051386,0.1427907208278274,154,0,3186.5079365079364,,,,
Most Sortino Ratio,4,6,18,TTD,MACD,true,false,1,151,1.1395610430172223,52.0,1.5681060983888402,0.6025285433994121,1.7100447257901885,-0.944700157379114,1 days 00:00:00,0.04707347447073475,1.4413636363636364,2.873181818181818,0.8684627323270617,0,2200,2201 days 00:00:00,1000.0,2264.5475008865596,126.45475008865597,2286.7108493523233,100.0,461.1529963426321,15.124192619896979,402 days 00:00:00,150,-2.2645475008862377,12.283263647148077,-9.152602681579971,2.9844851559899483,-1.9779244535736689,1 days 00:00:00,1 days 00:00:00,8.445413655916315,0.878579516015326,0.9598167434280768,1.6001907970077205,4.439282672211234,64.47170569868734,4.346197226440719,0.36818181818181817,-0.0009990009990009285,,,0.00041024246444796344,0.10338110104088678,1.2645475008865525,0.09810289296541108,0.14161401682388425,151,0,3186.5079365079364,,,,
Most Calmar Ratio,4,8,12,TTD,MACD,true,false,1,153,1.1405103227181739,52.63157894736842,1.5022646110081257,0.5900572138254773,1.6753153828104654,-0.9454082264885599,0 days 23:59:59.999999999,0.04770112079701121,1.4604545454545454,2.9113636363636366,0.8617517400096629,0,2200,2201 days 00:00:00,1000.0,2248.3560077399493,124.83560077399494,2286.7108493523233,100.0,512.8527415662403,13.270338403389042,531 days 00:00:00,152,-2.248356007739858,12.283263647148061,-9.15260268157997,2.9111918106193673,-1.9889812270566225,1 days 00:00:00,1 days 00:00:00,8.227660287813741,0.8706430646992787,1.0836395368098113,1.5916849903176564,4.366460727804864,64.31081040173748,4.257277925909874,0.37387387387387383,-0.0009990009990009253,,,0.0004071057756327002,0.10259065545944045,1.2483560077399498,0.0972010978955471,0.14181227412663722,153,0,3186.5079365079364,,,,
Most Total Fees Paid,5,20,4,TTD,MACD,true,false,1,166,1.1229876433440285,53.333333333333336,1.41590661249917,0.5469801094213413,1.5346982818244534,-0.945750992502973,1 days 00:00:00,0.05178082191780822,1.5845454545454545,3.1595454545454547,0.8667148461103618,0,2200,2201 days 00:00:00,1000.0,2240.5179401004725,124.05179401004727,2286.7108493523233,100.0,571.3340427806104,22.979109120342176,476 days 00:00:00,165,-2.2405179401002897,12.283263647148056,-9.152602681579971,2.9258844035818443,-2.1717676553335195,1 days 00:00:00,1 days 00:00:00,7.53186944267015,0.8340628622811627,0.622915431806092,1.5115734017003895,3.675768514823321,54.149430933350835,3.9865672132757504,0.37916666666666665,-0.0009990009990009333,,,0.0004096697022767131,0.1032367649737317,1.240517940100467,0.09676248444559321,0.14896415066197216,166,0,3186.5079365079364,,,,
Most Expectancy,6,10,12,TTD,MACD,true,false,1,127,1.1287858890305424,52.38095238095239,1.4093703341701072,0.7294113886081841,1.5678850480694992,-0.9465770631041923,0 days 23:59:59.999999999,0.03954171855541719,1.2122727272727274,2.415,0.8842455333718305,0,2200,2201 days 00:00:00,1000.0,2221.628094039077,122.16280940390772,2286.7108493523233,100.0,497.2578090391521,25.032606685683277,752 days 00:00:00,126,-2.221628094038806,26.351506048059886,-11.66523454338754,3.4397094533917003,-2.251916482653684,1 days 00:00:00,1 days 00:00:00,9.713093032802515,0.7421755672383509,0.5654085126765398,1.646283485333282,9.16602910274976,207.98389129177562,4.303855397371293,0.3825136612021858,-0.000999000999000893,,,0.00041716729794329186,0.10512615908170955,1.221628094039077,0.09569981099306824,0.17047092039168102,127,0,3186.5079365079364,,,,
Most Omega Ratio,6,10,12,TTD,MACD,true,false,1,127,1.1287858890305424,52.38095238095239,1.4093703341701072,0.7294113886081841,1.5678850480694992,-0.9465770631041923,0 days 23:59:59.999999999,0.03954171855541719,1.2122727272727274,2.415,0.8842455333718305,0,2200,2201 days 00:00:00,1000.0,2221.628094039077,122.16280940390772,2286.7108493523233,100.0,497.2578090391521,25.032606685683277,752 days 00:00:00,126,-2.221628094038806,26.351506048059886,-11.66523454338754,3.4397094533917003,-2.251916482653684,1 days 00:00:00,1 days 00:00:00,9.713093032802515,0.7421755672383509,0.5654085126765398,1.646283485333282,9.16602910274976,207.98389129177562,4.303855397371293,0.3825136612021858,-0.000999000999000893,,,0.00041716729794329186,0.10512615908170955,1.221628094039077,0.09569981099306824,0.17047092039168102,127,0,3186.5079365079364,,,,
Most Avg Losing Trade [%],4,7,16,TTD,MACD,true,false,1,154,1.1048567022912004,50.98039215686274,1.5209255699087256,0.5676429671384121,1.605462685811526,-0.9482635688709045,0 days 23:59:59.999999999,0.048014943960149443,1.47,2.9304545454545456,0.8344351616934658,0,2200,2201 days 00:00:00,1000.0,2183.062583696721,118.30625836967211,2286.7108493523233,100.0,461.40317625994686,20.90849141801798,468 days 00:00:00,153,-2.1830625836964828,12.283263647148054,-9.152602681579971,2.9960838040967985,-1.9579355032983092,1 days 00:00:00,1 days 00:00:00,7.7467035704602445,0.8378707244807503,0.661101108550552,1.560216931275942,4.29044815096523,62.858356437628004,4.3531978576341075,0.3584070796460177,-0.0009990009990009253,,,0.00039420608172449677,0.09933993259457319,1.1830625836967172,0.09350517979894746,0.14268982540023342,154,0,3186.5079365079364,,,,
Median Avg Winning Trade [%],4,5,18,TTD,MACD,true,false,1,162,1.07624442169129,50.931677018633536,1.423917229551814,0.5430025788421606,1.5229244714514032,-0.9485101607087684,0 days 23:59:59.999999999,0.050525529265255296,1.5463636363636364,3.0831818181818185,0.8396794423731957,0,2200,2201 days 00:00:00,1000.0,2177.4237413866713,117.74237413866713,2286.7108493523233,100.0,535.5673101180314,19.595844210396194,452 days 00:00:00,161,-2.1774237413865194,12.283263647148072,-9.152602681579964,3.05333950061918,-2.0626635931289226,1 days 00:00:00,1 days 00:00:00,7.326715311354402,0.8055409334067215,0.7028948802147031,1.509468144273646,4.13424091585903,58.26558310121212,4.226510803966207,0.3571428571428571,-0.0009990009990009333,,,0.0003968178055873312,0.09999808700800747,1.1774237413866717,0.09318142046219702,0.14939987696757154,162,0,3186.5079365079364,,,,
