Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Most Expectancy,AAPL,EMA,18,27,0,false,false,0,134,1.553325447617684,44.02985074626866,2.4023288080634457,8.805909253692274,1.3316702540190257,0.7053144083725202,50 days 10:44:46.567164179,0.008258799187033627,0.25120514193893945,0.5024102838778789,2.2120896839751882,0,11202,11203 days 00:00:00,1000.0,2593778.201013133,259277.82010131326,152041.06575793083,100.0,132828.10207974093,52.176510125465555,1698 days 00:00:00,134,0.0,185.10130642395384,-19.358915289328614,28.10684313195847,-6.377492063877131,91 days 00:00:00,18 days 13:07:12,19349.091052336815,0.8730516238453518,0.5594411156784639,1.1835766774326475,0.6095924345703556,16.076569057311723,1.1334397746492029,0.43997429305912594,-0.028466667752952,None,None,0.0008909047255314444,0.22450799083392398,2592.7782010131323,0.19341892159055307,0.30948388550417516,6760,6760,16225.119047619048,,
Most Avg Winning Trade Duration,AAPL,EMA,10,44,0,false,false,0,140,1.4979472934537144,38.57142857142858,2.7646375747229026,8.659993794093838,1.230313002842899,-0.15555781276973202,48 days 21:46:17.142857143,0.00862859616555752,0.26245313336904125,0.5249062667380825,2.2728425062163797,0,11202,11203 days 00:00:00,1000.0,1284898.901174481,128389.89011744811,152041.06575793083,100.0,56869.313598802284,62.586575564295664,1606 days 00:00:00,140,0.0,219.63452378227132,-19.358915289328614,32.530686993573546,-6.328581005579473,99 days 22:13:20,16 days 20:55:48.837209302,9170.706436960578,0.810149797246382,0.4196851856425469,1.1681009611359452,0.599878890224559,15.912685119538716,1.1252379671849884,0.4470421079824335,-0.028668602955713707,None,None,0.0008294371023844811,0.20901814980088926,1283.8989011744816,0.17471041729383652,0.3105023084366113,6847,6847,16225.119047619048,,
Most Win Rate [%],AAPL,EMA,31,34,0,false,false,0,92,1.4635283516529503,47.82608695652174,3.6167629161803694,12.694334002778136,1.0866571075495697,-0.566950581291383,75 days 08:52:10.434782609,0.00567022033736637,0.1724692019282271,0.3449384038564542,2.1893816544695017,0,11202,11203 days 00:00:00,1000.0,659412.9514631056,65841.29514631056,152041.06575793083,100.0,19675.910686491825,79.13481261527562,3050 days 00:00:00,92,0.0,219.92045243652697,-55.795611849760164,36.3995516485853,-9.035448839211767,126 days 22:54:32.727272728,28 days 02:00:00,7156.662515903322,0.7419722043526149,0.2976185044755952,1.1562462324404088,-0.9068387816268522,50.736602847391964,1.1023828040643622,0.4541796469366563,-0.02912343123234015,None,None,0.0007950414028112988,0.20035043350844728,658.4129514631072,0.15721500752912876,0.3249741467904988,6934,6934,16225.119047619048,,
Mean Total Fees Paid,AAPL,EMA,19,38,0,false,false,0,117,1.4128185313612882,41.02564102564102,3.1111031562274687,9.525857002785829,1.0778634521396877,-0.6093080242500704,58 days 19:29:13.846153845,0.007211041081215928,0.21933583288698447,0.43867166577396893,2.0893617796683435,0,11202,11203 days 00:00:00,1000.0,595012.2437609097,59401.22437609096,152041.06575793083,100.0,23202.490630914246,73.6946051711191,3015 days 00:00:00,117,0.0,204.56072837343098,-54.820837200208004,33.74838435187002,-7.3245968052727415,112 days 10:30:00,21 days 12:10:26.086956521,5077.027724452217,0.736291580027426,0.3139849219328401,1.155484019233643,-0.9429219598901483,51.91029404090522,1.1102231244710346,0.449101021860044,-0.028796372069438744,None,None,0.0007824265663601403,0.19717149472275536,594.0122437609033,0.1545430088155364,0.3222852699498675,6881,6881,16225.119047619048,,
Mean Total Trades,AAPL,EMA,17,46,0,false,false,0,108,1.4095936508571956,39.81481481481482,3.223474291188093,10.925389333635682,1.079679070792785,-0.5992182802409995,64 days 02:00:00,0.006656345613430087,0.20246384574183182,0.40492769148366364,2.2119963407146694,0,11202,11203 days 00:00:00,1000.0,610352.7980845479,60935.27980845479,152041.06575793083,100.0,20008.746007303853,81.98590433797054,3050 days 00:00:00,108,0.0,239.56063559003255,-54.820837200208025,39.468583649531084,-7.957031521495124,127 days 10:02:47.441860466,22 days 04:25:50.769230769,5642.155537819886,0.7380423672110988,0.2834775309442484,1.1551534274357693,-0.9511472264619089,51.56559274524066,1.1065536696129143,0.4532364768452458,-0.029046227587960542,None,None,0.0007852169044200612,0.19787465991385544,609.3527980845474,0.15520427538736192,0.3226673706677822,6921,6921,16225.119047619048,,
Most Total Return [%],AAPL,EMA,12,17,0,false,true,0,207,1.3928855708876635,40.09661835748793,2.090277517065983,5.790128238647476,1.3885399098824118,0.8849770107150501,31 days 09:51:18.260869564,0.012757995759074334,0.38805570433851094,0.7761114086770219,2.2468922918586482,0,11202,11203 days 00:00:00,1000.0,2866939.1363831484,286593.9136383148,152041.06575793083,100.0,192076.75125368842,51.32780485283137,740 days 00:00:00,207,0.0,143.3474399945625,-19.54564296094514,22.724763298228464,-5.545151680265608,60 days 13:35:25.301204819,11 days 21:29:01.935483870,13845.116600884781,0.8992902879101101,0.5769158665062559,1.1931155151120145,0.8341527170610966,15.612700255252507,1.163829952468358,0.41756295077818556,-0.02726054748477857,None,None,0.0008868261951226826,0.22348020117091602,2865.9391363831537,0.19610989759691533,0.2990785815862906,6502,6502,16225.119047619048,,
Most Sharpe Ratio,AAPL,EMA,12,17,0,false,true,0,207,1.3928855708876635,40.09661835748793,2.090277517065983,5.790128238647476,1.3885399098824118,0.8849770107150501,31 days 09:51:18.260869564,0.012757995759074334,0.38805570433851094,0.7761114086770219,2.2468922918586482,0,11202,11203 days 00:00:00,1000.0,2866939.1363831484,286593.9136383148,152041.06575793083,100.0,192076.75125368842,51.32780485283137,740 days 00:00:00,207,0.0,143.3474399945625,-19.54564296094514,22.724763298228464,-5.545151680265608,60 days 13:35:25.301204819,11 days 21:29:01.935483870,13845.116600884781,0.8992902879101101,0.5769158665062559,1.1931155151120145,0.8341527170610966,15.612700255252507,1.163829952468358,0.41756295077818556,-0.02726054748477857,None,None,0.0008868261951226826,0.22348020117091602,2865.9391363831537,0.19610989759691533,0.2990785815862906,6502,6502,16225.119047619048,,
Most Calmar Ratio,AAPL,EMA,12,17,0,false,true,0,207,1.3928855708876635,40.09661835748793,2.090277517065983,5.790128238647476,1.3885399098824118,0.8849770107150501,31 days 09:51:18.260869564,0.012757995759074334,0.38805570433851094,0.7761114086770219,2.2468922918586482,0,11202,11203 days 00:00:00,1000.0,2866939.1363831484,286593.9136383148,152041.06575793083,100.0,192076.75125368842,51.32780485283137,740 days 00:00:00,207,0.0,143.3474399945625,-19.54564296094514,22.724763298228464,-5.545151680265608,60 days 13:35:25.301204819,11 days 21:29:01.935483870,13845.116600884781,0.8992902879101101,0.5769158665062559,1.1931155151120145,0.8341527170610966,15.612700255252507,1.163829952468358,0.41756295077818556,-0.02726054748477857,None,None,0.0008868261951226826,0.22348020117091602,2865.9391363831537,0.19610989759691533,0.2990785815862906,6502,6502,16225.119047619048,,
Mean Total Return [%],AAPL,EMA,15,51,0,false,false,0,110,1.369316894043576,40.0,2.874860873544648,10.262148155488667,1.029847066666754,-0.7314180363996894,62 days 20:56:43.636363635,0.006779611272938052,0.2062131762185324,0.4124263524370648,2.116190165968472,0,11202,11203 days 00:00:00,1000.0,409354.87989149016,40835.48798914901,152041.06575793083,100.0,14631.9723766369,83.96744374570798,3054 days 00:00:00,110,0.0,239.56063559003252,-54.82083720020802,38.042666821035404,-8.25819762154249,126 days 07:38:10.909090908,20 days 13:49:05.454545454,3712.3170899226375,0.7055416729424243,0.2578098830600682,1.1478117998135138,-0.9652384712086399,52.189208594270156,1.0998494292431715,0.4532364768452458,-0.0291234312323401,None,None,0.0007482451885645535,0.1885577875182675,408.35487989148237,0.14487088491994737,0.32163845327413854,6916,6916,16225.119047619048,,
Median Win Rate [%],AAPL,EMA,17,36,0,false,false,0,126,1.3662307898389459,38.095238095238095,2.9182138336266292,9.16184986349339,1.0861057103289289,-0.5885173937969372,54 days 04:34:17.142857142,0.007765736549001768,0.2362078200321371,0.4724156400642742,2.1641005837175067,0,11202,11203 days 00:00:00,1000.0,626622.5398796463,62562.25398796463,152041.06575793083,100.0,25101.918958176913,74.0209470502508,3054 days 00:00:00,126,0.0,212.5572713202784,-54.82083720020802,35.345137786404045,-6.950942704451625,109 days 19:30:00,19 days 23:04:36.923076923,4965.258253013065,0.7419098658987628,0.31540852092833804,1.1575561165997332,-0.9604142159104713,52.6400988199515,1.1132284672260273,0.44443011861784426,-0.028668602955713652,None,None,0.0007856205701761259,0.19797638368438372,625.6225398796499,0.15588807390880954,0.3211503520816066,6828,6828,16225.119047619048,,
