Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Least Total Trades,BTC-USD,EMA,6,88,0,false,false,1,34,1.6091967576857384,51.515151515151516,4.346910136654133,36.946462158806916,2.2217581708459364,1.5677416740288557,68 days 23:16:21.818181817,0.008452868852459017,0.2612704918032787,0.5148565573770492,9.65302033862271,0,3904,3905 days 00:00:00,1000.0,610001.0737099024,60900.107370990234,23717.380913725767,100.0,10528.018959443543,63.08912625641293,784 days 00:00:00,33,86185.04021006753,389.95656144731663,-13.451918910389576,78.0273666964572,-6.701998912446499,122 days 01:24:42.352941176,12 days 13:30:00,15842.910106055599,1.4179031122042467,1.3015639399195449,1.339019788343558,0.6317268409316403,11.217930691881444,1.1628329740878258,0.47302904564315357,-0.03742309712441195,None,None,0.0020056655044573516,0.5054277071232526,609.0010737099001,0.51267199269346,0.4290013432130763,2311,2310,3904,,
Most Expectancy,BTC-USD,EMA,6,88,0,false,false,1,34,1.6091967576857384,51.515151515151516,4.346910136654133,36.946462158806916,2.2217581708459364,1.5677416740288557,68 days 23:16:21.818181817,0.008452868852459017,0.2612704918032787,0.5148565573770492,9.65302033862271,0,3904,3905 days 00:00:00,1000.0,610001.0737099024,60900.107370990234,23717.380913725767,100.0,10528.018959443543,63.08912625641293,784 days 00:00:00,33,86185.04021006753,389.95656144731663,-13.451918910389576,78.0273666964572,-6.701998912446499,122 days 01:24:42.352941176,12 days 13:30:00,15842.910106055599,1.4179031122042467,1.3015639399195449,1.339019788343558,0.6317268409316403,11.217930691881444,1.1628329740878258,0.47302904564315357,-0.03742309712441195,None,None,0.0020056655044573516,0.5054277071232526,609.0010737099001,0.51267199269346,0.4290013432130763,2311,2310,3904,,
Most Win Rate [%],BTC-USD,EMA,20,37,0,false,false,1,35,1.5867135714422331,55.88235294117647,2.9811763035447796,27.489292497011,1.9477948067145365,0.0449103374339783,63 days 11:17:38.823529411,0.008709016393442622,0.2689549180327869,0.5302254098360656,7.393380410312898,0,3904,3905 days 00:00:00,1000.0,248825.36493611388,24782.536493611387,23717.380913725767,100.0,4013.966994296897,65.38707208340095,1036 days 00:00:00,34,34567.54398329221,329.92871174898147,-23.894138127564695,57.83695556906786,-10.95108072759435,99 days 07:34:44.210526315,18 days 01:36:00,6272.2888515535815,1.273508834788496,1.0318968530561001,1.305818743053981,0.39816451210537446,10.891845984337085,1.133683106899931,0.43883566691230663,-0.03633427434847743,None,None,0.0017612378797643303,0.44383194570061124,247.82536493611317,0.42762265751391126,0.41943315565860706,2192,2191,3904,,
Mean Best Trade [%],BTC-USD,EMA,24,33,0,false,false,1,35,1.5616416209618946,55.88235294117647,2.6972113924044647,27.051062631356693,1.9218301079182032,-0.05679357011212781,63 days 12:00:00,0.008709016393442622,0.2689549180327869,0.5302254098360656,7.275516332716325,0,3904,3905 days 00:00:00,1000.0,224703.8617792604,22370.38617792604,23717.380913725767,100.0,3892.777235062264,60.75743724991815,1036 days 00:00:00,34,31216.51455133807,329.9287117489814,-23.894138127564712,56.77428582257033,-10.598353410847242,99 days 12:37:53.684210526,17 days 20:48:00,5661.392565527127,1.2565187340896575,1.0843795900739726,1.301285535286299,0.40655305761151633,10.984698872669966,1.1308400747450211,0.43883566691230663,-0.03624565441447221,None,None,0.0017332709736218388,0.43678428535270336,223.70386177926017,0.41825936749938664,0.4183542628782758,2193,2192,3904,,
Most Max Drawdown Duration,BTC-USD,EMA,26,31,0,false,false,1,35,1.561174818521635,55.88235294117647,2.691924387966084,27.472604002698194,1.948339381293571,0.03228219037650032,63 days 16:14:07.058823529,0.008709016393442622,0.2689549180327869,0.5302254098360656,7.388891957692906,0,3904,3905 days 00:00:00,1000.0,245830.29919614637,24483.029919614637,23717.380913725767,100.0,4233.467321650402,60.75743724991815,999 days 00:00:00,34,34151.460732592444,329.92871174898147,-23.894138127564705,57.57559539089958,-10.657851755690231,99 days 17:41:03.157894737,18 days 00:00:00,6196.436425398645,1.2731288526998663,1.10740776391409,1.3055144581172455,0.4054671417838332,10.974349953146675,1.1329025046590668,0.44095940959409596,-0.03624565441447228,None,None,0.0017563951726840645,0.44261158351638424,244.8302991961479,0.4265074339809152,0.41840472163424264,2199,2198,3904,,
Most Profit Factor,BTC-USD,EMA,5,89,0,false,false,1,37,1.5432748628257886,47.22222222222222,4.566421004105039,33.13816330415031,2.174992602978773,1.2609846701778564,63 days 13:19:59.999999999,0.009221311475409836,0.2843237704918033,0.5609631147540984,9.421967537809131,0,3904,3905 days 00:00:00,1000.0,537246.3466270284,53624.63466270284,23717.380913725767,100.0,9282.036665661333,66.56776134680048,756 days 00:00:00,36,75905.76473113289,370.83724307053217,-13.451918910389585,77.75550274566181,-6.782614090886291,121 days 22:35:17.647058824,11 days 07:34:44.210526315,12787.238385997096,1.391695506919916,1.201263503394577,1.3305732418249103,0.6168598620541598,11.064424711100875,1.1614773572403296,0.4758125472411186,-0.03819203433680831,None,None,0.0019758495211967624,0.4979140793415841,536.246346627027,0.5003249456201242,0.43058246884253126,2323,2322,3904,,
Median Sharpe Ratio,BTC-USD,EMA,15,47,0,false,false,1,37,1.5383855951801466,52.77777777777778,3.1007717486097928,27.200465999768056,2.0271711050988244,0.35518969015679797,60 days 19:59:59.999999999,0.009221311475409836,0.2843237704918033,0.5609631147540984,7.7337390521881515,0,3904,3905 days 00:00:00,1000.0,322415.50091802777,32141.550091802776,23717.380913725767,100.0,5311.59454925826,63.92201660271265,1048 days 00:00:00,36,44790.89988169272,333.2718462993735,-23.8941381275647,59.84917745916768,-9.289270337207991,100 days 11:22:06.315789474,16 days 12:42:21.176470588,7684.016695453751,1.320085504970409,1.119769502244847,1.31763894652844,0.4088656361639815,10.81771052841161,1.148430962508634,0.4473684210526316,-0.03611580236174174,None,None,0.0018287748625502164,0.4608512653626545,321.4155009180289,0.45169281493194924,0.4201504990623924,2224,2223,3904,,
Least Total Fees Paid,BTC-USD,EMA,21,34,0,false,false,1,36,1.5316468523228788,54.285714285714285,2.7116080511581964,25.921307883396615,1.868965170967445,-0.18729588428906985,61 days 19:11:59.999999999,0.008965163934426229,0.2766393442622951,0.545594262295082,7.1708536152838995,0,3904,3905 days 00:00:00,1000.0,193752.13082468792,19275.213082468792,23717.380913725767,100.0,3267.9090862019602,70.99709426077993,999 days 00:00:00,35,27374.599661529937,329.9287117489815,-23.068542464451735,57.429151812745374,-11.494256782705037,99 days 03:47:22.105263158,17 days 10:30:00,4725.072318947369,1.2266795197973577,0.8958400935849142,1.2927920555654608,0.3860020413385129,10.86975942694611,1.1238845508182167,0.44042788638878644,-0.03682723567174386,None,None,0.001697669596829205,0.4278127384009596,192.75213082468818,0.4047598243384509,0.41972878983916456,2198,2197,3904,,
Least Sortino Ratio,BTC-USD,EMA,21,34,0,false,false,1,36,1.5316468523228788,54.285714285714285,2.7116080511581964,25.921307883396615,1.868965170967445,-0.18729588428906985,61 days 19:11:59.999999999,0.008965163934426229,0.2766393442622951,0.545594262295082,7.1708536152838995,0,3904,3905 days 00:00:00,1000.0,193752.13082468792,19275.213082468792,23717.380913725767,100.0,3267.9090862019602,70.99709426077993,999 days 00:00:00,35,27374.599661529937,329.9287117489815,-23.068542464451735,57.429151812745374,-11.494256782705037,99 days 03:47:22.105263158,17 days 10:30:00,4725.072318947369,1.2266795197973577,0.8958400935849142,1.2927920555654608,0.3860020413385129,10.86975942694611,1.1238845508182167,0.44042788638878644,-0.03682723567174386,None,None,0.001697669596829205,0.4278127384009596,192.75213082468818,0.4047598243384509,0.41972878983916456,2198,2197,3904,,
Median Expectancy,BTC-USD,EMA,26,28,0,false,false,1,36,1.530574708057749,54.285714285714285,2.6994649452113384,26.293969953168634,1.9019435806882172,-0.09740923160627837,61 days 16:27:25.714285713,0.008965163934426229,0.2766393442622951,0.545594262295082,7.273946605897061,0,3904,3905 days 00:00:00,1000.0,215070.8906320633,21407.089063206327,23717.380913725767,100.0,3600.101133480745,68.44654263081615,1038 days 00:00:00,35,30386.65693554911,329.9287117489814,-23.06854246445174,57.805386969459626,-11.125837753676912,99 days 01:15:47.368421053,17 days 07:30:00,5248.120962757546,1.2468606584333575,0.9526579735242208,1.298739768165547,0.3893274264930355,10.919004874120278,1.1226763016862016,0.44095940959409596,-0.0367116161529367,None,None,0.0017236123238217093,0.43435030560307075,214.070890632063,0.4142548448888663,0.4192454627347804,2194,2193,3904,,
