Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Mean Total Trades,BTC-USD,SMA,70,75,0,false,false,1,53,1.6108629953595042,61.53846153846154,3.4897406968940134,20.589266984897257,1.736669975747545,-0.05341319575293017,44 days 04:09:13.846153846,0.013251783893985729,0.40519877675840976,0.8027522935779816,8.34274579663268,0,3924,3925 days 00:00:00,1000.0,216756.4692705439,21575.64692705439,22793.09919623906,100.0,6944.82476398375,65.16341662459698,1302 days 00:00:00,52,2287.9984571083623,485.4593574996125,-28.665811966433985,38.91737338302029,-8.735703252099599,59 days 23:15:00,18 days 21:36:00,4105.162900258374,1.1702021800728049,0.9960150987762797,1.27538500762527,-0.174954659601318,16.19717742098832,1.1403322958305557,1.1184327693677651,-0.03991768036517467,,,0.0018150730099138345,0.4573983984982863,215.75646927054348,0.4124670781754525,0.4704136320867052,2328,105,3924,0.02612330198537095,
Mean Avg Losing Trade Duration,BTC-USD,SMA,28,38,0,false,false,1,56,1.5476668871062804,58.18181818181818,2.9135263845437787,15.942339703535401,1.955197207351142,-0.009012711009411062,39 days 13:05:27.272727272,0.01401630988786952,0.4281345565749235,0.8486238532110091,6.825466539739926,0,3924,3925 days 00:00:00,1000.0,226876.71580174522,22587.67158017452,22793.09919623906,100.0,5847.79756778871,69.51602478858169,573 days 00:00:00,55,23510.117292124778,255.9430336505076,-23.159486861047597,34.26902833645402,-9.555661872699197,50 days 13:30:00,24,3679.392700174918,1.2660167829345148,0.9437393063916768,1.3025617049410207,0.49428143124113594,10.722688830778662,1.1671039569230288,1.116063138347261,-0.03550921059119165,,,0.0017163025113708654,0.4325082328654581,225.87671580174623,0.4166113475346085,0.4111507413205627,2225,111,3924,0.02612330198537095,
Median Max Drawdown Duration,BTC-USD,SMA,35,40,0,false,false,1,76,1.492527202142562,53.333333333333336,2.391591279893721,11.972916345027535,1.8863177255816184,-0.19739438661393408,29 days 17:16:47.999999999,0.0191131498470948,0.581039755351682,1.154434250764526,6.956740383960953,0,3924,3925 days 00:00:00,1000.0,183938.693613669,18293.8693613669,22793.09919623906,100.0,7556.146825510552,58.09248448295986,909,75,13511.854264698748,313.2666485208282,-26.937475221025093,28.83146843257788,-7.294000326458572,38 days 07:48:00,19 days 21:15:25.714285714,2259.0245246529375,1.2130529475093152,1.0742403485154415,1.2863087373781943,0.603002767986326,10.75420181182528,1.199496131234152,1.0723742277140336,-0.03619556565893025,,,0.0016743230027819996,0.4219293967010639,182.9386936136676,0.39765720501678903,0.4186067133967937,2274,151,3924,0.02612330198537095,
Least Worst Trade [%],BTC-USD,SMA,59,60,0,false,false,1,116,1.4850080041714788,54.78260869565217,1.9885549944500918,7.718269522719225,1.7118496658108668,-0.2586595807253847,20 days 01:40:10.434782608,0.029306829765545363,0.8868501529051988,1.7660550458715594,6.844948506387079,0,3924,3925 days 00:00:00,1000.0,169974.45714707763,16897.445714707763,22793.09919623906,100.0,11507.015883376216,63.71184747530244,827 days 00:00:00,115,12660.913299856125,305.1420333835698,-46.57200503360256,19.443129362368232,-6.486849129163224,26 days 17:08:34.285714286,12 days 00:27:41.538461538,1359.248207367143,1.1428255805558887,0.9608454258766742,1.2661764483503526,-0.04470596347617853,16.351392501443048,1.1971668314971375,1.0576441102756893,-0.03987053220954179,,,0.0017315289017888226,0.4363452832507833,168.97445714707686,0.39059016953393444,0.4595116163097656,2349,231,3924,0.02612330198537095,
Median Avg Losing Trade Duration,BTC-USD,SMA,25,38,0,false,false,1,54,1.470662045360548,52.83018867924528,2.8480553973752425,18.96045519271081,2.1462835999945664,0.7320426405315743,40 days 23:59:59.999999999,0.013506625891946993,0.4128440366972477,0.8180428134556574,7.827710859376022,0,3924,3925 days 00:00:00,1000.0,395786.1971775201,39478.61971775201,22793.09919623906,100.0,9795.885018605864,64.09309756850385,818 days 00:00:00,53,37637.67947673355,267.5713900491202,-28.597211692571456,43.451999375719616,-8.470074292259051,54 days 00:51:25.714285714,26,6738.651277373328,1.3699083452307312,1.1608165325189517,1.330759149821355,0.6073042531938659,10.580280212606006,1.1827743149034626,1.1251167133520075,-0.03567928632318593,,,0.0018577930173217022,0.468163840365069,394.78619717751747,0.46813806848800543,0.41129413588699565,2224,107,3924,0.02612330198537095,
Least Max Drawdown [%],BTC-USD,SMA,16,36,0,false,false,0,52,1.45936198733006,51.92307692307693,3.1089927052283954,18.809459404382146,2.15699253601066,0.7782927127884424,42 days 13:23:04.615384614,0.013251783893985729,0.39755351681957185,0.7951070336391437,7.477766735687092,0,3924,3925 days 00:00:00,1000.0,406328.02202536026,40532.802202536026,22793.09919623906,100.0,10281.307141602441,49.32949100573054,755 days 00:00:00,52,0.0,242.93537090387,-21.444898023088307,42.40434710521669,-6.673019312519157,63 days 16:00:00,19 days 18:14:24,7794.7696543338525,1.3803381267023773,1.516885064688639,1.3328954204539092,0.5644755118170948,10.490333895813894,1.1860321520900403,1.123827392120075,-0.035562419368668066,,,0.0018607842258323596,0.46891762490975464,405.3280220253602,0.47061793836922416,0.4088436289767904,2213,104,3924,0.02612330198537095,
Mean Max Drawdown Duration,BTC-USD,SMA,12,33,0,false,false,0,66,1.4324873046562128,50.0,2.317944189168808,14.081377610510799,2.0123099137237417,0.19423797064238515,33 days 06:10:54.545454545,0.016819571865443424,0.5045871559633027,1.0091743119266054,7.105282280532972,0,3924,3925 days 00:00:00,1000.0,273203.8452876712,27220.384528767117,22793.09919623906,100.0,10529.554097018692,58.033786937770216,999,66,0.0,234.2826122013284,-18.251507913216162,35.364659170769606,-7.201903949748009,53 days 06:32:43.636363636,13 days 05:49:05.454545454,4124.300686176835,1.3141865353038535,1.1801988034574804,1.315879968573618,0.3818533291431126,10.605545483181213,1.1582371104416707,1.1361058601134217,-0.03510305506402929,,,0.001754093348048489,0.44203152370821924,272.2038452876719,0.43361245186217046,0.4048017589894208,2195,132,3924,0.02612330198537095,
Median Win Rate [%],BTC-USD,SMA,10,33,0,false,false,1,64,1.4319599966065528,47.61904761904761,2.658700411113778,14.651859492146722,2.097712521572782,0.4166763563694742,34 days 21:42:51.428571428,0.016055045871559634,0.48929663608562685,0.9709480122324158,7.169105561906652,0,3924,3925 days 00:00:00,1000.0,323904.44719695946,32290.444719695945,22793.09919623906,100.0,10330.959857280175,55.72773372859696,784 days 00:00:00,63,-12676.088585342804,199.59445263559437,-18.169826524434775,38.70713609264893,-7.2165737810371,57 days 17:36:00,14 days 03:38:10.909090909,5326.675171147655,1.3511775145965506,1.2772797481272127,1.3246504248389817,0.567772374650233,10.717151451576882,1.1622243578330407,1.1397544853635502,-0.035103055064029366,,,0.001792609216444231,0.4517375225439462,322.90444719695927,0.44936696928028286,0.40236474235623715,2204,127,3924,0.02612330198537095,
Most Sharpe Ratio,BTC-USD,SMA,2,35,0,false,false,0,107,1.4306641257679649,30.8411214953271,2.846912742838102,10.2625229507779,2.463748776764945,2.874382674937318,20 days 14:21:18.504672896,0.02726809378185525,0.8180428134556574,1.6360856269113149,8.395183147807609,0,3924,3925 days 00:00:00,1000.0,884091.8863403633,88309.18863403633,22793.09919623906,100.0,39596.60896687601,62.137809431726374,715 days 00:00:00,107,0.0,209.8421532806377,-13.216834175424808,41.8068334088472,-3.8045344156584067,52 days 19:38:10.909090909,6 days 05:30:48.648648648,8253.195199442649,1.5418091725000291,1.415145765199269,1.377246105431917,0.7662949171662974,10.353522707148205,1.2872752543233004,1.0698924731182793,-0.034686913458121055,,,0.0020485911000443424,0.5162449572111742,883.091886340364,0.5458821905716709,0.40296874169596897,2204,214,3924,0.02612330198537095,
Most Omega Ratio,BTC-USD,SMA,2,35,0,false,false,0,107,1.4306641257679649,30.8411214953271,2.846912742838102,10.2625229507779,2.463748776764945,2.874382674937318,20 days 14:21:18.504672896,0.02726809378185525,0.8180428134556574,1.6360856269113149,8.395183147807609,0,3924,3925 days 00:00:00,1000.0,884091.8863403633,88309.18863403633,22793.09919623906,100.0,39596.60896687601,62.137809431726374,715 days 00:00:00,107,0.0,209.8421532806377,-13.216834175424808,41.8068334088472,-3.8045344156584067,52 days 19:38:10.909090909,6 days 05:30:48.648648648,8253.195199442649,1.5418091725000291,1.415145765199269,1.377246105431917,0.7662949171662974,10.353522707148205,1.2872752543233004,1.0698924731182793,-0.034686913458121055,,,0.0020485911000443424,0.5162449572111742,883.091886340364,0.5458821905716709,0.40296874169596897,2204,214,3924,0.02612330198537095,
