Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Total Return [%],STRK,SMA,36,89,0,false,0,1,NaN,100.0,inf,NaN,6.52982209480378,1.8072410737476323,0 days 19:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1037.584838316367,3.758483831636704,-4.655962083529608,100.0,2.037624460779086,3.2124115056198685,8 days 14:00:00,1,0.0,3.7622423154683378,3.7622423154683378,3.7622423154683378,NaN,0 days 19:00:00,NaT,37.58483831636701,4.082625512360006,59.96772066170292,1.6235678418219297,1.7762359699780916,73.80845238562696,1.08237856121462,0.04152249134948097,0.0,None,None,0.00012678088577477493,0.7667707971658387,0.03758483831636705,1.0987606314967713,0.22603317263390388,18.10515873015873
Least Total Fees Paid,STRK,SMA,35,89,0,false,0,1,NaN,100.0,inf,NaN,5.083512462659662,1.6221288569480452,0 days 18:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1028.9660836901971,2.896608369019714,-4.655962083529608,100.0,2.0289970787709084,3.2124115056198685,8 days 14:00:00,1,0.0,2.899504977388731,2.899504977388731,2.899504977388731,NaN,0 days 18:00:00,NaT,28.966083690197117,3.2173601683410347,40.33299874855857,1.479065637548522,1.7981800512895008,76.65117424574667,1.0756841000352886,0.03793103448275863,0.0,None,None,0.00009898909532111729,0.5986860485021174,0.028966083690197264,0.7749036667749787,0.22394719061751311,18.10515873015873
Least Total Trades,STRK,SMA,35,89,0,false,0,1,NaN,100.0,inf,NaN,5.083512462659662,1.6221288569480452,0 days 18:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1028.9660836901971,2.896608369019714,-4.655962083529608,100.0,2.0289970787709084,3.2124115056198685,8 days 14:00:00,1,0.0,2.899504977388731,2.899504977388731,2.899504977388731,NaN,0 days 18:00:00,NaT,28.966083690197117,3.2173601683410347,40.33299874855857,1.479065637548522,1.7981800512895008,76.65117424574667,1.0756841000352886,0.03793103448275863,0.0,None,None,0.00009898909532111729,0.5986860485021174,0.028966083690197264,0.7749036667749787,0.22394719061751311,18.10515873015873
Most Win Rate [%],STRK,SMA,35,89,0,false,0,1,NaN,100.0,inf,NaN,5.083512462659662,1.6221288569480452,0 days 18:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1028.9660836901971,2.896608369019714,-4.655962083529608,100.0,2.0289970787709084,3.2124115056198685,8 days 14:00:00,1,0.0,2.899504977388731,2.899504977388731,2.899504977388731,NaN,0 days 18:00:00,NaT,28.966083690197117,3.2173601683410347,40.33299874855857,1.479065637548522,1.7981800512895008,76.65117424574667,1.0756841000352886,0.03793103448275863,0.0,None,None,0.00009898909532111729,0.5986860485021174,0.028966083690197264,0.7749036667749787,0.22394719061751311,18.10515873015873
Most Worst Trade [%],STRK,SMA,36,89,0,false,0,1,NaN,100.0,inf,NaN,6.52982209480378,1.8072410737476323,0 days 19:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1037.584838316367,3.758483831636704,-4.655962083529608,100.0,2.037624460779086,3.2124115056198685,8 days 14:00:00,1,0.0,3.7622423154683378,3.7622423154683378,3.7622423154683378,NaN,0 days 19:00:00,NaT,37.58483831636701,4.082625512360006,59.96772066170292,1.6235678418219297,1.7762359699780916,73.80845238562696,1.08237856121462,0.04152249134948097,0.0,None,None,0.00012678088577477493,0.7667707971658387,0.03758483831636705,1.0987606314967713,0.22603317263390388,18.10515873015873
Mean Avg Winning Trade [%],STRK,SMA,35,89,0,false,0,1,NaN,100.0,inf,NaN,5.083512462659662,1.6221288569480452,0 days 18:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1028.9660836901971,2.896608369019714,-4.655962083529608,100.0,2.0289970787709084,3.2124115056198685,8 days 14:00:00,1,0.0,2.899504977388731,2.899504977388731,2.899504977388731,NaN,0 days 18:00:00,NaT,28.966083690197117,3.2173601683410347,40.33299874855857,1.479065637548522,1.7981800512895008,76.65117424574667,1.0756841000352886,0.03793103448275863,0.0,None,None,0.00009898909532111729,0.5986860485021174,0.028966083690197264,0.7749036667749787,0.22394719061751311,18.10515873015873
Mean Avg Losing Trade [%],STRK,SMA,35,89,0,false,0,1,NaN,100.0,inf,NaN,5.083512462659662,1.6221288569480452,0 days 18:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1028.9660836901971,2.896608369019714,-4.655962083529608,100.0,2.0289970787709084,3.2124115056198685,8 days 14:00:00,1,0.0,2.899504977388731,2.899504977388731,2.899504977388731,NaN,0 days 18:00:00,NaT,28.966083690197117,3.2173601683410347,40.33299874855857,1.479065637548522,1.7981800512895008,76.65117424574667,1.0756841000352886,0.03793103448275863,0.0,None,None,0.00009898909532111729,0.5986860485021174,0.028966083690197264,0.7749036667749787,0.22394719061751311,18.10515873015873
Most Profit Factor,STRK,SMA,35,89,0,false,0,1,NaN,100.0,inf,NaN,5.083512462659662,1.6221288569480452,0 days 18:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1028.9660836901971,2.896608369019714,-4.655962083529608,100.0,2.0289970787709084,3.2124115056198685,8 days 14:00:00,1,0.0,2.899504977388731,2.899504977388731,2.899504977388731,NaN,0 days 18:00:00,NaT,28.966083690197117,3.2173601683410347,40.33299874855857,1.479065637548522,1.7981800512895008,76.65117424574667,1.0756841000352886,0.03793103448275863,0.0,None,None,0.00009898909532111729,0.5986860485021174,0.028966083690197264,0.7749036667749787,0.22394719061751311,18.10515873015873
Mean Profit Factor,STRK,SMA,35,89,0,false,0,1,NaN,100.0,inf,NaN,5.083512462659662,1.6221288569480452,0 days 18:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1028.9660836901971,2.896608369019714,-4.655962083529608,100.0,2.0289970787709084,3.2124115056198685,8 days 14:00:00,1,0.0,2.899504977388731,2.899504977388731,2.899504977388731,NaN,0 days 18:00:00,NaT,28.966083690197117,3.2173601683410347,40.33299874855857,1.479065637548522,1.7981800512895008,76.65117424574667,1.0756841000352886,0.03793103448275863,0.0,None,None,0.00009898909532111729,0.5986860485021174,0.028966083690197264,0.7749036667749787,0.22394719061751311,18.10515873015873
Most Expectancy,STRK,SMA,36,89,0,false,0,1,NaN,100.0,inf,NaN,6.52982209480378,1.8072410737476323,0 days 19:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1037.584838316367,3.758483831636704,-4.655962083529608,100.0,2.037624460779086,3.2124115056198685,8 days 14:00:00,1,0.0,3.7622423154683378,3.7622423154683378,3.7622423154683378,NaN,0 days 19:00:00,NaT,37.58483831636701,4.082625512360006,59.96772066170292,1.6235678418219297,1.7762359699780916,73.80845238562696,1.08237856121462,0.04152249134948097,0.0,None,None,0.00012678088577477493,0.7667707971658387,0.03758483831636705,1.0987606314967713,0.22603317263390388,18.10515873015873
