Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Signal Conversion Rate,Total Period
Median Total Return [%],STRK_MSTR,SMA,14,79,0,false,0,3,NaN,0.0,0.0,NaN,-0.22302063308700557,-1.742416969571116,1 days 17:40:00,0.15155362512529236,4.609756097560975,9.21951219512195,NaN,0,328,13 days 17:00:00,1000.0,948.0776867333207,-5.192231326667933,6.9936862160726365,100.0,5.742841329874062,23.728312991508858,9 days 09:00:00,3,0.0,-0.03273247972344193,-5.103387904909765,NaN,-1.7341656754928683,NaT,1 days 17:40:00,-17.30743775555978,-0.15358405251137214,-3.195369748769495,0.993101699258458,0.3584827531046576,6.972920547741826,1.057172776629971,0.23220973782771534,-0.026822273202608403,None,None,-0.0000270411442911857,-0.1635448406730911,-0.05192231326667884,-0.6247485540584505,1.281553930888215,125,125,1.0,19.794973544973544
Least Total Fees Paid,STRK_MSTR,SMA,36,89,0,false,1,2,NaN,0.0,0.0,NaN,-4.259336084706837,-3.7413931072659588,2 days 08:00:00,0.05051787504176412,3.073170731707317,4.609756097560975,NaN,0,328,13 days 17:00:00,1000.0,808.2755681287753,-19.17244318712247,6.9936862160726365,100.0,2.690968568408204,23.055691324105,9 days 09:00:00,1,-37.707370591093536,-15.417107834141138,-15.417107834141138,NaN,-15.417107834141138,NaT,2 days 08:00:00,-154.01706128013126,-3.0611147478204606,-4.322330913418435,0.8683945839321818,0.06909140689724926,6.427187904549913,1.1067774108939572,0.18345323741007194,-0.027263992997106693,None,None,-0.0005204281412322129,-3.147549398172423,-0.1917244318712258,-0.9800166928382945,1.2374826163479014,115,114,0.991304347826087,19.794973544973544
Least Total Trades,STRK_MSTR,SMA,19,82,0,false,0,2,NaN,0.0,0.0,NaN,-1.5233109657366146,-2.432484911942909,2 days 10:30:00,0.10103575008352823,3.073170731707317,6.146341463414634,NaN,0,328,13 days 17:00:00,1000.0,899.8165001661285,-10.018349983387145,6.9936862160726365,100.0,3.7602454275999593,26.506498461513267,9 days 09:00:00,2,0.0,-3.2761307274804357,-6.980706198047293,NaN,-5.1284184627638645,NaT,2 days 10:30:00,-50.091749916935704,-1.056762244148107,-3.5457023420154252,0.9522626857617723,0.3613916470245636,7.0633912718379355,1.0357945003022786,0.20955882352941177,-0.027644095993821692,None,None,-0.00018594870153096482,-1.1246177468592753,-0.10018349983387032,-0.856380606819868,1.2807778432197563,117,117,1.0,19.794973544973544
Mean Total Trades,STRK_MSTR,SMA,3,82,0,false,0,4,NaN,0.0,0.0,NaN,-3.3847244015413014,-3.4553130350943877,1 days 06:15:00,0.20207150016705647,6.146341463414634,12.292682926829269,NaN,0,328,13 days 17:00:00,1000.0,828.2831107031691,-17.17168892968309,6.9936862160726365,100.0,7.350348307833037,30.17861144754465,9 days 09:00:00,4,0.0,-2.434990582810783,-7.267041822873141,NaN,-4.5827289407027045,NaT,1 days 06:15:00,-42.929222324207714,-2.4078719839967655,-3.291640731672219,0.8954829348977298,0.22276046528923865,6.669833120094732,1.0344371834163422,0.2140221402214022,-0.02824509324156341,None,None,-0.0004320212138228508,-2.6128643012006014,-0.1717168892968307,-0.9686756023044872,1.305959242916026,121,121,1.0,19.794973544973544
Median Total Trades,STRK_MSTR,SMA,5,83,0,false,0,3,NaN,0.0,0.0,NaN,-1.5890724558942313,-2.546383223023371,1 days 17:00:00,0.15155362512529236,4.609756097560975,9.21951219512195,NaN,0,328,13 days 17:00:00,1000.0,891.8508096837547,-10.814919031624527,6.9936862160726365,100.0,5.626512858802575,27.462527382634516,9 days 09:00:00,3,0.0,-0.7432705727639216,-7.267041822873137,NaN,-3.709152342699642,NaT,1 days 17:00:00,-36.04973010541509,-1.1118584259394138,-3.4684501509653303,0.9509301527411967,0.2597128178420717,6.293747769947834,1.0798698344688167,0.21851851851851853,-0.028245093241563424,None,None,-0.000202788947200672,-1.2264675526696642,-0.10814919031624537,-0.8780384960347599,1.3275556434947136,123,123,1.0,19.794973544973544
Most Win Rate [%],STRK_MSTR,SMA,32,72,0,false,1,3,NaN,100.0,inf,NaN,0.8646745390050247,-1.1875143947255857,1 days 13:00:00,0.10103575008352823,4.609756097560975,7.682926829268292,NaN,0,328,13 days 17:00:00,1000.0,986.8858316229247,-1.3114168377075317,6.9936862160726365,100.0,5.134684849615764,23.055691324104995,9 days 09:00:00,2,-52.219633826798486,2.87631264079436,1.0091472189323512,1.9427299298633558,NaN,1 days 13:00:00,NaT,19.55273272486162,0.5830194260587196,-1.2854125957728784,1.0253905705149042,0.42874716057466944,5.902399695456233,1.1631296023751152,0.2557251908396947,-0.027644095993821848,None,None,0.00010734484402959485,0.6492216166909897,-0.013114168377076019,-0.21547136084774066,1.3401583235681358,141,140,0.9929078014184397,19.794973544973544
Least Win Rate [%],STRK_MSTR,SMA,2,78,0,false,0,5,NaN,0.0,0.0,NaN,-3.219373557668848,-3.349655171698589,1 days 00:24:00,0.2525893752088206,7.682926829268292,15.365853658536585,NaN,0,328,13 days 17:00:00,1000.0,835.6724901316779,-16.432750986832207,6.9936862160726365,100.0,9.214410301504051,28.558061913224,9 days 09:00:00,5,0.0,-1.821128477102184,-6.814042494740827,NaN,-3.5147362041639525,NaT,1 days 00:24:00,-32.865501973664394,-2.3008172692503,-3.4722350415966545,0.900200812364434,0.18661861633237914,6.915555518531945,1.0052242404736178,0.22304832713754646,-0.02795061337856455,None,None,-0.00040814381613112733,-2.468453799961058,-0.16432750986832279,-0.9631199594933755,1.291186678671945,122,122,1.0,19.794973544973544
Least Best Trade [%],STRK_MSTR,SMA,36,89,0,false,1,2,NaN,0.0,0.0,NaN,-4.259336084706837,-3.7413931072659588,2 days 08:00:00,0.05051787504176412,3.073170731707317,4.609756097560975,NaN,0,328,13 days 17:00:00,1000.0,808.2755681287753,-19.17244318712247,6.9936862160726365,100.0,2.690968568408204,23.055691324105,9 days 09:00:00,1,-37.707370591093536,-15.417107834141138,-15.417107834141138,NaN,-15.417107834141138,NaT,2 days 08:00:00,-154.01706128013126,-3.0611147478204606,-4.322330913418435,0.8683945839321818,0.06909140689724926,6.427187904549913,1.1067774108939572,0.18345323741007194,-0.027263992997106693,None,None,-0.0005204281412322129,-3.147549398172423,-0.1917244318712258,-0.9800166928382945,1.2374826163479014,115,114,0.991304347826087,19.794973544973544
Most Worst Trade [%],STRK_MSTR,SMA,56,83,0,false,1,2,NaN,100.0,inf,NaN,1.6598176043983686,-0.7030375523415225,3 days 00:00:00,0.05051787504176412,3.073170731707317,4.609756097560975,NaN,0,328,13 days 17:00:00,1000.0,1020.7686217688029,2.0768621768802857,6.9936862160726365,100.0,3.2614727460062882,23.055691324104995,7 days 16:00:00,1,-110.46612049809346,13.136597700916314,13.136597700916314,13.136597700916314,NaN,3 days 00:00:00,NaT,131.23474226689626,1.128692066716331,3.1602662513377875,1.0517597167274841,0.2824659102427,6.081812899006029,1.1587183319879064,0.21851851851851853,-0.027263992997106738,None,None,0.00020188761011801705,1.2210162659937671,0.02076862176880212,0.4591857389065426,1.301943503393426,123,122,0.991869918699187,19.794973544973544
Least Worst Trade [%],STRK_MSTR,SMA,13,89,0,false,0,3,NaN,0.0,0.0,NaN,-6.325889553386565,-4.808749338762765,1 days 16:20:00,0.15155362512529236,4.609756097560975,9.21951219512195,NaN,0,328,13 days 17:00:00,1000.0,733.6280224901908,-26.637197750980917,6.9936862160726365,100.0,4.892739877654515,29.93689746354271,9 days 09:00:00,3,0.0,-3.738935456312388,-19.53199412572722,NaN,-9.530510928218723,NaT,1 days 16:20:00,-88.79065916993638,-4.661368132444555,-3.3394846503489375,0.8117026563164105,-0.0015753171968785548,5.843632577742878,0.9856389398127845,0.20512820512820512,-0.028880912560300422,None,None,-0.0008092077321101021,-4.894088363801897,-0.2663719775098098,-0.9966345236070748,1.2635853016166052,121,121,1.0,19.794973544973544
