Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
BKNG,SMA,73,76,0,false,false,1,101,1.7801711708305357,60.0,2.937870567639436,10.000098654107084,1.3173774176148905,15.03498892334426,40 days 14:09:36,0.010459187379247229,0.3213149522799576,0.6394485683987275,3.213181221839286,0,6601,6602 days 00:00:00,1000.0,168553.29586309873,16755.329586309872,1044.9230533559594,100.0,8490.375836756204,79.51563993825144,1504 days 00:00:00,100,11889.467503319058,286.7536492786268,-51.011206896551705,22.103253053947455,-8.15463294565347,51 days 10:00:00,24 days 08:24:00,1556.6382835977956,0.8339330037170203,0.4121511584553001,1.2098253200913491,1.289912477493164,42.92571209163774,1.150129991797371,1.0519031141868511,-0.028929584054283128,,,0.001081218536663412,0.2724670712391798,167.5532958630989,0.2161723368277504,0.39321404661294834,0,101,9560.972222222223,0.12345679012345678,,None,None
AVGO,SMA,86,88,0,false,false,0,77,1.7375650079551006,63.63636363636363,8.597377398813222,7.756383950528455,1.8362255120270514,-0.632152746283945,36 days 23:59:59.999999999,0.013300386248590552,0.40455341506129594,0.8091068301225919,3.1378716157129123,0,3997,3998 days 00:00:00,1000.0,61868.035419219515,6086.803541921951,16547.095242473708,100.0,1564.4224788666784,41.48400268554687,595 days 00:00:00,77,0.0,246.05081821239997,-19.934259495487243,14.694849986520925,-4.38593161245837,48 days 17:37:57.551020408,16 days 11:08:34.285714285,790.4939664833703,1.175204607954423,1.1023859191031695,1.233558697893297,0.8586886273734952,13.548597933125535,1.1362365126551637,1.0856531049250535,-0.029163674252107134,,,0.0012303465917078884,0.3100473411103879,60.86803541921926,0.2969368734198703,0.31751239763788225,0,77,5789.305555555556,0.12345679012345678,,None,None
MA,SMA,72,79,0,false,false,1,54,1.733574672168066,71.69811320754717,4.744475890504078,10.23220066044983,1.81080144307555,-0.4265891952610488,66 days 15:23:46.415094339,0.007620112624306083,0.23615160349854228,0.467930029154519,2.4163505932840708,0,4802,4803 days 00:00:00,1000.0,69026.46850089564,6802.646850089564,11863.478668119118,100.0,2720.062600694607,40.997212534172405,497 days 00:00:00,53,-974.2816478703753,127.42350987659114,-11.759881935914905,16.138774174778828,-4.731118909183623,83 days 03:47:22.105263158,24 days 19:12:00,1301.9009462031318,1.1791483262003617,0.925926551450921,1.242849168271613,0.6657664997332301,13.120600177022911,1.066773494717824,1.1650544135429262,-0.023014446683478334,,,0.0010168680078491547,0.256250737977987,68.02646850089563,0.24878598738002466,0.26154284753010343,0,54,6955.277777777777,0.12345679012345678,,None,None
MSFT,SMA,67,88,0,false,false,1,62,1.7218007359730976,68.85245901639344,4.027495472124832,14.114965654727063,1.2531567206339915,-0.9261868157653336,106 days 22:01:58.032786885,0.004254477067698827,0.1315284372158804,0.26093544802505303,1.8565193739220767,0,9899,9900 days 00:00:00,1000.0,377455.27111575403,37645.52711157541,510010.8808731647,100.0,8726.736152242955,61.55339180156807,4386 days 00:00:00,61,19095.47193069075,181.61535191256175,-28.473543147355425,25.481889585896177,-11.01191882469939,132 days 12:34:17.142857142,50 days 07:34:44.210526316,5858.357363689562,0.856247405403291,0.3972661568037865,1.1747393161650934,-0.5024310905802278,22.815283852286598,1.1108487463856842,1.0575150937400701,-0.024274931901635478,,,0.000735230906327155,0.18527818839444304,376.4552711157528,0.16303541621255202,0.26041811378585666,0,62,14337.8373015873,0.12345679012345678,,None,None
ADI,SMA,72,87,0,false,false,0,103,1.712628676523488,64.07766990291263,2.2041780197378227,12.309546012625994,1.0626185936586232,0.36610491675083745,65 days 20:44:16.310679612,0.006230818256998448,0.1895207219837028,0.3790414439674056,2.332914047604488,0,11413,11414 days 00:00:00,1000.0,444293.5610421183,44329.35610421183,32449.45213259709,100.0,28334.333578110272,74.0076211957535,2164 days 00:00:00,103,0.0,627.1341232227489,-46.81998983764647,24.679727071841093,-9.756182363271224,81 days 01:49:05.454545455,38 days 17:30:48.648648648,4303.82098099144,0.6981711181547109,0.2908570564707543,1.1488373411214459,0.48004918584137374,12.514210347479054,1.1400568661816617,1.007701786814541,-0.028858303249097494,,,0.0007364875388332116,0.18559485978596935,443.2935610421175,0.14407805387022465,0.31992650873071204,0,103,16530.734126984127,0.12345679012345678,,None,None
MA,SMA,76,81,0,true,false,1,58,1.7107831356198135,68.42105263157895,3.882605017944763,9.410142534610207,1.770819453382193,-0.4738847805044122,62 days 00:00:00,0.008195215463876353,0.2536443148688047,0.5029154518950437,2.386829156009003,0,4802,4803 days 00:00:00,1000.0,63415.56683458713,6241.556683458713,11863.478668119118,100.0,3173.625010570444,40.997212534172405,906 days 00:00:00,57,-63.415566834577476,125.70727439918446,-17.797843069392883,15.378935475660748,-3.5222421709992986,81 days 09:50:46.153846154,19 days 22:39:59.999999999,1096.1224982705564,1.1559563906932415,0.9043153477926146,1.2368583974923586,0.6521168724203482,12.976360299199976,1.0755570936983632,1.1499700059988,-0.02320430930840805,,,0.0010000939083353495,0.2520236649005081,62.41556683458676,0.24324346768098715,0.26238924763993665,0,58,6955.277777777777,0.12345679012345678,,None,None
BKNG,SMA,68,82,0,false,false,1,54,1.696659156652896,64.15094339622641,5.963293615436865,14.373779601157253,1.2244127574850316,9.166214219026537,76 days 04:58:52.075471698,0.005543369311001031,0.17179215270413575,0.3404029692470838,2.469302540177598,0,6601,6602 days 00:00:00,1000.0,107229.1160281598,10622.911602815979,1044.9230533559594,100.0,2575.4263943748174,79.51563993825143,1572 days 00:00:00,53,6003.051176627108,212.009430773356,-44.56427996781978,28.320937576033206,-10.58429256441024,100 days 01:24:42.352941177,33 days 12:37:53.684210526,1891.0578273874091,0.78179564503649,0.37091618506840596,1.1964558033771977,1.2186497756714894,43.41573217405192,1.1155989130733508,1.0724784591991887,-0.028615928351386297,,,0.001012285912564596,0.2550960499662782,106.22911602816058,0.19535677465943846,0.3926961548158296,0,54,9560.972222222223,0.12345679012345678,,None,None
TT,SMA,62,77,0,false,false,1,92,1.6922832557811418,63.73626373626373,4.109231792768625,6.937898237122098,1.0448435059761703,-0.3319021117698492,77 days 16:52:44.835164835,0.005504897683367561,0.16928064487864716,0.3367212827477438,1.174451887682458,0,11413,11414 days 00:00:00,1000.0,129802.16854976212,12880.216854976212,19278.936637708917,100.0,2714.5714581979837,47.54098079396646,1563 days 00:00:00,91,2283.7478687772527,105.73768632943263,-22.124329639953668,15.109530370522931,-7.4243643003702715,94 days 10:20:41.379310345,48 days 07:16:21.818181818,1390.312315175658,0.7106875769400174,0.3541502983384121,1.1429752688117574,-0.37855636495367173,29.10135157665914,1.0725989578297823,1.0656128839844914,-0.02140159224397891,,,0.0005277053468430291,0.13298174740444332,128.80216854976229,0.11341573637914215,0.2251953783464243,0,92,16530.734126984127,0.12345679012345678,,None,None
DFS,SMA,73,78,0,false,false,0,62,1.688934865192911,69.35483870967742,2.677806928662494,5.860606851136914,1.3750662987838587,2.2552845140667253,44 days 18:34:50.322580644,0.009491237129058713,0.2886917960088692,0.5773835920177384,1.691909117556599,0,4510,4511 days 00:00:00,1000.0,20395.834685007376,1939.5834685007376,595.8260975713231,100.0,1003.9816133731167,42.48496921065899,497 days 00:00:00,62,0.0,71.58820726510248,-24.848781668538837,11.010635387944692,-5.794720890059639,52 days 12:16:44.651162790,27 days 06:18:56.842105263,312.8360433065707,0.9215023877811102,0.6503931945004376,1.1975565933831913,0.3916779209398229,16.92206743725889,1.0810375734864455,1.1077844311377243,-0.024197954214149213,,,0.000808903109921204,0.2038435837001434,19.39583468500726,0.18346521787539372,0.26622371706375714,0,62,6532.341269841269,0.12345679012345678,,None,None
ORLY,SMA,80,95,0,false,false,1,54,1.6875974114813883,71.69811320754717,13.906732957366339,11.561231442112215,1.2945687813842535,-0.770247628489192,103 days 03:10:11.320754715,0.004517503805175038,0.13999999999999999,0.2774074074074074,1.61857240189571,0,8100,8101 days 00:00:00,1000.0,128466.94806048858,12746.694806048858,55480.14465412921,100.0,2371.4621717971822,56.49913241589765,1155 days 00:00:00,53,19816.620980329288,123.78925862370183,-37.73465519820405,19.515425591705487,-8.589393736857401,127 days 01:15:47.368421052,42 days 12:48:00,2031.1382467954581,0.8509798873887048,0.4328471595659182,1.1733060756648224,0.6533644472896623,13.556087811667677,1.0589652976299964,1.1079740557039295,-0.022519817365274437,,,0.0007348572753362084,0.1851840333847245,127.46694806048893,0.16305096282967213,0.26189692844716134,0,54,11732.142857142857,0.12345679012345678,,None,None
