Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
TRX-USD,SMA,17,19,0,false,false,1,124,1.7659513708320853,53.65853658536586,2.1620142301918124,29.989526852345115,2.876094657189826,5.147565229263871,12 days 17:10:14.634146340,0.04391288825419493,1.3280971081756516,2.6454837558014996,39.8290038881556,0,2801,2802 days 00:00:00,1000.0,783599.7891151992,78259.97891151992,12730.23969538116,100.0,57825.77853731638,84.94955730157085,1035 days 00:00:00,123,53956.18964315299,3216.822188130199,-29.484339361339668,61.33293445679152,-6.302839847540205,16 days 14:54:32.727272727,8 days 04:37:53.684210526,5923.931703024768,1.2128558128467581,1.6272017948041517,1.4595600289726356,9.712001041153263,170.06090345219397,1.5372149761005645,0.9494833524684272,-0.04846605613373886,,,0.0037293518963633036,0.9397966778835525,782.5997891151994,0.8208852243247657,0.9325473522345443,0,124,2801,0.7194244604316546,,None,None
ETH-USD,SMA,32,34,0,false,true,0,76,1.7423991020903074,61.8421052631579,4.171482116758275,6.507730457209033,1.4611784793998221,2.23315897969833,19 days 00:56:50.526315789,0.027133166726169226,0.8139950017850768,1.6279900035701536,5.297260065132665,0,2801,2802 days 00:00:00,1000.0,27591.073222575807,2659.107322257581,822.4486760331498,100.0,1097.6115267212133,85.88251247410041,1087 days 00:00:00,76,0.0,181.56444471108543,-28.769572069906573,15.317383167788364,-7.769982556488504,20 days 12:15:19.148936170,16 days 15:43:26.896551724,349.8825424023133,0.9955768328979014,0.6294254541646349,1.2393995291660675,-0.48466958976702146,17.38015467560001,1.2312882757029395,1.0065876152832676,-0.04532361871212118,,,0.0017848056882223875,0.44977103343204167,26.591073222575915,0.34764845799786603,0.5437044180207102,0,76,2801,0.7194244604316546,,None,None
BNB-USD,SMA,33,37,0,false,false,1,69,1.7078281121437198,60.29411764705882,3.0476184873087577,18.883658091055292,2.197960201363255,-0.31303122679566775,23 days 14:28:14.117647058,0.024277043912888253,0.7390217779364513,1.467333095323099,13.955434576395735,0,2801,2802 days 00:00:00,1000.0,238321.36969098056,23732.136969098057,34546.165553349194,100.0,11305.801888235244,71.91077007008968,1041 days 00:00:00,68,6877.36995219902,568.1595577042456,-39.382577718869605,36.24859993986062,-7.485327679352795,29 days 14:38:02.926829268,14 days 11:33:20,3388.8823490997274,1.2423024918012606,1.446425050062534,1.3487835286357628,3.420257094096955,54.806940419667974,1.326436819285589,1.016847172081829,-0.046817255342342344,,,0.0028709056757642614,0.7234682302925939,237.3213696909803,0.6360326261156093,0.7008712899491699,0,69,2801,0.7194244604316546,,None,None
TRX-USD,SMA,10,27,0,false,false,1,55,1.6915887966808605,57.407407407407405,2.551328090837751,77.71752962918767,2.8312924569479585,4.743249414922356,28 days 23:33:19.999999999,0.019278828989646554,0.5890753302392003,1.167440199928597,45.78147943168856,0,2801,2802 days 00:00:00,1000.0,732129.4168231919,73112.9416823192,12730.23969538116,100.0,25661.46940004714,75.29505050098996,1184 days 00:00:00,54,32883.8122894339,3756.9024057379293,-24.7954865485455,143.13290587341058,-10.451020960851903,40 days 20:07:44.516129032,13 days 00:00:00,12930.474158032557,1.2053183978283566,1.8079670422169238,1.4655670205881879,9.686295907925544,169.87685403691492,1.3849257730438604,1.058227848101266,-0.04731504907344831,,,0.0037076570196434774,0.9343295689501563,731.1294168231909,0.8097929266871078,0.9329201415315891,0,55,2801,0.7194244604316546,,None,None
HBAR-USD,SMA,59,60,0,false,false,0,77,1.665275056227434,55.84415584415584,2.4008177690526984,13.758613433912888,2.104335387860155,33.16058624721006,12 days 03:07:00.779220778,0.036252354048964215,1.0875706214689267,2.1751412429378534,14.963463762871363,0,2124,2125 days 00:00:00,1000.0,40479.87524409358,3947.987524409358,115.57142186726361,100.0,1597.749824175398,55.0217263684061,509 days 00:00:00,77,0.0,594.3506909649061,-34.3759389064164,30.45978711079702,-7.363459157440568,13 days 08:22:19.534883721,10 days 14:07:03.529411764,512.7256525206958,1.1252357487930151,1.6144213090246728,1.330402983552494,3.3926739039805316,40.87571148377376,1.495305874370974,0.8897196261682242,-0.05440114641722654,,,0.002773501957586575,0.6989224933118169,39.479875244093684,0.5509566395640315,0.7475352181167113,0,77,2124,0.7194244604316546,,None,None
DOGE-USD,SMA,9,21,0,false,false,1,63,1.6290697649461514,51.61290322580645,2.657926800006383,26.118256482558614,2.8419619911544824,8.210433958520623,20 days 00:46:27.096774193,0.022134951802927526,0.6747590146376294,1.3388075687254553,17.62352900822413,0,2801,2802 days 00:00:00,1000.0,1302212.4685347548,130121.24685347549,14127.591320830177,100.0,24205.954485017406,72.25259233211074,926 days 00:00:00,62,188633.0031040497,696.6684146105316,-22.24219752538826,59.81530510961054,-9.825262052963433,28 days 03:45:00,11 days 08:48:00,17944.830087592018,1.3365671314370215,2.1386838567512054,1.4684986369938273,5.585763846738055,75.62664536524166,1.5421537410436736,0.9522388059701491,-0.054319384492098215,,,0.003927940852267893,0.9898410947715091,1301.2124685347553,0.9059929056831193,0.8912937584208073,0,63,2801,0.7194244604316546,,None,None
BNB-USD,SMA,31,36,0,false,true,0,61,1.625876471519893,54.09836065573771,3.9745095102045185,22.506723073361343,2.50289677392803,0.46702581177875174,26 days 03:32:27.540983606,0.021777936451267403,0.6533380935380222,1.3066761870760444,14.704499544538116,0,2801,2802 days 00:00:00,1000.0,507801.1656474525,50680.11656474525,34546.165553349194,100.0,18997.2384368933,71.67540559672791,1023 days 00:00:00,61,0.0,554.5336737886576,-21.50094537051821,46.055278694359586,-5.246931765672308,32 days 13:49:05.454545454,18 days 13:42:51.428571428,8308.21583028611,1.3588659592374244,1.7459417133273791,1.386063759091588,3.9068072584379805,54.65710482993955,1.3399713775541031,1.0343980343980346,-0.0472833363273524,,,0.0031059106566435875,0.782689485474184,506.8011656474542,0.7512115749259742,0.6932007790585486,0,61,2801,0.7194244604316546,,None,None
PENDLE-USD,SMA,9,11,0,false,false,1,104,1.623099921241648,47.57281553398058,2.896496605899296,6.447294180719929,2.603783052310839,16.882464947271654,7 days 05:07:34.368932037,0.06714471968709257,2.0338983050847457,4.048239895697523,13.113140706549007,0,1534,1535 days 00:00:00,1000.0,48425.59384887136,4742.559384887136,265.20725184537343,100.0,2046.2614713920675,75.34315057194712,536 days 00:00:00,103,-1039.1707569353675,141.7872747947582,-36.94945129388373,22.140061751666725,-7.792439355879941,9 days 22:02:26.938775510,4 days 18:13:20,470.53169520200686,1.3214610028432208,2.011934470631255,1.3590415351574914,3.6008837388665977,34.262738333844105,1.8070772060885343,0.7520661157024795,-0.06968550626180463,,,0.004137553925945186,1.042663589338187,47.42559384887142,0.8907656880978039,0.949589750519976,0,104,1534,0.7194244604316546,,None,None
RUNE-USD,SMA,15,17,0,false,false,1,104,1.613024826813515,53.398058252427184,1.4802199799319202,15.170740309557454,2.988831877707821,25.006702391322357,10 days 19:20:23.300970873,0.04724770642201835,1.4311926605504586,2.848623853211009,21.71225218615562,0,2180,2181 days 00:00:00,1000.0,2273914.4890374136,227291.44890374137,8739.725840042742,100.0,184281.46444182776,65.0482441862278,475 days 00:00:00,103,-8196.298313027713,465.57597583241835,-25.667662354080186,36.89707550118163,-9.724018764178584,14 days 05:40:21.818181818,6 days 21:00:00,22146.706673305256,1.7347919638412832,4.067160788641156,1.4300709546267638,1.0376769992424841,8.923838411727445,1.5870299618418995,0.901098901098901,-0.07482627363034451,,,0.005064458681627449,1.276243587770117,2272.9144890374137,1.4426028343671886,0.8853853532030828,0,104,2180,0.7194244604316546,,None,None
RUNE-USD,SMA,14,18,0,false,false,1,76,1.6121024763850487,54.666666666666664,1.6703020219796452,24.78264737464652,3.093851219949314,36.64520561504723,14 days 21:45:35.999999998,0.034403669724770644,1.0458715596330275,2.0779816513761467,25.919466061556907,0,2180,2181 days 00:00:00,1000.0,3291087.762675504,329008.7762675504,8739.725840042742,100.0,133667.6717850857,71.4064736158585,738 days 00:00:00,75,380291.4408999067,478.24352099567477,-31.018304879482834,56.142200640892646,-13.03328450523851,20 days 08:11:42.439024390,8 days 08:28:14.117647058,38797.2842903413,1.7832794218680685,4.030878554279376,1.4432374255936327,1.0652059195200536,8.741719325171239,1.5331276458728222,0.9413680781758957,-0.07482627363034451,,,0.005268724909642941,1.3277186772300211,3290.087762675507,1.549207044668515,0.8960512053238092,0,76,2180,0.7194244604316546,,None,None
