Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
NFLX,SMA,82,83,0,false,false,1,109,1.7431257150148967,58.333333333333336,3.9179093575911397,11.40195571289738,1.621612761369192,-0.5275757353000751,36 days 12:26:39.999999999,0.012844855049378785,0.39431524547803615,0.7850129198966408,4.495964965860827,0,5805,5806 days 00:00:00,1000.0,483163.3745147116,48216.33745147116,102061.51769553428,100.0,16488.86779785018,75.36773980805233,945 days 00:00:00,108,-1693.9461334549705,370.03177919356654,-47.21559328434996,25.729590015323016,-8.656732310498514,48 days 21:19:59.999999999,19 days 04:48:00,4480.160376371913,1.021892563579941,0.6300008608136919,1.2191321119013065,1.161455813826886,25.425270732969864,1.2416298117219267,0.9818805093046034,-0.03409731595152783,,,0.0014060159712105547,0.3543160247450598,482.16337451471253,0.3076717476281201,0.4172839856023766,0,109,8408.035714285714,,
AMAT,SMA,64,77,0,false,false,1,101,1.7009701687982395,60.0,2.656118387222116,12.43797584757765,1.207239663215236,0.23606882803742094,66 days 14:09:36,0.006052520021952394,0.18593845884106253,0.3700359428421145,2.3126980602009466,0,11407,11408 days 00:00:00,1000.0,2237182.309867146,223618.23098671463,180910.82463568507,100.0,87142.34341894646,68.49130032877282,2308 days 00:00:00,100,-50306.2723768428,171.05661400160326,-51.36831686460076,27.320905539540135,-9.886418690366074,85 days 15:36:00,38 days 00:00:00,22864.88582243988,0.7895128612355076,0.40865627033037616,1.1660101442074988,0.51255136466429,10.14663845025892,1.1497402352185617,1.0141509433962264,-0.03377353434863778,,,0.0009259960393218298,0.2333510019091011,2236.182309867143,0.18575265225553617,0.3557104488840077,0,101,16522.04365079365,,
AMZN,SMA,51,69,0,false,false,1,61,1.54904361515959,61.66666666666667,2.3896219030500925,17.35706982913557,1.4166421506668894,-0.7717244182352696,74 days 17:11:59.999999999,0.005861703344311105,0.18126503466817603,0.3595585113909721,3.146229864316211,0,7067,7068 days 00:00:00,1000.0,496223.26621513016,49522.32662151301,216940.9721296981,100.0,19087.91345319896,85.93101055845027,2083 days 00:00:00,60,-5871.982341628929,282.99150040433227,-40.71864229001496,36.231359212573075,-13.005917439872604,96 days 23:21:04.864864864,38 days 21:54:46.956521739,8351.587475945988,0.8826628722209005,0.4397355792712069,1.2046508762891857,1.336702237918063,17.511804362858612,1.1684641499226438,1.0309694793536806,-0.03288451018778996,,,0.0012218824309614751,0.30791437260229176,495.2232662151275,0.24770159234942302,0.4198375353179124,0,61,10235.932539682539,,
ALGN,SMA,13,39,0,false,false,1,80,1.518999675453071,50.63291139240506,2.302903711767404,11.75384999301335,1.6164253472870072,37.13218866169877,44 days 03:56:57.721518986,0.0088947269656596,0.273972602739726,0.5445205479452054,3.220232874798178,0,6132,6133 days 00:00:00,1000.0,369633.7415028067,36863.37415028067,966.7258933738431,100.0,13135.249845038767,59.65973650030446,914 days 00:00:00,79,-16936.66911703453,239.01839408710424,-26.596340576065806,30.704005815239167,-7.682207260551592,66 days 22:48:00,20 days 19:04:36.923076923,4880.638109111915,0.9610624118669758,0.7069003855088072,1.2461274021121695,2.9436757545084977,57.4303055228839,1.2169863381429529,1.0239452679589511,-0.03081389747146061,,,0.0012742293643901237,0.3211057998263112,368.6337415028069,0.2749925717847288,0.402108005827336,0,80,8881.666666666666,,
TSLA,SMA,4,39,0,false,false,1,74,1.4331592467553103,42.465753424657535,5.145423963467825,12.541946858046845,1.960864185395172,-0.1773419690343309,28 days 16:06:34.520547944,0.013382899628252789,0.41263940520446096,0.8197026022304832,5.1753014916104085,0,3766,3767 days 00:00:00,1000.0,166525.36798932066,16552.536798932066,20120.798893195064,100.0,4107.747206449065,54.316175542691006,638 days 00:00:00,73,-2433.599842463882,330.5486200540209,-13.14563122233959,36.57554725687199,-5.197139150609812,51 days 16:15:29.032258064,11 days 16:34:17.142857142,2300.8077785175956,1.2366849550658028,1.1810993927606441,1.2857855690150652,0.761553027255746,11.889746053987412,1.2256047863068928,1.0491029272898962,-0.036550866342453206,,,0.0017001044114127335,0.42842631167600886,165.52536798932047,0.4080231176110374,0.4169300708347598,0,74,5454.722222222222,,
IRM,SMA,70,84,0,false,false,1,71,1.3235857483726792,55.714285714285715,2.2686183280364434,4.627935732088564,0.8547390468537928,-0.687163772010191,61 days 22:37:42.857142857,0.006537982565379826,0.20170454545454544,0.4005681818181818,0.9334756732337728,0,7392,7393 days 00:00:00,1000.0,11595.752874658334,1059.5752874658335,3386.9967499427526,100.0,524.7867115753895,44.150600175306195,1433 days 00:00:00,70,-25.16443420045107,58.59828408105033,-25.914899717730982,13.755346131744187,-6.854935415865284,72 days 06:09:13.846153847,48 days 23:13:32.903225806,151.72739012655404,0.5791066320795608,0.29130805899871537,1.1255098225677382,0.28422294361005773,19.766478563292935,1.1041854682584622,1.0193122939236932,-0.02021374713532099,,,0.0004338716283551436,0.10933565034549618,10.59575287465828,0.08712131522240707,0.22722149647465198,0,71,10706.666666666666,2.7777777777777777,
COR,SMA,8,26,0,false,false,1,155,1.2563816761828186,48.05194805194805,2.0863014165141247,3.164516654524208,1.2670765164938962,-0.466355803653836,29 days 09:58:26.493506493,0.013986225686823582,0.4281767955801105,0.8535911602209945,1.354972600694067,0,7602,7603 days 00:00:00,1000.0,54090.538750777065,5309.053875077707,9948.677248677193,100.0,4848.646297377698,49.32787045598811,1364 days 00:00:00,154,166.68297019178135,89.16367187500002,-15.953942428035035,10.51537684942902,-3.6350290257627433,45 days 07:27:34.054054054,14 days 17:06:00,343.6614011726316,0.8410107128181565,0.4280804718172456,1.1868187415989646,0.18347194460629035,30.27731058368855,1.1143908301798375,1.0649932765575976,-0.0199648829939802,,,0.0006263658748468829,0.15784420046141448,53.09053875077672,0.14141605928582512,0.22587765145628802,0,155,11010.833333333334,,
GME,SMA,53,61,0,false,false,1,74,1.254926038378244,50.68493150684932,1.1468674903383287,29.064098811657377,1.0881919785703338,0.5960042768657429,41 days 00:59:10.684931505,0.008580183861082736,0.26455566905005107,0.5255362614913176,7.6890721064548115,0,5874,5875 days 00:00:00,1000.0,14293.683441381265,1329.3683441381265,832.9353269333087,100.0,1751.7982133947216,90.20648623448734,3230 days 00:00:00,73,-3072.440741332626,2002.4212849535427,-55.61120187612679,68.65760751548677,-11.629229578389506,46 days 13:37:17.837837837,35 days 08:40:00,224.1934819549847,0.5550274499331087,0.19919403457115856,1.200740704976607,10.473022807709217,289.32472453803786,1.2570003096274542,0.9552429667519181,-0.035261527726507494,,,0.001262304486610411,0.31810073062582356,13.29368344138125,0.12085210348852371,0.6897573959900172,0,74,8507.97619047619,20.0,
VRSN,SMA,12,31,0,false,false,1,114,1.199978680829383,46.017699115044245,1.6085410025887996,5.962119182827759,1.0090151326555603,-0.2974445618821083,34 days 19:45:07.964601769,0.01132642833277648,0.3475609756097561,0.6920731707317073,2.0721999598852574,0,6888,6889 days 00:00:00,1000.0,31282.61939389137,3028.261939389137,4310.352998621273,100.0,3103.9426312666337,67.96226896879939,3404 days 00:00:00,113,-343.1283380075074,261.81842105263155,-25.42227699423568,21.010685404933895,-6.866166777000424,55 days 05:04:36.923076923,17 days 10:37:22.622950819,271.0243162114948,0.6462357133886965,0.29446155219207437,1.1609324704158606,1.2287748654549446,25.476501370278985,1.1040129657983857,1.0515569167942829,-0.026468189830105373,,,0.0007298036761804255,0.18391052639746722,30.282619393891345,0.1342225312737113,0.34250096086514986,0,114,9976.666666666666,2.4390243902439024,
USB,SMA,28,88,0,false,false,1,84,1.048400295040779,43.373493975903614,1.4827175639667933,6.953272658430594,0.6221145610120895,-0.8685795159423537,97 days 10:24:34.698795181,0.004360047902993312,0.134215932435517,0.2668340561515636,0.9332399733296481,0,13143,13144 days 00:00:00,1000.0,13200.890592563012,1220.0890592563012,9283.857596515329,100.0,1214.3427865956116,63.29560240925994,6586 days 00:00:00,83,-471.28124684495015,399.3999352869044,-25.396017699115042,24.704123905411,-6.643124041384183,161 days 06:00:00,48 days 13:16:35.744680851,152.67676914949357,0.4209497054497692,0.11735765798535071,1.0934054206377364,1.0527564524218762,37.117210260379046,1.0591549525091715,1.0323375423467818,-0.01767005505742429,,,0.0002720975561654954,0.06856858415370484,12.200890592562926,0.05071390746124971,0.19603839303039025,0,84,19036.488095238095,,
CLSK,SMA,7,25,0,false,false,1,48,0.8653469437851841,40.42553191489361,1.2520922975607958,9.392736053415689,1.1011000786781635,2.0780366706752367,18 days 10:43:24.255319147,0.015043725112885096,0.4673157162726009,0.9248956884561892,4.389373176561435,0,2157,2158 days 00:00:00,1000.0,1794.4728731650562,79.44728731650562,-73.6962753472414,100.0,85.58034376050526,91.00054249931803,1003 days 00:00:00,47,-187.68266234995463,236.86428826471578,-48.64465962240139,48.180612917438296,-16.927608961456784,31 days 21:28:25.263157895,9 days 07:42:51.428571428,20.896926287553413,0.6345336665272506,0.11423287661607992,1.199543978188633,4.241335964156204,90.00289105109752,1.5432729543947334,0.7772727272727272,-0.0681594876928936,,,0.0020504673391664127,0.516717769469936,0.7944728731650552,0.0706645622155917,0.9800424542051023,0,48,3124.2261904761904,,
