Short Window,Long Window
5,20
5,21
5,22
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,42
5,43
5,44
5,45
5,48
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,58
6,20
6,21
6,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
6,35
6,42
6,43
6,44
6,48
6,49
6,50
6,51
6,52
6,53
6,54
6,55
6,56
6,57
6,58
6,59
7,29
8,35
8,44
8,45
9,11
9,12
9,13
9,34
9,35
9,36
9,37
9,40
9,44
9,45
9,46
9,47
10,11
10,13
10,33
10,34
10,35
10,36
10,41
10,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
11,35
11,44
11,45
12,13
12,35
12,36
12,44
12,45
12,46
18,35
18,36
18,37
18,38
18,39
18,40
18,44
18,45
18,46
19,29
19,30
19,31
19,32
19,33
19,34
19,35
19,41
19,42
19,43
19,44
19,45
19,48
19,49
19,50
19,51
19,52
19,53
19,54
19,55
19,56
19,57
20,21
20,29
20,30
20,43
20,53
20,54
20,55
20,56
20,57
21,29
21,30
21,54
21,55
21,57
22,28
22,29
22,30
22,54
22,55
22,57
22,58
23,26
23,27
23,28
24,25
24,26
31,43
32,43
33,44
34,44
40,45
40,46
41,44
41,45
41,48
41,49
42,43
42,44
42,50
42,51
42,52
42,55
53,54
53,55
53,56
74,77
74,78
74,79
74,80
74,81
75,76
75,77
75,82
75,83
75,88
84,86
84,87
84,88
84,89
85,86
