Metric,Value
Start,2014-09-17 00:00:00
End,2025-07-18 00:00:00
Period,2725 days 00:00:00
Start Value,10000.0
End Value,130339.3810496702
Total Return [%],1203.3938104967021
Benchmark Return [%],14320.521735465258
Max Gross Exposure [%],90.98934271443211
Total Fees Paid,2600.99485155201
Max Drawdown [%],38.47964064195318
Max Drawdown Duration,725 days 00:00:00
Total Trades,213
Total Closed Trades,212
Total Open Trades,1
Open Trade PnL,24467.894046875
Win Rate [%],44.339622641509436
Best Trade [%],367.5074486775499
Worst Trade [%],-26.007281610349946
Avg Winning Trade [%],23.457120981388872
Avg Losing Trade [%],-4.572555854805342
Avg Winning Trade Duration,24 days 08:40:51.063829787
Avg Losing Trade Duration,5 days 13:49:49.830508474
Profit Factor,3.3273644261640576
Expectancy,452.22399529620355
Sharpe Ratio,1.2519819120089493
Calmar Ratio,1.0666769305741255
Omega Ratio,1.34207577977176
Sortino Ratio,2.0210238778522562
