Metric Type,Fast Period,Slow Period,Ticker,Strategy Type,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],39,61,XOM,SMA,0,false,false,None,1,156,1.0463337077320214,47.74193548387097,1.5604650234039772,2.0698803010393805,0.5640625012066761,-0.8404507062813851,59 days 12:41:48.387096774,0.00669002867155145,0.20480120030007504,0.4082895723930983,0.42391397013034576,0,15996,15997 days 00:00:00,1000.0,12041.379908440453,1104.1379908440454,6920.356493657253,100.0,1576.6085920719174,41.77367275306686,2740 days 00:00:00,155,141.3602629932284,48.22423954618666,-14.57814059783186,9.225719487688059,-4.467553029972993,83 days 04:12:58.378378379,37 days 22:13:20,70.32270738998214,0.39290990450933777,0.13984600489688992,1.0756103436241369,-0.08231747632256507,5.934985417024192,1.0539025278623697,1.0205975554549571,-0.016120704364308222,,,0.00020554134210014848,0.051796418209237416,11.041379908440412,0.039977259679386146,0.1586546896599453,0,156,23168.809523809523,,,,
Most Profit Factor,39,61,XOM,SMA,0,false,false,None,1,156,1.0463337077320214,47.74193548387097,1.5604650234039772,2.0698803010393805,0.5640625012066761,-0.8404507062813851,59 days 12:41:48.387096774,0.00669002867155145,0.20480120030007504,0.4082895723930983,0.42391397013034576,0,15996,15997 days 00:00:00,1000.0,12041.379908440453,1104.1379908440454,6920.356493657253,100.0,1576.6085920719174,41.77367275306686,2740 days 00:00:00,155,141.3602629932284,48.22423954618666,-14.57814059783186,9.225719487688059,-4.467553029972993,83 days 04:12:58.378378379,37 days 22:13:20,70.32270738998214,0.39290990450933777,0.13984600489688992,1.0756103436241369,-0.08231747632256507,5.934985417024192,1.0539025278623697,1.0205975554549571,-0.016120704364308222,,,0.00020554134210014848,0.051796418209237416,11.041379908440412,0.039977259679386146,0.1586546896599453,0,156,23168.809523809523,,,,
Most Sharpe Ratio,39,61,XOM,SMA,0,false,false,None,1,156,1.0463337077320214,47.74193548387097,1.5604650234039772,2.0698803010393805,0.5640625012066761,-0.8404507062813851,59 days 12:41:48.387096774,0.00669002867155145,0.20480120030007504,0.4082895723930983,0.42391397013034576,0,15996,15997 days 00:00:00,1000.0,12041.379908440453,1104.1379908440454,6920.356493657253,100.0,1576.6085920719174,41.77367275306686,2740 days 00:00:00,155,141.3602629932284,48.22423954618666,-14.57814059783186,9.225719487688059,-4.467553029972993,83 days 04:12:58.378378379,37 days 22:13:20,70.32270738998214,0.39290990450933777,0.13984600489688992,1.0756103436241369,-0.08231747632256507,5.934985417024192,1.0539025278623697,1.0205975554549571,-0.016120704364308222,,,0.00020554134210014848,0.051796418209237416,11.041379908440412,0.039977259679386146,0.1586546896599453,0,156,23168.809523809523,,,,
Most Calmar Ratio,39,61,XOM,SMA,0,false,false,None,1,156,1.0463337077320214,47.74193548387097,1.5604650234039772,2.0698803010393805,0.5640625012066761,-0.8404507062813851,59 days 12:41:48.387096774,0.00669002867155145,0.20480120030007504,0.4082895723930983,0.42391397013034576,0,15996,15997 days 00:00:00,1000.0,12041.379908440453,1104.1379908440454,6920.356493657253,100.0,1576.6085920719174,41.77367275306686,2740 days 00:00:00,155,141.3602629932284,48.22423954618666,-14.57814059783186,9.225719487688059,-4.467553029972993,83 days 04:12:58.378378379,37 days 22:13:20,70.32270738998214,0.39290990450933777,0.13984600489688992,1.0756103436241369,-0.08231747632256507,5.934985417024192,1.0539025278623697,1.0205975554549571,-0.016120704364308222,,,0.00020554134210014848,0.051796418209237416,11.041379908440412,0.039977259679386146,0.1586546896599453,0,156,23168.809523809523,,,,
Most Omega Ratio,39,61,XOM,SMA,0,false,false,None,1,156,1.0463337077320214,47.74193548387097,1.5604650234039772,2.0698803010393805,0.5640625012066761,-0.8404507062813851,59 days 12:41:48.387096774,0.00669002867155145,0.20480120030007504,0.4082895723930983,0.42391397013034576,0,15996,15997 days 00:00:00,1000.0,12041.379908440453,1104.1379908440454,6920.356493657253,100.0,1576.6085920719174,41.77367275306686,2740 days 00:00:00,155,141.3602629932284,48.22423954618666,-14.57814059783186,9.225719487688059,-4.467553029972993,83 days 04:12:58.378378379,37 days 22:13:20,70.32270738998214,0.39290990450933777,0.13984600489688992,1.0756103436241369,-0.08231747632256507,5.934985417024192,1.0539025278623697,1.0205975554549571,-0.016120704364308222,,,0.00020554134210014848,0.051796418209237416,11.041379908440412,0.039977259679386146,0.1586546896599453,0,156,23168.809523809523,,,,
Most Sortino Ratio,39,61,XOM,SMA,0,false,false,None,1,156,1.0463337077320214,47.74193548387097,1.5604650234039772,2.0698803010393805,0.5640625012066761,-0.8404507062813851,59 days 12:41:48.387096774,0.00669002867155145,0.20480120030007504,0.4082895723930983,0.42391397013034576,0,15996,15997 days 00:00:00,1000.0,12041.379908440453,1104.1379908440454,6920.356493657253,100.0,1576.6085920719174,41.77367275306686,2740 days 00:00:00,155,141.3602629932284,48.22423954618666,-14.57814059783186,9.225719487688059,-4.467553029972993,83 days 04:12:58.378378379,37 days 22:13:20,70.32270738998214,0.39290990450933777,0.13984600489688992,1.0756103436241369,-0.08231747632256507,5.934985417024192,1.0539025278623697,1.0205975554549571,-0.016120704364308222,,,0.00020554134210014848,0.051796418209237416,11.041379908440412,0.039977259679386146,0.1586546896599453,0,156,23168.809523809523,,,,
Most Expectancy,44,73,XOM,SMA,0,false,false,None,1,123,1.0401242559182975,46.72131147540984,1.3925690047201875,2.58359618368926,0.5331966504789998,-0.8598730468912368,76 days 13:58:01.967213114,0.005265699986640496,0.16147786946736686,0.3216429107276819,0.41719360730616145,0,15996,15997 days 00:00:00,1000.0,10697.284698826355,969.7284698826355,6920.356493657253,100.0,1794.4830121358873,62.41475958313946,3616 days 00:00:00,122,-459.1586030248909,58.11266968325792,-12.415745893457439,10.897027253050831,-4.706643369443197,111 days 22:18:56.842105262,45 days 14:01:50.769230769,83.24953526107583,0.37303530013851266,0.08902434501832333,1.073105431168023,-0.39518566671345456,27.85123571375196,1.0394753464305624,1.0323529411764707,-0.016192740284698623,,,0.00020179514667392358,0.05085237696182874,9.69728469882646,0.03804002298373965,0.16406180628050873,0,123,23168.809523809523,,,,
Most Win Rate [%],75,88,XOM,SMA,0,false,false,None,0,145,1.101135060864046,53.103448275862064,1.4090295473143317,1.9786244564662017,0.4827837488080496,-0.8979624853927374,64 days 23:00:24.827586206,0.006258413918548131,0.19036009002250565,0.3807201800450113,0.37665112965363745,0,15996,15997 days 00:00:00,1000.0,8061.3597680901685,706.1359768090168,6920.356493657253,100.0,1342.4352118322215,57.118768958534595,4419 days 00:00:00,145,0.0,44.62065474752583,-14.36247741912158,8.363763075946938,-5.251606039122278,85 days 13:24:09.350649351,41 days 15:10:35.294117647,48.69903288338038,0.33833138357863435,0.08538797974249505,1.0657761485814974,-0.3480016514943798,27.366992260714476,1.037115068029749,1.0276353911299307,-0.016454796003218003,,,0.0001856366511842603,0.046780436098433596,7.061359768090163,0.03342415404980503,0.16640567884637308,0,145,23168.809523809523,,,,
Least Max Drawdown [%],39,58,XOM,SMA,0,false,false,None,1,170,0.9884292666369445,47.337278106508876,1.4341405453193246,1.6259558265247542,0.48499800384665864,-0.9037359006819397,54 days 11:04:36.923076923,0.007294289325756097,0.22318079519879971,0.4450487621905477,0.3628821143219163,0,15996,15997 days 00:00:00,1000.0,7661.818848218053,666.1818848218053,6920.356493657253,100.0,1188.4731888719537,40.75230851854996,2813 days 00:00:00,169,159.86349045485895,57.119247149182605,-13.532507335691504,8.381152151064086,-4.446130757330824,75 days 06:00:00,35 days 18:36:24.269662921,38.47310862581769,0.3386286244734773,0.1166973345718331,1.0650590864663432,-0.07490819807226251,6.0117184740565115,1.0494103999777427,1.0149118843199278,-0.01619677954046475,,,0.00017744326729692808,0.044715703358825874,6.661818848217987,0.03259695286629172,0.1589214656804233,0,170,23168.809523809523,,,,
Least Total Trades,44,88,XOM,SMA,0,false,false,None,0,100,0.9522462044927734,45.0,1.4126377642699104,2.5918393483347737,0.44266141754999544,-0.9251256801250929,92 days 18:14:24,0.004316147530033194,0.1312828207051763,0.2625656414103526,0.3402639804640551,0,15996,15997 days 00:00:00,1000.0,6181.569857544833,518.1569857544833,6920.356493657253,100.0,717.8428751320014,57.94267537956635,6224 days 00:00:00,100,0.0,60.36577181208054,-13.514725043784951,12.636911158242572,-5.626855768862517,143 days 04:16:00,51 days 12:13:05.454545454,51.81569857544834,0.30959344816761347,0.07324173122191119,1.060525225925327,-0.3287840590096627,27.831352554012568,1.032517569048914,1.0271255983587873,-0.01630451394808599,,,0.0001675021096360291,0.042210531628279334,5.1815698575448375,0.029110815483731622,0.16408739583775261,0,100,23168.809523809523,,,,
