Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,-0.04868612886735112,3.5030912250193316,0.49335863377609107,527,0.2161762685002191,0.7838237314997809,-0.3484606274065255,0.25108836967182324
Monthly,February,-0.11377871559450167,4.015613580838162,0.4849699398797595,499,0.46428746506112617,0.5357125349388738,-0.46696717448859304,0.23940974329958972
Monthly,March,-0.09331649153908672,3.3871499475999505,0.4859154929577465,568,0.41477396185659177,0.5852260381434082,-0.37246568867225105,0.1858327055940776
Monthly,April,0.06585201251968688,5.465594022624549,0.48417132216014896,537,0.2803178045224368,0.7196821954775632,-0.3974669626379177,0.5291709876772914
Monthly,May,0.04408026077932158,3.896263344348372,0.48731884057971014,552,0.1989367479686419,0.8010632520313581,-0.28166782231707677,0.36982834387571994
Monthly,June,0.06999077592235921,3.575500401024962,0.4664246823956443,551,0.3124532993973318,0.6875467006026682,-0.2292121765819028,0.3691937284266212
Monthly,July,-0.2612752842755956,4.045213431075938,0.5140712945590994,533,0.8571245063377627,0.14287549366223729,-0.6054786288744142,0.08292806032322297
Monthly,August,-0.1698721180186395,3.169020509766471,0.4856115107913669,556,0.6764729552796063,0.32352704472039373,-0.43385992535441675,0.09411568931713776
Monthly,September,-0.19752558058992598,2.7642073915084584,0.47326732673267324,505,0.7299766687214115,0.2700233312785885,-0.43919249768257485,0.04414133650272292
Monthly,October,0.2738529487846928,4.625175222202797,0.5126811594202898,552,0.8767404483570784,0.12325955164292161,-0.11283599635628222,0.6605418939256678
Monthly,November,0.4145962802262479,4.26770235722733,0.5215759849906192,533,0.9793479241407548,0.020652075859245184,0.05146156554712683,0.777730994905369
Monthly,December,-0.0027612774627012123,3.8986462469443794,0.4936014625228519,547,0.0,0.9874600706423795,-0.33020150004482285,0.3246789451194204
Weekly,Monday,-0.12624203795830213,3.689792944757411,0.466996699669967,1212,0.6977212299199606,0.30227877008003945,-0.33417965058736665,0.08169557467076236
Weekly,Tuesday,0.05874755541182535,3.721478628194329,0.49698340874811464,1326,0.3816441804152293,0.6183558195847707,-0.14174061555946896,0.25923572638311965
Weekly,Wednesday,0.020846995155461394,3.9856499782217494,0.49924585218702866,1326,0.13877430483758546,0.8612256951624145,-0.19387294659338353,0.23556693690430633
Weekly,Thursday,0.12713650480438782,4.745601103809132,0.5103766333589547,1301,0.6932137870155002,0.3067862129844999,-0.13097371743046027,0.3852467270392359
Weekly,Friday,-0.0910746075654583,3.4517359804074172,0.48416988416988416,1295,0.5603651786334067,0.43963482136659326,-0.27924755375044463,0.09709833861952805
Quarterly,Q1,-0.08496671028165094,3.6323600393171973,0.4880803011292346,1594,0.565362644821864,0.43463735517813595,-0.2634193270472386,0.09348590648393669
Quarterly,Q2,0.05991448305273007,4.380235399331337,0.4792682926829268,1640,0.4082560044112289,0.5917439955887711,-0.15223620703743873,0.27206517314289885
Quarterly,Q3,-0.20919638791415845,3.3759254973447277,0.49121706398996234,1594,0.948397673763323,0.05160232623667702,-0.3750507449949285,-0.04334203083338836
Quarterly,Q4,0.22710553083188909,4.27881955588318,0.5091911764705882,1632,0.9586452048268342,0.04135479517316576,0.01935870772843401,0.43485235393534416
DayOfMonth,Beginning,-0.011325199987710819,4.199173547604074,0.48292349726775957,1464,0.07798585412690784,0.9220141458730922,-0.22660377963575515,0.20395337966033353
DayOfMonth,Middle,0.006899174223823544,3.6262863388256115,0.5042056074766356,2140,0.05696091433382744,0.9430390856661726,-0.14682745811302222,0.16062580656066933
DayOfMonth,End,-0.019076309908392357,4.01280138729393,0.4903560830860534,1348,0.12779943250051995,0.87220056749948,-0.23348442572819406,0.19533180591140936
