Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,-0.07689677468377563,2.383912416791906,0.4706814580031696,631,0.5514271719755863,0.4485728280244137,-0.2632594147549704,0.1094658653874191
Monthly,February,0.012658806617728106,2.5179477212328196,0.5058430717863105,599,0.09654402625533498,0.903455973744665,-0.18939231683690524,0.21470993007236147
Monthly,March,-0.03169971002412582,2.7323759877375413,0.47714285714285715,700,0.25398679173142513,0.7460132082685749,-0.2344643261696333,0.17106490612138164
Monthly,April,0.07513040836985739,2.600398694955679,0.5106060606060606,660,0.5472432193162076,0.45275678068379244,-0.12362292705404095,0.27388374379375574
Monthly,May,0.12368061453125723,2.2732292293004788,0.5014749262536873,678,0.7939113541895502,0.20608864581044978,-0.047736268376632834,0.29509749743914726
Monthly,June,-0.15397985049326923,2.206428738842835,0.4573529411764706,680,0.885756222142394,0.11424377785760602,-0.3201137913580405,0.012154090371502085
Monthly,July,0.0540198089344293,2.182009157012698,0.4745508982035928,668,0.41762350566230866,0.5823764943376913,-0.1117499124657746,0.21978953033463322
Monthly,August,-0.10858206605268066,2.2734583963210637,0.47238372093023256,688,0.7362781189659973,0.26372188103400274,-0.278761345110041,0.06159721300467973
Monthly,September,-0.05014354094605559,2.539170191992276,0.48966613672496023,629,0.3766666410748065,0.6233333589251935,-0.24896002472088738,0.14867294282877622
Monthly,October,0.036689032620478096,2.597803018252813,0.5043859649122807,684,0.29064554624721683,0.7093544537527832,-0.15833877664893523,0.23171684188989142
Monthly,November,0.1511214913309003,2.6553378686098648,0.5299684542586751,634,0.8611360713484673,0.1388639286515328,-0.05596627156149411,0.35820925422329475
Monthly,December,-0.025042876948893057,2.4518670342450086,0.47320061255742724,653,0.19759326264489863,0.8024067373551014,-0.21344914922960953,0.1633633953318234
Weekly,Monday,0.008208590481953089,2.446765970837273,0.5057239057239057,1485,0.09404915326461283,0.9059508467353872,-0.11633794472861682,0.13275512569252299
Weekly,Tuesday,0.0049255673494555,2.4041435696134132,0.48951911220715166,1622,0.058812630681084443,0.9411873693189156,-0.1121611041529411,0.1220122388518521
Weekly,Wednesday,-0.03399042199352267,2.5305616026497835,0.46576187538556446,1621,0.38612108710009374,0.6138789128999063,-0.1572719739431602,0.08929112995611488
Weekly,Thursday,-0.052417324558078925,2.6199039004241076,0.47738693467336685,1592,0.5571969222428071,0.44280307775719285,-0.18121037657741504,0.07637572746125718
Weekly,Friday,0.07472716391505352,2.2703285387096916,0.5063131313131313,1584,0.7364252886187744,0.26357471138122557,-0.037162867502180424,0.18661719533228746
Quarterly,Q1,-0.032709345429187235,2.556336661208957,0.48393782383419687,1930,0.39686936220805524,0.6031306377919448,-0.1468289002153021,0.08141020935692761
Quarterly,Q2,0.014239458791315747,2.367065771904982,0.489593657086224,2018,0.1849986969094476,0.8150013030905524,-0.08909817746623581,0.1175770950488673
Quarterly,Q3,-0.035344844499301996,2.3326649123430863,0.47858942065491183,1985,0.43706465348839574,0.5629353465116043,-0.13802469254355576,0.06733500354495175
Quarterly,Q4,0.05304582707690037,2.570381230411609,0.502283105022831,1971,0.6042114676216968,0.39578853237830325,-0.060499490439433666,0.1665911445932344
DayOfMonth,Beginning,0.0014596784851777182,2.5077383986944803,0.4966367713004484,1784,0.0,0.9819946057912347,-0.11498718825753888,0.11790654522789433
DayOfMonth,Middle,-0.08568103285817014,2.437745963728581,0.47560975609756095,2624,0.8788771706817434,0.12112282931825659,-0.17899680811254778,0.007634742396207511
DayOfMonth,End,0.17149197323325405,2.466476141297915,0.5209471766848816,1647,0.989932065914659,0.010067934085341,0.052286093685449245,0.29069785278105886
