Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,-0.11622438387148726,1.9082481928713397,0.4831288343558282,652,0.8674196343639226,0.13258036563607742,-0.26297074322270514,0.030521975479730623
Monthly,February,-0.021452310549491496,1.8912762440239304,0.511400651465798,614,0.2129738766698388,0.7870261233301612,-0.1713438785688821,0.12843925746989915
Monthly,March,0.06072174319883036,2.176965564827207,0.51,700,0.5776146389792676,0.42238536102073243,-0.10082688301335999,0.2222703694110207
Monthly,April,0.10365372681542398,1.9151620477879507,0.5121212121212121,660,0.8225207392420278,0.17747926075797213,-0.042725690161481644,0.2500331437923296
Monthly,May,0.020353516258139498,1.6559194926752903,0.48525073746312686,678,0.2134758054392002,0.7865241945607998,-0.10451403080756509,0.1452210633238441
Monthly,June,-0.13144897616392376,1.4836719472478839,0.46208869814020026,699,0.9257489056816833,0.07425109431831664,-0.24162855459426574,-0.021269397733581788
Monthly,July,0.01115317817078243,1.7300333214977117,0.48480463096960924,691,0.1186980138250644,0.8813019861749356,-0.11806570983555698,0.14037206617712183
Monthly,August,-0.07201014814229381,1.662058385983538,0.47183098591549294,710,0.6723659027791588,0.32763409722084125,-0.19447380032396128,0.05045350403937364
Monthly,September,0.06791318092569312,1.8247348820198592,0.5061538461538462,650,0.6213901543910394,0.3786098456089606,-0.07262743817900127,0.20845380003038752
Monthly,October,-0.014082390842398452,2.393589639934885,0.502127659574468,705,0.14652544320442662,0.8534745567955734,-0.1910731197481841,0.1629083380633872
Monthly,November,0.04563572796829435,2.1769192089056104,0.5114503816793893,655,0.44158359589483265,0.5584164041051674,-0.12138648156593262,0.21265793750252132
Monthly,December,0.052488833374483033,1.731141948983075,0.47703703703703704,675,0.5129658597870584,0.48703414021294156,-0.07834180627666645,0.18331947302563253
Weekly,Monday,0.011097306731552672,1.907638046455716,0.49407894736842106,1520,0.16558980415268632,0.8344101958473137,-0.08487997792554604,0.10707459138865137
Weekly,Tuesday,0.0003739301296854408,1.753143896407889,0.48344370860927155,1661,0.0,0.9940883347587117,-0.08399792724451187,0.08474578750388274
Weekly,Wednesday,-0.08902698125475543,1.969302181097934,0.4713682941531043,1659,0.9162914006382662,0.08370859936173379,-0.18385887278790103,0.0058049102783901685
Weekly,Thursday,0.022065484264911266,2.084972472284533,0.5055282555282555,1628,0.32616429785884593,0.6738357021411541,-0.07928933753772094,0.12342030606754348
Weekly,Friday,0.05816418836582118,1.745790053554519,0.5101789019123998,1621,0.7462314909722191,0.2537685090277809,-0.026885591475569924,0.14321396820721227
Quarterly,Q1,-0.023624006471218834,2.0043735900485884,0.5015259409969481,1966,0.37563001482170366,0.6243699851782963,-0.11227887587743204,0.06503086293499438
Quarterly,Q2,-0.0047480071759373145,1.692920596948983,0.48600883652430044,2037,0.0821062368728166,0.9178937631271834,-0.07830897248226942,0.06881295813039479
Quarterly,Q3,0.0003526126458715802,1.7387301271445166,0.4870794734275963,2051,0.0,0.993902196957798,-0.07494027093492106,0.07564549622666422
Quarterly,Q4,0.027220284424136577,2.1225242946632683,0.4968058968058968,2035,0.42753416537821864,0.5724658346217814,-0.06505323011073216,0.1194937989590053
DayOfMonth,Beginning,0.02677727221438201,1.809651830619569,0.49780701754385964,1824,0.41704727977000866,0.5829527202299913,-0.05632619410240441,0.10988073853116842
DayOfMonth,Middle,0.018373813222435403,1.9779913447915136,0.4959046909903202,2686,0.33297846102430717,0.6670215389756928,-0.05646300091291678,0.0932106273577876
DayOfMonth,End,0.0020225669864079505,1.7776850972936404,0.4919786096256685,1683,0.0,0.9679213560945064,-0.082968541005161,0.0870136749779769
