Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,-0.02177361105053266,1.8989273291906281,0.47572815533980584,927,0.2798408860497773,0.7201591139502227,-0.14417450479700877,0.10062728269594347
Monthly,February,-0.015331591953071782,1.531100290611366,0.47740440324449596,863,0.1955577241596098,0.8044422758403902,-0.11762709774286494,0.08696391383672138
Monthly,March,-0.008303788012840983,1.9901952094557553,0.46934673366834173,995,0.11171663906378582,0.8882833609362142,-0.13211539655984814,0.11550782053416618
Monthly,April,0.07992601588130177,1.8692820689561254,0.47634069400630913,951,0.8172208081699479,0.18277919183005203,-0.039029979102496976,0.19888201086510052
Monthly,May,-0.022707015893617163,1.5340932984986573,0.4773662551440329,972,0.30185782412191386,0.6981421758780861,-0.11926949592886778,0.07385546414163345
Monthly,June,-0.0651368361258716,1.6175532432226525,0.4806122448979592,980,0.7343033833333725,0.2656966166666274,-0.16653518632892578,0.0362615140771826
Monthly,July,0.03921714609545191,1.6350402108964113,0.484472049689441,966,0.4940595378666879,0.5059404621333121,-0.06401929287637423,0.14245358506727807
Monthly,August,-0.045284013297888434,1.6459573138186814,0.4779116465863454,996,0.5638621871960352,0.4361378128039648,-0.14762876966990743,0.05706074307413056
Monthly,September,-0.09815217349314817,1.7328141154864807,0.4557377049180328,915,0.8940565464284,0.10594345357159993,-0.2105777190079597,0.014273372021663372
Monthly,October,-0.02158260086524192,2.276800079607919,0.4768611670020121,994,0.28077226240058906,0.7192277375994109,-0.1632955280161393,0.12013032628565548
Monthly,November,0.12049620515080701,1.7428271098104,0.4891067538126362,918,0.9530638632443037,0.04693613675569631,0.007606417580602501,0.23338599272101151
Monthly,December,0.06250177698768034,1.551918844663099,0.48580441640378547,951,0.7089666564338699,0.29103334356613003,-0.03625809096745351,0.1612616449428142
Weekly,Monday,-0.06312106118403131,1.7678572061816198,0.4652777777777778,2160,0.8715943331785754,0.12840566682142457,-0.1377164420861498,0.011474319718087198
Weekly,Tuesday,-0.0027629263698242903,1.7504023042855725,0.4854948805460751,2344,0.054996504185158335,0.9450034958148417,-0.07366053240803308,0.06813467966838449
Weekly,Wednesday,-0.022425076628602065,1.7996395613054255,0.4666951323654996,2342,0.42250103928001015,0.5774989607199899,-0.09534811848504636,0.05049796522784224
Weekly,Thursday,0.02851012710305909,1.8022870790330663,0.489343192692475,2299,0.5177025498332118,0.48229745016678816,-0.045200715746596926,0.1022209699527151
Weekly,Friday,0.05685174718468194,1.723091238671073,0.47875602277704776,2283,0.8406945321838298,0.1593054678161702,-0.013866879240610773,0.12757037360997464
Quarterly,Q1,-0.01496501629160556,1.8280632708598648,0.473967684021544,2785,0.30904194444313093,0.6909580555568691,-0.08288781410143864,0.052957781518227526
Quarterly,Q2,-0.0034087763516472934,1.6791762477820642,0.4781260764726145,2903,0.07459449089635317,0.9254055091036468,-0.06451733318824812,0.05769978048495354
Quarterly,Q3,-0.033725531061077826,1.6714174771317682,0.473062217587765,2877,0.6443605486532218,0.3556394513467782,-0.0948261921403736,0.027375130018217946
Quarterly,Q4,0.0519041568227993,1.8913302161654943,0.4837582954942368,2863,0.8335609833039319,0.1664390166960681,-0.017404659581865732,0.12121297322746433
DayOfMonth,Beginning,0.018278879071462115,1.7220487604729247,0.47824397824397824,2574,0.36574462614952696,0.634255373850473,-0.04827810082529857,0.0848358589682228
DayOfMonth,Middle,0.007092453190319099,1.809732290716761,0.48382004735595896,3801,0.16853923829902717,0.8314607617009728,-0.050458410172510695,0.0646433165531489
DayOfMonth,End,0.021242673814472812,1.7327597294378536,0.4810606060606061,2376,0.40684805141332836,0.5931519485866716,-0.04846564386712092,0.09095099149606654
