Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,-0.04984254254731151,3.1181808263604593,0.41037735849056606,424,0.14575723328037382,0.8542427667196262,-0.3474959511789301,0.24781086608430708
Monthly,February,-0.3856646607397799,3.04284223123118,0.37320574162679426,418,0.8421424747383418,0.15785752526165817,-0.6782157478447588,-0.09311357363480105
Monthly,March,-0.08157688907435184,3.560264467813022,0.36099585062240663,482,0.25004847062436864,0.7499515293756314,-0.4002174059725505,0.23706362782384682
Monthly,April,-0.13687179618650433,3.4687637560277382,0.3956043956043956,455,0.3972866371867999,0.6027133628132001,-0.45644947411424364,0.182705881741235
Monthly,May,0.6840338960838325,14.612888043054328,0.37849462365591396,465,0.9651331523381422,0.03486684766185777,-0.6476218765377978,2.0156896687054626
Monthly,June,-0.0237823601964659,2.8500716967807307,0.38329764453961457,467,0.07336863922134362,0.9266313607786564,-0.2829464747062866,0.23538175431335479
Monthly,July,0.020608116967209173,3.519543432792053,0.3758241758241758,455,0.06243695157556961,0.9375630484244304,-0.303647899506377,0.3448641334407953
Monthly,August,0.07683181566084105,3.4893822558823997,0.41541755888650966,467,0.23263685060025974,0.7673631493997403,-0.24046639952213525,0.39413003084381737
Monthly,September,-0.12647636280229071,3.20699022981239,0.40093240093240096,429,0.36056988036629023,0.6394301196337098,-0.4308078759756314,0.17785515037105
Monthly,October,-0.04131908570758636,5.696543487882792,0.40997830802603036,461,0.12232822806245336,0.8776717719375466,-0.5626977151298197,0.480059543714647
Monthly,November,0.0409391687730345,3.9456043756613197,0.43155452436194897,431,0.12000604004017845,0.8799939599598215,-0.3326094269553085,0.4144877645013775
Monthly,December,-0.028568054662303347,2.950312831795216,0.4095022624434389,442,0.08568303739359018,0.9143169626064098,-0.30437078815461927,0.2472346788300126
Weekly,Monday,0.40146327498977896,9.836849087506364,0.4251734390485629,1009,0.9327527061824553,0.06724729381754466,-0.20622422340433055,1.0091507733838885
Weekly,Tuesday,-0.08641787543813513,3.5934714964394465,0.4052346570397112,1108,0.38292351682817627,0.6170764831718237,-0.2982381429474682,0.1254023920711979
Weekly,Wednesday,0.04660432172485046,4.503585250527341,0.3953068592057762,1108,0.20797617178562788,0.7920238282143721,-0.21886338365781371,0.31207202710751464
Weekly,Thursday,-0.18499860787522393,3.9981472654475483,0.371900826446281,1089,0.7072097574417451,0.292790242558255,-0.4227244179335875,0.05272720218313964
Weekly,Friday,-0.14741177724052545,3.3529029821457743,0.3798521256931608,1082,0.6035184602757063,0.3964815397242937,-0.3474172953086182,0.052593740827567265
Quarterly,Q1,-0.16741776945855416,3.2670301403217126,0.3806646525679758,1324,0.7105637136899051,0.2894362863100949,-0.3435564486788084,0.00872090976170009
Quarterly,Q2,0.17641869661310247,8.85457980026063,0.3857245854361932,1387,0.6442905226872873,0.35570947731271274,-0.28997990221035175,0.6428172954365567
Quarterly,Q3,-0.0066626265791930005,3.4137559302172744,0.39748334566987414,1351,0.0,0.9661822449932423,-0.18886013204788984,0.17553487888950384
Quarterly,Q4,-0.01051753892860386,4.373706083654112,0.41679160419790107,1334,0.05164226931126836,0.9483577306887316,-0.245434451042158,0.2243993731849503
DayOfMonth,Beginning,0.2628606464395631,9.402739181836811,0.40345110928512734,1217,0.8035358597061559,0.19646414029384401,-0.26593720413463695,0.7916584970137631
DayOfMonth,Middle,-0.07401604726759742,3.4754033357300136,0.39241917502787066,1794,0.40667953179539684,0.5933204682046032,-0.23494543218705813,0.08691333765186329
DayOfMonth,End,-0.08001155411671715,4.078818918104764,0.39269813000890474,1123,0.3548052159947792,0.6451947840052208,-0.31882643234266184,0.15880332410922757
