Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,0.031418526729762676,2.172459532949468,0.49083063646170444,927,0.3291797218708259,0.6708202781291741,-0.10861368217757089,0.17145073563709623
Monthly,February,-0.07660144564830583,2.1661783917491473,0.4623406720741599,863,0.6839662800125283,0.3160337199874716,-0.22132763737701294,0.0681247460804013
Monthly,March,0.1265671936058401,2.383098287659103,0.4984924623115578,995,0.9206599568665922,0.07934004313340777,-0.021687224311977477,0.2748216115236577
Monthly,April,-0.0644000671915886,2.3610761888360203,0.45531019978969506,951,0.6186473727036288,0.3813526272963712,-0.21465249401360853,0.08585235963043135
Monthly,May,0.08301602523202187,2.0751371316373324,0.4876543209876543,972,0.7506033959919389,0.24939660400806107,-0.04760209821603681,0.21363414868008054
Monthly,June,-0.07872966315520563,1.8906348727118851,0.4704081632653061,980,0.7301375740865756,0.26986242591342435,-0.1972464771967688,0.039787150886357536
Monthly,July,0.03130293324675291,2.216777963111845,0.46384297520661155,968,0.33375124515163823,0.6662487548483618,-0.10851939511698949,0.1711252616104953
Monthly,August,-0.07134888270527832,2.013832128950973,0.44377510040160645,996,0.6843155610680628,0.3156844389319372,-0.19656790076927666,0.053870135358720025
Monthly,September,-0.1826522196303007,2.1095957151537563,0.44699453551912566,915,0.9861444735979995,0.013855526402000487,-0.31952347833728834,-0.045780960923313074
Monthly,October,-0.03704313775300368,2.410937819900587,0.4678068410462777,994,0.3918589085953601,0.6081410914046399,-0.1871050859657566,0.11301881045974925
Monthly,November,0.09681398788550093,2.0272616133728807,0.5076252723311547,918,0.8098367160863994,0.19016328391360057,-0.034499744609623975,0.22812772038062584
Monthly,December,0.1310098209725398,2.031938188719656,0.48580441640378547,951,0.9284467934908445,0.07155320650915548,0.0017028356871650607,0.26031680625791453
Weekly,Monday,-0.09192105461880139,2.15327364449317,0.462037037037037,2160,0.9299884985730696,0.07001150142693037,-0.1827792229911169,-0.0010628862464858724
Weekly,Tuesday,-0.017392096202021545,2.3225194996712264,0.4660980810234542,2345,0.2736830351101238,0.7263169648898762,-0.11144243142306966,0.07665823901902656
Weekly,Wednesday,0.026339936555638283,2.0963714243138587,0.4805804524114383,2343,0.4105004558077592,0.5894995441922408,-0.05858880342930002,0.11126867654057658
Weekly,Thursday,0.056142305493633825,2.252268989124056,0.4867333623314485,2299,0.7403354080177906,0.2596645919822093,-0.03597212369128019,0.14825673467854783
Weekly,Friday,0.021265138804479534,1.969989003221088,0.47087166009636444,2283,0.33637834171499936,0.6636216582850006,-0.05958659629468615,0.10211687390364521
Quarterly,Q1,0.03193977893063302,2.2496255016380173,0.48473967684021546,2785,0.5116886082099669,0.48831139179003313,-0.05164641884015342,0.11552597670141945
Quarterly,Q2,-0.019878731403987954,2.116624027219056,0.47123665173957974,2903,0.3429158100595703,0.6570841899404297,-0.0969068812720403,0.05714941846406439
Quarterly,Q3,-0.07220876302651114,2.115934273311918,0.45154567558179926,2879,0.8920024071822412,0.10799759281775882,-0.14953237178488726,0.005114845731864992
Quarterly,Q4,0.061699162311313144,2.1708695455202776,0.48655256723716384,2863,0.8272291610229817,0.17277083897701825,-0.017853523667547153,0.14125184829017345
DayOfMonth,Beginning,0.043320594205592394,2.1846229026734507,0.4875679875679876,2574,0.6403095440417812,0.3596904559582188,-0.04111482130221718,0.12775600971340195
DayOfMonth,Middle,-0.0033675225373455742,2.1477899621526744,0.47092870297290185,3801,0.06636130110636951,0.9336386988936305,-0.07166887698516294,0.0649338319104718
DayOfMonth,End,0.04476184073221266,2.1103617976537503,0.4831649831649832,2376,0.6431045664996656,0.35689543350033437,-0.04013727604358672,0.12966095750801204
