Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,0.01680701411955094,1.3816168969124074,0.4588607594936709,948,0.27401792562066585,0.7259820743793342,-0.07125466753542531,0.10486869577452718
Monthly,February,-0.05502989192637951,1.252172280152484,0.45413363533408835,883,0.7360048521241374,0.26399514787586265,-0.1377342128697519,0.027674429016992866
Monthly,March,-0.013333016166873444,1.6125525171461734,0.4870775347912525,1006,0.22198403504219477,0.7780159649578052,-0.11309987807041602,0.08643384573666912
Monthly,April,0.07269092751153373,1.3462630207036719,0.47423764458464773,951,0.871680607304842,0.12831939269515807,-0.01298156664935611,0.15836342167242357
Monthly,May,0.038390510819303364,1.2748918207494635,0.492798353909465,972,0.5845630872041191,0.4154369127958809,-0.04185670498478296,0.11863772662338969
Monthly,June,-0.05628376792966905,1.2711222589674875,0.4377551020408163,980,0.7693646112881602,0.2306353887118397,-0.1359656581584541,0.023398122299116003
Monthly,July,-0.020326523969845453,1.384430949784572,0.4523809523809524,966,0.330995262900907,0.669004737099093,-0.10773949418651327,0.06708644624682236
Monthly,August,0.02249333347782118,1.3036656836465557,0.47289156626506024,996,0.3701268548926524,0.6298731451073476,-0.05856791012990112,0.10355457708554347
Monthly,September,-0.10269674518074894,1.4464994122397146,0.4644808743169399,915,0.9642134453334783,0.035786554666521725,-0.19654609927736436,-0.008847391084133516
Monthly,October,0.020185232152594948,1.8551916886501811,0.4798792756539235,994,0.3238841503310662,0.6761158496689338,-0.09528588319887124,0.13565634750406114
Monthly,November,0.04507068673585155,1.4455950975683585,0.49455337690631807,918,0.6439129892014069,0.35608701079859306,-0.04856621078450812,0.1387075842562112
Monthly,December,0.02581006951517639,1.3336352081955578,0.47634069400630913,951,0.411038614527933,0.588961385472067,-0.05905882521771999,0.11067896424807278
Weekly,Monday,-0.004623074835367288,1.5482330426425381,0.4663594470046083,2170,0.10887031827701354,0.8911296817229865,-0.06980046557920054,0.06055431590846596
Weekly,Tuesday,-0.01282922771821549,1.367863789728171,0.46219201359388273,2354,0.31178414515884767,0.6882158548411523,-0.06811471833055427,0.042456262894123284
Weekly,Wednesday,-0.012233366418127173,1.4561824247866018,0.47406462585034015,2352,0.294943738543086,0.705056261456914,-0.07111351004611471,0.046646777209860366
Weekly,Thursday,-0.03172655855002777,1.374694269465645,0.46060606060606063,2310,0.674745995347744,0.32525400465225596,-0.08781533106286904,0.024362213962813496
Weekly,Friday,0.062028466655372975,1.3598448353370858,0.489537925021796,2294,0.945242872408235,0.054757127591764994,0.006352208217576233,0.11770472509316972
Quarterly,Q1,-0.016239464028739343,1.43135629277463,0.46739513570673247,2837,0.4135124112640316,0.5864875887359684,-0.06893229884267973,0.03645337078520104
Quarterly,Q2,0.01766674337194481,1.29860514185308,0.4681364106097141,2903,0.4569889817986652,0.5430110182013348,-0.029592075482864532,0.06492556222675415
Quarterly,Q3,-0.031699542527405665,1.3784176280115064,0.4633298574904414,2877,0.7179091020245502,0.28209089797544984,-0.08208924436263308,0.018690159307821752
Quarterly,Q4,0.030032967967909132,1.5671292889627855,0.48340901152637095,2863,0.677804020578608,0.322195979421392,-0.027395330508336913,0.08746126644415518
DayOfMonth,Beginning,-0.12580459719701037,1.4701433657022014,0.4480092771550058,2587,0.999946108732507,5.389126749296387e-05,-0.1824823836355106,-0.06912681075851015
DayOfMonth,Middle,0.045435130871605646,1.4311593412805745,0.47944488085886355,3819,0.9122678871100945,0.08773211288990547,3.062533102310416e-05,0.09083963641218819
DayOfMonth,End,0.09181353125150978,1.3651379265264683,0.5029337803855826,2386,0.9961304537791658,0.003869546220834195,0.03700983404517294,0.1466172284578466
