Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,-0.04257797218819245,2.8315613242668904,0.4706959706959707,546,0.24088679893321552,0.7591132010667845,-0.2806143212135933,0.19545837683720843
Monthly,February,0.06960739387627482,2.733209861637172,0.49242424242424243,528,0.3790136947873759,0.6209863052126241,-0.16406244708546994,0.3032772348380196
Monthly,March,0.10369644317647653,2.832078061051325,0.49755301794453505,613,0.5695265056931862,0.4304734943068138,-0.12094134129046158,0.32833422764341463
Monthly,April,0.04317713426724753,2.7190290218811737,0.5060449050086355,579,0.25136094324886016,0.7486390567511398,-0.17876155132900914,0.2651158198635042
Monthly,May,0.11631279425376743,2.937852367884445,0.47466216216216217,592,0.6145368432337217,0.3854631567662783,-0.1208286816257398,0.3534542701332747
Monthly,June,0.016821452733615048,2.8695407888217366,0.4890756302521008,595,0.10028041830593759,0.8997195816940624,-0.2142188911890731,0.2478617966563032
Monthly,July,-0.3341075916189295,3.9088734164749646,0.464041095890411,584,0.9842077710316055,0.015792228968394464,-0.6517919381872321,-0.016423245050626922
Monthly,August,0.04330547446729406,3.753596714304769,0.5025041736227045,599,0.24943993975771517,0.7505600602422848,-0.25789952146072614,0.34451047039531424
Monthly,September,-0.21719923201004412,3.257797927608507,0.48080438756855576,547,0.8789556263422312,0.1210443736577688,-0.4908157673342666,0.05641730331417835
Monthly,October,0.11880218844318262,3.6343105184897784,0.5142857142857142,595,0.6170582890027986,0.3829417109972014,-0.17381339499255583,0.4114177718789211
Monthly,November,0.06364809011435649,3.233101610410411,0.5099457504520796,553,0.3522761859046102,0.6477238140953898,-0.2064106027193893,0.3337067829481023
Monthly,December,0.002048485268083072,2.575144663636216,0.48857644991212656,569,0.0,0.9879334080835798,-0.20999258639606277,0.21408955693222892
Weekly,Monday,-0.11406309617745859,3.0367772001225175,0.4864864864864865,1295,0.7713853575952252,0.2286146424047748,-0.2796143770106466,0.05148818465572945
Weekly,Tuesday,-0.06178556203378736,3.4710603224582917,0.4731638418079096,1416,0.49150259384055994,0.5084974061594401,-0.24273209511363292,0.11916097104605822
Weekly,Wednesday,0.01327697354853027,3.2794116426371795,0.4943502824858757,1416,0.11420899117666039,0.8857910088233396,-0.1576789051025845,0.18423285219964505
Weekly,Thursday,0.18575759857883484,3.1123220545240575,0.505391804457225,1391,0.9558597726916744,0.04414022730832553,0.022058086787314496,0.3494571103703552
Weekly,Friday,-0.030382741518253587,2.7503678030336465,0.4956584659913169,1382,0.26193690069615916,0.7380630993038408,-0.17551556335354337,0.1147500803170362
Quarterly,Q1,0.04568527019508009,2.8020403967709946,0.4872554831061055,1687,0.41491873078756525,0.5850812692124348,-0.08812111128360994,0.17949165167377013
Quarterly,Q2,0.05881398602234859,2.844864756844037,0.4898074745186863,1766,0.5251219592801248,0.47487804071987516,-0.07395978388230018,0.19158775592699734
Quarterly,Q3,-0.16646637815551435,3.6629953040872367,0.48265895953757226,1730,0.9427593503272405,0.05724064967275954,-0.33919548468220906,0.006262728371180359
Quarterly,Q4,0.062347282512796774,3.184903743117658,0.5043680838672102,1717,0.5365397530085371,0.46346024699146293,-0.08840562072702454,0.2131001857526181
DayOfMonth,Beginning,-0.03151447307858084,3.7053075004951648,0.4980744544287548,1558,0.2699817706870655,0.7300182293129345,-0.21564523662805535,0.15261629047089365
DayOfMonth,Middle,-0.03332042171183887,2.953189222798159,0.4879965080750764,2291,0.34439387028477897,0.655606129715221,-0.15431235700941093,0.08767151358573319
DayOfMonth,End,0.0633199458828478,2.879159486142201,0.4909596662030598,1438,0.5188137698432304,0.48118623015676965,-0.08561627144387644,0.21225616320957202
