Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,-0.04379694031935864,2.7419407652251007,0.4754601226993865,652,0.2796090701314229,0.7203909298685771,-0.2546551642949466,0.16706128365622935
Monthly,February,-0.17896163028237733,2.784154968191157,0.47068403908794787,614,0.8445458842672147,0.1554541157327854,-0.39961757893599387,0.041694318371239214
Monthly,March,-0.07901118197037968,3.902016075054547,0.49,700,0.4817192575923256,0.5182807424076744,-0.3685726461329878,0.2105502821922284
Monthly,April,0.05482516140944799,3.376887725177797,0.47129909365558914,662,0.3430468728518776,0.6569531271481224,-0.20288507119614724,0.3125353940150432
Monthly,May,0.02313837617148842,2.7293813709774377,0.47277936962750716,698,0.1548357442716789,0.8451642557283211,-0.1796949922208553,0.22597174456383215
Monthly,June,-0.1695318395183027,2.8745869641051747,0.46296296296296297,702,0.847138343043917,0.15286165695608303,-0.38254452927995397,0.04348085024334855
Monthly,July,0.10794876021493144,2.9286651478844754,0.45573294629898403,689,0.632506350750986,0.36749364924901395,-0.1111161820684298,0.32701370249829265
Monthly,August,-0.008363189121921178,2.672003415319916,0.4619718309859155,710,0.0568009766132227,0.9431990233867773,-0.20524152964323109,0.1885151513993887
Monthly,September,-0.08169774261852505,3.098402150168713,0.4876923076923077,650,0.4914459970599354,0.5085540029400646,-0.3203358925825416,0.1569404073454915
Monthly,October,0.10949186574856384,3.3318639954798326,0.500709219858156,705,0.6391534459630389,0.3608465540369611,-0.1368782836438614,0.3558620151409891
Monthly,November,0.15272047378319908,3.045927258969889,0.47938931297709925,655,0.7856766587311227,0.2143233412688773,-0.08097561323393784,0.38641656080033604
Monthly,December,0.10037541761740293,2.4883998682619097,0.4740740740740741,675,0.598247470462364,0.40175252953763596,-0.08768480856092109,0.28843564379572695
Weekly,Monday,-0.18433928459146906,3.3636419551636916,0.46194225721784776,1524,0.9678169975900688,0.03218300240993124,-0.35334860098993015,-0.01532996819300797
Weekly,Tuesday,0.09110515874791618,2.932932044588813,0.4720720720720721,1665,0.7393169811607081,0.26068301883929196,-0.04987532029741058,0.23208563779324293
Weekly,Wednesday,0.023320941902651666,3.0151074077596993,0.46482260974143114,1663,0.22548251444677092,0.7745174855532291,-0.1216968018113283,0.16833868561663162
Weekly,Thursday,0.08524394328664132,3.0638629961966863,0.50734394124847,1634,0.7000999323198798,0.2999000676801203,-0.063422659283716,0.23391054585699866
Weekly,Friday,-0.030029735124454646,2.734633995278017,0.46924969249692494,1626,0.28932092229702455,0.7106790777029754,-0.16304779984088635,0.10298832959197707
Quarterly,Q1,-0.09854825710115325,3.2153566502526183,0.47914547304170907,1966,0.799255226053055,0.200744773946945,-0.24076576851609607,0.04366925431378957
Quarterly,Q2,-0.03228249656697138,3.000969023816482,0.4689621726479146,2062,0.3351913633168895,0.6648086366831105,-0.16188708996555531,0.09732209683161255
Quarterly,Q3,0.007484284436057806,2.8999158474455338,0.468033186920449,2049,0.08034205264138239,0.9196579473586176,-0.11815320449657593,0.13312177336869155
Quarterly,Q4,0.12038185875797537,2.981023837763991,0.485012285012285,2035,0.892433905429378,0.10756609457062202,-0.009213617305277297,0.24997733482122803
DayOfMonth,Beginning,-0.040853961729665184,2.9128358429437924,0.49072052401746724,1832,0.40074716223177087,0.5992528377682291,-0.17432546263240883,0.09261753917307847
DayOfMonth,Middle,-0.08159797987220585,3.030773683295551,0.46770601336302897,2694,0.774530959560385,0.22546904043961502,-0.19609601613698194,0.03290005639257024
DayOfMonth,End,0.13376055923249364,3.0052128787534427,0.4896388395500296,1689,0.9019783549531777,0.09802164504682229,-0.009662843594022169,0.2771839620590094
