Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,-0.006597564087345624,1.8656189437428947,0.4694092827004219,948,0.08887694946566793,0.9111230505343321,-0.1255086326190991,0.11231350444440782
Monthly,February,-0.04930629912708118,1.7107302128642803,0.48924122310305773,883,0.5836460476313863,0.4163539523686137,-0.16229776429114134,0.06368516603697899
Monthly,March,0.02876062936272842,2.0093181127298387,0.4721669980119284,1006,0.38032073313079584,0.6196792668692042,-0.09555368632094066,0.15307494504639751
Monthly,April,0.0418762067209304,1.7630367047750366,0.48580441640378547,951,0.5240498768190459,0.4759501231809541,-0.07031862406059508,0.15407103750245588
Monthly,May,-0.0014004392130220844,1.547661742686526,0.48045267489711935,972,0.0,0.9806100238858733,-0.09881697592284569,0.09601609749680151
Monthly,June,-0.09073872624286372,1.5470261869770086,0.4683673469387755,980,0.8860667563640501,0.1139332436359499,-0.18771599962637614,0.006238547140648684
Monthly,July,0.07593097025529925,1.5783529449147737,0.496900826446281,968,0.8109920274781344,0.18900797252186563,-0.023622971280621144,0.17548491179121967
Monthly,August,-0.07243916518559597,1.559121978145368,0.46686746987951805,996,0.7962526610859706,0.20374733891402946,-0.16938454625221944,0.0245062158810275
Monthly,September,-0.08717199225687096,1.6633251198118058,0.4644808743169399,915,0.8567339664698601,0.14326603353013995,-0.1950890690466292,0.020745084532887273
Monthly,October,0.07195621426714856,2.1484891088071643,0.4939637826961771,994,0.7797820549933953,0.22021794500660472,-0.06177036247002275,0.20568279100431985
Monthly,November,0.06294434135860921,1.7099420045825042,0.4923747276688453,918,0.7092654734807353,0.2907345265192646,-0.047815348210190636,0.17370403092740905
Monthly,December,0.02147516894908784,1.6111568027232275,0.4868559411146162,951,0.287088067290458,0.712911932709542,-0.08105444053349042,0.1240047784316661
Weekly,Monday,-0.1007879549092331,1.8037756344894333,0.4557603686635945,2170,0.9861367774185071,0.013863222581492826,-0.17672315723682447,-0.02485275258164174
Weekly,Tuesday,0.019677888708015432,1.7315061132359324,0.47558386411889597,2355,0.3833184198598265,0.6166815801401735,-0.050290201950029575,0.08964597936606043
Weekly,Wednesday,0.013243069027490482,1.738870889548289,0.4747131321716957,2353,0.26351528551022385,0.7364847144897761,-0.05705251001090941,0.08353864806589037
Weekly,Thursday,0.016534754902324693,1.8351146623172685,0.48528138528138526,2310,0.32041557805531107,0.6795844219446889,-0.05833958706296353,0.09140909686761292
Weekly,Friday,0.044905060592678445,1.573036867584935,0.5100261551874455,2294,0.748418820155242,0.2515811798447581,-0.01949993981321793,0.10931006099857482
Quarterly,Q1,-0.007352400333137674,1.8725878460008005,0.47655974621078606,2837,0.1573713121942968,0.8426286878057032,-0.07628838960569033,0.06158358893941498
Quarterly,Q2,-0.01738233070666866,1.6221073263786547,0.4781260764726145,2903,0.3741411372666802,0.6258588627333198,-0.07641403621108202,0.04164937479774469
Quarterly,Q3,-0.027235360275359784,1.6010295085519408,0.47620701632511286,2879,0.5545964609167938,0.4454035390832062,-0.0857425553670648,0.03127183481634523
Quarterly,Q4,0.05229838212341303,1.8446923389124827,0.4910932588194202,2863,0.8449346682601641,0.15506533173983597,-0.015301364101753846,0.11989812834857991
DayOfMonth,Beginning,0.04389208928126395,1.7288381160705877,0.47468109779667567,2587,0.7543173594798241,0.24568264052017588,-0.022759041360396484,0.11054321992292439
DayOfMonth,Middle,-0.03149823899807445,1.7433218687375123,0.4810159727677402,3819,0.6674430986789059,0.33255690132109406,-0.08680631348353668,0.02380983548738779
DayOfMonth,End,0.03327980138585134,1.6509096377742807,0.4861693210393965,2386,0.6090238281202175,0.3909761718797825,-0.0329962503928996,0.09955585316460228
