Pattern_Type,Period,Average_Return,Std_Dev,Win_Rate,Sample_Size,Statistical_Significance,P_Value,CI_Lower,CI_Upper
Monthly,January,0.16244484283694285,2.477055485793132,0.504950495049505,404,0.7820605922276908,0.21793940777230927,-0.07982501841181008,0.40471470408569576
Monthly,February,0.10226736142550787,2.3987991910344473,0.5208333333333334,384,0.5522119930831736,0.4477880069168264,-0.13841869724490058,0.3429534200959163
Monthly,March,-0.10675138240615,2.950857434163456,0.4874141876430206,437,0.5916069773145874,0.40839302268541255,-0.3841874037697884,0.17068463895748837
Monthly,April,0.0019121664483202727,2.7533182201151747,0.5108958837772397,413,0.0,0.9884065448719814,-0.26440989646976903,0.26823422936640956
Monthly,May,-0.056594965164354374,2.4363930850548163,0.4716981132075472,424,0.33971442675696584,0.6602855732430342,-0.28916669429640907,0.1759767639677003
Monthly,June,-0.07535602407511925,2.2315234942276523,0.49764150943396224,424,0.4438662385955888,0.5561337614044112,-0.2883714364217082,0.13765938827146967
Monthly,July,0.03428710167097402,1.9670151772836697,0.4906976744186046,430,0.21395051168807888,0.7860494883119211,-0.1521569564056204,0.22073115974756843
Monthly,August,-0.05860494754162612,2.500414980990226,0.47191011235955055,445,0.3577291392703139,0.6422708607296861,-0.29155651894866375,0.1743466238654115
Monthly,September,-0.0852197859759985,2.6705011545864594,0.48284313725490197,408,0.4814840475208786,0.5185159524791214,-0.34511852390828873,0.17467895195629174
Monthly,October,-0.03699036070550077,2.4658075111107145,0.4727272727272727,440,0.2297041035666556,0.7702958964333444,-0.26802649556987224,0.1940457741588707
Monthly,November,0.19870923744366745,3.1784520089109556,0.5073170731707317,410,0.8621075768821781,0.1378924231178219,-0.10986444155131711,0.507282916438652
Monthly,December,-0.052809863127197695,2.4000171682188625,0.4595238095238095,420,0.31727603756204736,0.6827239624379526,-0.28300391177730566,0.1773841855229103
Weekly,Monday,-0.03715724812502188,2.4141190513930346,0.4544491525423729,944,0.3207642342863384,0.6792357657136616,-0.1913551807337067,0.11704068448366292
Weekly,Tuesday,-0.09142537424221857,2.2577405741223417,0.47775628626692457,1034,0.7144819465086543,0.2855180534913458,-0.22920056142968137,0.04634981294524425
Weekly,Wednesday,0.04729736759709758,2.619535856727444,0.5019342359767892,1034,0.41065174443940056,0.5893482555605994,-0.11255582684938609,0.20715056204358123
Weekly,Thursday,0.014735042743563085,2.6789347756976167,0.5108267716535433,1016,0.1320693411275886,0.8679306588724114,-0.15018808469403414,0.1796581701811603
Weekly,Friday,0.0650187909729136,2.762527029061226,0.49950544015825915,1011,0.5334441782699132,0.4665558217300868,-0.10547155837714392,0.23550914032297113
Quarterly,Q1,0.047549411577169284,2.6357948660770796,0.5036734693877551,1225,0.4384047345201255,0.5615952654798745,-0.10019848816245198,0.19529731131679057
Quarterly,Q2,-0.04374107430164992,2.4807697124844816,0.49325931800158607,1261,0.4154486351245994,0.5845513648754006,-0.18079591481902815,0.09331376621572832
Quarterly,Q3,-0.03593563570983022,2.394936632155939,0.48168355416991426,1283,0.35113616593587227,0.6488638340641277,-0.16710699039408072,0.09523571897442029
Quarterly,Q4,0.03386998907721282,2.6992386580362786,0.4795275590551181,1270,0.3235280240378735,0.6764719759621265,-0.11472423690210067,0.18246421505652632
DayOfMonth,Beginning,-0.013142872857031172,2.7322926763609563,0.48853615520282184,1134,0.12274995454675142,0.8772500454532486,-0.17233917318568684,0.1460534274716245
DayOfMonth,Middle,0.03090624016323062,2.474065159322105,0.49612403100775193,1677,0.33454448199438436,0.6654555180056156,-0.08759050980280868,0.1494029901292699
DayOfMonth,End,0.05870661983131453,2.4459091725243085,0.49857278782112274,1051,0.5050117704586451,0.4949882295413549,-0.08933640874252272,0.20674964840515178
