Metric Type,Short Window,Long Window,Ticker,Strategy Type,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Win Rate [%],61,73,XLE,SMA,0,true,false,1,76,1.0814713701776775,56.00000000000001,1.3673091974421174,1.6585672000564369,0.443367793346228,-0.531928459495712,51 days 03:11:59.999999999,0.007752780643480795,0.23895792783350803,0.47477167240604884,0.3963277812981095,0,6679,6680 days 00:00:00,1000.0,2279.831391543137,127.98313915431369,273.4264489065667,100.0,249.3614643147768,47.80164981630638,2524 days 00:00:00,75,-2.279831391542757,39.49074645067503,-18.777425483469585,7.872452586340314,-6.250014200668501,57 days 02:51:25.714285714,43 days 12:21:49.090909091,17.094816305795746,0.3159906538899947,0.09635381997353241,1.059695983184766,-0.253372143785897,5.099335688404967,1.009589633879252,1.0496304118268216,-0.019682536831593093,,,0.0001883550020674781,0.047465460521004484,1.279831391543138,0.03157716428869595,0.18077968407098297,0,76,9673.948412698412,,,,
Mean Total Fees Paid,66,71,XLE,SMA,0,true,false,1,104,0.9424242283058412,49.51456310679612,1.075407969724896,0.6258703304113582,0.2353451537107573,-0.9009954695802118,37 days 02:47:46.019417474,0.010647152083713625,0.3269950591405899,0.6508459350202126,0.20465650570720262,0,6679,6680 days 00:00:00,1000.0,1270.7045717834485,27.07045717834485,273.4264489065667,100.0,250.64825865295398,54.944561043738794,2268 days 00:00:00,103,-1.2707045717831988,37.78979634764989,-19.635573067992244,6.967537542288047,-5.593841742775394,47 days 09:24:42.352941176,27 days 00:55:23.076923077,2.6405366636430188,0.1693484527091395,0.02398128952732733,1.0316305163708825,-0.308566027902744,5.250857577387942,1.0169154606101165,1.0144702842377262,-0.01987691186193556,,,0.00010117710896009623,0.02549663145794425,0.2707045717834491,0.009078691864693234,0.1811956366807727,0,104,9673.948412698412,,,,
Least Total Trades,66,71,XLE,SMA,0,true,false,1,104,0.9424242283058412,49.51456310679612,1.075407969724896,0.6258703304113582,0.2353451537107573,-0.9009954695802118,37 days 02:47:46.019417474,0.010647152083713625,0.3269950591405899,0.6508459350202126,0.20465650570720262,0,6679,6680 days 00:00:00,1000.0,1270.7045717834485,27.07045717834485,273.4264489065667,100.0,250.64825865295398,54.944561043738794,2268 days 00:00:00,103,-1.2707045717831988,37.78979634764989,-19.635573067992244,6.967537542288047,-5.593841742775394,47 days 09:24:42.352941176,27 days 00:55:23.076923077,2.6405366636430188,0.1693484527091395,0.02398128952732733,1.0316305163708825,-0.308566027902744,5.250857577387942,1.0169154606101165,1.0144702842377262,-0.01987691186193556,,,0.00010117710896009623,0.02549663145794425,0.2707045717834491,0.009078691864693234,0.1811956366807727,0,104,9673.948412698412,,,,
Mean Sharpe Ratio,64,72,XLE,SMA,0,true,false,1,86,0.9420007075498561,51.76470588235295,1.1561971314180735,0.9316442097684607,0.2910767342147815,-0.8211247993656428,45 days 02:49:24.705882352,0.008786484729278234,0.27039976044318015,0.5376553376253931,0.25191637113966764,0,6679,6680 days 00:00:00,1000.0,1489.0921090690194,48.90921090690195,273.4264489065667,100.0,214.4079414064281,53.481384202731455,2608 days 00:00:00,85,-1.4890921090689062,38.44362395290986,-20.290322891232336,7.353508907630703,-5.960113026961751,54 days 15:16:21.818181818,34 days 21:39:30.731707317,5.771543543271669,0.20903497064403323,0.04112552417118318,1.039166706968817,-0.3027426469970454,5.302838887483938,1.0081389561028462,1.0307772561293687,-0.019781611474895638,,,0.00012426398795203677,0.031314524963913265,0.48909210906901435,0.015134033617282938,0.18029058253603744,0,86,9673.948412698412,,,,
Mean Best Trade [%],67,70,XLE,SMA,0,true,false,1,136,0.9153272791155923,48.148148148148145,1.1068719195304924,0.5870935475090047,0.2845427200473428,-0.8326602882844594,28 days 04:47:59.999999999,0.01395500515826543,0.42760892349154067,0.8520736637221141,0.2510464398391552,0,6679,6680 days 00:00:00,1000.0,1457.5510313542886,45.75510313542887,273.4264489065667,100.0,371.6331355192175,52.71303304374049,2598 days 00:00:00,135,-1.4575510313541145,45.53072206357116,-19.63557306799224,5.955839870987617,-4.398170895721135,35 days 18:49:50.769230769,21 days 03:46:17.142857143,3.4000635732269586,0.20360410476463944,0.039458303270302864,1.0381690867837232,-0.25886700945940105,5.217439268535246,1.045622608432428,0.9928716904276984,-0.019681160482980957,,,0.00012101081779167484,0.03049472608350206,0.45755103135428943,0.014314498307961943,0.1802537751630437,0,136,9673.948412698412,,,,
Most Total Fees Paid,68,69,XLE,SMA,0,true,false,1,240,0.9053371923021825,51.46443514644351,1.13135177081725,0.3743408068617331,0.35110821033291023,-0.7238640034348549,15 days 20:35:08.786610877,0.0247055276505588,0.7546039826321306,1.506063782003294,0.282479063719589,0,6679,6680 days 00:00:00,1000.0,1755.0288495608354,75.50288495608353,273.4264489065667,100.0,785.3427838024901,54.08771174664601,2781 days 00:00:00,239,-1.755028849560631,45.03279805150223,-15.433679563542269,3.6005676537336093,-3.0465721428386177,18 days 21:51:13.170731707,12 days 14:53:47.586206896,3.1664597423028873,0.25027773692442706,0.05770587012747433,1.0471445511310398,-0.2450543590257174,5.223416377095193,1.0991532666762092,0.9526829268292683,-0.019640570335681326,,,0.0001491914224018497,0.03759623844526613,0.7550288495608333,0.02144623974274551,0.1807874744629862,0,240,9673.948412698412,,,,
Most Total Trades,65,71,XLE,SMA,0,true,false,1,97,0.8587384423035392,47.91666666666667,1.0755273049425162,0.6255388798658621,0.22912607932475382,-0.9089657009819209,39 days 18:59:59.999999999,0.009923559223655417,0.30498577631381946,0.6068273693666717,0.190780460890367,0,6679,6680 days 00:00:00,1000.0,1248.9118510921194,24.89118510921194,273.4264489065667,100.0,229.38645405895684,55.189666624536294,3109 days 00:00:00,96,-1.248911851092089,37.789796347649904,-20.29032289123234,7.187292987659152,-5.411274899303966,49 days 05:44:20.869565217,31 days 02:24:00,2.605841280658467,0.16490229514796745,0.022140356873893912,1.0307869745974123,-0.3111912475714677,5.279530286706162,1.0118734521277364,1.0186915887850467,-0.019781611474895783,,,0.00009831193073783462,0.024774606545934327,0.248911851092114,0.008420389733709843,0.18081157431234787,0,97,9673.948412698412,,,,
Mean Avg Losing Trade [%],65,71,XLE,SMA,0,true,false,1,97,0.8587384423035392,47.91666666666667,1.0755273049425162,0.6255388798658621,0.22912607932475382,-0.9089657009819209,39 days 18:59:59.999999999,0.009923559223655417,0.30498577631381946,0.6068273693666717,0.190780460890367,0,6679,6680 days 00:00:00,1000.0,1248.9118510921194,24.89118510921194,273.4264489065667,100.0,229.38645405895684,55.189666624536294,3109 days 00:00:00,96,-1.248911851092089,37.789796347649904,-20.29032289123234,7.187292987659152,-5.411274899303966,49 days 05:44:20.869565217,31 days 02:24:00,2.605841280658467,0.16490229514796745,0.022140356873893912,1.0307869745974123,-0.3111912475714677,5.279530286706162,1.0118734521277364,1.0186915887850467,-0.019781611474895783,,,0.00009831193073783462,0.024774606545934327,0.248911851092114,0.008420389733709843,0.18081157431234787,0,97,9673.948412698412,,,,
Median Total Fees Paid,59,75,XLE,SMA,0,true,false,1,67,0.8506688363250374,46.96969696969697,1.228837213872731,1.4306656861642404,0.3394474955498259,-0.74191036023909,57 days 13:49:05.454545453,0.006822446966263099,0.21066027848480312,0.418176373708639,0.3013844318660108,0,6679,6680 days 00:00:00,1000.0,1705.6853369940065,70.56853369940066,273.4264489065667,100.0,192.05134652677074,53.22043536599922,2893 days 00:00:00,66,-1.705685336993838,39.275592494536596,-20.47903411997837,9.611045079303041,-5.814813204901554,78 days 10:03:52.258064516,39 days 02:44:34.285714285,10.718045792893946,0.24331436798984168,0.0556292688585349,1.0458050727994275,-0.2875579233551624,5.115376957943777,0.9994550772143297,1.04637526652452,-0.019681160482980888,,,0.00014410965691348028,0.03631563354219703,0.705685336994019,0.020347917561522655,0.17962717160743175,0,67,9673.948412698412,,,,
Mean Avg Winning Trade [%],59,75,XLE,SMA,0,true,false,1,67,0.8506688363250374,46.96969696969697,1.228837213872731,1.4306656861642404,0.3394474955498259,-0.74191036023909,57 days 13:49:05.454545453,0.006822446966263099,0.21066027848480312,0.418176373708639,0.3013844318660108,0,6679,6680 days 00:00:00,1000.0,1705.6853369940065,70.56853369940066,273.4264489065667,100.0,192.05134652677074,53.22043536599922,2893 days 00:00:00,66,-1.705685336993838,39.275592494536596,-20.47903411997837,9.611045079303041,-5.814813204901554,78 days 10:03:52.258064516,39 days 02:44:34.285714285,10.718045792893946,0.24331436798984168,0.0556292688585349,1.0458050727994275,-0.2875579233551624,5.115376957943777,0.9994550772143297,1.04637526652452,-0.019681160482980888,,,0.00014410965691348028,0.03631563354219703,0.705685336994019,0.020347917561522655,0.17962717160743175,0,67,9673.948412698412,,,,
