Metric Type,Short Window,Long Window,Ticker,Strategy Type,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Mean Total Return [%],49,81,VFC,SMA,0,true,false,1,73,1.207017265686328,54.166666666666664,1.3958668007257113,7.791871086083183,0.8102429879155786,-0.17704143103065906,97 days 15:40:00,0.004350187191834768,0.13415594644263587,0.26647414019427673,1.0453258401124985,0,11427,11428 days 00:00:00,1000.0,33628.756519737544,3262.8756519737544,3964.811565253064,100.0,3176.517908624706,51.88410171135149,1156 days 00:00:00,72,-33.62875651973445,131.2473291826934,-37.197666749275534,22.171831672921037,-9.202627789270643,132 days 19:04:36.923076924,56 days 02:54:32.727272728,453.64423994801746,0.5484181389717788,0.22901808454459174,1.1120422925307147,0.6368119937952756,20.818902203509023,1.0854415142379756,1.024506873879259,-0.020925709978716716,,,0.00040844656803887286,0.10292853514579596,32.62875651973722,0.08060172533695487,0.22587602856337705,0,73,16551.011904761905,,,,
Median Total Return [%],49,81,VFC,SMA,0,true,false,1,73,1.207017265686328,54.166666666666664,1.3958668007257113,7.791871086083183,0.8102429879155786,-0.17704143103065906,97 days 15:40:00,0.004350187191834768,0.13415594644263587,0.26647414019427673,1.0453258401124985,0,11427,11428 days 00:00:00,1000.0,33628.756519737544,3262.8756519737544,3964.811565253064,100.0,3176.517908624706,51.88410171135149,1156 days 00:00:00,72,-33.62875651973445,131.2473291826934,-37.197666749275534,22.171831672921037,-9.202627789270643,132 days 19:04:36.923076924,56 days 02:54:32.727272728,453.64423994801746,0.5484181389717788,0.22901808454459174,1.1120422925307147,0.6368119937952756,20.818902203509023,1.0854415142379756,1.024506873879259,-0.020925709978716716,,,0.00040844656803887286,0.10292853514579596,32.62875651973722,0.08060172533695487,0.22587602856337705,0,73,16551.011904761905,,,,
Mean Total Fees Paid,49,81,VFC,SMA,0,true,false,1,73,1.207017265686328,54.166666666666664,1.3958668007257113,7.791871086083183,0.8102429879155786,-0.17704143103065906,97 days 15:40:00,0.004350187191834768,0.13415594644263587,0.26647414019427673,1.0453258401124985,0,11427,11428 days 00:00:00,1000.0,33628.756519737544,3262.8756519737544,3964.811565253064,100.0,3176.517908624706,51.88410171135149,1156 days 00:00:00,72,-33.62875651973445,131.2473291826934,-37.197666749275534,22.171831672921037,-9.202627789270643,132 days 19:04:36.923076924,56 days 02:54:32.727272728,453.64423994801746,0.5484181389717788,0.22901808454459174,1.1120422925307147,0.6368119937952756,20.818902203509023,1.0854415142379756,1.024506873879259,-0.020925709978716716,,,0.00040844656803887286,0.10292853514579596,32.62875651973722,0.08060172533695487,0.22587602856337705,0,73,16551.011904761905,,,,
Median Total Fees Paid,49,81,VFC,SMA,0,true,false,1,73,1.207017265686328,54.166666666666664,1.3958668007257113,7.791871086083183,0.8102429879155786,-0.17704143103065906,97 days 15:40:00,0.004350187191834768,0.13415594644263587,0.26647414019427673,1.0453258401124985,0,11427,11428 days 00:00:00,1000.0,33628.756519737544,3262.8756519737544,3964.811565253064,100.0,3176.517908624706,51.88410171135149,1156 days 00:00:00,72,-33.62875651973445,131.2473291826934,-37.197666749275534,22.171831672921037,-9.202627789270643,132 days 19:04:36.923076924,56 days 02:54:32.727272728,453.64423994801746,0.5484181389717788,0.22901808454459174,1.1120422925307147,0.6368119937952756,20.818902203509023,1.0854415142379756,1.024506873879259,-0.020925709978716716,,,0.00040844656803887286,0.10292853514579596,32.62875651973722,0.08060172533695487,0.22587602856337705,0,73,16551.011904761905,,,,
Mean Max Drawdown [%],49,81,VFC,SMA,0,true,false,1,73,1.207017265686328,54.166666666666664,1.3958668007257113,7.791871086083183,0.8102429879155786,-0.17704143103065906,97 days 15:40:00,0.004350187191834768,0.13415594644263587,0.26647414019427673,1.0453258401124985,0,11427,11428 days 00:00:00,1000.0,33628.756519737544,3262.8756519737544,3964.811565253064,100.0,3176.517908624706,51.88410171135149,1156 days 00:00:00,72,-33.62875651973445,131.2473291826934,-37.197666749275534,22.171831672921037,-9.202627789270643,132 days 19:04:36.923076924,56 days 02:54:32.727272728,453.64423994801746,0.5484181389717788,0.22901808454459174,1.1120422925307147,0.6368119937952756,20.818902203509023,1.0854415142379756,1.024506873879259,-0.020925709978716716,,,0.00040844656803887286,0.10292853514579596,32.62875651973722,0.08060172533695487,0.22587602856337705,0,73,16551.011904761905,,,,
Median Max Drawdown [%],49,81,VFC,SMA,0,true,false,1,73,1.207017265686328,54.166666666666664,1.3958668007257113,7.791871086083183,0.8102429879155786,-0.17704143103065906,97 days 15:40:00,0.004350187191834768,0.13415594644263587,0.26647414019427673,1.0453258401124985,0,11427,11428 days 00:00:00,1000.0,33628.756519737544,3262.8756519737544,3964.811565253064,100.0,3176.517908624706,51.88410171135149,1156 days 00:00:00,72,-33.62875651973445,131.2473291826934,-37.197666749275534,22.171831672921037,-9.202627789270643,132 days 19:04:36.923076924,56 days 02:54:32.727272728,453.64423994801746,0.5484181389717788,0.22901808454459174,1.1120422925307147,0.6368119937952756,20.818902203509023,1.0854415142379756,1.024506873879259,-0.020925709978716716,,,0.00040844656803887286,0.10292853514579596,32.62875651973722,0.08060172533695487,0.22587602856337705,0,73,16551.011904761905,,,,
Least Total Trades,49,81,VFC,SMA,0,true,false,1,73,1.207017265686328,54.166666666666664,1.3958668007257113,7.791871086083183,0.8102429879155786,-0.17704143103065906,97 days 15:40:00,0.004350187191834768,0.13415594644263587,0.26647414019427673,1.0453258401124985,0,11427,11428 days 00:00:00,1000.0,33628.756519737544,3262.8756519737544,3964.811565253064,100.0,3176.517908624706,51.88410171135149,1156 days 00:00:00,72,-33.62875651973445,131.2473291826934,-37.197666749275534,22.171831672921037,-9.202627789270643,132 days 19:04:36.923076924,56 days 02:54:32.727272728,453.64423994801746,0.5484181389717788,0.22901808454459174,1.1120422925307147,0.6368119937952756,20.818902203509023,1.0854415142379756,1.024506873879259,-0.020925709978716716,,,0.00040844656803887286,0.10292853514579596,32.62875651973722,0.08060172533695487,0.22587602856337705,0,73,16551.011904761905,,,,
Most Win Rate [%],49,81,VFC,SMA,0,true,false,1,73,1.207017265686328,54.166666666666664,1.3958668007257113,7.791871086083183,0.8102429879155786,-0.17704143103065906,97 days 15:40:00,0.004350187191834768,0.13415594644263587,0.26647414019427673,1.0453258401124985,0,11427,11428 days 00:00:00,1000.0,33628.756519737544,3262.8756519737544,3964.811565253064,100.0,3176.517908624706,51.88410171135149,1156 days 00:00:00,72,-33.62875651973445,131.2473291826934,-37.197666749275534,22.171831672921037,-9.202627789270643,132 days 19:04:36.923076924,56 days 02:54:32.727272728,453.64423994801746,0.5484181389717788,0.22901808454459174,1.1120422925307147,0.6368119937952756,20.818902203509023,1.0854415142379756,1.024506873879259,-0.020925709978716716,,,0.00040844656803887286,0.10292853514579596,32.62875651973722,0.08060172533695487,0.22587602856337705,0,73,16551.011904761905,,,,
Most Best Trade [%],49,81,VFC,SMA,0,true,false,1,73,1.207017265686328,54.166666666666664,1.3958668007257113,7.791871086083183,0.8102429879155786,-0.17704143103065906,97 days 15:40:00,0.004350187191834768,0.13415594644263587,0.26647414019427673,1.0453258401124985,0,11427,11428 days 00:00:00,1000.0,33628.756519737544,3262.8756519737544,3964.811565253064,100.0,3176.517908624706,51.88410171135149,1156 days 00:00:00,72,-33.62875651973445,131.2473291826934,-37.197666749275534,22.171831672921037,-9.202627789270643,132 days 19:04:36.923076924,56 days 02:54:32.727272728,453.64423994801746,0.5484181389717788,0.22901808454459174,1.1120422925307147,0.6368119937952756,20.818902203509023,1.0854415142379756,1.024506873879259,-0.020925709978716716,,,0.00040844656803887286,0.10292853514579596,32.62875651973722,0.08060172533695487,0.22587602856337705,0,73,16551.011904761905,,,,
Mean Worst Trade [%],49,81,VFC,SMA,0,true,false,1,73,1.207017265686328,54.166666666666664,1.3958668007257113,7.791871086083183,0.8102429879155786,-0.17704143103065906,97 days 15:40:00,0.004350187191834768,0.13415594644263587,0.26647414019427673,1.0453258401124985,0,11427,11428 days 00:00:00,1000.0,33628.756519737544,3262.8756519737544,3964.811565253064,100.0,3176.517908624706,51.88410171135149,1156 days 00:00:00,72,-33.62875651973445,131.2473291826934,-37.197666749275534,22.171831672921037,-9.202627789270643,132 days 19:04:36.923076924,56 days 02:54:32.727272728,453.64423994801746,0.5484181389717788,0.22901808454459174,1.1120422925307147,0.6368119937952756,20.818902203509023,1.0854415142379756,1.024506873879259,-0.020925709978716716,,,0.00040844656803887286,0.10292853514579596,32.62875651973722,0.08060172533695487,0.22587602856337705,0,73,16551.011904761905,,,,
