strategy_name,ticker,timeframe,analysis_timestamp,sample_size,sample_size_confidence,dual_layer_convergence_score,asset_layer_percentile,strategy_layer_percentile,exit_signal,signal_confidence,exit_recommendation,target_exit_timeframe,statistical_significance,p_value,z_score_divergence,iqr_divergence,rarity_score,current_return,mfe,mae,unrealized_pnl
MA_SMA_78_82,MA,D,2025-07-15T13:12:47.114237,0,0.0,0.9303547961556181,7.964520384438192,1.0,HOLD,52.45181537566529,,,LOW,0.1,-1.205704036427083,,0.5774246442099111,,,,
AMZN_SMA_51_69,AMZN,D,2025-07-15T13:12:52.436573,0,0.0,0.2990521746516426,71.09478253483574,1.0,HOLD,34.37959100558842,,,MEDIUM,0.9000000000000001,0.30576652610862187,,0.22991156550041034,,,,
GD_SMA_70_85,GD,D,2025-07-15T13:12:53.959642,0,0.0,0.6199874671635357,39.00125328364643,1.0,HOLD,100.0,,,HIGH,0.6730630790388534,-0.23341607368120884,,0.13467318846707035,,,,
GOOGL_SMA_9_39,GOOGL,D,2025-07-15T13:12:55.921141,0,0.0,0.19838360779488529,81.16163922051147,1.0,HOLD,31.402800432847908,,,MEDIUM,0.9000000000000001,0.696319659057123,,0.3885570455755164,,,,
PWR_SMA_66_78,PWR,D,2025-07-15T13:12:57.783680,0,0.0,0.8243144152335478,67.56855847664522,50.0,HOLD,35.628689484542186,,,MEDIUM,0.9000000000000001,0.2736406812521497,,0.1952766040635917,,,,
INTU_SMA_54_64,INTU,D,2025-07-15T13:12:59.124378,0,0.0,0.5225005596997876,48.74994403002125,1.0,HOLD,32.66440079703789,,,MEDIUM,0.9000000000000001,-0.03840489182724124,,0.01768142612527827,,,,
SMCI_SMA_58_60,SMCI,D,2025-07-15T13:13:00.763993,0,0.0,0.8199868397791769,19.00131602208231,1.0,HOLD,100.0,,,MEDIUM,0.9483975569609628,-0.6161502174101552,,0.37121951530537256,,,,
QCOM_SMA_49_66,QCOM,D,2025-07-15T13:13:04.183068,0,0.0,0.7118785558297069,29.8121444170293,1.0,HOLD,39.99993258633903,,,MEDIUM,0.9000000000000001,-0.3728471630242109,,0.2360722772686078,,,,
LMT_SMA_59_87,LMT,D,2025-07-15T13:13:05.875863,0,0.0,0.3206521223939677,68.93478776060323,1.0,HOLD,30.376702701096647,,,MEDIUM,0.9000000000000001,0.3246683354646455,,0.2164119691777549,,,,
GOOGL_EMA_9_46,GOOGL,D,2025-07-15T13:13:08.766023,0,0.0,0.19838360779488529,81.16163922051147,1.0,SELL,100.0,1-3 days,1-3 days,HIGH,0.7421024858733807,0.696319659057123,,0.3885570455755164,,,,
DOV_SMA_45_86,DOV,D,2025-07-15T13:13:10.210895,0,0.0,0.7524142866098653,25.75857133901347,1.0,HOLD,100.0,,,MEDIUM,0.68699085565632,-0.5014267277545772,,0.29421677483880765,,,,
COR_SMA_8_26,COR,D,2025-07-15T13:13:12.330571,0,0.0,0.7296751381034396,28.032486189656034,1.0,HOLD,66.68979076606236,,,MEDIUM,0.1,-0.39585407557781405,,0.2549109255983145,,,,
AMD_SMA_7_45,AMD,D,2025-07-15T13:13:14.124514,0,0.0,0.31111798623754705,69.88820137624529,1.0,HOLD,35.25173269762911,,,MEDIUM,0.9000000000000001,0.39355375229544987,,0.23781636146905233,,,,
COST_EMA_29_68,COST,D,2025-07-15T13:13:16.117372,0,0.0,0.5188670857081753,49.11329142918247,1.0,HOLD,31.27653254329014,,,MEDIUM,0.9000000000000001,-0.02464578401830032,,0.012022825370200323,,,,
AMZN_SMA_10_27,AMZN,D,2025-07-15T13:13:18.407358,0,0.0,0.2990521746516426,71.09478253483574,1.0,SELL,100.0,3-5 days,3-5 days,HIGH,1.0,0.30576652610862187,,0.22991156550041034,,,,
FFIV_SMA_14_45,FFIV,D,2025-07-15T13:13:20.106648,0,0.0,0.8627811247901389,14.721887520986105,1.0,BUY,42.52179025940314,2-6 weeks,2-6 weeks,MEDIUM,0.9000000000000001,-0.7507403478127346,,0.4323729693946582,,,,
ILMN_EMA_21_32,ILMN,D,2025-07-15T13:13:21.401777,0,0.0,0.6593984889367981,35.060151106320184,1.0,HOLD,36.13502711096327,,,MEDIUM,0.9000000000000001,-0.24914306061882244,,0.16934740327320302,,,,
RTX_EMA_27_41,RTX,D,2025-07-15T13:13:22.814858,0,0.0,0.430486267966545,57.951373203345504,1.0,SELL,100.0,3-5 days,3-5 days,HIGH,1.0,0.15495058083841726,,0.09460110179444749,,,,
CRWD_EMA_5_21,CRWD,D,2025-07-15T13:13:25.356243,0,0.0,0.7519843007602313,25.801569923976874,1.0,HOLD,36.456080332297994,,,MEDIUM,0.9000000000000001,-0.5484830151536626,,0.30328404363891753,,,,
